year,quintil_oecd,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Yes,0.02732,98,2879,0.02136,0.03327
2009,1st Quintile,No,0.79163,2781,2879,0.77679,0.80646
2009,2nd Quintile,Yes,0.03192,130,3166,0.02579,0.03804
2009,2nd Quintile,No,0.77566,3036,3166,0.76113,0.79019
2009,3rd Quintile,Yes,0.03613,130,3434,0.02989,0.04238
2009,3rd Quintile,No,0.80447,3304,3434,0.79120,0.81774
2009,4th Quintile,Yes,0.02949,123,3732,0.02407,0.03492
2009,4th Quintile,No,0.82350,3609,3732,0.81127,0.83574
2009,5th Quintile,Yes,0.03491,197,4802,0.02972,0.04011
2009,5th Quintile,No,0.86310,4605,4802,0.85338,0.87282
2011,1st Quintile,Yes,0.02526,86,2462,0.01906,0.03146
2011,1st Quintile,No,0.64755,2376,2462,0.62867,0.66642
2011,2nd Quintile,Yes,0.03166,123,2762,0.02513,0.03820
2011,2nd Quintile,No,0.68617,2639,2762,0.66887,0.70348
2011,3rd Quintile,Yes,0.04568,157,3070,0.03829,0.05306
2011,3rd Quintile,No,0.73446,2913,3070,0.71883,0.75008
2011,4th Quintile,Yes,0.03255,124,3218,0.02641,0.03868
2011,4th Quintile,No,0.77183,3094,3218,0.75733,0.78634
2011,5th Quintile,Yes,0.04141,194,4150,0.03534,0.04747
2011,5th Quintile,No,0.80831,3956,4150,0.79634,0.82029
2013,1st Quintile,Yes,0.03959,153,3103,0.03273,0.04645
2013,1st Quintile,No,0.66970,2950,3103,0.65315,0.68625
2013,2nd Quintile,Yes,0.04823,195,3436,0.04107,0.05540
2013,2nd Quintile,No,0.69917,3241,3436,0.68383,0.71451
2013,3rd Quintile,Yes,0.05041,196,3592,0.04325,0.05756
2013,3rd Quintile,No,0.72907,3396,3592,0.71453,0.74361
2013,4th Quintile,Yes,0.04762,218,3938,0.04097,0.05427
2013,4th Quintile,No,0.77246,3720,3938,0.75937,0.78556
2013,5th Quintile,Yes,0.05005,280,4793,0.04387,0.05622
2013,5th Quintile,No,0.81467,4513,4793,0.80367,0.82567
2015,1st Quintile,Yes,0.04644,196,5007,0.04061,0.05227
2015,1st Quintile,No,0.74962,4811,5007,0.73761,0.76162
2015,2nd Quintile,Yes,0.04379,239,5281,0.03827,0.04931
2015,2nd Quintile,No,0.78312,5042,5281,0.77200,0.79423
2015,3rd Quintile,Yes,0.05185,219,4880,0.04563,0.05807
2015,3rd Quintile,No,0.78659,4661,4880,0.77509,0.79809
2015,4th Quintile,Yes,0.04891,236,4767,0.04279,0.05504
2015,4th Quintile,No,0.81392,4531,4767,0.80287,0.82497
2015,5th Quintile,Yes,0.04770,271,5101,0.04185,0.05355
2015,5th Quintile,No,0.84871,4830,5101,0.83887,0.85854
2017,1st Quintile,Yes,0.03794,174,4676,0.03246,0.04342
2017,1st Quintile,No,0.72992,4502,4676,0.71719,0.74265
2017,2nd Quintile,Yes,0.05442,234,4851,0.04803,0.06080
2017,2nd Quintile,No,0.77511,4617,4851,0.76336,0.78686
2017,3rd Quintile,Yes,0.05418,226,4415,0.04750,0.06086
2017,3rd Quintile,No,0.78274,4189,4415,0.77058,0.79491
2017,4th Quintile,Yes,0.04856,229,4340,0.04217,0.05496
2017,4th Quintile,No,0.82784,4111,4340,0.81661,0.83908
2017,5th Quintile,Yes,0.05002,256,4554,0.04369,0.05635
2017,5th Quintile,No,0.84255,4298,4554,0.83197,0.85313
2019,1st Quintile,Yes,0.03501,173,4398,0.02958,0.04044
2019,1st Quintile,No,0.72443,4225,4398,0.71122,0.73764
2019,2nd Quintile,Yes,0.04955,240,4763,0.04339,0.05572
2019,2nd Quintile,No,0.76799,4523,4763,0.75600,0.77998
2019,3rd Quintile,Yes,0.05089,234,4509,0.04447,0.05731
2019,3rd Quintile,No,0.78726,4275,4509,0.77531,0.79920
2019,4th Quintile,Yes,0.05110,245,4270,0.04449,0.05770
2019,4th Quintile,No,0.80564,4025,4270,0.79377,0.81751
2019,5th Quintile,Yes,0.05944,316,4786,0.05274,0.06614
2019,5th Quintile,No,0.83863,4470,4786,0.82821,0.84905
2021,1st Quintile,Yes,0.04896,164,4717,0.04280,0.05512
2021,1st Quintile,No,0.73956,4553,4717,0.72704,0.75209
2021,2nd Quintile,Yes,0.05520,217,3582,0.04772,0.06268
2021,2nd Quintile,No,0.74750,3365,3582,0.73327,0.76173
2021,3rd Quintile,Yes,0.05330,167,3034,0.04530,0.06129
2021,3rd Quintile,No,0.76150,2867,3034,0.74634,0.77667
2021,4th Quintile,Yes,0.05832,192,3246,0.05026,0.06638
2021,4th Quintile,No,0.79652,3054,3246,0.78266,0.81037
2021,5th Quintile,Yes,0.06648,306,4281,0.05902,0.07395
2021,5th Quintile,No,0.80205,3975,4281,0.79011,0.81399
