year,age_gr,migback,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,No migration background,No,0.93591,2289,2289,0.92587,0.94594
2009,17-29 y.,Direct migration background,No,0.94495,174,174,0.91097,0.97894
2009,17-29 y.,Indirect migration background,No,0.91213,385,385,0.88381,0.94044
2009,30-45 y.,No migration background,Yes,0.01616,51,3876,0.01219,0.02013
2009,30-45 y.,No migration background,No,0.98384,3825,3876,0.97987,0.98781
2009,30-45 y.,Direct migration background,No,0.99490,529,529,0.98882,1.00098
2009,30-45 y.,Indirect migration background,No,0.98934,265,265,0.97695,1.00173
2009,46-65 y.,No migration background,Yes,0.04221,239,5660,0.03697,0.04744
2009,46-65 y.,No migration background,No,0.95779,5421,5660,0.95256,0.96303
2009,46-65 y.,Direct migration background,No,0.98126,606,606,0.97046,0.99207
2009,46-65 y.,Indirect migration background,No,0.99428,45,45,0.97198,1.01657
2009,66 and older,No migration background,Yes,0.09182,333,3821,0.08266,0.10098
2009,66 and older,No migration background,No,0.90818,3488,3821,0.89902,0.91734
2009,66 and older,Direct migration background,No,0.92941,307,307,0.90071,0.95811
2011,17-29 y.,No migration background,No,0.84623,2385,2385,0.83175,0.86071
2011,17-29 y.,Direct migration background,No,0.75705,214,214,0.69945,0.81464
2011,17-29 y.,Indirect migration background,No,0.80872,383,383,0.76928,0.84816
2011,30-45 y.,No migration background,Yes,0.01332,63,3956,0.00975,0.01690
2011,30-45 y.,No migration background,No,0.79317,3893,3956,0.78055,0.80580
2011,30-45 y.,Direct migration background,No,0.68433,583,583,0.64656,0.72209
2011,30-45 y.,Indirect migration background,No,0.78924,306,306,0.74347,0.83501
2011,46-65 y.,No migration background,Yes,0.04834,342,6893,0.04328,0.05340
2011,46-65 y.,No migration background,No,0.91077,6551,6893,0.90404,0.91750
2011,46-65 y.,Direct migration background,Yes,0.04109,33,793,0.02727,0.05492
2011,46-65 y.,Direct migration background,No,0.91285,760,793,0.89320,0.93249
2011,46-65 y.,Indirect migration background,No,0.86753,84,84,0.79460,0.94046
2011,66 and older,No migration background,Yes,0.09655,440,4696,0.08810,0.10500
2011,66 and older,No migration background,No,0.90260,4256,4696,0.89412,0.91108
2011,66 and older,Direct migration background,Yes,0.07288,35,419,0.04796,0.09780
2011,66 and older,Direct migration background,No,0.92668,384,419,0.90169,0.95167
2013,17-29 y.,No migration background,No,0.81872,2040,2040,0.80200,0.83544
2013,17-29 y.,Direct migration background,No,0.32611,173,173,0.25605,0.39617
2013,17-29 y.,Indirect migration background,No,0.40354,315,315,0.34927,0.45781
2013,30-45 y.,No migration background,Yes,0.01701,51,3304,0.01260,0.02142
2013,30-45 y.,No migration background,No,0.78475,3253,3304,0.77074,0.79877
2013,30-45 y.,Direct migration background,No,0.32331,488,488,0.28176,0.36485
2013,30-45 y.,Indirect migration background,No,0.50161,275,275,0.44241,0.56081
2013,46-65 y.,No migration background,Yes,0.05468,370,6533,0.04917,0.06020
2013,46-65 y.,No migration background,No,0.89204,6163,6533,0.88452,0.89957
2013,46-65 y.,Direct migration background,Yes,0.03694,31,685,0.02281,0.05108
2013,46-65 y.,Direct migration background,No,0.59578,654,685,0.55900,0.63256
2013,46-65 y.,Indirect migration background,No,0.81278,98,98,0.73515,0.89041
2013,66 and older,No migration background,Yes,0.12191,532,4551,0.11240,0.13141
2013,66 and older,No migration background,No,0.87626,4019,4551,0.86669,0.88583
2013,66 and older,Direct migration background,Yes,0.09872,40,382,0.06877,0.12867
2013,66 and older,Direct migration background,No,0.84097,342,382,0.80424,0.87769
2015,17-29 y.,No migration background,No,0.91547,2550,2550,0.90467,0.92627
2015,17-29 y.,Direct migration background,No,0.66553,585,585,0.62726,0.70379
2015,17-29 y.,Indirect migration background,No,0.91526,770,770,0.89557,0.93494
2015,30-45 y.,No migration background,Yes,0.01905,75,4777,0.01517,0.02293
2015,30-45 y.,No migration background,No,0.97427,4702,4777,0.96977,0.97876
2015,30-45 y.,Direct migration background,No,0.81466,1955,1955,0.79743,0.83189
2015,30-45 y.,Indirect migration background,No,0.95561,604,604,0.93917,0.97205
2015,46-65 y.,No migration background,Yes,0.05939,375,7278,0.05396,0.06482
2015,46-65 y.,No migration background,No,0.93914,6903,7278,0.93365,0.94464
2015,46-65 y.,Direct migration background,Yes,0.04135,52,1425,0.03101,0.05170
2015,46-65 y.,Direct migration background,No,0.90813,1373,1425,0.89312,0.92313
2015,46-65 y.,Indirect migration background,No,0.93393,164,164,0.89580,0.97207
2015,66 and older,No migration background,Yes,0.12779,566,4448,0.11798,0.13760
2015,66 and older,No migration background,No,0.87181,3882,4448,0.86198,0.88163
2015,66 and older,Direct migration background,Yes,0.07948,43,431,0.05392,0.10505
2015,66 and older,Direct migration background,No,0.91289,388,431,0.88623,0.93954
2017,17-29 y.,No migration background,No,0.92585,2925,2925,0.91635,0.93535
2017,17-29 y.,Direct migration background,No,0.78624,614,614,0.75379,0.81869
