year,sampreg,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.03170,510,13477,0.02874,0.03465
2009,West,No,0.80616,12967,13477,0.79949,0.81284
2009,East,Yes,0.03296,168,4541,0.02776,0.03815
2009,East,No,0.83648,4373,4541,0.82572,0.84723
2011,West,Yes,0.03570,732,15840,0.03281,0.03859
2011,West,No,0.72464,15108,15840,0.71768,0.73159
2011,East,Yes,0.03513,209,4905,0.02998,0.04029
2011,East,No,0.76248,4696,4905,0.75057,0.77439
2013,West,Yes,0.04111,783,14414,0.03786,0.04435
2013,West,No,0.65557,13631,14414,0.64781,0.66332
2013,East,Yes,0.05067,259,4452,0.04423,0.05712
2013,East,No,0.73011,4193,4452,0.71707,0.74315
2015,West,Yes,0.04528,886,19787,0.04238,0.04818
2015,West,No,0.77570,18901,19787,0.76989,0.78151
2015,East,Yes,0.05315,275,5253,0.04708,0.05921
2015,East,No,0.79206,4978,5253,0.78108,0.80303
2017,West,Yes,0.04549,1000,20959,0.04266,0.04831
2017,West,No,0.78677,19959,20959,0.78123,0.79232
2017,East,Yes,0.05158,283,5590,0.04578,0.05738
2017,East,No,0.79088,5307,5590,0.78022,0.80154
2019,West,Yes,0.04892,1064,20103,0.04594,0.05190
2019,West,No,0.78024,19039,20103,0.77452,0.78597
2019,East,Yes,0.04944,312,5546,0.04373,0.05514
2019,East,No,0.79192,5234,5546,0.78124,0.80260
2021,West,Yes,0.05688,820,15317,0.05321,0.06055
2021,West,No,0.76547,14497,15317,0.75876,0.77218
2021,East,Yes,0.05262,228,3847,0.04556,0.05967
2021,East,No,0.77379,3619,3847,0.76057,0.78701
