"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","83.11","75.58","13699","82.29","83.93"
"1987","75.46","68.08","13521","74.71","76.21"
"1988","69.12","60.5","12866","68.4","69.84"
"1989","65.48","57.75","12420","64.75","66.21"
"1990","56.09","50.79","18290","55.5","56.68"
"1991","61.47","54.83","17778","60.91","62.03"
"1992","72.44","64.88","17035","71.87","73.01"
"1993","73.2","66.58","16753","72.63","73.77"
"1994","72.56","65.96","16447","71.98","73.14"
"1995","71.1","63.71","16933","70.55","71.65"
"1996","66.2","60.96","16543","65.69","66.71"
"1997","67.26","60.92","16204","66.74","67.78"
"1998","65.3","57.96","17608","64.81","65.79"
"1999","63.58","55.29","17214","63.09","64.07"
"2000","67.71","60.96","30121","67.29","68.13"
"2001","75.94","65.92","27325","75.44","76.44"
"2002","76.39","66.58","28230","75.84","76.94"
"2003","82.12","72.04","27016","81.52","82.72"
"2004","84.51","74.88","26284","83.9","85.12"
"2005","89.54","79.88","25245","88.87","90.21"
"2006","99.48","87.75","27007","98.75","100.21"
"2007","105.16","91.92","24998","104.36","105.96"
"2008","106.11","93.17","23369","105.28","106.94"
"2009","112.37","99.71","21847","111.48","113.26"
"2010","110.29","99.92","35001","109.62","110.96"
"2011","111.21","99.88","41953","110.6","111.82"
"2012","113.87","99.67","40449","113.22","114.52"
"2013","115.04","99.96","45720","114.44","115.64"
"2014","111.45","99.58","40465","110.79","112.11"
"2015","85.38","79.5","22425","84.61","86.15"
"2016","102.18","93.96","35876","101.54","102.82"
"2017","101.71","93.38","38467","101.09","102.33"
"2018","100.62","91.5","37258","100.02","101.22"
"2019","100.41","91.46","38029","99.73","101.09"
"2020","101.06","91.54","48580","100.44","101.68"
