"year","hhtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","(Ehe-)Paar ohne Kind(er)","78","70.17","1190","35","51","98","127.83","221.58","75.51","80.49","0","409","63.9166679382324","71"
"1986","1-Pers.- Haushalt","55.78","50.5","1060","21.33","35","71","102","170.42","53.66","57.9","0","409","51","51"
"1986","Alleinerziehende","82.2","71.08","278","36","51","102","149.17","213","76.27","88.13","0","426","66","76"
"1986","Paar mit Kind(ern)","90.69","84.62","2206","40","59.67","115","153","255.67","88.65","92.73","0","426","76","79"
"1986","Sonstige","90.63","83.12","230","25","51","115","166.17","255.67","83.06","98.2","0","421","76","92"
"1987","(Ehe-)Paar ohne Kind(er)","71.07","63.46","1181","33","47.33","85.25","112.5","204","68.75","73.39","0","426","61","65"
"1987","1-Pers.- Haushalt","54.1","50.5","1068","23","33","66","92","178","52.03","56.17","0","409","46","51"
"1987","Alleinerziehende","73.51","64.96","277","35","51","89","122","213","68.75","78.27","0","357","61","74"
"1987","Paar mit Kind(ern)","81.99","75.5","2171","38.33","51.17","102","132","213.33","80.08","83.9","0","490","71","76"
"1987","Sonstige","80.9","75","232","31","51","102","138.92","213","75.35","86.45","0","255.67","66","81"
"1988","(Ehe-)Paar ohne Kind(er)","66.39","60.5","1152","30","43","84","106.5","178.92","64.27","68.51","0","368","55.4166679382324","61"
"1988","1-Pers.- Haushalt","51.12","47.5","1018","18","30","63","85.25","170.42","49.01","53.23","0","485","46","51"
"1988","Alleinerziehende","67.19","60.33","270","35","51","80.92","110.75","178","62.55","71.83","0","404.75","51.1666679382324","63.9166679382324"
"1988","Paar mit Kind(ern)","74.69","65.5","2069","34.08","51","92","127.83","204","72.86","76.52","0","409","63.9166679382324","66"
"1988","Sonstige","68.52","63.46","197","21.33","38.33","80.92","110","213","61.51","75.53","0","510","56.5","70"
"1989","(Ehe-)Paar ohne Kind(er)","62.43","51.08","1146","25","39.67","76","104","213","60.09","64.77","0","447","51","55.4166679382324"
"1989","1-Pers.- Haushalt","50.08","45.5","1021","20","30","61","81","153","47.82","52.34","0","501","42.5833320617676","46.8333320617676"
"1989","Alleinerziehende","66.12","60.33","254","29","40","85.25","112","153.42","61.69","70.55","0","298.25","53","66"
"1989","Paar mit Kind(ern)","70.75","63.71","1972","30","46","89.5","117.17","204","68.98","72.52","0","510","61","63.9166679382324"
"1989","Sonstige","63.04","57.83","193","22.17","34.08","76.67","106.5","340.83","56.05","70.03","2.58","424","56","66"
"1990","(Ehe-)Paar ohne Kind(er)","54.37","50.79","1639","12","25.58","76","102","178","52.51","56.23","0","426","41.75","46"
"1990","1-Pers.- Haushalt","43","39.58","1313","10","23","53","81","150.83","41.37","44.63","0","281","33","38"
"1990","Alleinerziehende","54.51","49.38","383","15","27.67","72.42","102","153","50.91","58.11","0","204","40.9166679382324","51"
"1990","Paar mit Kind(ern)","59.3","51.08","3021","15","30","76.67","106.5","191.75","57.83","60.77","0","434","42.5833320617676","46"
"1990","Sonstige","58.34","50.25","307","14.92","25.58","76","106.5","289.75","53.36","63.32","0","426","42.5833320617676","51"
"1991","(Ehe-)Paar ohne Kind(er)","59.2","51.08","1624","17.08","34.08","76","102.25","170.42","57.49","60.91","0","298.25","51","51"
"1991","1-Pers.- Haushalt","46.16","42.5","1262","13","25","61","81","143","44.53","47.79","0","219","40","41"
"1991","Alleinerziehende","62.95","52.08","379","16","35","85.25","112","232.02","58.87","67.03","2","255.67","51","61"
"1991","Paar mit Kind(ern)","65.75","61.62","2936","20","38.33","85.25","117","170.42","64.39","67.11","0","296","51","55"
"1991","Sonstige","58.26","51.08","296","12.75","28","78","106.5","164","53.29","63.23","4.25","255.67","49.25","59.6666679382324"
"1992","(Ehe-)Paar ohne Kind(er)","69.2","63.46","1628","30","45","86","106.5","178","67.51","70.89","2.58","298.25","61","63.9166679382324"
"1992","1-Pers.- Haushalt","53.35","50.62","1235","23.42","35","67","86","153","51.7","55","1.25","213","49","51"
"1992","Alleinerziehende","74.28","64.96","374","34.08","51","93.75","127","178","70.48","78.08","4.25","255","61","74"
"1992","Paar mit Kind(ern)","78.24","75.92","2765","35","51.17","102","127.83","204","76.83","79.65","1.08","405","71","76"
"1992","Sonstige","71.44","63.96","298","24.33","42.58","94","127","178","67","75.88","4.25","204.5","63.9166679382324","76"
"1993","(Ehe-)Paar ohne Kind(er)","68.68","63.46","1651","30","46","85.25","110.75","170.42","66.96","70.4","0","463","61","63.9166679382324"
"1993","1-Pers.- Haushalt","55.54","50.5","1290","25","35","71","93.75","153","53.78","57.3","0","383.5","51","51"
"1993","Alleinerziehende","77.36","75.5","361","40","51","102","127","170.42","73.73","80.99","0","259","72","76"
"1993","Paar mit Kind(ern)","78.97","75.92","2670","38.33","51.17","102","127.83","204","77.56","80.38","0","255.67","76","76"
"1993","Sonstige","76.17","67.08","294","30","51","97","127","204","71.43","80.91","2.17","359","66","81"
"1994","(Ehe-)Paar ohne Kind(er)","67.56","63.54","1691","30","46.83","85.25","106.5","170.42","65.93","69.19","0","460","61","63.9166679382324"
"1994","1-Pers.- Haushalt","55.29","50.5","1299","25","35","69","92","153.42","53.72","56.86","2.17","255","51","51"
"1994","Alleinerziehende","74.5","69.67","349","35","51","92","127","170.42","70.82","78.18","4.5","225.83","61","76"
"1994","Paar mit Kind(ern)","78.76","75.71","2596","40","51.17","102","127.83","191.75","77.3","80.22","0","510","72.4166641235352","76"
"1994","Sonstige","78.6","70.96","292","30","51","102","136.33","213","73.58","83.62","3.83","357","63.9166679382324","76"
"1995","(Ehe-)Paar ohne Kind(er)","69.51","63.67","1745","34.92","49","85.25","106.5","178.92","67.88","71.14","0","455","61","63.9166679382324"
"1995","1-Pers.- Haushalt","54.39","50.5","1327","25","34.08","66.33","96","153","52.76","56.02","0","213","51","51"
"1995","Alleinerziehende","73.46","68.08","365","33","51","92","127","178","69.88","77.04","4.25","204","62.6666679382324","75"
"1995","Paar mit Kind(ern)","75.62","71.5","2665","35.75","51","95","127","178","74.24","77","0","255.67","69","76"
"1995","Sonstige","77.55","68.58","289","38","51","102","127.83","178","72.76","82.34","0","255.67","63.9166679382324","76.6666641235352"
"1996","(Ehe-)Paar ohne Kind(er)","64.6","59.33","1762","29.83","43","80.92","104","174.67","63.13","66.07","0","255.67","55.4166679382324","60"
"1996","1-Pers.- Haushalt","50.36","46.75","1349","23","31.92","61","81","152","48.93","51.79","0","213","46","50"
"1996","Alleinerziehende","66.08","60.5","373","30","43","79","109","170.42","62.75","69.41","4.25","204","53","63"
"1996","Paar mit Kind(ern)","70.74","63.46","2565","34.08","51","85.25","115","178","69.44","72.04","0","255.67","61","63.9166679382324"
"1996","Sonstige","72.06","64.42","264","40","51","89","115","170.42","68.1","76.02","4.25","184","61","71"
"1997","(Ehe-)Paar ohne Kind(er)","64.34","56.5","1792","30","42.58","80.5","106","170.42","62.87","65.81","2.75","255.67","52","57.5"
"1997","1-Pers.- Haushalt","50.55","46.42","1315","21.33","30","63","81","153","48.98","52.12","2.17","240","46","51"
"1997","Alleinerziehende","66.64","60.5","374","35","51","78","102","191.75","63.42","69.86","5.33","213","53","63"
"1997","Paar mit Kind(ern)","72.5","63.46","2473","35","51","89.5","117","178","71.17","73.83","2.58","255.67","63.9166679382324","64.75"
"1997","Sonstige","80.11","74.5","266","40","51.17","102.25","127.83","191.75","75.79","84.43","5.08","191.75","63.9166679382324","76"
"1998","(Ehe-)Paar ohne Kind(er)","64.04","57.04","2036","30","42.58","76.67","106.5","163","62.68","65.4","2","255.67","51.1666679382324","58"
"1998","1-Pers.- Haushalt","49.9","44.88","1593","24","30","61","84","150","48.53","51.27","0","255.67","42.5833320617676","46"
"1998","Alleinerziehende","64.26","54","429","30","43","76","102","170.42","61.41","67.11","10","184","51","61"
"1998","Paar mit Kind(ern)","69.88","63.58","2650","34.08","48","85.25","110.75","178","68.6","71.16","2.17","357","61","63.9166679382324"
"1998","Sonstige","71.8","59.25","251","35","46","85.25","127.83","178.92","67.22","76.38","4.25","204.5","51.1666679382324","63.9166679382324"
"1999","(Ehe-)Paar ohne Kind(er)","61.64","55.21","2053","30","42.58","76","102","153.42","60.34","62.94","0","314","51.1666679382324","55.4166679382324"
"1999","1-Pers.- Haushalt","49.19","42.29","1535","23","30","59.67","81","149.17","47.76","50.62","0","255.67","42.5833320617676","46"
"1999","Alleinerziehende","60.5","51.08","429","30","40","76","102","153","57.62","63.38","3.42","184","51","55.4166679382324"
"1999","Paar mit Kind(ern)","68.76","61.88","2628","34.08","46.83","85.25","107","178.92","67.46","70.06","0","276.92","61","63.9166679382324"
"1999","Sonstige","67.72","63.46","159","26","46","85.25","110.75","156","62.93","72.51","8.5","156","63.9166679382324","76"
"2000","(Ehe-)Paar ohne Kind(er)","66.9","59.33","3756","30","43","85.25","106.5","191.42","65.77","68.03","0","485","56","61"
"2000","1-Pers.- Haushalt","51.21","45.5","3052","23","30","61","85.67","166","50.08","52.34","0","510","45","46.8333320617676"
"2000","Alleinerziehende","63.38","51.08","729","30","42.58","76","106.5","178","61.01","65.75","9","340.83","51","57"
"2000","Paar mit Kind(ern)","73.22","63.46","4396","35","51","89.5","123.75","204","72.12","74.32","0","409","63.9166679382324","63.9166679382324"
"2000","Sonstige","71.9","63.46","309","30","47","85.25","122","204","67.39","76.41","0","319.58","63.9166679382324","76"
"2001","(Ehe-)Paar ohne Kind(er)","75.12","63.58","3405","34.08","51","92.92","127.83","213","73.78","76.46","0","426","63.9166679382324","66"
"2001","1-Pers.- Haushalt","55.85","50.83","2717","25","34.08","69","101","170.42","54.63","57.07","0","319.58","51","51"
"2001","Alleinerziehende","69.53","60.33","675","33","43.92","85.25","119.33","178","66.77","72.29","10","319.58","56","63.9166679382324"
"2001","Paar mit Kind(ern)","82","75.92","3987","40","51","102","132","225.83","80.7","83.3","0","383.5","76","76"
"2001","Sonstige","87.12","76.33","276","42","51.17","110.75","144.83","221.58","81.67","92.57","4.25","332.33","76.6666641235352","85.25"
"2002","(Ehe-)Paar ohne Kind(er)","76.95","66.33","3689","35","50","100","126","208.33","75.49","78.41","0","625","66.6666641235352","71"
"2002","1-Pers.- Haushalt","56.4","49.5","2697","25","35","70","100","175","55.1","57.7","0","375","50","50"
"2002","Alleinerziehende","71.04","59.5","676","30","45","92","125","174","68.03","74.05","8.33","400","60","66.6666641235352"
