"year","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","Ostdeutschland","","","","",""
"1986","Westdeutschland","83.11","75.58","13699","82.29","83.93"
"1987","Ostdeutschland","","","","",""
"1987","Westdeutschland","75.46","68.08","13521","74.71","76.21"
"1988","Ostdeutschland","","","","",""
"1988","Westdeutschland","69.12","60.5","12866","68.4","69.84"
"1989","Ostdeutschland","","","","",""
"1989","Westdeutschland","65.48","57.75","12420","64.75","66.21"
"1990","Ostdeutschland","21.62","17.04","6019","21.22","22.02"
"1990","Westdeutschland","64.77","55.71","12271","64.04","65.5"
"1991","Ostdeutschland","33.14","24.88","5614","32.41","33.87"
"1991","Westdeutschland","68.74","63.62","12164","68.09","69.39"
"1992","Ostdeutschland","71.8","66.04","5199","70.82","72.78"
"1992","Westdeutschland","72.61","63.46","11836","71.92","73.3"
"1993","Ostdeutschland","74.9","71.58","4967","73.9","75.9"
"1993","Westdeutschland","72.77","65.58","11786","72.08","73.46"
"1994","Ostdeutschland","72.64","67.58","4861","71.66","73.62"
"1994","Westdeutschland","72.55","64.83","11586","71.84","73.26"
"1995","Ostdeutschland","69.98","63.58","4658","69.03","70.93"
"1995","Westdeutschland","71.37","63.71","12275","70.7","72.04"
"1996","Ostdeutschland","65.63","60.5","4566","64.7","66.56"
"1996","Westdeutschland","66.33","59.83","11977","65.72","66.94"
"1997","Ostdeutschland","66.71","60.92","4472","65.75","67.67"
"1997","Westdeutschland","67.38","60.67","11732","66.77","67.99"
"1998","Ostdeutschland","63.23","57.29","4650","62.31","64.15"
"1998","Westdeutschland","65.77","57.96","12958","65.19","66.35"
"1999","Ostdeutschland","61.91","55.21","4559","60.99","62.83"
"1999","Westdeutschland","63.95","55.29","12655","63.37","64.53"
"2000","Ostdeutschland","63.47","55.71","7005","62.7","64.24"
"2000","Westdeutschland","68.66","60.96","23116","68.17","69.15"
"2001","Ostdeutschland","69.91","60.75","6462","68.96","70.86"
"2001","Westdeutschland","77.29","67.96","20863","76.71","77.87"
"2002","Ostdeutschland","71.2","61.71","6357","70.14","72.26"
"2002","Westdeutschland","77.55","68.25","21873","76.92","78.18"
"2003","Ostdeutschland","77.03","68.67","6199","75.88","78.18"
"2003","Westdeutschland","83.24","74.62","20817","82.54","83.94"
"2004","Ostdeutschland","78.37","69.58","6029","77.19","79.55"
"2004","Westdeutschland","85.86","75.92","20255","85.15","86.57"
"2005","Ostdeutschland","82.93","73.17","5815","81.61","84.25"
"2005","Westdeutschland","91","79.88","19430","90.22","91.78"
"2006","Ostdeutschland","89.56","79.58","6194","88.16","90.96"
"2006","Westdeutschland","101.65","89.62","20813","100.81","102.49"
"2007","Ostdeutschland","96.33","83.17","5774","94.65","98.01"
"2007","Westdeutschland","107.09","99.96","19224","106.18","108"
"2008","Ostdeutschland","95.21","83.17","5512","93.51","96.91"
"2008","Westdeutschland","108.47","99.75","17857","107.52","109.42"
"2009","Ostdeutschland","101.05","87.25","5317","99.29","102.81"
"2009","Westdeutschland","114.94","99.71","16530","113.91","115.97"
"2010","Ostdeutschland","98.93","84.88","7500","97.47","100.39"
"2010","Westdeutschland","112.7","99.92","27501","111.95","113.45"
"2011","Ostdeutschland","102.17","89.5","8750","100.86","103.48"
"2011","Westdeutschland","113.09","99.88","33203","112.4","113.78"
"2012","Ostdeutschland","104.99","89.58","8505","103.62","106.36"
"2012","Westdeutschland","115.69","99.67","31944","114.96","116.42"
"2013","Ostdeutschland","104.37","93.46","8544","103.01","105.73"
"2013","Westdeutschland","117.23","99.96","37176","116.56","117.9"
"2014","Ostdeutschland","100.34","89.79","7882","98.97","101.71"
"2014","Westdeutschland","113.76","99.58","32583","113.02","114.5"
"2015","Ostdeutschland","79.49","71.5","4672","77.85","81.13"
"2015","Westdeutschland","86.88","79.5","17753","86.01","87.75"
"2016","Ostdeutschland","93.45","83.17","7067","92.12","94.78"
"2016","Westdeutschland","103.97","99.88","28809","103.25","104.69"
"2017","Ostdeutschland","93.86","83.17","7693","92.55","95.17"
"2017","Westdeutschland","103.27","99.92","30774","102.57","103.97"
"2018","Ostdeutschland","95.49","83.17","7641","94.21","96.77"
"2018","Westdeutschland","101.66","96.88","29617","100.98","102.34"
"2019","Ostdeutschland","95.34","83.17","7967","93.87","96.81"
"2019","Westdeutschland","101.43","91.46","29967","100.65","102.21"
"2020","Ostdeutschland","92.8","83.17","8917","91.38","94.22"
"2020","Westdeutschland","102.72","98.83","39663","102.04","103.4"
