"year","hhtyp","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","82","69.67","478","29.83","51","102","153","292","77.27","86.73","0","409","63.9166679382324","74.5833358764648"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","76.85","70.67","1902","35","51","97","127.83","204.5","74.99","78.71","0","392","63.9166679382324","70"
"1986","1-Pers.- Haushalt","Laendlicher Raum","54.68","50","169","12","33","63.92","106.5","194","48.79","60.57","0","213","46","51"
"1986","1-Pers.- Haushalt","Staedtischer Raum","56.04","50.5","891","23","35","71","102","170.42","53.78","58.3","0","409","51","51"
"1986","Alleinerziehende","Laendlicher Raum","79.17","67.08","147","28","42.58","102","157.67","204","71.71","86.63","0","204","63","78.8333358764648"
"1986","Alleinerziehende","Staedtischer Raum","87.45","74","557","40","56","106.5","153","213","83.06","91.84","5.08","426","76","76"
"1986","Paar mit Kind(ern)","Laendlicher Raum","92.04","84.62","1862","34.08","57.08","119.33","153","340.83","89.54","94.54","0","421.83","84","85.25"
"1986","Paar mit Kind(ern)","Staedtischer Raum","91.24","84.62","6815","42.58","61","117","153","234.33","90.12","92.36","0","426","76","76"
"1986","Sonstige","Laendlicher Raum","93.06","83.12","294","8.5","43","127.83","178.92","255.67","86.06","100.06","0","255.67","85.25","102"
"1986","Sonstige","Staedtischer Raum","98.03","82.12","584","40","53","127.83","170.42","328.08","93.11","102.95","0","421","76","91"
"1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","73.72","61.5","494","29","46.83","92","127","255.67","69.42","78.02","0","409","56","63.9166679382324"
"1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","70.28","63.46","1868","34.08","48","85.25","107.33","178","68.54","72.02","0","426","61","66"
"1987","1-Pers.- Haushalt","Laendlicher Raum","58.93","50.29","168","20","35","68.17","106.5","204","51.55","66.31","0","409","46","51"
"1987","1-Pers.- Haushalt","Staedtischer Raum","53.06","50.5","900","23","33","66","92","163","51.02","55.1","0","332","46","51"
"1987","Alleinerziehende","Laendlicher Raum","65.21","63.5","167","34.08","42.58","80.92","102","153","60.41","70.01","4.25","170.42","58","71"
"1987","Alleinerziehende","Staedtischer Raum","79.98","71.5","536","40","51","102","127.83","213","76.39","83.57","0","357","67.3333358764648","76"
"1987","Paar mit Kind(ern)","Laendlicher Raum","82.14","75","1798","38.33","51.17","102","127.83","213","80.12","84.16","0","379.17","76","76"
"1987","Paar mit Kind(ern)","Staedtischer Raum","82.7","75.5","6653","38","51.17","102","136.33","221.58","81.58","83.82","0","490","71","76"
"1987","Sonstige","Laendlicher Raum","82.43","82.5","277","29.83","51.17","102.25","123.58","213","77.57","87.29","0","213","76.6666641235352","85.25"
"1987","Sonstige","Staedtischer Raum","86.39","76.33","660","38.33","51.17","102.25","149.17","213","83.05","89.73","3.83","255.67","76","81"
"1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","68.07","60.33","470","25","42.58","85.25","115","255.67","63.97","72.17","0","368","55.4166679382324","63.9166679382324"
