"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","Laendlicher Raum","85.23","75.29","2950","83.25","87.21"
"1986","Staedtischer Raum","82.41","75.58","10749","81.52","83.3"
"1987","Laendlicher Raum","76.77","68.71","2904","75.15","78.39"
"1987","Staedtischer Raum","75.04","68.08","10617","74.19","75.89"
"1988","Laendlicher Raum","69.42","63.88","2717","67.85","70.99"
"1988","Staedtischer Raum","69.03","60.5","10149","68.21","69.85"
"1989","Laendlicher Raum","65.32","58.83","2574","63.87","66.77"
"1989","Staedtischer Raum","65.54","57.29","9846","64.7","66.38"
"1990","Laendlicher Raum","46.78","36.62","6435","45.96","47.6"
"1990","Staedtischer Raum","60.53","51.08","11725","59.76","61.3"
"1991","Laendlicher Raum","55.97","50.83","6236","55.05","56.89"
"1991","Staedtischer Raum","64.24","59.58","11407","63.55","64.93"
"1992","Laendlicher Raum","72.24","65.5","5806","71.32","73.16"
"1992","Staedtischer Raum","72.37","63.96","11050","71.65","73.09"
"1993","Laendlicher Raum","74.12","68.08","5795","73.2","75.04"
"1993","Staedtischer Raum","72.77","65.58","10958","72.05","73.49"
"1994","Laendlicher Raum","73.18","65.96","5702","72.26","74.1"
"1994","Staedtischer Raum","72.28","64.79","10745","71.54","73.02"
"1995","Laendlicher Raum","70.65","63.58","5874","69.77","71.53"
"1995","Staedtischer Raum","71.32","63.71","11059","70.61","72.03"
"1996","Laendlicher Raum","66.71","60.5","5739","65.85","67.57"
"1996","Staedtischer Raum","65.96","59.33","10804","65.33","66.59"
"1997","Laendlicher Raum","69.38","63.5","5617","68.5","70.26"
"1997","Staedtischer Raum","66.28","59.54","10586","65.64","66.92"
"1998","Laendlicher Raum","67.17","60.5","6144","66.35","67.99"
"1998","Staedtischer Raum","64.42","55.96","11464","63.81","65.03"
"1999","Laendlicher Raum","63.57","55.21","6071","62.77","64.37"
"1999","Staedtischer Raum","63.59","55.29","11143","62.96","64.22"
"2000","Laendlicher Raum","68.11","60.96","10442","67.42","68.8"
"2000","Staedtischer Raum","67.52","59.33","19679","66.99","68.05"
"2001","Laendlicher Raum","78.04","68.08","9439","77.19","78.89"
"2001","Staedtischer Raum","74.97","63.75","17886","74.36","75.58"
"2002","Laendlicher Raum","78.64","69.79","9450","77.75","79.53"
"2002","Staedtischer Raum","75.34","65.92","18780","74.65","76.03"
"2003","Laendlicher Raum","85.79","77.92","8975","84.73","86.85"
"2003","Staedtischer Raum","80.43","69.79","18041","79.7","81.16"
"2004","Laendlicher Raum","86.41","79.58","8736","85.36","87.46"
"2004","Staedtischer Raum","83.64","74.79","17548","82.88","84.4"
"2005","Laendlicher Raum","92.79","83.29","8369","91.58","94"
"2005","Staedtischer Raum","88.06","79.88","16876","87.25","88.87"
"2006","Laendlicher Raum","103.9","92.92","9214","102.62","105.18"
"2006","Staedtischer Raum","97.41","84.79","17793","96.53","98.29"
"2007","Laendlicher Raum","107.78","99.96","8482","106.42","109.14"
"2007","Staedtischer Raum","103.94","91.54","16516","102.95","104.93"
"2008","Laendlicher Raum","107.27","94.71","7988","105.86","108.68"
"2008","Staedtischer Raum","105.56","91.83","15381","104.53","106.59"
"2009","Laendlicher Raum","113.76","99.71","7643","112.27","115.25"
"2009","Staedtischer Raum","111.7","99.58","14204","110.59","112.81"
"2010","Laendlicher Raum","111.36","99.92","12175","110.28","112.44"
"2010","Staedtischer Raum","109.8","99.92","22826","108.95","110.65"
"2011","Laendlicher Raum","114.88","99.88","14993","113.87","115.89"
"2011","Staedtischer Raum","109.46","99.75","26960","108.7","110.22"
"2012","Laendlicher Raum","118.42","99.5","14641","117.35","119.49"
"2012","Staedtischer Raum","111.71","99.67","25808","110.9","112.52"
"2013","Laendlicher Raum","120.97","101.33","15346","119.91","122.03"
"2013","Staedtischer Raum","112.21","99.96","30374","111.48","112.94"
"2014","Laendlicher Raum","116.26","99.5","14006","115.17","117.35"
"2014","Staedtischer Raum","109.17","99.58","26459","108.35","109.99"
"2015","Laendlicher Raum","85.5","79.5","6641","84.07","86.93"
"2015","Staedtischer Raum","85.34","79.5","15784","84.43","86.25"
"2016","Laendlicher Raum","103.67","99.88","12469","102.64","104.7"
"2016","Staedtischer Raum","101.48","91.58","23407","100.67","102.29"
"2017","Laendlicher Raum","102.83","99.92","13454","101.82","103.84"
"2017","Staedtischer Raum","101.19","91.58","25013","100.41","101.97"
"2018","Laendlicher Raum","101.95","98.92","12836","100.94","102.96"
"2018","Staedtischer Raum","100.02","91.5","24422","99.27","100.77"
"2019","Laendlicher Raum","102.27","99.58","12870","101.13","103.41"
"2019","Staedtischer Raum","99.43","89.96","24404","98.56","100.3"
"2020","Laendlicher Raum","103.38","99.75","15216","102.3","104.46"
"2020","Staedtischer Raum","99.99","89.92","33364","99.24","100.74"
