"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","69.98","63.46","6720","30","46","86","119.33","178","69.08","70.88","0","455","63.9166679382324","68"
"1995","2","68.73","63.67","4757","30","47.42","85.25","110.75","172.17","67.75","69.71","0","255.67","63.9166679382324","67"
"1995","3","","","","","","","","","","","","","",""
"1995","4","","","","","","","","","","","","","",""
"1995","5 Einkommensstärkstes Quintil","82.01","76.33","796","36.25","51.17","102.25","127.83","213","78.98","85.04","0","383.5","75","76.6666641235352"
"1996","1 Einkommensschwächstes Quintil","64.93","55.71","6037","26","42.58","81","106.5","178","64.06","65.8","0","242.83","61","61"
"1996","2","65.23","59.83","4749","30","42.58","85.25","106.5","169.75","64.31","66.15","0","214","59.6666679382324","61"
"1996","3","63.86","59.33","3034","30","42.58","76.67","102.25","170.42","62.75","64.97","0","234.33","59.6666679382324","61"
"1996","4","","","","","","","","","","","","","",""
"1996","5 Einkommensstärkstes Quintil","75.31","69.5","913","34.08","51","95.42","127.83","204","72.93","77.69","4.25","255.67","68.1666641235352","76"
"1997","1 Einkommensschwächstes Quintil","65.51","58.5","5716","30","42.58","81","106.5","170.42","64.67","66.35","3","255.67","61","61"
"1997","2","65.53","57.75","4612","30","42.58","79","106.5","178","64.57","66.49","3.42","240","61","61"
"1997","3","67","60.5","3142","30","46.17","85.25","106.5","184","65.86","68.14","2.58","255.67","61","62"
"1997","4","","","","","","","","","","","","","",""
"1997","5 Einkommensstärkstes Quintil","76.68","72.21","909","29.83","51","102","127.83","213","74.01","79.35","4.25","255.67","68.1666641235352","76"
"1998","1 Einkommensschwächstes Quintil","63.38","55.21","6040","25.58","40","76.67","102.25","170.42","62.57","64.19","2","234.33","55.4166679382324","58"
"1998","2","62.87","54.83","4842","30","40.5","76","103","157.67","61.94","63.8","0","357","55.4166679382324","59.6666679382324"
"1998","3","64.56","58.92","3387","30","43","81","102.25","158","63.49","65.63","4.25","255.67","58","61"
"1998","4","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1999","1 Einkommensschwächstes Quintil","61.98","51.08","5010","29.67","40","76.67","102","153.42","61.08","62.88","4.08","255.67","53","56"
"1999","2","61.71","51.08","5095","29.83","40","76","102.25","168","60.82","62.6","0","276.92","55.4166679382324","59.0833320617676"
"1999","3","63.77","55.96","3532","30","42.58","77","106.5","156","62.72","64.82","0","213","57.5","61"
"1999","4","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2000","1 Einkommensschwächstes Quintil","63.93","54.08","8133","25.58","40","76.67","106.5","191.75","63.13","64.73","0","510","56","59"
"2000","2","65.54","59.46","8240","30","42.58","81","106.5","170.42","64.77","66.31","0","409","61","61"
"2000","3","69.16","61.54","6433","32","46","85.25","110.75","191.75","68.28","70.04","0","485","63.9166679382324","63.9166679382324"
"2000","4","68.7","60.96","4547","30","46","85.25","113","191.42","67.61","69.79","0","409","63.6666679382324","63.9166679382324"
"2000","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2001","1 Einkommensschwächstes Quintil","71.64","60.5","6900","30","46","90.33","127","213","70.67","72.61","0","340.83","63.9166679382324","63.9166679382324"
"2001","2","74.49","63.46","7259","34.08","51","91","127.83","213","73.55","75.43","0","383.5","66.5","71"
"2001","3","75.6","65.5","6015","34.08","51","102","127.83","213","74.6","76.6","0","426","67","70"
"2001","4","76.84","68.08","4413","34.08","51","98","127.83","219","75.59","78.09","0","332.33","72.4166641235352","76"
"2001","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2002","1 Einkommensschwächstes Quintil","72.11","59.5","5784","30","45.83","95","125","208.33","70.96","73.26","0","700","62.5","66.6666641235352"
"2002","2","73.4","66.38","6171","33.33","50","97","125","185.58","72.47","74.33","0","258","68.3333358764648","70"
"2002","3","74.26","66.33","5636","33.33","50","95.83","125","208.33","73.18","75.34","0","366.67","66.6666641235352","70"
"2002","4","77.72","69.17","5495","33.33","50","100","125","213.83","76.42","79.02","0","700","75","75"
"2002","5 Einkommensstärkstes Quintil","94.1","83.17","5144","40","51","125","166.67","283.33","92.55","95.65","0","625","87.5","91.6666641235352"
"2003","1 Einkommensschwächstes Quintil","77.28","69.5","5407","33.33","50","100","125","220","76.03","78.53","0","723","70","70"
"2003","2","78.97","69.92","5659","37.5","50","100","133.33","233.33","77.81","80.13","0","366.67","70","75"
"2003","3","80.99","71.83","5835","36.33","50","100","140","211.67","79.78","82.2","0","700","75","75"
"2003","4","84.02","74.62","5482","36","50","100","150","250","82.69","85.35","0","458.33","80","83.3333358764648"
"2003","5 Einkommensstärkstes Quintil","96.78","83.25","4633","41.67","58.33","125","166.67","291.67","95.02","98.54","0","750","91.6666641235352","98.6666641235352"
"2004","1 Einkommensschwächstes Quintil","78.46","69.5","5212","35","50","100","130","237","77.18","79.74","0","400","70","75"
"2004","2","82.25","74.88","5538","40","50","100","137","225","81.09","83.41","0","500","75","80"
"2004","3","81.78","74.83","5558","37.5","50","100","135","208.33","80.6","82.96","0","563.33","77","80"
"2004","4","86.8","79.67","5403","40","50","103.33","150","250","85.46","88.14","8.33","500","82.9166641235352","83.3333358764648"
"2004","5 Einkommensstärkstes Quintil","101.99","87.38","4573","41.67","60","125","175","300","100.15","103.83","0","666.67","95.8333358764648","100"
"2005","1 Einkommensschwächstes Quintil","82.33","74.5","5051","35","50","100","145","245","80.94","83.72","0","500","78","80"
"2005","2","85.03","79.58","5148","40","55","100","141.67","250","83.76","86.3","0","666.67","80","83"
"2005","3","88.5","79.58","5223","40","54","108.33","150","250","87.23","89.77","0","500","80","83.3333358764648"
"2005","4","92.38","83.17","5230","40","55","116.67","160","250","91.01","93.75","0","450","83.3333358764648","90"
"2005","5 Einkommensstärkstes Quintil","106.88","99.67","4593","45.83","66.67","126.67","181","333.33","104.83","108.93","10","750","100","100"
"2006","1 Einkommensschwächstes Quintil","88.47","79.58","5424","40","50","108.33","155","250","87.01","89.93","0","833.25","80","83.3333358764648"
"2006","2","97.16","83.17","5538","41.67","60","120","166.67","291.67","95.7","98.62","0","416.67","84","90"
"2006","3","99.6","91.33","5553","49","65","125","166.67","276","98.22","100.98","0","489.17","93","100"
"2006","4","100.29","89.5","5735","44.42","60","125","166.67","266.67","98.73","101.85","0","583.33","100","100"
"2006","5 Einkommensstärkstes Quintil","121.01","99.67","4757","50","70","150","208.33","350","118.87","123.15","0","900","110","116.666664123535"
"2007","1 Einkommensschwächstes Quintil","96.53","83.17","4600","40","56","120","175","290","94.68","98.38","0","666.67","83.3333358764648","90"
"2007","2","102.9","91.33","5066","47","65","125","170","300","101.33","104.47","0","530","91.6666641235352","100"
"2007","3","102.49","91.83","5204","48","66.67","125","166.67","291.67","101","103.98","0","500","99","100"
"2007","4","106.18","99.92","5440","50","66.67","133.33","175","300","104.56","107.8","0","630","100","100"
"2007","5 Einkommensstärkstes Quintil","124.07","107.5","4687","50","75","158.33","208.33","400","121.79","126.35","0","900","117.416664123535","125"
"2008","1 Einkommensschwächstes Quintil","94.26","79.58","3988","40","56","113","166.67","300","92.48","96.04","0","580","83.3333358764648","90"
"2008","2","104.05","91.33","4410","46","66.67","130","167","291.67","102.33","105.77","0","700","94.1666641235352","100"
"2008","3","103.58","93.67","5032","47.75","67","125","166.67","291.67","102.02","105.14","4.17","541.67","98","100"
"2008","4","107.11","99.67","5221","50","66.67","140","179.17","291.67","105.45","108.77","0","750","100","100"
"2008","5 Einkommensstärkstes Quintil","126.44","108.17","4718","50","75","158.33","208.33","400","124.13","128.75","0","930","116.666664123535","120"
"2009","1 Einkommensschwächstes Quintil","100.87","89","3509","40","60","125","180.25","300","98.75","102.99","0","716.67","90","98"
"2009","2","107.96","99","4021","45","65","146","191.67","300","106.09","109.83","0","625","100","100"
"2009","3","108.06","99.5","4605","50","70","133.33","191.67","273","106.3","109.82","10","458.33","100","100"
"2009","4","116.57","99.58","5067","50","70","150","200","333.33","114.78","118.36","11.67","666.67","100","103.583335876465"
"2009","5 Einkommensstärkstes Quintil","128.99","109.75","4645","50","79.17","166.67","225","380","126.76","131.22","0","666.67","125","125"
"2010","1 Einkommensschwächstes Quintil","97.34","83.17","7641","40","58.33","125","166.67","298","96.03","98.65","0.08","450","95","100"
"2010","2","103.79","94.58","7809","46","66.67","126","166.67","291.67","102.5","105.08","0","500","100","100"
"2010","3","108.21","99.5","6692","48","69","140","183","280","106.83","109.59","0","558.33","100","100"
