"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Laendlicher Raum","Westdeutschland","85.23","75.29","2950","25","51","106.5","153","292","83.25","87.21","0","421.83","76","84"
"1986","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Staedtischer Raum","Westdeutschland","82.41","75.58","10749","34.08","51","102.25","145","234.33","81.52","83.3","0","426","76","76"
"1987","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Laendlicher Raum","Westdeutschland","76.77","68.71","2904","30.67","51","95.83","127.83","213","75.15","78.39","0","409","68.1666641235352","76"
"1987","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Staedtischer Raum","Westdeutschland","75.04","68.08","10617","30","51","93.75","127.83","213","74.19","75.89","0","490","66","69"
"1988","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Laendlicher Raum","Westdeutschland","69.42","63.88","2717","27.67","42.58","85.25","119.33","191.75","67.85","70.99","0","368","61","63.9166679382324"
"1988","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Staedtischer Raum","Westdeutschland","69.03","60.5","10149","28","42.58","85.25","119.33","204","68.21","69.85","0","510","61","63"
"1989","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Laendlicher Raum","Westdeutschland","65.32","58.83","2574","25","40","85.25","112","213","63.87","66.77","0","256","59.6666679382324","61"
"1989","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Staedtischer Raum","Westdeutschland","65.54","57.29","9846","25.58","40","83","106.5","206.67","64.7","66.38","0","510","59.6666679382324","61"
"1990","Laendlicher Raum","Ostdeutschland","22.36","18.67","3894","8.5","12","29.83","42.58","76","21.87","22.85","0","127.83","20","20"
"1990","Laendlicher Raum","Westdeutschland","63.58","55.71","2541","25","37.25","85.25","106.5","178","62.07","65.09","0","289.75","53","59.6666679382324"
"1990","Staedtischer Raum","Ostdeutschland","20.03","16.58","1995","8","12","23","35","63","19.34","20.72","2.58","255","17.0833339691162","19"
"1990","Staedtischer Raum","Westdeutschland","65.13","55.71","9730","25","40.92","81","107","191.75","64.29","65.97","0","434","56","59.6666679382324"
"1991","Laendlicher Raum","Ostdeutschland","32.08","24.88","3665","10","14.92","42.58","63.92","137","31.19","32.97","0","204","25","25.5833339691162"
"1991","Laendlicher Raum","Westdeutschland","72.37","65.12","2571","30","46.83","89","127","204","70.91","73.83","0","298.25","63.9166679382324","67"
"1991","Staedtischer Raum","Ostdeutschland","34.77","24.21","1817","10","14.92","51","76","129","33.48","36.06","2","165","25","25.5833339691162"
"1991","Staedtischer Raum","Westdeutschland","67.61","60.92","9590","29.83","42.58","85.25","112","170.42","66.88","68.34","0","296","63","63.9166679382324"
"1992","Laendlicher Raum","Ostdeutschland","68.56","63.46","3293","25.58","42.58","86","115","157.67","67.36","69.76","1.08","255.67","65","71"
"1992","Laendlicher Raum","Westdeutschland","74.61","68.08","2513","31.92","51","93.75","127","189","73.19","76.03","1.67","298.25","63.9166679382324","68.1666641235352"
"1992","Staedtischer Raum","Ostdeutschland","75.67","75","1747","34.08","51","100","123.58","178","74.01","77.33","8.5","255.67","76","76.6666641235352"
"1992","Staedtischer Raum","Westdeutschland","71.98","63.46","9303","30","47","93.75","125","178","71.19","72.77","1.25","405","63.9166679382324","66"
"1993","Laendlicher Raum","Ostdeutschland","72.85","68.08","3254","31","46.83","92","119.33","178","71.61","74.09","0","213","72.4166641235352","76"
"1993","Laendlicher Raum","Westdeutschland","74.98","67.75","2541","34.08","51","95.83","127.83","189","73.63","76.33","0","298.25","68.1666641235352","76"
"1993","Staedtischer Raum","Ostdeutschland","78.52","75.5","1713","35.75","51","99","127","178","76.86","80.18","12.75","255.67","76","84"
"1993","Staedtischer Raum","Westdeutschland","72.08","63.96","9245","30","47","92","127","204","71.29","72.87","0","463","66","69"
"1994","Laendlicher Raum","Ostdeutschland","71.58","65.96","3181","30","51","89","119.33","178","70.36","72.8","0","255.67","68.1666641235352","72.4166641235352"
"1994","Laendlicher Raum","Westdeutschland","74.23","68.08","2521","34.08","51","85.75","127","213","72.83","75.63","0","276.92","66","71.5"
"1994","Staedtischer Raum","Ostdeutschland","74.5","71.5","1680","35","51","92","127","178","72.84","76.16","0","204","73","76"
"1994","Staedtischer Raum","Westdeutschland","72.02","63.71","9065","33","49","92","127","178.92","71.2","72.84","0","510","66","68.1666641235352"
"1995","Laendlicher Raum","Ostdeutschland","69.76","63.58","3117","34.08","51","85.25","107","170.42","68.57","70.95","0","255.67","66","69"
"1995","Laendlicher Raum","Westdeutschland","71.21","63.5","2757","31.92","51","85.25","115","178","69.89","72.53","0","383.5","63.9166679382324","66"
"1995","Staedtischer Raum","Ostdeutschland","70.4","65.5","1541","34.08","51","87","111","170.42","68.81","71.99","4.25","189","68.1666641235352","74"
"1995","Staedtischer Raum","Westdeutschland","71.42","63.71","9518","30","46.83","92","127","179.92","70.64","72.2","0","455","66","68.1666641235352"
"1996","Laendlicher Raum","Ostdeutschland","64.73","60.5","3007","30","42.58","76.67","106.5","170.42","63.56","65.9","4.25","255.67","61","63.9166679382324"
"1996","Laendlicher Raum","Westdeutschland","67.91","63.46","2732","30","46.83","85.25","106.5","184","66.66","69.16","0","255.67","61","63.9166679382324"
"1996","Staedtischer Raum","Ostdeutschland","67.2","60.5","1559","30","46","81","106.5","178","65.65","68.75","7","204","61.3333320617676","65"
"1996","Staedtischer Raum","Westdeutschland","65.82","58.92","9245","30","42.58","85.25","106.5","170.42","65.13","66.51","0","242.83","59.6666679382324","61"
"1997","Laendlicher Raum","Ostdeutschland","67.63","62.5","2967","33","46.83","85.25","106.5","170.42","66.42","68.84","6.42","255.67","63.9166679382324","63.9166679382324"
"1997","Laendlicher Raum","Westdeutschland","70.47","63.46","2650","31","48","85.25","119.33","178","69.18","71.76","4.08","228.42","62","63.9166679382324"
"1997","Staedtischer Raum","Ostdeutschland","65.03","59.33","1505","30","45","78","105","153","63.5","66.56","7","240","61","63"
"1997","Staedtischer Raum","Westdeutschland","66.42","59.54","9081","30","42.58","85.25","106.5","181","65.72","67.12","2.17","255.67","59.6666679382324","61"
"1998","Laendlicher Raum","Ostdeutschland","64.56","59.96","3126","28","42.58","81","102.25","170.42","63.43","65.69","2","255.67","60","62"
"1998","Laendlicher Raum","Westdeutschland","68.79","60.5","3018","34.08","46.83","85.25","109","191.75","67.59","69.99","4.83","255.67","61","63.9166679382324"
"1998","Staedtischer Raum","Ostdeutschland","60.63","51.08","1524","25","40","76","102","153","59.09","62.17","2","213","56","61"
"1998","Staedtischer Raum","Westdeutschland","64.81","55.96","9940","30","42.58","80.92","106.5","170.42","64.15","65.47","0","357","55.4166679382324","59"
"1999","Laendlicher Raum","Ostdeutschland","62.21","56.92","3071","29.83","42.58","76.67","102","156","61.09","63.33","0","255.67","59.6666679382324","61"
"1999","Laendlicher Raum","Westdeutschland","64.39","54.71","3000","30","42.58","85.25","106.5","153.42","63.24","65.54","2.17","276.92","56","61"
"1999","Staedtischer Raum","Ostdeutschland","61.33","51.08","1488","25","40","76.67","102","178.92","59.7","62.96","3.42","213","55.4166679382324","61"
"1999","Staedtischer Raum","Westdeutschland","63.82","55.29","9655","29.83","41","76.67","106.5","170.42","63.14","64.5","0","314","55.4166679382324","58"
"2000","Laendlicher Raum","Ostdeutschland","63.53","58.5","4734","30","43","80","102","170.42","62.63","64.43","0","234.33","59.6666679382324","61"
"2000","Laendlicher Raum","Westdeutschland","71","63.46","5708","34.08","47","85.25","117","204","69.99","72.01","0","485","63.9166679382324","63.9166679382324"
"2000","Staedtischer Raum","Ostdeutschland","63.36","51.58","2271","25","40","78","106.5","178","61.92","64.8","0","215","55","59.6666679382324"
"2000","Staedtischer Raum","Westdeutschland","67.93","60.83","17408","30","42.58","85.25","113","194","67.37","68.49","0","510","61","63"
"2001","Laendlicher Raum","Ostdeutschland","71.37","63.46","4363","34.08","46.83","88","119.33","204","70.23","72.51","0","311","63.9166679382324","68.1666641235352"
"2001","Laendlicher Raum","Westdeutschland","82.14","75.92","5076","40","51","102.25","136.33","234.33","80.91","83.37","0","426","76","76.6666641235352"
"2001","Staedtischer Raum","Ostdeutschland","67.05","55.71","2099","25","40","85.25","119","204","65.32","68.78","1","298.25","61","63"
"2001","Staedtischer Raum","Westdeutschland","75.75","63.96","15787","33","50","98","127.83","214","75.09","76.41","0","426","67","71"
"2002","Laendlicher Raum","Ostdeutschland","73.74","64.58","4271","33.33","50","91.67","125","216.67","72.46","75.02","0","333.33","67","71"
"2002","Laendlicher Raum","Westdeutschland","81.65","74.96","5179","40","50","100","125","250","80.43","82.87","0","400","75","80"
"2002","Staedtischer Raum","Ostdeutschland","66.2","54.58","2086","25","40","83","116.67","202","64.3","68.1","1","416.67","60","64"
"2002","Staedtischer Raum","Westdeutschland","76.24","66.58","16694","33.33","50","100","130","208.33","75.5","76.98","0","700","75","75"
"2003","Laendlicher Raum","Ostdeutschland","81.72","74.5","4150","36","50","100","141.67","208.33","80.29","83.15","0.08","458.33","75","80"
"2003","Laendlicher Raum","Westdeutschland","88.36","79.58","4825","41","52","108.33","150","233.33","86.83","89.89","0","750","83.3333358764648","83.3333358764648"
"2003","Staedtischer Raum","Ostdeutschland","67.59","59.5","2049","30","41","82","116.67","250","65.7","69.48","0","291.67","62","66.6666641235352"
"2003","Staedtischer Raum","Westdeutschland","81.67","70.71","15992","35","50","100","141.67","250","80.88","82.46","0","723","78","80"
"2004","Laendlicher Raum","Ostdeutschland","82.06","74.83","3982","35","50","100","133.33","245","80.59","83.53","0","563.33","75","80"
"2004","Laendlicher Raum","Westdeutschland","89","81.46","4754","41.67","58.33","108.33","150","250","87.52","90.48","0","500","83.3333358764648","83.3333358764648"
"2004","Staedtischer Raum","Ostdeutschland","71.41","59.58","2047","29","41.67","90","130","216.67","69.45","73.37","0","333.33","65","70"
"2004","Staedtischer Raum","Westdeutschland","84.87","74.79","15501","40","50","100","150","250","84.06","85.68","0","666.67","80","80"
"2005","Laendlicher Raum","Ostdeutschland","86.93","79.58","3852","40","52.08","111","145.83","250","85.24","88.62","0","583.33","82","83.3333358764648"
"2005","Laendlicher Raum","Westdeutschland","96.29","83.29","4517","41.67","60","120","166.67","250","94.58","98","0","750","87.5","91.6666641235352"
"2005","Staedtischer Raum","Ostdeutschland","75.49","64.5","1963","30","45","100","133.33","250","73.42","77.56","2","316.67","70","77"
"2005","Staedtischer Raum","Westdeutschland","89.34","79.88","14913","40","54","108.33","150","252","88.47","90.21","0","666.67","83.3333358764648","83.3333358764648"
"2006","Laendlicher Raum","Ostdeutschland","94.04","83.17","4138","38","55","125","166.67","250","92.29","95.79","0","450","90","93.3333358764648"
"2006","Laendlicher Raum","Westdeutschland","109.71","99.79","5076","50","68","137.08","179","333.33","107.89","111.53","0","833.25","100","100"
"2006","Staedtischer Raum","Ostdeutschland","80.92","69.5","2056","30","47","100","150","250","78.64","83.2","0","375","75","80"
"2006","Staedtischer Raum","Westdeutschland","99.05","87.38","15737","44","60","123","166.67","291.67","98.11","99.99","0","900","94.1666641235352","100"
"2007","Laendlicher Raum","Ostdeutschland","98.98","87.25","3821","42","60","125","166.67","291.67","97.05","100.91","0","530","94","100"
"2007","Laendlicher Raum","Westdeutschland","112.93","99.96","4661","50","74","141.67","190","325","111.05","114.81","0","750","100","104"
"2007","Staedtischer Raum","Ostdeutschland","91.36","70.42","1953","30","50","116","166.67","381.67","88.14","94.58","0","819.33","80","86"
"2007","Staedtischer Raum","Westdeutschland","105.2","91.92","14563","50","65","130","180","300","104.16","106.24","0","900","100","100"
"2008","Laendlicher Raum","Ostdeutschland","97.41","83.17","3630","41.67","60","123","166.67","250","95.41","99.41","0","580","91.6666641235352","98.3333358764648"
"2008","Laendlicher Raum","Westdeutschland","112.87","99","4358","50","70","141.67","183.33","333.33","110.91","114.83","0","833.25","100","100"
"2008","Staedtischer Raum","Ostdeutschland","91.18","75.58","1882","30","50","116.67","166.67","325","88.01","94.35","5","691.5","80","89"
"2008","Staedtischer Raum","Westdeutschland","107.02","99.75","13499","50","66.67","133.33","182","300","105.94","108.1","0","930","100","100"
"2009","Laendlicher Raum","Ostdeutschland","105.74","91.83","3513","45","65","133.33","183.33","300","103.54","107.94","8.33","516.67","100","100"
"2009","Laendlicher Raum","Westdeutschland","118.57","99.71","4130","50","75","150","200","300","116.55","120.59","0","666.67","108.333335876465","116.666664123535"
"2009","Staedtischer Raum","Ostdeutschland","92.21","75.5","1804","36","50","116.67","166.67","316.67","89.35","95.07","5","500","83.3333358764648","90"
"2009","Staedtischer Raum","Westdeutschland","113.74","99.58","12400","50","68.17","150","200","333.33","112.54","114.94","0","716.67","100","100"
"2010","Laendlicher Raum","Ostdeutschland","102.45","91.33","4846","41.67","60","130","166.67","291.67","100.75","104.15","0","666.67","99","100"
"2010","Laendlicher Raum","Westdeutschland","116.23","99.58","7329","50","75","150","200","300","114.85","117.61","0","750","100","108.333335876465"
"2010","Staedtischer Raum","Ostdeutschland","92.65","72.75","2654","33.33","50","120","166.67","350","89.95","95.35","0.08","558.33","90","91.0833358764648"
"2010","Staedtischer Raum","Westdeutschland","111.53","99.92","20172","50","69","141.67","192","316.67","110.64","112.42","0","833.25","100","100"
"2011","Laendlicher Raum","Ostdeutschland","107.16","99.58","5629","46","66","140","180.42","291.67","105.54","108.78","0","756","100","100"
"2011","Laendlicher Raum","Westdeutschland","118.92","99.88","9364","50","75","150","200","333.33","117.63","120.21","0","458.33","100.166664123535","108.333335876465"
"2011","Staedtischer Raum","Ostdeutschland","93.08","79.58","3121","40","50","117","166.67","291.67","90.85","95.31","0","558.33","90","100"
"2011","Staedtischer Raum","Westdeutschland","111.08","99.58","23839","50","70","140","200","325","110.27","111.89","0","750","100","100"
"2012","Laendlicher Raum","Ostdeutschland","108.5","99.5","5519","47.5","66","140","191.67","300","106.81","110.19","0","800","100","100"
"2012","Laendlicher Raum","Westdeutschland","123.61","108.17","9122","50","76","158.33","208.33","333.33","122.23","124.99","0","666.67","110","116.666664123535"
"2012","Staedtischer Raum","Ostdeutschland","98.49","79.75","2986","40","56","120","170","333.33","96.18","100.8","0","566.67","91","100"
"2012","Staedtischer Raum","Westdeutschland","112.99","99.67","22822","50","70","143.17","200","333.33","112.13","113.85","0","708.33","100","100"
"2013","Laendlicher Raum","Ostdeutschland","108.33","99","5465","45.83","66.67","135.58","185","291.67","106.62","110.04","0","666.67","100","100"
