,Unnamed: 0,year,bula_h,sampreg,ple0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2011,Schleswig-Holstein,West,Yes,0.19502,128,20723,0.16574,0.22596
1,1,2011,Schleswig-Holstein,West,No,0.80498,523,20723,0.74506,0.87292
2,2,2011,Hamburg,West,Yes,0.20525,61,20723,0.17353,0.24113
3,3,2011,Hamburg,West,No,0.79475,250,20723,0.70054,0.88359
4,4,2011,Lower Saxony,West,Yes,0.19061,345,20723,0.17439,0.20669
5,5,2011,Lower Saxony,West,No,0.80939,1563,20723,0.77291,0.84201
6,6,2011,Bremen,West,No,1.0,104,20723,0.8172,1.16212
7,7,2011,North Rhine-Westphalia,West,Yes,0.21106,803,20723,0.19982,0.22291
8,8,2011,North Rhine-Westphalia,West,No,0.78894,3328,20723,0.76297,0.81162
9,9,2011,Hesse,West,Yes,0.1975,273,20723,0.18056,0.21792
10,10,2011,Hesse,West,No,0.8025,1136,20723,0.75825,0.84932
11,11,2011,"Rhineland-Palatinate, Saarland",West,Yes,0.20732,244,20723,0.18918,0.2267
12,12,2011,"Rhineland-Palatinate, Saarland",West,No,0.79268,962,20723,0.75029,0.84628
13,13,2011,Baden-Wuerttemberg,West,Yes,0.22206,513,20723,0.20297,0.2404
14,14,2011,Baden-Wuerttemberg,West,No,0.77794,1973,20723,0.74759,0.81731
15,15,2011,Bavaria,West,Yes,0.20184,622,20723,0.18556,0.21698
16,16,2011,Bavaria,West,No,0.79816,2562,20723,0.76684,0.82337
17,17,2011,Berlin,West,Yes,0.21822,87,20723,0.1812,0.25348
18,18,2011,Berlin,West,No,0.78178,341,20723,0.70595,0.85013
19,19,2011,Berlin,East,Yes,0.21365,78,20723,0.18236,0.24983
20,20,2011,Berlin,East,No,0.78635,275,20723,0.70505,0.86096
21,21,2011,Brandenburg,East,Yes,0.20382,182,20723,0.17484,0.2357
22,22,2011,Brandenburg,East,No,0.79618,700,20723,0.73256,0.85095
23,23,2011,Mecklenburg-Western Pomerania,East,Yes,0.22493,102,20723,0.19004,0.26266
24,24,2011,Mecklenburg-Western Pomerania,East,No,0.77507,413,20723,0.71203,0.8403
25,25,2011,Saxony,East,Yes,0.21627,285,20723,0.19869,0.2352
26,26,2011,Saxony,East,No,0.78373,1119,20723,0.73627,0.83795
27,27,2011,Saxony-Anhalt,East,Yes,0.20866,180,20723,0.18833,0.23305
28,28,2011,Saxony-Anhalt,East,No,0.79134,687,20723,0.72104,0.85529
29,29,2011,Thuringa,East,Yes,0.17822,169,20723,0.16152,0.19551
30,30,2011,Thuringa,East,No,0.82178,715,20723,0.76551,0.87949
31,31,2013,Schleswig-Holstein,West,Yes,0.23449,118,18847,0.19789,0.27355
32,32,2013,Schleswig-Holstein,West,No,0.76551,475,18847,0.70009,0.82365
33,33,2013,Hamburg,West,Yes,0.19793,55,18847,0.16169,0.23107
34,34,2013,Hamburg,West,No,0.80207,254,18847,0.69734,0.89032
35,35,2013,Lower Saxony,West,Yes,0.21915,353,18847,0.20125,0.23655
36,36,2013,Lower Saxony,West,No,0.78085,1422,18847,0.74283,0.81754
37,37,2013,Bremen,West,No,1.0,99,18847,0.78411,1.19479
38,38,2013,North Rhine-Westphalia,West,Yes,0.23161,765,18847,0.2172,0.24645
39,39,2013,North Rhine-Westphalia,West,No,0.76839,2953,18847,0.74582,0.79376
40,40,2013,Hesse,West,Yes,0.22093,283,18847,0.19533,0.24107
41,41,2013,Hesse,West,No,0.77907,1007,18847,0.72957,0.82599
42,42,2013,"Rhineland-Palatinate, Saarland",West,Yes,0.22725,250,18847,0.20062,0.25232
43,43,2013,"Rhineland-Palatinate, Saarland",West,No,0.77275,848,18847,0.72171,0.82058
44,44,2013,Baden-Wuerttemberg,West,Yes,0.24193,455,18847,0.22295,0.25963
45,45,2013,Baden-Wuerttemberg,West,No,0.75807,1668,18847,0.72225,0.79872
46,46,2013,Bavaria,West,Yes,0.21398,588,18847,0.19822,0.22892
47,47,2013,Bavaria,West,No,0.78602,2359,18847,0.75543,0.81754
48,48,2013,Berlin,West,Yes,0.20775,95,18847,0.17757,0.24148
49,49,2013,Berlin,West,No,0.79225,348,18847,0.71761,0.87309
50,50,2013,Berlin,East,Yes,0.21883,67,18847,0.18194,0.26259
51,51,2013,Berlin,East,No,0.78117,258,18847,0.69368,0.87159
52,52,2013,Brandenburg,East,Yes,0.21988,176,18847,0.19754,0.25266
53,53,2013,Brandenburg,East,No,0.78012,604,18847,0.72465,0.84496
54,54,2013,Mecklenburg-Western Pomerania,East,Yes,0.22545,90,18847,0.18507,0.26597
55,55,2013,Mecklenburg-Western Pomerania,East,No,0.77455,364,18847,0.70323,0.85417
56,56,2013,Saxony,East,Yes,0.20323,278,18847,0.18301,0.21998
57,57,2013,Saxony,East,No,0.79677,1057,18847,0.73783,0.85256
58,58,2013,Saxony-Anhalt,East,Yes,0.21261,165,18847,0.18741,0.23941
59,59,2013,Saxony-Anhalt,East,No,0.78739,594,18847,0.71348,0.85288
60,60,2013,Thuringa,East,Yes,0.1719,147,18847,0.15125,0.19365
61,61,2013,Thuringa,East,No,0.8281,652,18847,0.76596,0.8961
62,62,2015,Schleswig-Holstein,West,Yes,0.19728,150,25013,0.16748,0.23164
63,63,2015,Schleswig-Holstein,West,No,0.80272,724,25013,0.73481,0.86815
64,64,2015,Hamburg,West,Yes,0.22387,74,25013,0.17708,0.26595
65,65,2015,Hamburg,West,No,0.77613,352,25013,0.68233,0.88062
66,66,2015,Lower Saxony,West,Yes,0.20992,402,25013,0.19007,0.23113
67,67,2015,Lower Saxony,West,No,0.79008,2019,25013,0.74606,0.82342
68,68,2015,Bremen,West,No,1.0,145,25013,0.75943,1.17999
69,69,2015,North Rhine-Westphalia,West,Yes,0.20692,861,25013,0.19334,0.22082
70,70,2015,North Rhine-Westphalia,West,No,0.79308,4304,25013,0.76482,0.81891
71,71,2015,Hesse,West,Yes,0.17605,291,25013,0.15703,0.19689
72,72,2015,Hesse,West,No,0.82395,1414,25013,0.77736,0.87184
73,73,2015,"Rhineland-Palatinate, Saarland",West,Yes,0.21934,293,25013,0.19658,0.24344
74,74,2015,"Rhineland-Palatinate, Saarland",West,No,0.78066,1203,25013,0.72606,0.82961
75,75,2015,Baden-Wuerttemberg,West,Yes,0.2099,517,25013,0.19145,0.23023
76,76,2015,Baden-Wuerttemberg,West,No,0.7901,2468,25013,0.75322,0.82548
77,77,2015,Bavaria,West,Yes,0.18827,644,25013,0.17364,0.2018
78,78,2015,Bavaria,West,No,0.81173,3383,25013,0.78105,0.8477
79,79,2015,Berlin,West,Yes,0.20735,102,25013,0.16745,0.24429
80,80,2015,Berlin,West,No,0.79265,414,25013,0.72429,0.86309
