year,bula_h,ple0021,proportion,n,lower_confidence,upper_confidence
2011,Nordrhein-Westfalen,2.0,0.1604241986020728,28898,0.1561927694520686,0.16465562775207698
2011,Bayern,2.0,0.1234996384671005,28898,0.11970621723291265,0.12729305970128837
2011,Baden-Wuerttemberg,2.0,0.09510725476018318,28898,0.09172483459947843,0.09848967492088793
2011,Niedersachsen,2.0,0.07534345625451916,28898,0.07230022348922308,0.07838668901981524
2011,Hessen,2.0,0.05476018317666908,28898,0.052137018063625626,0.05738334828971253
2011,Sachsen,2.0,0.05394070860448301,28898,0.05133611674210404,0.05654530046686198
2011,"Rheinland-Pfalz,Saarland",2.0,0.04637261990841166,28898,0.043948007349684896,0.04879723246713843
2011,Nordrhein-Westfalen,1.0,0.03870812243914196,28898,0.0364840400696411,0.040932204808642826
2011,Thueringen,2.0,0.034466136418414076,28898,0.03236283151465094,0.03656944132217721
2011,Brandenburg,2.0,0.033743070619426364,28898,0.03166116619030175,0.03582497504855098
2011,Sachsen-Anhalt,2.0,0.03311641359363702,28898,0.0310532630396316,0.035179564147642436
2011,Bayern,1.0,0.029983128464690288,28898,0.02801682613049375,0.031949430798886826
2011,Berlin,2.0,0.029693902145095204,28898,0.027736814862545468,0.031650989427644945
2011,Schleswig-Holstein,2.0,0.025210894191371416,28898,0.023403421949860902,0.02701836643288193
2011,Baden-Wuerttemberg,1.0,0.02472885032537961,28898,0.022938298772588763,0.026519401878170454
2011,Mecklenburg-Vorpommern,2.0,0.019908411665461558,28898,0.018297863137699086,0.02151896019322403
2011,Niedersachsen,1.0,0.016630513376717282,28898,0.01515605210418791,0.018104974649246652
2011,Sachsen,1.0,0.01373825018076645,28898,0.012396152939924828,0.01508034742160807
2011,Hessen,1.0,0.013159797541576283,28898,0.011845873682870423,0.014473721400282143
2011,Hamburg,2.0,0.012051096649795132,28898,0.010793032738245643,0.01330916056134462
2011,"Rheinland-Pfalz,Saarland",1.0,0.011761870330200049,28898,0.010518812954468049,0.013004927705932048
2011,Brandenburg,1.0,0.008773198361050855,28898,0.007698002285423458,0.009848394436678252
2011,Sachsen-Anhalt,1.0,0.008676789587852495,28898,0.007607465504082005,0.009746113671622985
2011,Thueringen,1.0,0.008146541335261508,28898,0.007110129015547908,0.009182953654975108
2011,Berlin,1.0,0.007953723788864787,28898,0.006929550615098498,0.008977896962631076
2011,Schleswig-Holstein,1.0,0.006170161484695107,28898,0.0052672889144756,0.007073034054914615
2011,Bremen,2.0,0.005013256206314775,28898,0.004198944317629022,0.005827568095000528
2011,Mecklenburg-Vorpommern,1.0,0.004916847433116414,28898,0.004110364407605295,0.005723330458627532
2011,Hamburg,1.0,0.002940467582550012,28898,0.0023161710527493965,0.0035647641123506277
2011,Bremen,1.0,0.0010604965051819715,28898,0.0006852243056369614,0.0014357687047269817
2013,Nordrhein-Westfalen,2.0,0.15652496554648573,31177,0.15249160696107014,0.16055832413190133
2013,Bayern,2.0,0.1250397540549136,31177,0.12136813913607256,0.12871136897375465
2013,Baden-Wuerttemberg,2.0,0.08841301812784905,31177,0.08526167222688949,0.0915643640288086
2013,Niedersachsen,2.0,0.07537368811618785,31177,0.07244325430220906,0.07830412193016663
2013,Sachsen,2.0,0.05602671472490194,31177,0.05347391737476824,0.058579512075035645
2013,Hessen,2.0,0.053376444397328526,31177,0.05088126150749667,0.055871627287160386
2013,"Rheinland-Pfalz,Saarland",2.0,0.044948584755645074,31177,0.04264867763846152,0.047248491872828625
2013,Nordrhein-Westfalen,1.0,0.04054913601187321,31177,0.0383596555123229,0.04273861651142352
2013,Thueringen,2.0,0.034559525071557295,31177,0.032531909845854474,0.036587140297260116
2013,Berlin,2.0,0.03212127637018976,31177,0.030164028728502306,0.034078524011877206
2013,Brandenburg,2.0,0.03201526555708682,31177,0.03006114335846962,0.033969387755704024
2013,Sachsen-Anhalt,2.0,0.03148521149157214,31177,0.029546802812999054,0.03342362017014523
2013,Bayern,1.0,0.031167179052263332,31177,0.02923826854281189,0.033096089561714774
2013,Schleswig-Holstein,2.0,0.025177568111947417,31177,0.023438532174829056,0.02691660404906578
