,Unnamed: 0,year,age_gr,sex,ple0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2011,17-29 y.,male,Yes,0.01531,31,20745,0.01129,0.02046
1,1,2011,17-29 y.,male,No,0.98469,1432,20745,0.93766,1.03486
2,2,2011,17-29 y.,female,Yes,0.03501,40,20745,0.02471,0.04581
3,3,2011,17-29 y.,female,No,0.96499,1491,20745,0.92233,1.01423
4,4,2011,30-45 y.,male,Yes,0.06822,147,20745,0.0562,0.08003
5,5,2011,30-45 y.,male,No,0.93178,2046,20745,0.88918,0.98103
6,6,2011,30-45 y.,female,Yes,0.07679,191,20745,0.06585,0.0894
7,7,2011,30-45 y.,female,No,0.92321,2472,20745,0.88363,0.9629
8,8,2011,46-65 y.,male,Yes,0.18887,699,20745,0.17591,0.201
9,9,2011,46-65 y.,male,No,0.81113,2976,20745,0.7797,0.83548
10,10,2011,46-65 y.,female,Yes,0.26768,1014,20745,0.25349,0.2835
11,11,2011,46-65 y.,female,No,0.73232,3086,20745,0.70947,0.75638
12,12,2011,66 and older,male,Yes,0.32241,765,20745,0.30529,0.34002
13,13,2011,66 and older,male,No,0.67759,1693,20745,0.65276,0.70267
14,14,2011,66 and older,female,Yes,0.46082,1207,20745,0.43891,0.48086
15,15,2011,66 and older,female,No,0.53918,1455,20745,0.51985,0.55843
16,16,2013,17-29 y.,male,No,1.0,1203,18808,0.94937,1.05436
17,17,2013,17-29 y.,female,No,1.0,1275,18808,0.94839,1.06191
18,18,2013,30-45 y.,male,Yes,0.06687,133,18808,0.05489,0.07909
19,19,2013,30-45 y.,male,No,0.93313,1684,18808,0.87065,0.98275
20,20,2013,30-45 y.,female,Yes,0.0745,164,18808,0.06189,0.08818
21,21,2013,30-45 y.,female,No,0.9255,2092,18808,0.88328,0.97319
22,22,2013,46-65 y.,male,Yes,0.198,637,18808,0.1849,0.21024
23,23,2013,46-65 y.,male,No,0.802,2760,18808,0.7785,0.83432
24,24,2013,46-65 y.,female,Yes,0.27912,1013,18808,0.26183,0.2954
25,25,2013,46-65 y.,female,No,0.72088,2910,18808,0.69866,0.75397
26,26,2013,66 and older,male,Yes,0.3151,732,18808,0.2982,0.33373
27,27,2013,66 and older,male,No,0.6849,1656,18808,0.66104,0.71318
28,28,2013,66 and older,female,Yes,0.46914,1167,18808,0.45258,0.48988
29,29,2013,66 and older,female,No,0.53086,1382,18808,0.51125,0.55107
