"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2001","1 Einkommensschwächstes Quintil","2.78","1.5","7248","1","2","4","5","7","2.75","2.81","1","7","2","2"
"2001","2","3.18","2.5","7623","2","2","4","5","7","3.15","3.21","1","7","3","3"
"2001","3","3.58","2.5","6297","2","2","5","6","7","3.54","3.62","1","7","3","3"
"2001","4","3.93","3.5","4625","2","3","5","6","7","3.89","3.97","1","7","4","4"
"2001","5 Einkommensstärkstes Quintil","4.56","4.5","2855","2","3","6","7","7","4.51","4.61","1","7","5","5"
"2002","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2002","2","","","","","","","","","","","","","",""
"2002","3","","","","","","","","","","","","","",""
"2002","4","","","","","","","","","","","","","",""
"2002","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2003","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2003","2","","","","","","","","","","","","","",""
"2003","3","","","","","","","","","","","","","",""
"2003","4","","","","","","","","","","","","","",""
"2003","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2004","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2004","2","","","","","","","","","","","","","",""
"2004","3","","","","","","","","","","","","","",""
"2004","4","","","","","","","","","","","","","",""
"2004","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2005","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2005","2","","","","","","","","","","","","","",""
"2005","3","","","","","","","","","","","","","",""
"2005","4","","","","","","","","","","","","","",""
"2005","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2006","1 Einkommensschwächstes Quintil","2.76","1.5","5688","1","2","4","5","7","2.72","2.8","1","7","2","3"
"2006","2","3.19","2.5","5921","2","2","4","5","7","3.15","3.23","1","7","3","3"
"2006","3","3.55","2.5","5883","2","2","5","6","7","3.51","3.59","1","7","3","4"
"2006","4","3.91","3.5","6047","2","3","5","6","7","3.87","3.95","1","7","4","4"
"2006","5 Einkommensstärkstes Quintil","4.62","4.5","5037","2","3","6","7","7","4.58","4.66","1","7","5","5"
"2007","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2007","2","","","","","","","","","","","","","",""
"2007","3","","","","","","","","","","","","","",""
"2007","4","","","","","","","","","","","","","",""
"2007","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2008","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2008","2","","","","","","","","","","","","","",""
"2008","3","","","","","","","","","","","","","",""
"2008","4","","","","","","","","","","","","","",""
"2008","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2009","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2009","2","","","","","","","","","","","","","",""
"2009","3","","","","","","","","","","","","","",""
"2009","4","","","","","","","","","","","","","",""
"2009","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2010","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2010","2","","","","","","","","","","","","","",""
"2010","3","","","","","","","","","","","","","",""
"2010","4","","","","","","","","","","","","","",""
"2010","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2011","1 Einkommensschwächstes Quintil","2.86","2.5","4304","1","2","4","5","7","2.82","2.9","1","7","3","3"
"2011","2","3.22","2.5","4663","2","2","4","5","7","3.18","3.26","1","7","3","3"
"2011","3","3.58","2.5","5185","2","2","5","6","7","3.54","3.62","1","7","3","4"
"2011","4","3.86","3.5","6491","2","3","5","6","7","3.82","3.9","1","7","4","4"
"2011","5 Einkommensstärkstes Quintil","4.58","4.5","6134","2","3","6","7","7","4.54","4.62","1","7","5","5"
"2012","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2012","2","","","","","","","","","","","","","",""
"2012","3","","","","","","","","","","","","","",""
"2012","4","","","","","","","","","","","","","",""
"2012","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2013","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2013","2","","","","","","","","","","","","","",""
"2013","3","","","","","","","","","","","","","",""
"2013","4","","","","","","","","","","","","","",""
"2013","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2014","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2014","2","","","","","","","","","","","","","",""
"2014","3","","","","","","","","","","","","","",""
"2014","4","","","","","","","","","","","","","",""
"2014","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2015","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2015","2","","","","","","","","","","","","","",""
"2015","3","","","","","","","","","","","","","",""
"2015","4","","","","","","","","","","","","","",""
"2015","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2016","1 Einkommensschwächstes Quintil","2.67","1.5","4967","1","2","4","5","6","2.63","2.71","1","7","2","2"
"2016","2","2.94","2.5","6173","1","2","4","5","7","2.9","2.98","1","7","3","3"
"2016","3","3.31","2.5","6784","2","2","4","5","7","3.28","3.34","1","7","3","3"
"2016","4","3.66","3.5","9253","2","2","5","6","7","3.63","3.69","1","7","4","4"
"2016","5 Einkommensstärkstes Quintil","4.27","3.5","9524","2","3","5","6","7","4.24","4.3","1","7","5","5"
