year,age_gr,quintil_oecd,plh0105,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,1st Quintile,Very important,0.21981,78,250,0.16838,0.27125
1990,17-29 y.,1st Quintile,Important,0.50666,172,250,0.44457,0.56876
1990,17-29 y.,2nd Quintile,Very important,0.20889,86,319,0.16421,0.25357
1990,17-29 y.,2nd Quintile,Important,0.59067,233,319,0.53663,0.64472
1990,17-29 y.,3rd Quintile,Very important,0.17875,85,378,0.14007,0.21742
1990,17-29 y.,3rd Quintile,Important,0.63058,254,378,0.58186,0.67930
1990,17-29 y.,3rd Quintile,Less important,0.09673,39,378,0.06689,0.12657
1990,17-29 y.,4th Quintile,Very important,0.21114,119,494,0.17511,0.24717
1990,17-29 y.,4th Quintile,Important,0.63234,317,494,0.58978,0.67491
1990,17-29 y.,4th Quintile,Less important,0.11529,58,494,0.08710,0.14348
1990,17-29 y.,5th Quintile,Very important,0.21847,80,356,0.17548,0.26145
1990,17-29 y.,5th Quintile,Important,0.61379,235,356,0.56314,0.66444
1990,17-29 y.,5th Quintile,Less important,0.12672,41,356,0.09212,0.16133
1990,30-45 y.,1st Quintile,Very important,0.17944,60,247,0.13149,0.22739
1990,30-45 y.,1st Quintile,Important,0.55985,187,247,0.49782,0.62188
1990,30-45 y.,2nd Quintile,Very important,0.21219,109,432,0.17359,0.25079
1990,30-45 y.,2nd Quintile,Important,0.59523,280,432,0.54889,0.64158
1990,30-45 y.,2nd Quintile,Less important,0.09598,43,432,0.06817,0.12379
1990,30-45 y.,3rd Quintile,Very important,0.19769,89,409,0.15905,0.23634
1990,30-45 y.,3rd Quintile,Important,0.61259,283,409,0.56532,0.65986
1990,30-45 y.,3rd Quintile,Less important,0.08544,37,409,0.05832,0.11256
1990,30-45 y.,4th Quintile,Very important,0.15428,64,391,0.11843,0.19013
1990,30-45 y.,4th Quintile,Important,0.70721,294,391,0.66205,0.75237
1990,30-45 y.,4th Quintile,Less important,0.08266,33,391,0.05533,0.10999
1990,30-45 y.,5th Quintile,Very important,0.17411,104,539,0.14207,0.20616
1990,30-45 y.,5th Quintile,Important,0.67603,370,539,0.63649,0.71558
1990,30-45 y.,5th Quintile,Less important,0.12386,65,539,0.09602,0.15169
1990,46-65 y.,1st Quintile,Very important,0.20820,71,266,0.15931,0.25708
1990,46-65 y.,1st Quintile,Important,0.60173,195,266,0.54279,0.66068
1990,46-65 y.,2nd Quintile,Very important,0.17373,64,297,0.13057,0.21689
1990,46-65 y.,2nd Quintile,Important,0.65500,233,297,0.60084,0.70916
1990,46-65 y.,3rd Quintile,Very important,0.18648,81,386,0.14757,0.22538
1990,46-65 y.,3rd Quintile,Important,0.67268,305,386,0.62581,0.71955
1990,46-65 y.,4th Quintile,Very important,0.19392,109,536,0.16042,0.22742
1990,46-65 y.,4th Quintile,Important,0.65445,373,536,0.61415,0.69474
1990,46-65 y.,4th Quintile,Less important,0.10415,54,536,0.07827,0.13004
1990,46-65 y.,5th Quintile,Very important,0.21662,130,606,0.18379,0.24944
