year,migback,plh0105,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Very important,0.13954,1438,6610,0.13118,0.14789
1990,No migration background,Important,0.44112,4464,6610,0.42915,0.45309
1990,No migration background,Less important,0.06836,652,6610,0.06227,0.07444
1990,No migration background,Unimportant,0.00640,56,6610,0.00448,0.00832
1990,Direct migration background,Very important,0.11224,114,441,0.08275,0.14174
1990,Direct migration background,Important,0.29745,288,441,0.25474,0.34017
1990,Direct migration background,Less important,0.04389,39,441,0.02475,0.06303
1992,No migration background,Very important,0.19078,2468,10298,0.18319,0.19837
1992,No migration background,Important,0.53929,6704,10298,0.52967,0.54892
1992,No migration background,Less important,0.08937,1038,10298,0.08386,0.09488
1992,No migration background,Unimportant,0.00884,88,10298,0.00703,0.01065
1992,Direct migration background,Very important,0.13740,153,570,0.10911,0.16568
1992,Direct migration background,Important,0.31735,365,570,0.27910,0.35559
1992,Direct migration background,Less important,0.04479,52,570,0.02779,0.06179
1992,Indirect migration background,Important,0.05650,43,43,-0.01333,0.12633
1995,No migration background,Very important,0.20178,2596,9921,0.19388,0.20968
1995,No migration background,Important,0.54500,6466,9921,0.53520,0.55480
1995,No migration background,Less important,0.07105,795,9921,0.06600,0.07611
1995,No migration background,Unimportant,0.00615,64,9921,0.00461,0.00769
1995,Direct migration background,Very important,0.20235,366,1107,0.17868,0.22603
1995,Direct migration background,Important,0.37557,676,1107,0.34702,0.40411
1995,Direct migration background,Less important,0.04840,65,1107,0.03575,0.06105
1995,Indirect migration background,Very important,0.06430,47,119,0.02004,0.10855
1995,Indirect migration background,Important,0.08147,72,119,0.03211,0.13083
2004,No migration background,Very important,0.20874,4610,18213,0.20284,0.21464
2004,No migration background,Important,0.56232,12039,18213,0.55511,0.56952
2004,No migration background,Less important,0.07388,1473,18213,0.07008,0.07768
2004,No migration background,Unimportant,0.00509,91,18213,0.00405,0.00612
2004,Direct migration background,Very important,0.29686,788,2508,0.27897,0.31474
2004,Direct migration background,Important,0.56963,1528,2508,0.55025,0.58901
2004,Direct migration background,Less important,0.08199,192,2508,0.07125,0.09273
2004,Indirect migration background,Very important,0.12932,251,783,0.10581,0.15284
2004,Indirect migration background,Important,0.25392,477,783,0.22342,0.28443
2004,Indirect migration background,Less important,0.03011,55,783,0.01813,0.04208
2008,No migration background,Very important,0.20267,4065,16598,0.19656,0.20879
2008,No migration background,Important,0.57375,11207,16598,0.56623,0.58128
2008,No migration background,Less important,0.07001,1253,16598,0.06612,0.07389
2008,No migration background,Unimportant,0.00521,73,16598,0.00411,0.00630
2008,Direct migration background,Very important,0.29421,611,1886,0.27364,0.31478
2008,Direct migration background,Important,0.59324,1133,1886,0.57107,0.61542
2008,Direct migration background,Less important,0.07849,142,1886,0.06635,0.09064
2008,Indirect migration background,Very important,0.16806,270,761,0.14147,0.19464
2008,Indirect migration background,Important,0.28299,438,761,0.25097,0.31502
2008,Indirect migration background,Less important,0.03876,53,761,0.02504,0.05249
2012,No migration background,Very important,0.26333,7816,23220,0.25767,0.26900
2012,No migration background,Important,0.53598,14236,23220,0.52956,0.54239
2012,No migration background,Less important,0.04969,1077,23220,0.04690,0.05249
2012,No migration background,Unimportant,0.00428,91,23220,0.00344,0.00513
2012,Direct migration background,Very important,0.32728,1218,3116,0.31080,0.34376
2012,Direct migration background,Important,0.57189,1747,3116,0.55451,0.58927
2012,Direct migration background,Less important,0.06010,151,3116,0.05175,0.06845
2012,Indirect migration background,Very important,0.19790,550,1211,0.17545,0.22035
2012,Indirect migration background,Important,0.23261,618,1211,0.20880,0.25642
2012,Indirect migration background,Less important,0.02532,43,1211,0.01647,0.03417
2016,No migration background,Very important,0.28242,6173,17782,0.27580,0.28903
2016,No migration background,Important,0.52473,10715,17782,0.51739,0.53207
2016,No migration background,Less important,0.04738,823,17782,0.04425,0.05050
2016,No migration background,Unimportant,0.00303,71,17782,0.00222,0.00383
2016,Direct migration background,Very important,0.34500,1982,4947,0.33175,0.35824
2016,Direct migration background,Important,0.52608,2759,4947,0.51216,0.54000
2016,Direct migration background,Less important,0.04342,206,4947,0.03774,0.04910
2016,Indirect migration background,Very important,0.20758,693,1489,0.18697,0.22819
2016,Indirect migration background,Important,0.27476,729,1489,0.25208,0.29745
2016,Indirect migration background,Less important,0.02769,67,1489,0.01935,0.03602
2021,No migration background,Very important,0.30844,5094,13206,0.30057,0.31632
2021,No migration background,Important,0.50216,7520,13206,0.49363,0.51068
2021,No migration background,Less important,0.04150,551,13206,0.03810,0.04490
2021,No migration background,Unimportant,0.00344,41,13206,0.00244,0.00444
2021,Direct migration background,Very important,0.33757,1161,3017,0.32069,0.35445
2021,Direct migration background,Important,0.47188,1652,3017,0.45406,0.48970
2021,Direct migration background,Less important,0.05546,204,3017,0.04729,0.06363
2021,Indirect migration background,Very important,0.19813,429,933,0.17254,0.22372
2021,Indirect migration background,Important,0.24087,462,933,0.21341,0.26832
2021,Indirect migration background,Less important,0.03103,42,933,0.01990,0.04216
