year,sampreg,plh0105,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Very important,0.16780,1568,7104,0.15911,0.17649
1990,West,Important,0.52386,4781,7104,0.51225,0.53548
1990,West,Less important,0.08103,696,7104,0.07468,0.08737
1990,West,Unimportant,0.00730,59,7104,0.00532,0.00928
1992,West,Very important,0.17425,1681,6993,0.16536,0.18314
1992,West,Important,0.49320,4527,6993,0.48148,0.50492
1992,West,Less important,0.08162,718,6993,0.07521,0.08804
1992,West,Unimportant,0.00879,67,6993,0.00661,0.01098
1992,East,Very important,0.19631,960,3932,0.18389,0.20873
1992,East,Important,0.52124,2585,3932,0.50562,0.53685
1992,East,Less important,0.08517,387,3932,0.07644,0.09389
1995,West,Very important,0.19285,2061,7516,0.18393,0.20177
1995,West,Important,0.49541,4821,7516,0.48411,0.50672
1995,West,Less important,0.06534,580,7516,0.05976,0.07093
1995,West,Unimportant,0.00656,54,7516,0.00473,0.00838
1995,East,Very important,0.20691,948,3667,0.19380,0.22002
1995,East,Important,0.53449,2393,3667,0.51834,0.55063
1995,East,Less important,0.06806,295,3667,0.05990,0.07621
1995,East,Unimportant,0.00946,31,3667,0.00633,0.01259
2004,West,Very important,0.21417,4424,16316,0.20788,0.22047
2004,West,Important,0.53471,10524,16316,0.52706,0.54236
2004,West,Less important,0.07132,1290,16316,0.06737,0.07527
2004,West,Unimportant,0.00476,78,16316,0.00371,0.00582
2004,East,Very important,0.21005,1225,5175,0.19895,0.22115
2004,East,Important,0.57763,3520,5175,0.56417,0.59109
2004,East,Less important,0.07434,430,5175,0.06719,0.08149
2008,West,Very important,0.21263,3862,14497,0.20597,0.21929
2008,West,Important,0.54183,9468,14497,0.53372,0.54994
2008,West,Less important,0.06898,1099,14497,0.06485,0.07310
2008,West,Unimportant,0.00487,68,14497,0.00373,0.00600
2008,East,Very important,0.19776,1084,4743,0.18642,0.20909
2008,East,Important,0.60394,3310,4743,0.59002,0.61786
2008,East,Less important,0.06612,349,4743,0.05904,0.07319
2012,West,Very important,0.27073,7656,21402,0.26478,0.27669
2012,West,Important,0.50705,12706,21402,0.50035,0.51375
2012,West,Less important,0.04931,963,21402,0.04641,0.05221
2012,West,Unimportant,0.00460,77,21402,0.00369,0.00550
2012,East,Very important,0.24347,1928,6162,0.23276,0.25419
2012,East,Important,0.56537,3895,6162,0.55299,0.57775
2012,East,Less important,0.04799,308,6162,0.04266,0.05333
2012,East,Unimportant,0.00466,31,6162,0.00296,0.00636
2016,West,Very important,0.28788,7153,19215,0.28148,0.29428
2016,West,Important,0.49725,11146,19215,0.49018,0.50432
2016,West,Less important,0.04495,849,19215,0.04202,0.04788
2016,West,Unimportant,0.00328,67,19215,0.00247,0.00409
2016,East,Very important,0.26759,1695,4999,0.25531,0.27986
2016,East,Important,0.52965,3057,4999,0.51581,0.54349
2016,East,Less important,0.04583,247,4999,0.04003,0.05163
2021,West,Very important,0.30775,5386,13562,0.29998,0.31552
2021,West,Important,0.46661,7507,13562,0.45821,0.47501
2021,West,Less important,0.04176,620,13562,0.03839,0.04513
2021,West,Unimportant,0.00366,49,13562,0.00265,0.00468
2021,East,Very important,0.27405,1298,3602,0.25949,0.28862
2021,East,Important,0.50664,2127,3602,0.49031,0.52297
2021,East,Less important,0.04571,177,3602,0.03889,0.05253
