year,age_gr,migback,plh0105,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Very important,0.17562,417,1738,0.15773,0.19352
1990,17-29 y.,No migration background,Important,0.50242,1143,1738,0.47891,0.52593
1990,17-29 y.,No migration background,Less important,0.08211,178,1738,0.06920,0.09502
1990,17-29 y.,Direct migration background,Important,0.25693,54,54,0.13929,0.37456
1990,30-45 y.,No migration background,Very important,0.15105,386,1908,0.13498,0.16712
1990,30-45 y.,No migration background,Important,0.54145,1332,1908,0.51909,0.56381
1990,30-45 y.,No migration background,Less important,0.08225,190,1908,0.06992,0.09459
1990,30-45 y.,Direct migration background,Very important,0.10444,32,110,0.04703,0.16186
1990,30-45 y.,Direct migration background,Important,0.25705,78,110,0.17501,0.33909
1990,46-65 y.,No migration background,Very important,0.16382,415,1980,0.14752,0.18013
1990,46-65 y.,No migration background,Important,0.54154,1383,1980,0.51959,0.56350
1990,46-65 y.,No migration background,Less important,0.07548,182,1980,0.06384,0.08711
1990,46-65 y.,Direct migration background,Very important,0.12068,39,159,0.06988,0.17147
1990,46-65 y.,Direct migration background,Important,0.33802,120,159,0.26426,0.41178
1990,66 and older,No migration background,Very important,0.18528,220,928,0.16027,0.21029
1990,66 and older,No migration background,Important,0.51930,606,928,0.48713,0.55146
1990,66 and older,No migration background,Less important,0.09213,102,928,0.07351,0.11075
1990,66 and older,Direct migration background,Important,0.47577,36,36,0.31031,0.64122
1992,17-29 y.,No migration background,Very important,0.29564,751,2551,0.27793,0.31336
1992,17-29 y.,No migration background,Important,0.60833,1576,2551,0.58939,0.62728
1992,17-29 y.,No migration background,Less important,0.08667,224,2551,0.07575,0.09759
1992,17-29 y.,Direct migration background,Important,0.25419,51,51,0.13351,0.37488
1992,30-45 y.,No migration background,Very important,0.22700,803,3421,0.21296,0.24104
1992,30-45 y.,No migration background,Important,0.66711,2294,3421,0.65132,0.68290
1992,30-45 y.,No migration background,Less important,0.10043,324,3421,0.09035,0.11050
1992,30-45 y.,Direct migration background,Very important,0.10663,35,140,0.05532,0.15794
1992,30-45 y.,Direct migration background,Important,0.30040,105,140,0.22419,0.37662
1992,46-65 y.,No migration background,Very important,0.21639,661,2979,0.20160,0.23118
1992,46-65 y.,No migration background,Important,0.65634,1995,2979,0.63928,0.67339
1992,46-65 y.,No migration background,Less important,0.10882,323,2979,0.09764,0.12001
1992,46-65 y.,Direct migration background,Very important,0.14065,61,217,0.09428,0.18701
1992,46-65 y.,Direct migration background,Important,0.33194,156,217,0.26914,0.39474
1992,66 and older,No migration background,Very important,0.17393,253,1295,0.15328,0.19459
1992,66 and older,No migration background,Important,0.64244,839,1295,0.61633,0.66856
1992,66 and older,No migration background,Less important,0.13802,167,1295,0.11923,0.15682
1992,66 and older,No migration background,Unimportant,0.03063,36,1295,0.02124,0.04002
1992,66 and older,Direct migration background,Very important,0.32291,35,88,0.22465,0.42116
1992,66 and older,Direct migration background,Important,0.46358,53,88,0.35879,0.56836
1995,17-29 y.,No migration background,Very important,0.31567,756,2276,0.29657,0.33477
1995,17-29 y.,No migration background,Important,0.59854,1370,2276,0.57840,0.61868
1995,17-29 y.,No migration background,Less important,0.07132,150,2276,0.06074,0.08189
1995,17-29 y.,Direct migration background,Very important,0.25722,88,210,0.19796,0.31648
1995,17-29 y.,Direct migration background,Important,0.33395,122,210,0.27001,0.39789
1995,17-29 y.,Indirect migration background,Very important,0.17301,36,85,0.09212,0.25390
1995,17-29 y.,Indirect migration background,Important,0.19585,49,85,0.11098,0.28072
1995,30-45 y.,No migration background,Very important,0.23347,871,3435,0.21932,0.24762
1995,30-45 y.,No migration background,Important,0.68098,2299,3435,0.66539,0.69657
1995,30-45 y.,No migration background,Less important,0.07345,265,3435,0.06473,0.08218
1995,30-45 y.,Direct migration background,Very important,0.23489,144,384,0.19243,0.27735
1995,30-45 y.,Direct migration background,Important,0.37761,240,384,0.32906,0.42617
1995,46-65 y.,No migration background,Very important,0.20704,629,2880,0.19224,0.22184
1995,46-65 y.,No migration background,Important,0.69286,2009,2880,0.67601,0.70971
1995,46-65 y.,No migration background,Less important,0.08683,242,2880,0.07654,0.09712
1995,46-65 y.,Direct migration background,Very important,0.17299,96,306,0.13054,0.21544
1995,46-65 y.,Direct migration background,Important,0.38388,210,306,0.32930,0.43846
1995,66 and older,No migration background,Very important,0.24489,340,1266,0.22119,0.26859
1995,66 and older,No migration background,Important,0.60989,788,1266,0.58301,0.63677
1995,66 and older,No migration background,Less important,0.11486,138,1266,0.09729,0.13243
1995,66 and older,Direct migration background,Very important,0.22386,38,142,0.15505,0.29266
1995,66 and older,Direct migration background,Important,0.57845,104,142,0.49694,0.65996
2004,17-29 y.,No migration background,Very important,0.33853,1067,3050,0.32173,0.35533
2004,17-29 y.,No migration background,Important,0.56379,1703,3050,0.54619,0.58140
2004,17-29 y.,No migration background,Less important,0.08915,280,3050,0.07904,0.09927
2004,17-29 y.,Direct migration background,Very important,0.34924,129,339,0.29842,0.40007
2004,17-29 y.,Direct migration background,Important,0.51904,210,339,0.46578,0.57231
2004,17-29 y.,Indirect migration background,Very important,0.34407,174,504,0.30256,0.38559
2004,17-29 y.,Indirect migration background,Important,0.56613,291,504,0.52281,0.60944
2004,17-29 y.,Indirect migration background,Less important,0.07073,39,504,0.04832,0.09313
2004,30-45 y.,No migration background,Very important,0.26614,1461,5429,0.25439,0.27790
2004,30-45 y.,No migration background,Important,0.65156,3598,5429,0.63888,0.66424
2004,30-45 y.,No migration background,Less important,0.07634,370,5429,0.06927,0.08340
2004,30-45 y.,Direct migration background,Very important,0.32634,273,842,0.29465,0.35803
2004,30-45 y.,Direct migration background,Important,0.58738,508,842,0.55411,0.62065
2004,30-45 y.,Direct migration background,Less important,0.08142,61,842,0.06294,0.09990
2004,30-45 y.,Indirect migration background,Very important,0.23545,58,207,0.17751,0.29339
2004,30-45 y.,Indirect migration background,Important,0.68840,149,207,0.62515,0.75165
2004,46-65 y.,No migration background,Very important,0.20158,1306,6311,0.19168,0.21148
2004,46-65 y.,No migration background,Important,0.69618,4471,6311,0.68483,0.70752
2004,46-65 y.,No migration background,Less important,0.09280,534,6311,0.08564,0.09996
2004,46-65 y.,Direct migration background,Very important,0.27135,279,945,0.24298,0.29971
2004,46-65 y.,Direct migration background,Important,0.63329,589,945,0.60255,0.66403
2004,46-65 y.,Direct migration background,Less important,0.08474,77,945,0.06698,0.10251
2004,66 and older,No migration background,Very important,0.21786,776,3364,0.20391,0.23181
2004,66 and older,No migration background,Important,0.67364,2267,3364,0.65779,0.68948
2004,66 and older,No migration background,Less important,0.08841,289,3364,0.07882,0.09801
2004,66 and older,No migration background,Unimportant,0.01068,32,3364,0.00721,0.01416
2004,66 and older,Direct migration background,Very important,0.31671,107,328,0.26628,0.36713
2004,66 and older,Direct migration background,Important,0.59008,221,328,0.53677,0.64338
2008,17-29 y.,No migration background,Very important,0.34310,922,2491,0.32446,0.36175
2008,17-29 y.,No migration background,Important,0.52998,1435,2491,0.51037,0.54958
2008,17-29 y.,No migration background,Less important,0.05346,134,2491,0.04462,0.06229
2008,17-29 y.,Direct migration background,Very important,0.35223,84,214,0.28808,0.41638
2008,17-29 y.,Direct migration background,Important,0.58065,130,214,0.51438,0.64692
2008,17-29 y.,Indirect migration background,Very important,0.30269,158,401,0.25767,0.34771
2008,17-29 y.,Indirect migration background,Important,0.51506,243,401,0.46608,0.56404
2008,30-45 y.,No migration background,Very important,0.27176,1177,4275,0.25842,0.28510
2008,30-45 y.,No migration background,Important,0.65258,2828,4275,0.63831,0.66686
2008,30-45 y.,No migration background,Less important,0.06642,270,4275,0.05896,0.07389
2008,30-45 y.,Direct migration background,Very important,0.31146,209,603,0.27447,0.34846
2008,30-45 y.,Direct migration background,Important,0.63289,361,603,0.59438,0.67140
2008,30-45 y.,Direct migration background,Less important,0.05300,33,603,0.03510,0.07090
2008,30-45 y.,Indirect migration background,Very important,0.37555,99,251,0.31552,0.43558
2008,30-45 y.,Indirect migration background,Important,0.52973,152,251,0.46786,0.59161
2008,46-65 y.,No migration background,Very important,0.18807,1198,5903,0.17810,0.19804
2008,46-65 y.,No migration background,Important,0.71469,4232,5903,0.70317,0.72621
2008,46-65 y.,No migration background,Less important,0.09081,473,5903,0.08348,0.09815
2008,46-65 y.,Direct migration background,Very important,0.27830,212,702,0.24512,0.31148
2008,46-65 y.,Direct migration background,Important,0.60933,429,702,0.57321,0.64545
2008,46-65 y.,Direct migration background,Less important,0.10078,61,702,0.07850,0.12307
2008,46-65 y.,Indirect migration background,Important,0.75235,36,36,0.60935,0.89536
2008,66 and older,No migration background,Very important,0.18468,768,3892,0.17248,0.19687
