year,age_gr,migback,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,No migration background,Yes,0.92284,3059,3059,0.91338,0.93230
2012,17-29 y.,Direct migration background,No,0.15272,69,69,0.06722,0.23822
2012,17-29 y.,Indirect migration background,Yes,0.14534,104,359,0.10883,0.18185
2012,17-29 y.,Indirect migration background,No,0.45215,255,359,0.40060,0.50371
2012,30-45 y.,No migration background,Yes,0.97756,6941,7086,0.97411,0.98101
2012,30-45 y.,No migration background,No,0.01990,145,7086,0.01665,0.02315
2012,30-45 y.,Direct migration background,No,0.06835,129,129,0.02463,0.11207
2012,30-45 y.,Indirect migration background,Yes,0.17415,95,314,0.13214,0.21617
2012,30-45 y.,Indirect migration background,No,0.37793,219,314,0.32421,0.43164
2012,46-65 y.,No migration background,Yes,0.95302,7933,8266,0.94846,0.95759
2012,46-65 y.,No migration background,No,0.04021,333,8266,0.03598,0.04445
2012,46-65 y.,Direct migration background,Yes,0.04422,65,145,0.01064,0.07780
2012,46-65 y.,Direct migration background,No,0.06356,80,145,0.02371,0.10340
2012,46-65 y.,Indirect migration background,No,0.45476,72,72,0.33893,0.57058
2012,66 and older,No migration background,Yes,0.94536,4509,4710,0.93886,0.95185
2012,66 and older,No migration background,No,0.03965,201,4710,0.03407,0.04522
2012,66 and older,Direct migration background,Yes,0.16944,90,159,0.11095,0.22794
2012,66 and older,Direct migration background,No,0.13497,69,159,0.08169,0.18825
2013,17-29 y.,No migration background,Yes,0.90868,2870,2910,0.89822,0.91915
2013,17-29 y.,No migration background,No,0.01227,40,2910,0.00827,0.01628
2013,17-29 y.,Direct migration background,No,0.06795,46,46,-0.00558,0.14148
2013,17-29 y.,Indirect migration background,Yes,0.12758,111,890,0.10565,0.14952
2013,17-29 y.,Indirect migration background,No,0.67182,779,890,0.64096,0.70269
2013,30-45 y.,No migration background,Yes,0.97647,6314,6440,0.97276,0.98017
2013,30-45 y.,No migration background,No,0.02077,126,6440,0.01728,0.02425
2013,30-45 y.,Direct migration background,Yes,0.01576,34,171,-0.00296,0.03449
2013,30-45 y.,Direct migration background,No,0.03802,137,171,0.00927,0.06677
2013,30-45 y.,Indirect migration background,Yes,0.17571,95,656,0.14656,0.20485
2013,30-45 y.,Indirect migration background,No,0.62642,561,656,0.58937,0.66346
2013,46-65 y.,No migration background,Yes,0.95652,7789,8077,0.95207,0.96097
2013,46-65 y.,No migration background,No,0.03849,288,8077,0.03430,0.04269
2013,46-65 y.,Direct migration background,Yes,0.03945,72,150,0.00819,0.07071
2013,46-65 y.,Direct migration background,No,0.04037,78,150,0.00877,0.07197
2013,46-65 y.,Indirect migration background,No,0.44491,85,85,0.33864,0.55119
2013,66 and older,No migration background,Yes,0.96198,4417,4533,0.95642,0.96755
2013,66 and older,No migration background,No,0.02349,116,4533,0.01908,0.02790
2013,66 and older,Direct migration background,Yes,0.16974,88,137,0.10665,0.23284
2013,66 and older,Direct migration background,No,0.10563,49,137,0.05397,0.15729
2014,17-29 y.,No migration background,Yes,0.91385,2608,2608,0.90308,0.92462
2014,17-29 y.,Direct migration background,No,0.07719,42,42,-0.00451,0.15889
2014,17-29 y.,Indirect migration background,Yes,0.13087,106,387,0.09723,0.16452
2014,17-29 y.,Indirect migration background,No,0.28319,281,387,0.23825,0.32814
2014,30-45 y.,No migration background,Yes,0.96773,5235,5307,0.96298,0.97249
2014,30-45 y.,No migration background,No,0.01609,72,5307,0.01271,0.01948
2014,30-45 y.,Direct migration background,Yes,0.01559,31,148,-0.00444,0.03561
2014,30-45 y.,Direct migration background,No,0.04241,117,148,0.00983,0.07499
2014,30-45 y.,Indirect migration background,Yes,0.20593,97,263,0.15696,0.25489
2014,30-45 y.,Indirect migration background,No,0.24848,166,263,0.19615,0.30081
2014,46-65 y.,No migration background,Yes,0.96228,7226,7433,0.95794,0.96661
2014,46-65 y.,No migration background,No,0.02799,207,7433,0.02424,0.03174
2014,46-65 y.,Direct migration background,Yes,0.03728,65,132,0.00484,0.06973
2014,46-65 y.,Direct migration background,No,0.03851,67,132,0.00556,0.07147
2014,46-65 y.,Indirect migration background,Yes,0.23912,32,90,0.15050,0.32773
2014,46-65 y.,Indirect migration background,No,0.27789,58,90,0.18482,0.37096
2014,66 and older,No migration background,Yes,0.96898,4340,4447,0.96388,0.97407
2014,66 and older,No migration background,No,0.02054,107,4447,0.01638,0.02471
2014,66 and older,Direct migration background,Yes,0.14197,74,125,0.08054,0.20341
2014,66 and older,Direct migration background,No,0.10813,51,125,0.05347,0.16279
2015,17-29 y.,No migration background,Yes,0.91561,2536,2570,0.90486,0.92636
2015,17-29 y.,No migration background,No,0.00708,34,2570,0.00383,0.01032
2015,17-29 y.,Direct migration background,No,0.07890,52,52,0.00491,0.15288
2015,17-29 y.,Indirect migration background,Yes,0.14189,93,483,0.11074,0.17304
2015,17-29 y.,Indirect migration background,No,0.41311,390,483,0.36915,0.45707
2015,30-45 y.,No migration background,Yes,0.97635,4747,4823,0.97206,0.98063
2015,30-45 y.,No migration background,No,0.01868,76,4823,0.01486,0.02251
2015,30-45 y.,Direct migration background,Yes,0.02405,33,184,0.00185,0.04625
2015,30-45 y.,Direct migration background,No,0.04776,151,184,0.01686,0.07866
2015,30-45 y.,Indirect migration background,Yes,0.17385,91,318,0.13213,0.21557
2015,30-45 y.,Indirect migration background,No,0.41181,227,318,0.35763,0.46599
2015,46-65 y.,No migration background,Yes,0.96106,7027,7268,0.95661,0.96551
2015,46-65 y.,No migration background,No,0.03385,241,7268,0.02969,0.03800
2015,46-65 y.,Direct migration background,Yes,0.03160,53,157,0.00415,0.05905
2015,46-65 y.,Direct migration background,No,0.04866,104,157,0.01490,0.08243
2015,46-65 y.,Indirect migration background,No,0.40957,74,74,0.29676,0.52237
2015,66 and older,No migration background,Yes,0.96247,4301,4403,0.95686,0.96808
2015,66 and older,No migration background,No,0.02251,102,4403,0.01813,0.02689
2015,66 and older,Direct migration background,Yes,0.15616,76,121,0.09121,0.22111
2015,66 and older,Direct migration background,No,0.09482,45,121,0.04240,0.14724
2016,17-29 y.,No migration background,Yes,0.91418,2337,2337,0.90282,0.92553
2016,17-29 y.,Direct migration background,No,0.10133,64,64,0.02681,0.17585
2016,17-29 y.,Indirect migration background,Yes,0.18326,115,477,0.14851,0.21802
