year,migback,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,Yes,0.82469,22442,23143,0.81979,0.82959
2012,No migration background,No,0.02611,701,23143,0.02406,0.02816
2012,Direct migration background,Yes,0.05736,197,544,0.03781,0.07692
2012,Direct migration background,No,0.08827,347,544,0.06441,0.11213
2012,Indirect migration background,Yes,0.07642,220,767,0.05761,0.09524
2012,Indirect migration background,No,0.20842,547,767,0.17966,0.23719
2013,No migration background,Yes,0.83037,21390,21960,0.82541,0.83533
2013,No migration background,No,0.02322,570,21960,0.02123,0.02521
2013,Direct migration background,Yes,0.04834,209,519,0.02987,0.06681
2013,Direct migration background,No,0.05182,310,519,0.03273,0.07091
2013,Indirect migration background,Yes,0.07324,233,1659,0.06070,0.08578
2013,Indirect migration background,No,0.31544,1426,1659,0.29307,0.33780
2014,No migration background,Yes,0.83367,19409,19817,0.82848,0.83885
2014,No migration background,No,0.01741,408,19817,0.01559,0.01923
2014,Direct migration background,Yes,0.04405,184,461,0.02530,0.06280
2014,Direct migration background,No,0.05430,277,461,0.03359,0.07501
2014,Indirect migration background,Yes,0.08579,235,741,0.06561,0.10597
2014,Indirect migration background,No,0.14117,506,741,0.11608,0.16626
2015,No migration background,Yes,0.83549,18611,19064,0.83022,0.84075
2015,No migration background,No,0.02064,453,19064,0.01862,0.02266
2015,Direct migration background,Yes,0.04479,172,524,0.02706,0.06252
2015,Direct migration background,No,0.05760,352,524,0.03763,0.07757
2015,Indirect migration background,Yes,0.07609,209,902,0.05877,0.09340
2015,Indirect migration background,No,0.21140,693,902,0.18474,0.23807
2016,No migration background,Yes,0.83268,17287,17715,0.82718,0.83818
2016,No migration background,No,0.02086,428,17715,0.01875,0.02296
2016,Direct migration background,Yes,0.04096,170,488,0.02336,0.05856
2016,Direct migration background,No,0.04910,318,488,0.02991,0.06829
2016,Indirect migration background,Yes,0.10221,243,870,0.08207,0.12235
2016,Indirect migration background,No,0.21356,627,870,0.18631,0.24080
2017,No migration background,Yes,0.83533,19617,20073,0.83020,0.84046
2017,No migration background,No,0.01985,456,20073,0.01792,0.02178
2017,Direct migration background,Yes,0.03531,158,489,0.01894,0.05169
2017,Direct migration background,No,0.04646,331,489,0.02779,0.06514
2017,Indirect migration background,Yes,0.08423,252,980,0.06683,0.10163
2017,Indirect migration background,No,0.22183,728,980,0.19580,0.24785
2018,No migration background,Yes,0.83886,18928,19384,0.83368,0.84404
2018,No migration background,No,0.02082,456,19384,0.01881,0.02283
2018,Direct migration background,Yes,0.03036,141,463,0.01471,0.04600
2018,Direct migration background,No,0.05253,322,463,0.03219,0.07287
2018,Indirect migration background,Yes,0.09351,261,1033,0.07574,0.11127
2018,Indirect migration background,No,0.22017,772,1033,0.19489,0.24545
2020,No migration background,Yes,0.83213,18090,18488,0.82674,0.83752
2020,No migration background,No,0.01883,398,18488,0.01687,0.02079
2020,Direct migration background,Yes,0.02830,136,429,0.01259,0.04402
2020,Direct migration background,No,0.05471,293,429,0.03316,0.07625
2020,Indirect migration background,Yes,0.10022,296,1053,0.08207,0.11837
2020,Indirect migration background,No,0.22230,757,1053,0.19718,0.24743
2021,No migration background,Yes,0.82680,12785,13114,0.82033,0.83328
2021,No migration background,No,0.02185,329,13114,0.01934,0.02435
2021,Direct migration background,Yes,0.02900,82,330,0.01087,0.04714
2021,Direct migration background,No,0.07614,248,330,0.04748,0.10480
2021,Indirect migration background,Yes,0.09020,182,683,0.06870,0.11170
2021,Indirect migration background,No,0.21374,501,683,0.18297,0.24450
