year,sampreg,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,West,Yes,0.64750,17058,18418,0.64060,0.65440
2012,West,No,0.04993,1360,18418,0.04679,0.05308
2012,East,Yes,0.81111,5801,6036,0.80124,0.82099
2012,East,No,0.03552,235,6036,0.03085,0.04019
2013,West,Yes,0.64338,16339,18445,0.63646,0.65029
2013,West,No,0.05557,2106,18445,0.05227,0.05888
2013,East,Yes,0.80922,5493,5693,0.79901,0.81942
2013,East,No,0.02618,200,5693,0.02203,0.03033
2014,West,Yes,0.64512,14773,15802,0.63766,0.65258
2014,West,No,0.03446,1029,15802,0.03162,0.03731
2014,East,Yes,0.80146,5055,5217,0.79063,0.81228
2014,East,No,0.02272,162,5217,0.01867,0.02676
2015,West,Yes,0.64140,14169,15498,0.63385,0.64895
2015,West,No,0.04514,1329,15498,0.04187,0.04841
2015,East,Yes,0.79437,4823,4992,0.78316,0.80558
2015,East,No,0.02467,169,4992,0.02036,0.02897
2016,West,Yes,0.63549,13190,14379,0.62762,0.64336
2016,West,No,0.04441,1189,14379,0.04104,0.04778
2016,East,Yes,0.77943,4510,4694,0.76757,0.79130
2016,East,No,0.02870,184,4694,0.02393,0.03348
2017,West,Yes,0.63209,14976,16302,0.62469,0.63950
2017,West,No,0.04480,1326,16302,0.04162,0.04797
2017,East,Yes,0.77478,5051,5240,0.76347,0.78609
2017,East,No,0.02817,189,5240,0.02369,0.03265
2018,West,Yes,0.62998,14379,15737,0.62244,0.63752
2018,West,No,0.04787,1358,15737,0.04453,0.05120
2018,East,Yes,0.77358,4951,5143,0.76214,0.78502
2018,East,No,0.02505,192,5143,0.02078,0.02932
2020,West,Yes,0.63581,13857,15135,0.62814,0.64347
2020,West,No,0.04581,1278,15135,0.04248,0.04914
2020,East,Yes,0.77847,4665,4835,0.76676,0.79018
2020,East,No,0.02422,170,4835,0.01988,0.02855
2021,West,Yes,0.62651,9847,10767,0.61738,0.63565
2021,West,No,0.05030,920,10767,0.04617,0.05443
2021,East,Yes,0.75385,3202,3360,0.73928,0.76841
2021,East,No,0.03298,158,3360,0.02694,0.03902
