year,age_gr,bula_h,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,Schleswig-Holstein,Yes,0.82767,148,148,0.76662,0.88872
2012,17-29 y.,Hamburg,Yes,0.71470,50,50,0.58827,0.84114
2012,17-29 y.,Lower Saxony,Yes,0.71273,276,307,0.66203,0.76343
2012,17-29 y.,Lower Saxony,No,0.06434,31,307,0.03685,0.09183
2012,17-29 y.,North Rhine-Westphalia,Yes,0.64341,604,692,0.60769,0.67912
2012,17-29 y.,North Rhine-Westphalia,No,0.11027,88,692,0.08692,0.13363
2012,17-29 y.,Hesse,Yes,0.66452,176,217,0.60155,0.72749
2012,17-29 y.,Hesse,No,0.09904,41,217,0.05920,0.13888
2012,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.64250,182,182,0.57268,0.71232
2012,17-29 y.,Baden-Wuerttemberg,Yes,0.61659,358,416,0.56981,0.66337
2012,17-29 y.,Baden-Wuerttemberg,No,0.12735,58,416,0.09528,0.15943
2012,17-29 y.,Bavaria,Yes,0.72238,491,546,0.68478,0.75998
2012,17-29 y.,Bavaria,No,0.07482,55,546,0.05273,0.09691
2012,17-29 y.,Berlin,Yes,0.81025,133,133,0.74336,0.87714
2012,17-29 y.,Brandenburg,Yes,0.96567,116,116,0.93240,0.99895
2012,17-29 y.,Mecklenburg-Western Pomerania,Yes,0.92964,81,81,0.87359,0.98568
2012,17-29 y.,Saxony,Yes,0.93203,261,261,0.90144,0.96263
2012,17-29 y.,Saxony-Anhalt,Yes,0.92984,128,128,0.88542,0.97426
2012,17-29 y.,Thuringa,Yes,0.89156,143,143,0.84042,0.94270
2012,30-45 y.,Schleswig-Holstein,Yes,0.83384,287,287,0.79070,0.87698
2012,30-45 y.,Hamburg,Yes,0.71457,106,106,0.62819,0.80096
2012,30-45 y.,Lower Saxony,Yes,0.84875,717,717,0.82251,0.87500
2012,30-45 y.,Bremen,Yes,0.60344,48,48,0.46359,0.74330
2012,30-45 y.,North Rhine-Westphalia,Yes,0.70458,1270,1407,0.68074,0.72843
2012,30-45 y.,North Rhine-Westphalia,No,0.05269,137,1407,0.04101,0.06437
2012,30-45 y.,Hesse,Yes,0.68978,445,479,0.64831,0.73125
2012,30-45 y.,Hesse,No,0.04604,34,479,0.02725,0.06483
2012,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.73279,356,390,0.68881,0.77676
2012,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.07718,34,390,0.05066,0.10370
2012,30-45 y.,Baden-Wuerttemberg,Yes,0.62684,815,903,0.59528,0.65841
2012,30-45 y.,Baden-Wuerttemberg,No,0.08327,88,903,0.06524,0.10130
2012,30-45 y.,Bavaria,Yes,0.71882,1139,1240,0.69379,0.74386
2012,30-45 y.,Bavaria,No,0.06873,101,1240,0.05464,0.08282
2012,30-45 y.,Berlin,Yes,0.81774,255,255,0.77026,0.86522
2012,30-45 y.,Brandenburg,Yes,0.93715,285,285,0.90892,0.96538
2012,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.98466,173,173,0.96629,1.00303
2012,30-45 y.,Saxony,Yes,0.94481,547,547,0.92566,0.96397
2012,30-45 y.,Saxony-Anhalt,Yes,0.96588,306,306,0.94550,0.98625
2012,30-45 y.,Thuringa,Yes,0.97095,317,317,0.95244,0.98947
2012,46-65 y.,Schleswig-Holstein,Yes,0.90029,242,242,0.86247,0.93812
2012,46-65 y.,Hamburg,Yes,0.89077,116,116,0.83376,0.94778
2012,46-65 y.,Lower Saxony,Yes,0.85878,741,775,0.83425,0.88332
2012,46-65 y.,Lower Saxony,No,0.04211,34,775,0.02796,0.05625
2012,46-65 y.,Bremen,Yes,0.80113,47,47,0.68578,0.91648
2012,46-65 y.,North Rhine-Westphalia,Yes,0.78518,1522,1601,0.76506,0.80531
2012,46-65 y.,North Rhine-Westphalia,No,0.03865,79,1601,0.02921,0.04810
2012,46-65 y.,Hesse,Yes,0.75518,569,613,0.72112,0.78925
2012,46-65 y.,Hesse,No,0.04875,44,613,0.03169,0.06581
2012,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.81034,489,489,0.77556,0.84513
2012,46-65 y.,Baden-Wuerttemberg,Yes,0.72253,870,944,0.69395,0.75111
2012,46-65 y.,Baden-Wuerttemberg,No,0.07380,74,944,0.05711,0.09049
2012,46-65 y.,Bavaria,Yes,0.77932,1200,1308,0.75684,0.80181
2012,46-65 y.,Bavaria,No,0.05466,108,1308,0.04233,0.06698
2012,46-65 y.,Berlin,Yes,0.89097,311,311,0.85627,0.92566
2012,46-65 y.,Brandenburg,Yes,0.90589,394,394,0.87702,0.93476
2012,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.87827,213,213,0.83426,0.92229
2012,46-65 y.,Saxony,Yes,0.92458,589,589,0.90324,0.94593
2012,46-65 y.,Saxony-Anhalt,Yes,0.94933,355,355,0.92649,0.97218
2012,46-65 y.,Thuringa,Yes,0.93993,360,360,0.91535,0.96451
2012,66 and older,Schleswig-Holstein,Yes,0.82314,166,166,0.76492,0.88136
2012,66 and older,Hamburg,Yes,0.91943,93,93,0.86381,0.97505
2012,66 and older,Lower Saxony,Yes,0.88442,474,474,0.85561,0.91323
2012,66 and older,North Rhine-Westphalia,Yes,0.87036,874,917,0.84860,0.89211
2012,66 and older,North Rhine-Westphalia,No,0.03847,43,917,0.02601,0.05092
2012,66 and older,Hesse,Yes,0.83175,268,268,0.78687,0.87662
2012,66 and older,"Rhineland-Palatinate, Saarland",Yes,0.88278,262,262,0.84375,0.92180
2012,66 and older,Baden-Wuerttemberg,Yes,0.80675,480,519,0.77275,0.84076
2012,66 and older,Baden-Wuerttemberg,No,0.06628,39,519,0.04485,0.08770
2012,66 and older,Bavaria,Yes,0.77863,646,717,0.74822,0.80904
2012,66 and older,Bavaria,No,0.08007,71,717,0.06019,0.09995
2012,66 and older,Berlin,Yes,0.93529,200,200,0.90111,0.96947
2012,66 and older,Brandenburg,Yes,0.94792,233,233,0.91933,0.97651
2012,66 and older,Mecklenburg-Western Pomerania,Yes,0.95687,123,123,0.92082,0.99292
2012,66 and older,Saxony,Yes,0.93153,347,347,0.90492,0.95814
2012,66 and older,Saxony-Anhalt,Yes,0.94485,192,192,0.91248,0.97722
2012,66 and older,Thuringa,Yes,0.94004,212,212,0.90801,0.97208
2013,17-29 y.,Schleswig-Holstein,Yes,0.75434,127,127,0.67918,0.82951
2013,17-29 y.,Hamburg,Yes,0.59340,43,43,0.44484,0.74196
2013,17-29 y.,Lower Saxony,Yes,0.68854,300,375,0.64161,0.73548
2013,17-29 y.,Lower Saxony,No,0.08755,75,375,0.05891,0.11620
2013,17-29 y.,North Rhine-Westphalia,Yes,0.62674,593,842,0.59406,0.65943
2013,17-29 y.,North Rhine-Westphalia,No,0.13978,249,842,0.11635,0.16322
2013,17-29 y.,Hesse,Yes,0.57110,158,242,0.50862,0.63359
2013,17-29 y.,Hesse,No,0.13133,84,242,0.08869,0.17398
2013,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.65779,168,226,0.59580,0.71979
2013,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.14136,58,226,0.09584,0.18689
2013,17-29 y.,Baden-Wuerttemberg,Yes,0.60677,335,477,0.56289,0.65066
2013,17-29 y.,Baden-Wuerttemberg,No,0.15953,142,477,0.12663,0.19242
2013,17-29 y.,Bavaria,Yes,0.67071,501,631,0.63401,0.70741
2013,17-29 y.,Bavaria,No,0.13649,130,631,0.10968,0.16330
2013,17-29 y.,Berlin,Yes,0.69483,118,118,0.61140,0.77827
2013,17-29 y.,Brandenburg,Yes,0.85108,103,103,0.78199,0.92017
2013,17-29 y.,Mecklenburg-Western Pomerania,Yes,0.88159,66,66,0.80304,0.96013
2013,17-29 y.,Saxony,Yes,0.92441,227,227,0.88995,0.95887
2013,17-29 y.,Saxony-Anhalt,Yes,0.80694,112,112,0.73351,0.88037
2013,17-29 y.,Thuringa,Yes,0.90370,122,122,0.85114,0.95626
2013,30-45 y.,Schleswig-Holstein,Yes,0.80163,265,265,0.75353,0.84974
