year,bula_h,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Schleswig-Holstein,Yes,0.72182,843,890,0.69237,0.75128
2012,Schleswig-Holstein,No,0.03177,47,890,0.02024,0.04330
2012,Hamburg,Yes,0.71897,365,365,0.67279,0.76514
2012,Lower Saxony,Yes,0.71422,2208,2309,0.69579,0.73265
2012,Lower Saxony,No,0.03463,101,2309,0.02717,0.04208
2012,Bremen,Yes,0.65024,153,153,0.57442,0.72605
2012,North Rhine-Westphalia,Yes,0.64173,4270,4617,0.62790,0.65556
2012,North Rhine-Westphalia,No,0.04622,347,4617,0.04016,0.05227
2012,Hesse,Yes,0.60902,1458,1588,0.58501,0.63303
2012,Hesse,No,0.04475,130,1588,0.03458,0.05493
2012,"Rhineland-Palatinate, Saarland",Yes,0.65702,1289,1369,0.63186,0.68217
2012,"Rhineland-Palatinate, Saarland",No,0.04653,80,1369,0.03537,0.05769
2012,Baden-Wuerttemberg,Yes,0.58473,2523,2782,0.56642,0.60305
2012,Baden-Wuerttemberg,No,0.07082,259,2782,0.06129,0.08036
2012,Bavaria,Yes,0.64442,3476,3811,0.62922,0.65962
2012,Bavaria,No,0.05781,335,3811,0.05040,0.06522
2012,Berlin,Yes,0.75035,899,951,0.72283,0.77787
2012,Berlin,No,0.04665,52,951,0.03324,0.06006
2012,Brandenburg,Yes,0.80792,1028,1067,0.78428,0.83157
2012,Brandenburg,No,0.03489,39,1067,0.02387,0.04591
2012,Mecklenburg-Western Pomerania,Yes,0.80364,590,626,0.77250,0.83479
2012,Mecklenburg-Western Pomerania,No,0.05275,36,626,0.03523,0.07028
2012,Saxony,Yes,0.80844,1744,1804,0.79027,0.82660
2012,Saxony,No,0.02763,60,1804,0.02007,0.03520
2012,Saxony-Anhalt,Yes,0.82873,981,1021,0.80561,0.85185
2012,Saxony-Anhalt,No,0.02856,40,1021,0.01834,0.03878
2012,Thuringa,Yes,0.82007,1032,1068,0.79702,0.84312
2012,Thuringa,No,0.03970,36,1068,0.02798,0.05141
2013,Schleswig-Holstein,Yes,0.70652,796,866,0.67618,0.73687
2013,Schleswig-Holstein,No,0.03942,70,866,0.02645,0.05239
2013,Hamburg,Yes,0.68613,342,388,0.63990,0.73237
2013,Hamburg,No,0.05343,46,388,0.03102,0.07583
2013,Lower Saxony,Yes,0.70645,2168,2322,0.68792,0.72497
2013,Lower Saxony,No,0.04121,154,2322,0.03312,0.04930
2013,Bremen,Yes,0.61917,140,140,0.53844,0.69990
2013,North Rhine-Westphalia,Yes,0.63674,4101,4713,0.62300,0.65047
2013,North Rhine-Westphalia,No,0.04980,612,4713,0.04359,0.05601
2013,Hesse,Yes,0.60836,1372,1582,0.58430,0.63242
2013,Hesse,No,0.05915,210,1582,0.04752,0.07077
2013,"Rhineland-Palatinate, Saarland",Yes,0.65843,1208,1334,0.63297,0.68389
2013,"Rhineland-Palatinate, Saarland",No,0.04618,126,1334,0.03492,0.05745
2013,Baden-Wuerttemberg,Yes,0.59045,2387,2779,0.57216,0.60873
2013,Baden-Wuerttemberg,No,0.07527,392,2779,0.06546,0.08508
2013,Bavaria,Yes,0.64521,3363,3767,0.62993,0.66049
2013,Bavaria,No,0.05848,404,3767,0.05098,0.06597
2013,Berlin,Yes,0.72726,878,956,0.69901,0.75551
2013,Berlin,No,0.04500,78,956,0.03185,0.05815
2013,Brandenburg,Yes,0.79240,976,976,0.76694,0.81786
2013,Mecklenburg-Western Pomerania,Yes,0.79335,550,550,0.75948,0.82722
2013,Saxony,Yes,0.80451,1638,1703,0.78567,0.82335
2013,Saxony,No,0.03296,65,1703,0.02448,0.04144
2013,Saxony-Anhalt,Yes,0.82414,938,983,0.80033,0.84795
2013,Saxony-Anhalt,No,0.02834,45,983,0.01796,0.03872
2013,Thuringa,Yes,0.82854,975,975,0.80486,0.85221
2014,Schleswig-Holstein,Yes,0.71648,687,687,0.68275,0.75020
2014,Hamburg,Yes,0.68293,294,294,0.62964,0.73621
2014,Lower Saxony,Yes,0.71040,1988,2076,0.69088,0.72992
2014,Lower Saxony,No,0.02274,88,2076,0.01633,0.02916
2014,Bremen,Yes,0.64674,128,128,0.56361,0.72988
2014,North Rhine-Westphalia,Yes,0.64117,3726,3974,0.62625,0.65608
2014,North Rhine-Westphalia,No,0.03130,248,3974,0.02589,0.03671
2014,Hesse,Yes,0.61156,1238,1341,0.58546,0.63765
2014,Hesse,No,0.03963,103,1341,0.02919,0.05008
2014,"Rhineland-Palatinate, Saarland",Yes,0.64388,1077,1147,0.61615,0.67160
2014,"Rhineland-Palatinate, Saarland",No,0.03122,70,1147,0.02115,0.04129
2014,Baden-Wuerttemberg,Yes,0.59145,2114,2301,0.57136,0.61154
2014,Baden-Wuerttemberg,No,0.04883,187,2301,0.04002,0.05763
2014,Bavaria,Yes,0.64682,3109,3349,0.63063,0.66301
2014,Bavaria,No,0.03735,240,3349,0.03093,0.04378
2014,Berlin,Yes,0.70645,775,824,0.67534,0.73756
2014,Berlin,No,0.03210,49,824,0.02005,0.04414
2014,Brandenburg,Yes,0.79188,898,898,0.76531,0.81844
2014,Mecklenburg-Western Pomerania,Yes,0.81310,520,520,0.77956,0.84664
2014,Saxony,Yes,0.81171,1495,1539,0.79217,0.83125
2014,Saxony,No,0.02195,44,1539,0.01463,0.02927
2014,Saxony-Anhalt,Yes,0.82110,863,863,0.79551,0.84668
2014,Thuringa,Yes,0.78295,916,948,0.75669,0.80921
2014,Thuringa,No,0.02945,32,948,0.01868,0.04022
2015,Schleswig-Holstein,Yes,0.71675,674,718,0.68377,0.74974
2015,Schleswig-Holstein,No,0.03481,44,718,0.02140,0.04823
2015,Hamburg,Yes,0.65213,295,327,0.60042,0.70383
2015,Hamburg,No,0.05691,32,327,0.03176,0.08205
2015,Lower Saxony,Yes,0.70777,1889,2000,0.68783,0.72770
2015,Lower Saxony,No,0.02626,111,2000,0.01925,0.03327
2015,Bremen,Yes,0.63387,106,106,0.54173,0.72602
2015,North Rhine-Westphalia,Yes,0.63432,3531,3899,0.61920,0.64944
2015,North Rhine-Westphalia,No,0.04406,368,3899,0.03762,0.05051
2015,Hesse,Yes,0.60074,1186,1306,0.57417,0.62731
2015,Hesse,No,0.04236,120,1306,0.03143,0.05329
2015,"Rhineland-Palatinate, Saarland",Yes,0.63913,1056,1143,0.61127,0.66698
2015,"Rhineland-Palatinate, Saarland",No,0.04515,87,1143,0.03311,0.05720
2015,Baden-Wuerttemberg,Yes,0.60159,2037,2254,0.58138,0.62181
2015,Baden-Wuerttemberg,No,0.05651,217,2254,0.04698,0.06605
2015,Bavaria,Yes,0.64343,3001,3302,0.62709,0.65977
2015,Bavaria,No,0.04846,301,3302,0.04113,0.05578
2015,Berlin,Yes,0.70318,746,791,0.67132,0.73504
2015,Berlin,No,0.03667,45,791,0.02356,0.04978
2015,Brandenburg,Yes,0.78703,870,870,0.75981,0.81425
2015,Mecklenburg-Western Pomerania,Yes,0.81504,520,520,0.78163,0.84844
2015,Saxony,Yes,0.79920,1403,1458,0.77863,0.81977
2015,Saxony,No,0.02476,55,1458,0.01678,0.03273
2015,Saxony-Anhalt,Yes,0.81815,812,812,0.79160,0.84469
2015,Thuringa,Yes,0.77823,866,866,0.75055,0.80592
2016,Schleswig-Holstein,Yes,0.69495,625,662,0.65985,0.73005
2016,Schleswig-Holstein,No,0.02831,37,662,0.01567,0.04096
2016,Hamburg,Yes,0.63641,282,316,0.58329,0.68953
2016,Hamburg,No,0.05579,34,316,0.03044,0.08113
2016,Lower Saxony,Yes,0.69991,1777,1884,0.67921,0.72061
2016,Lower Saxony,No,0.03320,107,1884,0.02511,0.04129
2016,Bremen,Yes,0.63161,109,109,0.54064,0.72259
2016,North Rhine-Westphalia,Yes,0.63380,3338,3663,0.61820,0.64941
2016,North Rhine-Westphalia,No,0.04151,325,3663,0.03505,0.04797
2016,Hesse,Yes,0.59920,1081,1178,0.57121,0.62720
2016,Hesse,No,0.04018,97,1178,0.02896,0.05140
2016,"Rhineland-Palatinate, Saarland",Yes,0.64245,996,1072,0.61375,0.67116
2016,"Rhineland-Palatinate, Saarland",No,0.04103,76,1072,0.02915,0.05292
2016,Baden-Wuerttemberg,Yes,0.58709,1868,2075,0.56590,0.60828
2016,Baden-Wuerttemberg,No,0.05708,207,2075,0.04710,0.06707
2016,Bavaria,Yes,0.63587,2736,2999,0.61865,0.65309
2016,Bavaria,No,0.04900,263,2999,0.04127,0.05672
2016,Berlin,Yes,0.68942,698,747,0.65621,0.72262
2016,Berlin,No,0.04482,49,747,0.02998,0.05967
2016,Brandenburg,Yes,0.77235,816,849,0.74413,0.80057
2016,Brandenburg,No,0.03363,33,849,0.02150,0.04576
2016,Mecklenburg-Western Pomerania,Yes,0.76509,472,472,0.72680,0.80337
2016,Saxony,Yes,0.79369,1332,1387,0.77238,0.81499
2016,Saxony,No,0.02770,55,1387,0.01906,0.03634
2016,Saxony-Anhalt,Yes,0.79526,756,756,0.76647,0.82404
2016,Thuringa,Yes,0.78555,814,814,0.75734,0.81377
2017,Schleswig-Holstein,Yes,0.68854,756,793,0.65629,0.72079
2017,Schleswig-Holstein,No,0.02468,37,793,0.01388,0.03549
2017,Hamburg,Yes,0.63186,321,359,0.58189,0.68182
