year,hhtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Yes,0.34558,391,1247,0.31917,0.37198
1984,Single-person household,No,0.65442,856,1247,0.62802,0.68083
1984,Couple without children,Yes,0.55468,683,1321,0.52787,0.58149
1984,Couple without children,No,0.44532,638,1321,0.41851,0.47213
1984,Single parent,Yes,0.44314,127,320,0.38863,0.49765
1984,Single parent,No,0.55686,193,320,0.50235,0.61137
1984,Couple with children,Yes,0.68947,1501,2593,0.67166,0.70728
1984,Couple with children,No,0.31053,1092,2593,0.29272,0.32834
1984,Multi-generational household,Yes,0.79363,85,126,0.72269,0.86458
1984,Multi-generational household,No,0.20637,41,126,0.13542,0.27731
1984,Other Combinations,Yes,0.57308,68,133,0.48870,0.65746
1984,Other Combinations,No,0.42692,65,133,0.34254,0.51130
1985,Single-person household,Yes,0.35292,348,1107,0.32476,0.38108
1985,Single-person household,No,0.64708,759,1107,0.61892,0.67524
1985,Couple without children,Yes,0.56271,627,1199,0.53462,0.59080
1985,Couple without children,No,0.43729,572,1199,0.40920,0.46538
1985,Single parent,Yes,0.47541,123,286,0.41743,0.53339
1985,Single parent,No,0.52459,163,286,0.46661,0.58257
1985,Couple with children,Yes,0.70400,1390,2330,0.68546,0.72254
1985,Couple with children,No,0.29600,940,2330,0.27746,0.31454
1985,Multi-generational household,Yes,0.81573,79,113,0.74393,0.88753
1985,Multi-generational household,No,0.18427,34,113,0.11247,0.25607
1985,Other Combinations,Yes,0.58196,64,121,0.49370,0.67021
1985,Other Combinations,No,0.41804,57,121,0.32979,0.50630
1986,Single-person household,Yes,0.35988,346,1038,0.33067,0.38909
1986,Single-person household,No,0.64012,692,1038,0.61091,0.66933
1986,Couple without children,Yes,0.56651,629,1180,0.53822,0.59479
1986,Couple without children,No,0.43349,551,1180,0.40521,0.46178
1986,Single parent,Yes,0.52072,128,274,0.46146,0.57998
1986,Single parent,No,0.47928,146,274,0.42002,0.53854
1986,Couple with children,Yes,0.69900,1312,2189,0.67978,0.71822
1986,Couple with children,No,0.30100,877,2189,0.28178,0.32022
1986,Multi-generational household,Yes,0.74799,74,114,0.66794,0.82804
1986,Multi-generational household,No,0.25201,40,114,0.17196,0.33206
1986,Other Combinations,Yes,0.61305,68,117,0.52442,0.70169
1986,Other Combinations,No,0.38695,49,117,0.29831,0.47558
1987,Single-person household,Yes,0.36024,353,1046,0.33113,0.38935
1987,Single-person household,No,0.63976,693,1046,0.61065,0.66887
1987,Couple without children,Yes,0.57587,637,1169,0.54753,0.60422
1987,Couple without children,No,0.42413,532,1169,0.39578,0.45247
1987,Single parent,Yes,0.55441,132,268,0.49479,0.61403
1987,Single parent,No,0.44559,136,268,0.38597,0.50521
1987,Couple with children,Yes,0.69288,1288,2147,0.67337,0.71240
1987,Couple with children,No,0.30712,859,2147,0.28760,0.32663
1987,Multi-generational household,Yes,0.71989,70,119,0.63886,0.80091
1987,Multi-generational household,No,0.28011,49,119,0.19909,0.36114
1987,Other Combinations,Yes,0.48734,52,110,0.39350,0.58118
1987,Other Combinations,No,0.51266,58,110,0.41882,0.60650
1988,Single-person household,Yes,0.39738,384,1013,0.36723,0.42753
1988,Single-person household,No,0.60262,629,1013,0.57247,0.63277
1988,Couple without children,Yes,0.57655,617,1143,0.54789,0.60520
1988,Couple without children,No,0.42345,526,1143,0.39480,0.45211
1988,Single parent,Yes,0.58613,137,264,0.52660,0.64566
1988,Single parent,No,0.41387,127,264,0.35434,0.47340
1988,Couple with children,Yes,0.70352,1243,2051,0.68375,0.72329
1988,Couple with children,No,0.29648,808,2051,0.27671,0.31625
1988,Multi-generational household,Yes,0.74612,61,99,0.65995,0.83229
1988,Multi-generational household,No,0.25388,38,99,0.16771,0.34005
1988,Other Combinations,Yes,0.54494,48,95,0.44427,0.64561
1988,Other Combinations,No,0.45506,47,95,0.35439,0.55573
1989,Single-person household,Yes,0.38654,375,1011,0.35651,0.41657
1989,Single-person household,No,0.61346,636,1011,0.58343,0.64349
1989,Couple without children,Yes,0.57791,620,1134,0.54915,0.60667
1989,Couple without children,No,0.42209,514,1134,0.39333,0.45085
1989,Single parent,Yes,0.62451,140,249,0.56424,0.68478
1989,Single parent,No,0.37549,109,249,0.31522,0.43576
1989,Couple with children,Yes,0.71183,1193,1964,0.69179,0.73186
1989,Couple with children,No,0.28817,771,1964,0.26814,0.30821
1989,Multi-generational household,Yes,0.78180,63,104,0.70203,0.86156
1989,Multi-generational household,No,0.21820,41,104,0.13844,0.29797
1989,Other Combinations,Yes,0.62315,50,86,0.52013,0.72618
1989,Other Combinations,No,0.37685,36,86,0.27382,0.47987
1990,Single-person household,Yes,0.42125,463,1067,0.39161,0.45089
1990,Single-person household,No,0.57875,604,1067,0.54911,0.60839
1990,Couple without children,Yes,0.64154,900,1397,0.61638,0.66669
1990,Couple without children,No,0.35846,497,1397,0.33331,0.38362
1990,Single parent,Yes,0.67520,176,281,0.62034,0.73005
1990,Single parent,No,0.32480,105,281,0.26995,0.37966
1990,Couple with children,Yes,0.74228,1724,2476,0.72505,0.75951
1990,Couple with children,No,0.25772,752,2476,0.24049,0.27495
1990,Multi-generational household,Yes,0.83481,108,152,0.77558,0.89405
1990,Multi-generational household,No,0.16519,44,152,0.10595,0.22442
1990,Other Combinations,Yes,0.68339,84,118,0.59911,0.76768
1990,Other Combinations,No,0.31661,34,118,0.23232,0.40089
1991,Single-person household,Yes,0.35385,435,1265,0.32749,0.38021
1991,Single-person household,No,0.64615,830,1265,0.61979,0.67251
1991,Couple without children,Yes,0.59649,914,1639,0.57273,0.62025
1991,Couple without children,No,0.40351,725,1639,0.37975,0.42727
1991,Single parent,Yes,0.57000,185,377,0.51996,0.62005
1991,Single parent,No,0.43000,192,377,0.37995,0.48004
1991,Couple with children,Yes,0.68714,1744,2971,0.67046,0.70381
1991,Couple with children,No,0.31286,1227,2971,0.29619,0.32954
1991,Multi-generational household,Yes,0.82085,101,153,0.75989,0.88182
1991,Multi-generational household,No,0.17915,52,153,0.11818,0.24011
1991,Other Combinations,Yes,0.57494,86,149,0.49530,0.65459
1991,Other Combinations,No,0.42506,63,149,0.34541,0.50470
1992,Single-person household,Yes,0.36719,446,1254,0.34050,0.39388
1992,Single-person household,No,0.63281,808,1254,0.60612,0.65950
1992,Couple without children,Yes,0.60444,920,1645,0.58080,0.62807
1992,Couple without children,No,0.39556,725,1645,0.37193,0.41920
1992,Single parent,Yes,0.54994,181,385,0.50018,0.59970
