year,bula_h,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Yes,0.62778,122,196,0.55993,0.69563
1984,Schleswig-Holstein,No,0.37222,74,196,0.30437,0.44007
1984,Hamburg,No,0.81977,131,131,0.75370,0.88585
1984,Lower Saxony,Yes,0.63688,351,579,0.59768,0.67609
1984,Lower Saxony,No,0.36312,228,579,0.32391,0.40232
1984,Bremen,No,0.83122,61,61,0.73644,0.92599
1984,North Rhine-Westphalia,Yes,0.48926,738,1568,0.46451,0.51401
1984,North Rhine-Westphalia,No,0.51074,830,1568,0.48599,0.53549
1984,Hesse,Yes,0.54715,268,571,0.50628,0.58801
1984,Hesse,No,0.45285,303,571,0.41199,0.49372
1984,"Rhineland-Palatinate, Saarland",Yes,0.65929,243,386,0.61194,0.70663
1984,"Rhineland-Palatinate, Saarland",No,0.34071,143,386,0.29337,0.38806
1984,Baden-Wuerttemberg,Yes,0.57566,530,1035,0.54554,0.60579
1984,Baden-Wuerttemberg,No,0.42434,505,1035,0.39421,0.45446
1984,Bavaria,Yes,0.59612,536,958,0.56503,0.62720
1984,Bavaria,No,0.40388,422,958,0.37280,0.43497
1984,Berlin,No,0.88123,188,188,0.83486,0.92760
1985,Schleswig-Holstein,Yes,0.60649,108,179,0.53472,0.67826
1985,Schleswig-Holstein,No,0.39351,71,179,0.32174,0.46528
1985,Hamburg,No,0.83161,126,126,0.76601,0.89721
1985,Lower Saxony,Yes,0.64053,322,510,0.59884,0.68222
1985,Lower Saxony,No,0.35947,188,510,0.31778,0.40116
1985,Bremen,No,0.82161,51,51,0.71549,0.92773
1985,North Rhine-Westphalia,Yes,0.50181,692,1408,0.47569,0.52794
1985,North Rhine-Westphalia,No,0.49819,716,1408,0.47206,0.52431
1985,Hesse,Yes,0.56319,252,518,0.52044,0.60595
1985,Hesse,No,0.43681,266,518,0.39405,0.47956
1985,"Rhineland-Palatinate, Saarland",Yes,0.66442,225,346,0.61459,0.71425
1985,"Rhineland-Palatinate, Saarland",No,0.33558,121,346,0.28575,0.38541
1985,Baden-Wuerttemberg,Yes,0.58015,477,921,0.54826,0.61204
1985,Baden-Wuerttemberg,No,0.41985,444,921,0.38796,0.45174
1985,Bavaria,Yes,0.60160,491,862,0.56890,0.63431
1985,Bavaria,No,0.39840,371,862,0.36569,0.43110
1985,Berlin,No,0.87991,171,171,0.83105,0.92878
1986,Schleswig-Holstein,Yes,0.64721,101,158,0.57246,0.72195
1986,Schleswig-Holstein,No,0.35279,57,158,0.27805,0.42754
1986,Hamburg,No,0.79978,111,111,0.72499,0.87456
1986,Lower Saxony,Yes,0.65785,326,504,0.61639,0.69931
1986,Lower Saxony,No,0.34215,178,504,0.30069,0.38361
1986,Bremen,No,0.79264,47,47,0.67548,0.90980
1986,North Rhine-Westphalia,Yes,0.50211,674,1342,0.47535,0.52888
1986,North Rhine-Westphalia,No,0.49789,668,1342,0.47112,0.52465
1986,Hesse,Yes,0.56393,238,485,0.51975,0.60811
1986,Hesse,No,0.43607,247,485,0.39189,0.48025
1986,"Rhineland-Palatinate, Saarland",Yes,0.63839,224,348,0.58783,0.68894
1986,"Rhineland-Palatinate, Saarland",No,0.36161,124,348,0.31106,0.41217
1986,Baden-Wuerttemberg,Yes,0.59313,469,877,0.56060,0.62566
1986,Baden-Wuerttemberg,No,0.40687,408,877,0.37434,0.43940
1986,Bavaria,Yes,0.59183,464,806,0.55788,0.62579
1986,Bavaria,No,0.40817,342,806,0.37421,0.44212
1986,Berlin,No,0.91102,173,173,0.86847,0.95357
1987,Schleswig-Holstein,Yes,0.65299,103,160,0.57900,0.72698
1987,Schleswig-Holstein,No,0.34701,57,160,0.27302,0.42100
1987,Hamburg,No,0.78685,97,97,0.70492,0.86877
1987,Lower Saxony,Yes,0.64110,322,503,0.59914,0.68306
1987,Lower Saxony,No,0.35890,181,503,0.31694,0.40086
1987,Bremen,No,0.79785,45,45,0.67918,0.91652
1987,North Rhine-Westphalia,Yes,0.49857,675,1332,0.47171,0.52544
1987,North Rhine-Westphalia,No,0.50143,657,1332,0.47456,0.52829
1987,Hesse,Yes,0.56256,231,477,0.51799,0.60712
1987,Hesse,No,0.43744,246,477,0.39288,0.48201
1987,"Rhineland-Palatinate, Saarland",Yes,0.64142,225,347,0.59088,0.69195
1987,"Rhineland-Palatinate, Saarland",No,0.35858,122,347,0.30805,0.40912
1987,Baden-Wuerttemberg,Yes,0.58007,458,865,0.54716,0.61298
1987,Baden-Wuerttemberg,No,0.41993,407,865,0.38702,0.45284
1987,Bavaria,Yes,0.58672,455,800,0.55258,0.62087
1987,Bavaria,No,0.41328,345,800,0.37913,0.44742
1987,Berlin,No,0.88638,170,170,0.83853,0.93422
1988,Schleswig-Holstein,Yes,0.66848,104,160,0.59531,0.74166
1988,Schleswig-Holstein,No,0.33152,56,160,0.25834,0.40469
