year,bula_h,regtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Yes,0.62778,122,196,0.55993,0.69563
1984,Schleswig-Holstein,No answer / don't know,No,0.37222,74,196,0.30437,0.44007
1984,Hamburg,No answer / don't know,No,0.81977,131,131,0.75370,0.88585
1984,Lower Saxony,No answer / don't know,Yes,0.63688,351,579,0.59768,0.67609
1984,Lower Saxony,No answer / don't know,No,0.36312,228,579,0.32391,0.40232
1984,Bremen,No answer / don't know,No,0.83122,61,61,0.73644,0.92599
1984,North Rhine-Westphalia,No answer / don't know,Yes,0.48926,738,1568,0.46451,0.51401
1984,North Rhine-Westphalia,No answer / don't know,No,0.51074,830,1568,0.48599,0.53549
1984,Hesse,No answer / don't know,Yes,0.54715,268,571,0.50628,0.58801
1984,Hesse,No answer / don't know,No,0.45285,303,571,0.41199,0.49372
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Yes,0.65929,243,386,0.61194,0.70663
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,No,0.34071,143,386,0.29337,0.38806
1984,Baden-Wuerttemberg,No answer / don't know,Yes,0.57566,530,1035,0.54554,0.60579
1984,Baden-Wuerttemberg,No answer / don't know,No,0.42434,505,1035,0.39421,0.45446
1984,Bavaria,No answer / don't know,Yes,0.59612,536,958,0.56503,0.62720
1984,Bavaria,No answer / don't know,No,0.40388,422,958,0.37280,0.43497
1984,Berlin,No answer / don't know,No,0.88123,188,188,0.83486,0.92760
1985,Schleswig-Holstein,Urban regions,Yes,0.53805,44,87,0.43268,0.64342
1985,Schleswig-Holstein,Urban regions,No,0.46195,43,87,0.35658,0.56732
1985,Schleswig-Holstein,Rural regions,Yes,0.66380,64,64,0.54715,0.78046
1985,Hamburg,Urban regions,No,0.82782,123,123,0.76083,0.89482
1985,Lower Saxony,Urban regions,Yes,0.50135,118,242,0.43822,0.56447
1985,Lower Saxony,Urban regions,No,0.49865,124,242,0.43553,0.56178
1985,Lower Saxony,Rural regions,Yes,0.75292,204,268,0.70118,0.80465
1985,Lower Saxony,Rural regions,No,0.24708,64,268,0.19535,0.29882
1985,Bremen,Urban regions,No,0.82161,51,51,0.71549,0.92773
1985,North Rhine-Westphalia,Urban regions,Yes,0.49584,667,1374,0.46939,0.52229
1985,North Rhine-Westphalia,Urban regions,No,0.50416,707,1374,0.47771,0.53061
1985,Hesse,Urban regions,Yes,0.53610,205,449,0.48992,0.58228
1985,Hesse,Urban regions,No,0.46390,244,449,0.41772,0.51008
1985,Hesse,Rural regions,Yes,0.69462,47,47,0.56152,0.82772
1985,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.64195,175,284,0.58609,0.69781
1985,"Rhineland-Palatinate, Saarland",Urban regions,No,0.35805,109,284,0.30219,0.41391
1985,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.75586,50,50,0.63558,0.87614
1985,Baden-Wuerttemberg,Urban regions,Yes,0.55738,394,790,0.52272,0.59204
1985,Baden-Wuerttemberg,Urban regions,No,0.44262,396,790,0.40796,0.47728
1985,Baden-Wuerttemberg,Rural regions,Yes,0.71033,83,131,0.63236,0.78831
1985,Baden-Wuerttemberg,Rural regions,No,0.28967,48,131,0.21169,0.36764
1985,Bavaria,Urban regions,Yes,0.53855,231,472,0.49353,0.58358
1985,Bavaria,Urban regions,No,0.46145,241,472,0.41642,0.50647
1985,Bavaria,Rural regions,Yes,0.67237,260,390,0.62573,0.71901
1985,Bavaria,Rural regions,No,0.32763,130,390,0.28099,0.37427
1985,Berlin,Urban regions,No,0.87991,171,171,0.83105,0.92878
1986,Schleswig-Holstein,Urban regions,Yes,0.58289,42,77,0.47203,0.69375
1986,Schleswig-Holstein,Urban regions,No,0.41711,35,77,0.30625,0.52797
1986,Schleswig-Holstein,Rural regions,Yes,0.70160,59,59,0.58385,0.81936
1986,Hamburg,Urban regions,No,0.79503,108,108,0.71854,0.87152
1986,Lower Saxony,Urban regions,Yes,0.51437,125,247,0.45192,0.57683
1986,Lower Saxony,Urban regions,No,0.48563,122,247,0.42317,0.54808
1986,Lower Saxony,Rural regions,Yes,0.78407,201,257,0.73366,0.83447
1986,Lower Saxony,Rural regions,No,0.21593,56,257,0.16553,0.26634
1986,Bremen,Urban regions,No,0.79264,47,47,0.67548,0.90980
1986,North Rhine-Westphalia,Urban regions,Yes,0.49700,651,1311,0.46993,0.52408
1986,North Rhine-Westphalia,Urban regions,No,0.50300,660,1311,0.47592,0.53007
1986,Hesse,Urban regions,Yes,0.54145,194,417,0.49357,0.58934
1986,Hesse,Urban regions,No,0.45855,223,417,0.41066,0.50643
1986,Hesse,Rural regions,Yes,0.67089,44,44,0.53044,0.81133
1986,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.61630,176,285,0.55975,0.67286
1986,"Rhineland-Palatinate, Saarland",Urban regions,No,0.38370,109,285,0.32714,0.44025
1986,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.72498,48,48,0.59732,0.85264
1986,Baden-Wuerttemberg,Urban regions,Yes,0.57238,385,747,0.53688,0.60789
1986,Baden-Wuerttemberg,Urban regions,No,0.42762,362,747,0.39211,0.46312
1986,Baden-Wuerttemberg,Rural regions,Yes,0.70826,84,130,0.62982,0.78671
1986,Baden-Wuerttemberg,Rural regions,No,0.29174,46,130,0.21329,0.37018
1986,Bavaria,Urban regions,Yes,0.51189,217,445,0.46540,0.55839
1986,Bavaria,Urban regions,No,0.48811,228,445,0.44161,0.53460
1986,Bavaria,Rural regions,Yes,0.68556,247,361,0.63760,0.73353
1986,Bavaria,Rural regions,No,0.31444,114,361,0.26647,0.36240
1986,Berlin,Urban regions,No,0.91102,173,173,0.86847,0.95357
1987,Schleswig-Holstein,Urban regions,Yes,0.59803,42,77,0.48780,0.70826
1987,Schleswig-Holstein,Urban regions,No,0.40197,35,77,0.29174,0.51220
1987,Schleswig-Holstein,Rural regions,Yes,0.70022,61,61,0.58429,0.81615
1987,Hamburg,Urban regions,No,0.78289,95,95,0.69954,0.86623
1987,Lower Saxony,Urban regions,Yes,0.50074,128,249,0.43851,0.56297
1987,Lower Saxony,Urban regions,No,0.49926,121,249,0.43703,0.56149
1987,Lower Saxony,Rural regions,Yes,0.77196,194,254,0.72026,0.82366
1987,Lower Saxony,Rural regions,No,0.22804,60,254,0.17634,0.27974
1987,Bremen,Urban regions,No,0.79785,45,45,0.67918,0.91652
1987,North Rhine-Westphalia,Urban regions,Yes,0.49285,651,1301,0.46568,0.52003
1987,North Rhine-Westphalia,Urban regions,No,0.50715,650,1301,0.47997,0.53432
1987,Hesse,Urban regions,Yes,0.55195,192,414,0.50399,0.59991
1987,Hesse,Urban regions,No,0.44805,222,414,0.40009,0.49601
1987,Hesse,Rural regions,Yes,0.61707,39,39,0.46251,0.77163
1987,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.61455,177,284,0.55785,0.67126
1987,"Rhineland-Palatinate, Saarland",Urban regions,No,0.38545,107,284,0.32874,0.44215
1987,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.75134,48,48,0.62776,0.87491
1987,Baden-Wuerttemberg,Urban regions,Yes,0.56449,378,735,0.52862,0.60036
1987,Baden-Wuerttemberg,Urban regions,No,0.43551,357,735,0.39964,0.47138
1987,Baden-Wuerttemberg,Rural regions,Yes,0.66438,80,130,0.58290,0.74587
1987,Baden-Wuerttemberg,Rural regions,No,0.33562,50,130,0.25413,0.41710
1987,Bavaria,Urban regions,Yes,0.49764,209,444,0.45108,0.54421
1987,Bavaria,Urban regions,No,0.50236,235,444,0.45579,0.54892
1987,Bavaria,Rural regions,Yes,0.69501,246,356,0.64712,0.74291
1987,Bavaria,Rural regions,No,0.30499,110,356,0.25709,0.35288
1987,Berlin,Urban regions,No,0.88638,170,170,0.83853,0.93422
1988,Schleswig-Holstein,Urban regions,Yes,0.59773,42,75,0.48601,0.70946
1988,Schleswig-Holstein,Urban regions,No,0.40227,33,75,0.29054,0.51399
1988,Schleswig-Holstein,Rural regions,Yes,0.72481,62,62,0.61274,0.83689
1988,Hamburg,Urban regions,Yes,0.27599,32,113,0.19320,0.35878
1988,Hamburg,Urban regions,No,0.72401,81,113,0.64122,0.80680
1988,Lower Saxony,Urban regions,Yes,0.51191,122,244,0.44906,0.57476
1988,Lower Saxony,Urban regions,No,0.48809,122,244,0.42524,0.55094
1988,Lower Saxony,Rural regions,Yes,0.79176,186,239,0.74017,0.84335
1988,Lower Saxony,Rural regions,No,0.20824,53,239,0.15665,0.25983
1988,Bremen,Urban regions,No,0.76544,42,42,0.63574,0.89514
1988,North Rhine-Westphalia,Urban regions,Yes,0.51093,637,1235,0.48304,0.53883
1988,North Rhine-Westphalia,Urban regions,No,0.48907,598,1235,0.46117,0.51696
1988,Hesse,Urban regions,Yes,0.56271,186,391,0.51348,0.61194
1988,Hesse,Urban regions,No,0.43729,205,391,0.38806,0.48652
1988,Hesse,Rural regions,Yes,0.63264,38,38,0.47730,0.78798
1988,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.65826,181,279,0.60250,0.71401
1988,"Rhineland-Palatinate, Saarland",Urban regions,No,0.34174,98,279,0.28599,0.39750
1988,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.78055,43,43,0.65538,0.90572
1988,Baden-Wuerttemberg,Urban regions,Yes,0.58243,381,724,0.54649,0.61838
1988,Baden-Wuerttemberg,Urban regions,No,0.41757,343,724,0.38162,0.45351
1988,Baden-Wuerttemberg,Rural regions,Yes,0.68228,75,119,0.59827,0.76628
1988,Baden-Wuerttemberg,Rural regions,No,0.31772,44,119,0.23372,0.40173
1988,Bavaria,Urban regions,Yes,0.52438,214,436,0.47745,0.57131
1988,Bavaria,Urban regions,No,0.47562,222,436,0.42869,0.52255
1988,Bavaria,Rural regions,Yes,0.71369,233,335,0.66521,0.76217
1988,Bavaria,Rural regions,No,0.28631,102,335,0.23783,0.33479
1988,Berlin,Urban regions,No,0.88715,162,162,0.83827,0.93603
1989,Schleswig-Holstein,Urban regions,Yes,0.59317,43,78,0.48345,0.70290
1989,Schleswig-Holstein,Urban regions,No,0.40683,35,78,0.29710,0.51655
1989,Schleswig-Holstein,Rural regions,Yes,0.65948,50,50,0.52680,0.79217
1989,Hamburg,Urban regions,No,0.75268,83,83,0.65930,0.84607
1989,Lower Saxony,Urban regions,Yes,0.53089,126,245,0.46827,0.59351
1989,Lower Saxony,Urban regions,No,0.46911,119,245,0.40649,0.53173
1989,Lower Saxony,Rural regions,Yes,0.80103,180,229,0.74921,0.85286
1989,Lower Saxony,Rural regions,No,0.19897,49,229,0.14714,0.25079
1989,Bremen,Urban regions,No,0.76721,43,43,0.63940,0.89502
1989,North Rhine-Westphalia,Urban regions,Yes,0.51781,627,1198,0.48950,0.54612
1989,North Rhine-Westphalia,Urban regions,No,0.48219,571,1198,0.45388,0.51050
1989,Hesse,Urban regions,Yes,0.54314,186,400,0.49426,0.59202
1989,Hesse,Urban regions,No,0.45686,214,400,0.40798,0.50574
1989,Hesse,Rural regions,Yes,0.62400,36,36,0.46353,0.78448
1989,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.69144,183,271,0.63635,0.74654
1989,"Rhineland-Palatinate, Saarland",Urban regions,No,0.30856,88,271,0.25346,0.36365
1989,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.76425,38,38,0.62747,0.90102
1989,Baden-Wuerttemberg,Urban regions,Yes,0.59080,368,693,0.55417,0.62743
1989,Baden-Wuerttemberg,Urban regions,No,0.40920,325,693,0.37257,0.44583
1989,Baden-Wuerttemberg,Rural regions,Yes,0.69943,76,113,0.61451,0.78435
1989,Baden-Wuerttemberg,Rural regions,No,0.30057,37,113,0.21565,0.38549
1989,Bavaria,Urban regions,Yes,0.51549,204,422,0.46775,0.56323
1989,Bavaria,Urban regions,No,0.48451,218,422,0.43677,0.53225
1989,Bavaria,Rural regions,Yes,0.71105,233,336,0.66251,0.75959
1989,Bavaria,Rural regions,No,0.28895,103,336,0.24041,0.33749
1989,Berlin,Urban regions,No,0.88690,158,158,0.83735,0.93644
1990,Schleswig-Holstein,Urban regions,Yes,0.56643,40,76,0.45428,0.67859
1990,Schleswig-Holstein,Urban regions,No,0.43357,36,76,0.32141,0.54572
1990,Schleswig-Holstein,Rural regions,Yes,0.73678,52,52,0.61592,0.85765
1990,Hamburg,Urban regions,No,0.78285,79,79,0.69135,0.87435
1990,Lower Saxony,Urban regions,Yes,0.52132,127,242,0.45825,0.58439
1990,Lower Saxony,Urban regions,No,0.47868,115,242,0.41561,0.54175
1990,Lower Saxony,Rural regions,Yes,0.80090,181,232,0.74940,0.85240
1990,Lower Saxony,Rural regions,No,0.19910,51,232,0.14760,0.25060
1990,Bremen,Urban regions,No,0.78111,41,41,0.65297,0.90925
1990,North Rhine-Westphalia,Urban regions,Yes,0.52635,628,1170,0.49773,0.55497
1990,North Rhine-Westphalia,Urban regions,No,0.47365,542,1170,0.44503,0.50227
1990,Hesse,Urban regions,Yes,0.54612,183,389,0.49658,0.59566
1990,Hesse,Urban regions,No,0.45388,206,389,0.40434,0.50342
1990,Hesse,Rural regions,Yes,0.69088,39,39,0.54394,0.83781
1990,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.69906,178,264,0.64362,0.75449
1990,"Rhineland-Palatinate, Saarland",Urban regions,No,0.30094,86,264,0.24551,0.35638
1990,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.73202,38,38,0.58931,0.87473
1990,Baden-Wuerttemberg,Urban regions,Yes,0.60796,372,690,0.57150,0.64441
1990,Baden-Wuerttemberg,Urban regions,No,0.39204,318,690,0.35559,0.42850
1990,Baden-Wuerttemberg,Rural regions,Yes,0.66366,72,113,0.57616,0.75116
1990,Baden-Wuerttemberg,Rural regions,No,0.33634,41,113,0.24884,0.42384
1990,Bavaria,Urban regions,Yes,0.52593,207,415,0.47783,0.57403
