year,bula_h,quintil_oecd_hh,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Hamburg,3rd Quintile,No,0.84862,31,31,0.72036,0.97688
1984,Lower Saxony,1st Quintile,Yes,0.48993,61,137,0.40591,0.57395
1984,Lower Saxony,1st Quintile,No,0.51007,76,137,0.42605,0.59409
1984,Lower Saxony,2nd Quintile,Yes,0.61938,68,112,0.52905,0.70970
1984,Lower Saxony,2nd Quintile,No,0.38062,44,112,0.29030,0.47095
1984,Lower Saxony,3rd Quintile,Yes,0.67358,73,111,0.58595,0.76121
1984,Lower Saxony,3rd Quintile,No,0.32642,38,111,0.23879,0.41405
1984,Lower Saxony,4th Quintile,Yes,0.67932,78,121,0.59581,0.76283
1984,Lower Saxony,4th Quintile,No,0.32068,43,121,0.23717,0.40419
1984,Lower Saxony,5th Quintile,Yes,0.79215,71,71,0.69709,0.88721
1984,North Rhine-Westphalia,1st Quintile,Yes,0.34194,124,377,0.29399,0.38989
1984,North Rhine-Westphalia,1st Quintile,No,0.65806,253,377,0.61011,0.70601
1984,North Rhine-Westphalia,2nd Quintile,Yes,0.47508,140,316,0.41993,0.53023
1984,North Rhine-Westphalia,2nd Quintile,No,0.52492,176,316,0.46977,0.58007
1984,North Rhine-Westphalia,3rd Quintile,Yes,0.52164,144,288,0.46385,0.57944
1984,North Rhine-Westphalia,3rd Quintile,No,0.47836,144,288,0.42056,0.53615
1984,North Rhine-Westphalia,4th Quintile,Yes,0.48540,148,304,0.42913,0.54168
1984,North Rhine-Westphalia,4th Quintile,No,0.51460,156,304,0.45832,0.57087
1984,North Rhine-Westphalia,5th Quintile,Yes,0.64598,181,279,0.58976,0.70219
1984,North Rhine-Westphalia,5th Quintile,No,0.35402,98,279,0.29781,0.41024
1984,Hesse,1st Quintile,Yes,0.46533,49,126,0.37789,0.55277
1984,Hesse,1st Quintile,No,0.53467,77,126,0.44723,0.62211
1984,Hesse,2nd Quintile,Yes,0.53924,48,111,0.44609,0.63239
1984,Hesse,2nd Quintile,No,0.46076,63,111,0.36761,0.55391
1984,Hesse,3rd Quintile,Yes,0.50210,41,92,0.39937,0.60483
1984,Hesse,3rd Quintile,No,0.49790,51,92,0.39517,0.60063
1984,Hesse,4th Quintile,Yes,0.56015,59,120,0.47096,0.64933
1984,Hesse,4th Quintile,No,0.43985,61,120,0.35067,0.52904
1984,Hesse,5th Quintile,Yes,0.62659,69,119,0.53931,0.71386
1984,Hesse,5th Quintile,No,0.37341,50,119,0.28614,0.46069
1984,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.62282,47,81,0.51661,0.72903
1984,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.37718,34,81,0.27097,0.48339
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.59199,56,98,0.49419,0.68980
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.40801,42,98,0.31020,0.50581
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.61813,50,83,0.51297,0.72329
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.38187,33,83,0.27671,0.48703
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.71726,48,48,0.58852,0.84601
1984,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.83069,42,42,0.71590,0.94549
1984,Baden-Wuerttemberg,1st Quintile,Yes,0.42876,73,181,0.35646,0.50106
1984,Baden-Wuerttemberg,1st Quintile,No,0.57124,108,181,0.49894,0.64354
