year,regtyp,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Yes,0.53181,2855,5740,0.51890,0.54472
1984,No answer / don't know,West,No,0.46819,2885,5740,0.45528,0.48110
1985,Urban regions,West,Yes,0.48932,1898,4107,0.47403,0.50461
1985,Urban regions,West,No,0.51068,2209,4107,0.49539,0.52597
1985,Rural regions,West,Yes,0.70285,733,1049,0.67518,0.73052
1985,Rural regions,West,No,0.29715,316,1049,0.26948,0.32482
1986,Urban regions,West,Yes,0.48970,1851,3918,0.47405,0.50536
1986,Urban regions,West,No,0.51030,2067,3918,0.49464,0.52595
1986,Rural regions,West,Yes,0.71485,706,994,0.68677,0.74293
1986,Rural regions,West,No,0.28515,288,994,0.25707,0.31323
1987,Urban regions,West,Yes,0.48884,1840,3877,0.47310,0.50457
1987,Urban regions,West,No,0.51116,2037,3877,0.49543,0.52690
1987,Rural regions,West,Yes,0.70988,692,982,0.68148,0.73828
1987,Rural regions,West,No,0.29012,290,982,0.26172,0.31852
1988,Urban regions,West,Yes,0.50839,1830,3736,0.49236,0.52443
1988,Urban regions,West,No,0.49161,1906,3736,0.47557,0.50764
1988,Rural regions,West,Yes,0.72683,660,929,0.69816,0.75550
1988,Rural regions,West,No,0.27317,269,929,0.24450,0.30184
1989,Urban regions,West,Yes,0.51250,1804,3658,0.49630,0.52870
1989,Urban regions,West,No,0.48750,1854,3658,0.47130,0.50370
1989,Rural regions,West,Yes,0.72585,637,890,0.69652,0.75517
1989,Rural regions,West,No,0.27415,253,890,0.24483,0.30348
1990,Urban regions,West,Yes,0.51843,1801,3578,0.50206,0.53481
1990,Urban regions,West,No,0.48157,1777,3578,0.46519,0.49794
1990,Rural regions,West,Yes,0.73128,645,904,0.70236,0.76019
1990,Rural regions,West,No,0.26872,259,904,0.23981,0.29764
1991,No answer / don't know,East,No,0.81931,34,34,0.68803,0.95059
1991,Urban regions,West,Yes,0.52100,1850,3685,0.50487,0.53713
1991,Urban regions,West,No,0.47900,1835,3685,0.46287,0.49513
1991,Urban regions,East,Yes,0.28895,196,635,0.25367,0.32424
