"ple0055","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","(noch) kein Abschluss","","","",""
"0","1984","Hauptschule","1","","",""
"0","1984","Realschule","","","",""
"0","1984","(Fach-)Abitur","1","","",""
"0","1984","AkademikerIn","","","",""
"1","1984","(noch) kein Abschluss","123","0.851649700789909","0.794189897347926","0.909109504231892"
"1","1984","Hauptschule","658","0.80960623539109","0.782467891003747","0.836744579778433"
"1","1984","Realschule","155","0.838409969635549","0.785081632191958","0.891738307079139"
"1","1984","(Fach-)Abitur","64","0.78962370907299","0.69799115711447","0.881256261031509"
"1","1984","AkademikerIn","47","0.78059278222896","0.674087336309797","0.887098228148124"
"2","1984","(noch) kein Abschluss","16","","",""
"2","1984","Hauptschule","91","0.118370969524404","0.0960411295795214","0.140700809469286"
"2","1984","Realschule","18","","",""
"2","1984","(Fach-)Abitur","7","","",""
"2","1984","AkademikerIn","9","","",""
"3","1984","(noch) kein Abschluss","4","","",""
"3","1984","Hauptschule","29","","",""
"3","1984","Realschule","5","","",""
"3","1984","(Fach-)Abitur","2","","",""
"3","1984","AkademikerIn","1","","",""
"4","1984","(noch) kein Abschluss","3","","",""
"4","1984","Hauptschule","9","","",""
"4","1984","Realschule","2","","",""
"4","1984","(Fach-)Abitur","","","",""
"4","1984","AkademikerIn","1","","",""
"5","1984","(noch) kein Abschluss","1","","",""
"5","1984","Hauptschule","2","","",""
"5","1984","Realschule","1","","",""
"5","1984","(Fach-)Abitur","1","","",""
"5","1984","AkademikerIn","","","",""
"6","1984","(noch) kein Abschluss","","","",""
"6","1984","Hauptschule","4","","",""
"6","1984","Realschule","1","","",""
"6","1984","(Fach-)Abitur","","","",""
"6","1984","AkademikerIn","","","",""
"7","1984","(noch) kein Abschluss","","","",""
"7","1984","Hauptschule","4","","",""
"7","1984","Realschule","","","",""
"7","1984","(Fach-)Abitur","","","",""
"7","1984","AkademikerIn","","","",""
"8","1984","(noch) kein Abschluss","","","",""
"8","1984","Hauptschule","1","","",""
"8","1984","Realschule","","","",""
"8","1984","(Fach-)Abitur","","","",""
"8","1984","AkademikerIn","","","",""
"9","1984","(noch) kein Abschluss","","","",""
"9","1984","Hauptschule","2","","",""
"9","1984","Realschule","","","",""
"9","1984","(Fach-)Abitur","","","",""
"9","1984","AkademikerIn","","","",""
"10","1984","(noch) kein Abschluss","","","",""
"10","1984","Hauptschule","1","","",""
"10","1984","Realschule","1","","",""
"10","1984","(Fach-)Abitur","1","","",""
"10","1984","AkademikerIn","","","",""
