"ple0055","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","17-29","männlich","","","",""
"0","1984","17-29","weiblich","","","",""
"0","1984","30-45","männlich","","","",""
"0","1984","30-45","weiblich","","","",""
"0","1984","46-65","männlich","1","","",""
"0","1984","46-65","weiblich","","","",""
"0","1984","66","männlich","","","",""
"0","1984","66","weiblich","","","",""
"1","1984","17-29","männlich","98","0.833035486543176","0.765167817129847","0.900903155956506"
"1","1984","17-29","weiblich","184","0.867926226643619","0.822134381593317","0.913718071693921"
"1","1984","30-45","männlich","118","0.781943924590208","0.715418273478983","0.848469575701433"
"1","1984","30-45","weiblich","214","0.85835923099361","0.81496310817994","0.90175535380728"
"1","1984","46-65","männlich","167","0.770171861369921","0.713404032195357","0.826939690544484"
"1","1984","46-65","weiblich","143","0.821060251597646","0.764107541864403","0.878012961330888"
"1","1984","66","männlich","","","",""
"1","1984","66","weiblich","","","",""
"2","1984","17-29","männlich","10","","",""
"2","1984","17-29","weiblich","17","","",""
"2","1984","30-45","männlich","19","","",""
"2","1984","30-45","weiblich","22","","",""
"2","1984","46-65","männlich","28","","",""
"2","1984","46-65","weiblich","20","","",""
"2","1984","66","männlich","","","",""
"2","1984","66","weiblich","","","",""
"3","1984","17-29","männlich","3","","",""
"3","1984","17-29","weiblich","5","","",""
"3","1984","30-45","männlich","8","","",""
"3","1984","30-45","weiblich","7","","",""
"3","1984","46-65","männlich","8","","",""
"3","1984","46-65","weiblich","3","","",""
"3","1984","66","männlich","","","",""
"3","1984","66","weiblich","","","",""
"4","1984","17-29","männlich","2","","",""
"4","1984","17-29","weiblich","2","","",""
"4","1984","30-45","männlich","1","","",""
"4","1984","30-45","weiblich","","","",""
"4","1984","46-65","männlich","2","","",""
"4","1984","46-65","weiblich","5","","",""
"4","1984","66","männlich","","","",""
"4","1984","66","weiblich","","","",""
"5","1984","17-29","männlich","","","",""
"5","1984","17-29","weiblich","1","","",""
"5","1984","30-45","männlich","","","",""
"5","1984","30-45","weiblich","2","","",""
"5","1984","46-65","männlich","2","","",""
"5","1984","46-65","weiblich","","","",""
"5","1984","66","männlich","","","",""
"5","1984","66","weiblich","","","",""
"6","1984","17-29","männlich","1","","",""
"6","1984","17-29","weiblich","","","",""
"6","1984","30-45","männlich","1","","",""
"6","1984","30-45","weiblich","","","",""
"6","1984","46-65","männlich","2","","",""
"6","1984","46-65","weiblich","","","",""
"6","1984","66","männlich","","","",""
"6","1984","66","weiblich","","","",""
"7","1984","17-29","männlich","","","",""
"7","1984","17-29","weiblich","1","","",""
"7","1984","30-45","männlich","","","",""
"7","1984","30-45","weiblich","1","","",""
"7","1984","46-65","männlich","1","","",""
"7","1984","46-65","weiblich","1","","",""
"7","1984","66","männlich","","","",""
"7","1984","66","weiblich","","","",""
"8","1984","17-29","männlich","","","",""
"8","1984","17-29","weiblich","","","",""
"8","1984","30-45","männlich","","","",""
"8","1984","30-45","weiblich","","","",""
"8","1984","46-65","männlich","","","",""
"8","1984","46-65","weiblich","1","","",""
"8","1984","66","männlich","","","",""
"8","1984","66","weiblich","","","",""
"9","1984","17-29","männlich","","","",""
"9","1984","17-29","weiblich","","","",""
"9","1984","30-45","männlich","1","","",""
"9","1984","30-45","weiblich","1","","",""
"9","1984","46-65","männlich","","","",""
"9","1984","46-65","weiblich","","","",""
"9","1984","66","männlich","","","",""
"9","1984","66","weiblich","","","",""
"10","1984","17-29","männlich","2","","",""
"10","1984","17-29","weiblich","","","",""
"10","1984","30-45","männlich","","","",""
"10","1984","30-45","weiblich","1","","",""
"10","1984","46-65","männlich","","","",""
"10","1984","46-65","weiblich","","","",""
"10","1984","66","männlich","","","",""
"10","1984","66","weiblich","","","",""
"11","1984","17-29","männlich","","","",""
"11","1984","17-29","weiblich","","","",""
"11","1984","30-45","männlich","","","",""
"11","1984","30-45","weiblich","","","",""
"11","1984","46-65","männlich","","","",""
"11","1984","46-65","weiblich","","","",""
"11","1984","66","männlich","","","",""
"11","1984","66","weiblich","","","",""
"12","1984","17-29","männlich","","","",""
"12","1984","17-29","weiblich","","","",""
"12","1984","30-45","männlich","","","",""
"12","1984","30-45","weiblich","","","",""
"12","1984","46-65","männlich","","","",""
"12","1984","46-65","weiblich","","","",""
"12","1984","66","männlich","","","",""
"12","1984","66","weiblich","","","",""
"13","1984","17-29","männlich","","","",""
"13","1984","17-29","weiblich","","","",""
"13","1984","30-45","männlich","","","",""
"13","1984","30-45","weiblich","","","",""
"13","1984","46-65","männlich","","","",""
"13","1984","46-65","weiblich","","","",""
"13","1984","66","männlich","","","",""
"13","1984","66","weiblich","","","",""
"14","1984","17-29","männlich","","","",""
"14","1984","17-29","weiblich","","","",""
"14","1984","30-45","männlich","","","",""
"14","1984","30-45","weiblich","","","",""
"14","1984","46-65","männlich","","","",""
"14","1984","46-65","weiblich","1","","",""
"14","1984","66","männlich","","","",""
"14","1984","66","weiblich","","","",""
"15","1984","17-29","männlich","","","",""
"15","1984","17-29","weiblich","","","",""
"15","1984","30-45","männlich","","","",""
"15","1984","30-45","weiblich","","","",""
"15","1984","46-65","männlich","","","",""
"15","1984","46-65","weiblich","","","",""
"15","1984","66","männlich","","","",""
"15","1984","66","weiblich","","","",""
"16","1984","17-29","männlich","","","",""
"16","1984","17-29","weiblich","","","",""
"16","1984","30-45","männlich","","","",""
"16","1984","30-45","weiblich","","","",""
"16","1984","46-65","männlich","","","",""
"16","1984","46-65","weiblich","","","",""
"16","1984","66","männlich","","","",""
"16","1984","66","weiblich","","","",""
"17","1984","17-29","männlich","","","",""
"17","1984","17-29","weiblich","","","",""
"17","1984","30-45","männlich","","","",""
"17","1984","30-45","weiblich","","","",""
"17","1984","46-65","männlich","","","",""
"17","1984","46-65","weiblich","","","",""
"17","1984","66","männlich","","","",""
"17","1984","66","weiblich","","","",""
"18","1984","17-29","männlich","","","",""
"18","1984","17-29","weiblich","","","",""
"18","1984","30-45","männlich","","","",""
"18","1984","30-45","weiblich","","","",""
"18","1984","46-65","männlich","","","",""
"18","1984","46-65","weiblich","","","",""
"18","1984","66","männlich","","","",""
"18","1984","66","weiblich","","","",""
"19","1984","17-29","männlich","","","",""
"19","1984","17-29","weiblich","","","",""
"19","1984","30-45","männlich","","","",""
"19","1984","30-45","weiblich","","","",""
"19","1984","46-65","männlich","","","",""
"19","1984","46-65","weiblich","","","",""
"19","1984","66","männlich","","","",""
"19","1984","66","weiblich","","","",""
"20","1984","17-29","männlich","","","",""
"20","1984","17-29","weiblich","","","",""
"20","1984","30-45","männlich","","","",""
"20","1984","30-45","weiblich","","","",""
