"ple0055","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","(noch) kein Abschluss","maennlich","","","",""
"0","1984","(noch) kein Abschluss","weiblich","","","",""
"0","1984","Hauptschule","maennlich","","","",""
"0","1984","Hauptschule","weiblich","1","","",""
"0","1984","Realschule","maennlich","","","",""
"0","1984","Realschule","weiblich","","","",""
"0","1984","(Fach-)Abitur","maennlich","1","","",""
"0","1984","(Fach-)Abitur","weiblich","","","",""
"0","1984","AkademikerIn","maennlich","","","",""
"0","1984","AkademikerIn","weiblich","","","",""
"1","1984","(noch) kein Abschluss","maennlich","49","0.847509027750313","0.754990582177429","0.940027473323197"
"1","1984","(noch) kein Abschluss","weiblich","74","0.854628096337206","0.78139929763954","0.927856895034873"
"1","1984","Hauptschule","maennlich","276","0.778136169623271","0.734730364724846","0.821541974521696"
"1","1984","Hauptschule","weiblich","382","0.833273935536102","0.798912245034891","0.867635626037313"
"1","1984","Realschule","maennlich","42","0.823900880946908","0.718321487134232","0.929480274759583"
"1","1984","Realschule","weiblich","113","0.84370919593652","0.781994957425794","0.905423434447246"
"1","1984","(Fach-)Abitur","maennlich","39","0.792395846210904","0.675187567063588","0.909604125358219"
"1","1984","(Fach-)Abitur","weiblich","25","","",""
"1","1984","AkademikerIn","maennlich","25","","",""
"1","1984","AkademikerIn","weiblich","22","","",""
"2","1984","(noch) kein Abschluss","maennlich","5","","",""
"2","1984","(noch) kein Abschluss","weiblich","11","","",""
"2","1984","Hauptschule","maennlich","46","0.143366692824159","0.10675680728859","0.179976578359728"
"2","1984","Hauptschule","weiblich","45","0.0995724297205478","0.0719683789130676","0.127176480528028"
"2","1984","Realschule","maennlich","8","","",""
"2","1984","Realschule","weiblich","10","","",""
"2","1984","(Fach-)Abitur","maennlich","3","","",""
"2","1984","(Fach-)Abitur","weiblich","4","","",""
"2","1984","AkademikerIn","maennlich","7","","",""
"2","1984","AkademikerIn","weiblich","2","","",""
"3","1984","(noch) kein Abschluss","maennlich","2","","",""
"3","1984","(noch) kein Abschluss","weiblich","2","","",""
"3","1984","Hauptschule","maennlich","16","","",""
"3","1984","Hauptschule","weiblich","13","","",""
"3","1984","Realschule","maennlich","","","",""
"3","1984","Realschule","weiblich","5","","",""
"3","1984","(Fach-)Abitur","maennlich","2","","",""
"3","1984","(Fach-)Abitur","weiblich","","","",""
"3","1984","AkademikerIn","maennlich","1","","",""
"3","1984","AkademikerIn","weiblich","","","",""
"4","1984","(noch) kein Abschluss","maennlich","1","","",""
"4","1984","(noch) kein Abschluss","weiblich","2","","",""
"4","1984","Hauptschule","maennlich","5","","",""
"4","1984","Hauptschule","weiblich","4","","",""
"4","1984","Realschule","maennlich","","","",""
"4","1984","Realschule","weiblich","2","","",""
"4","1984","(Fach-)Abitur","maennlich","","","",""
"4","1984","(Fach-)Abitur","weiblich","","","",""
"4","1984","AkademikerIn","maennlich","","","",""
"4","1984","AkademikerIn","weiblich","1","","",""
"5","1984","(noch) kein Abschluss","maennlich","1","","",""
"5","1984","(noch) kein Abschluss","weiblich","","","",""
"5","1984","Hauptschule","maennlich","1","","",""
"5","1984","Hauptschule","weiblich","1","","",""
"5","1984","Realschule","maennlich","","","",""
"5","1984","Realschule","weiblich","1","","",""
"5","1984","(Fach-)Abitur","maennlich","","","",""
"5","1984","(Fach-)Abitur","weiblich","1","","",""
"5","1984","AkademikerIn","maennlich","","","",""
"5","1984","AkademikerIn","weiblich","","","",""
"6","1984","(noch) kein Abschluss","maennlich","","","",""
"6","1984","(noch) kein Abschluss","weiblich","","","",""
"6","1984","Hauptschule","maennlich","4","","",""
"6","1984","Hauptschule","weiblich","","","",""
"6","1984","Realschule","maennlich","","","",""
"6","1984","Realschule","weiblich","1","","",""
"6","1984","(Fach-)Abitur","maennlich","","","",""
"6","1984","(Fach-)Abitur","weiblich","","","",""
"6","1984","AkademikerIn","maennlich","","","",""
"6","1984","AkademikerIn","weiblich","","","",""
"7","1984","(noch) kein Abschluss","maennlich","","","",""
"7","1984","(noch) kein Abschluss","weiblich","","","",""
"7","1984","Hauptschule","maennlich","1","","",""
"7","1984","Hauptschule","weiblich","3","","",""
"7","1984","Realschule","maennlich","","","",""
"7","1984","Realschule","weiblich","","","",""
"7","1984","(Fach-)Abitur","maennlich","","","",""
"7","1984","(Fach-)Abitur","weiblich","","","",""
"7","1984","AkademikerIn","maennlich","","","",""
"7","1984","AkademikerIn","weiblich","","","",""
"8","1984","(noch) kein Abschluss","maennlich","","","",""
"8","1984","(noch) kein Abschluss","weiblich","","","",""
