"ple0055","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"0","1984","Westdeutschland","maennlich","1","","",""
"0","1984","Westdeutschland","weiblich","1","","",""
"0","1984","Ostdeutschland","maennlich","","","",""
"0","1984","Ostdeutschland","weiblich","","","",""
"1","1984","Westdeutschland","maennlich","433","0.783596349963511","0.748896471675945","0.818296228251076"
"1","1984","Westdeutschland","weiblich","623","0.835323759649266","0.808547048360955","0.862100470937576"
"1","1984","Ostdeutschland","maennlich","","","",""
"1","1984","Ostdeutschland","weiblich","","","",""
"2","1984","Westdeutschland","maennlich","69","0.144894500448274","0.115233536623303","0.174555464273245"
"2","1984","Westdeutschland","weiblich","73","0.0972655078419741","0.0758724042238674","0.118658611460081"
"2","1984","Ostdeutschland","maennlich","","","",""
"2","1984","Ostdeutschland","weiblich","","","",""
"3","1984","Westdeutschland","maennlich","21","","",""
"3","1984","Westdeutschland","weiblich","20","","",""
"3","1984","Ostdeutschland","maennlich","","","",""
"3","1984","Ostdeutschland","weiblich","","","",""
"4","1984","Westdeutschland","maennlich","6","","",""
"4","1984","Westdeutschland","weiblich","9","","",""
"4","1984","Ostdeutschland","maennlich","","","",""
"4","1984","Ostdeutschland","weiblich","","","",""
"5","1984","Westdeutschland","maennlich","2","","",""
"5","1984","Westdeutschland","weiblich","3","","",""
"5","1984","Ostdeutschland","maennlich","","","",""
"5","1984","Ostdeutschland","weiblich","","","",""
"6","1984","Westdeutschland","maennlich","4","","",""
"6","1984","Westdeutschland","weiblich","1","","",""
"6","1984","Ostdeutschland","maennlich","","","",""
"6","1984","Ostdeutschland","weiblich","","","",""
"7","1984","Westdeutschland","maennlich","1","","",""
"7","1984","Westdeutschland","weiblich","3","","",""
"7","1984","Ostdeutschland","maennlich","","","",""
"7","1984","Ostdeutschland","weiblich","","","",""
"8","1984","Westdeutschland","maennlich","","","",""
"8","1984","Westdeutschland","weiblich","1","","",""
"8","1984","Ostdeutschland","maennlich","","","",""
"8","1984","Ostdeutschland","weiblich","","","",""
"9","1984","Westdeutschland","maennlich","1","","",""
"9","1984","Westdeutschland","weiblich","1","","",""
"9","1984","Ostdeutschland","maennlich","","","",""
"9","1984","Ostdeutschland","weiblich","","","",""
"10","1984","Westdeutschland","maennlich","2","","",""
"10","1984","Westdeutschland","weiblich","1","","",""
"10","1984","Ostdeutschland","maennlich","","","",""
"10","1984","Ostdeutschland","weiblich","","","",""
"11","1984","Westdeutschland","maennlich","","","",""
"11","1984","Westdeutschland","weiblich","","","",""
"11","1984","Ostdeutschland","maennlich","","","",""
"11","1984","Ostdeutschland","weiblich","","","",""
"12","1984","Westdeutschland","maennlich","1","","",""
"12","1984","Westdeutschland","weiblich","","","",""
"12","1984","Ostdeutschland","maennlich","","","",""
"12","1984","Ostdeutschland","weiblich","","","",""
"13","1984","Westdeutschland","maennlich","","","",""
"13","1984","Westdeutschland","weiblich","","","",""
"13","1984","Ostdeutschland","maennlich","","","",""
"13","1984","Ostdeutschland","weiblich","","","",""
"14","1984","Westdeutschland","maennlich","","","",""
"14","1984","Westdeutschland","weiblich","1","","",""
"14","1984","Ostdeutschland","maennlich","","","",""
"14","1984","Ostdeutschland","weiblich","","","",""
"15","1984","Westdeutschland","maennlich","","","",""
"15","1984","Westdeutschland","weiblich","","","",""
"15","1984","Ostdeutschland","maennlich","","","",""
"15","1984","Ostdeutschland","weiblich","","","",""
"16","1984","Westdeutschland","maennlich","","","",""
"16","1984","Westdeutschland","weiblich","","","",""
"16","1984","Ostdeutschland","maennlich","","","",""
"16","1984","Ostdeutschland","weiblich","","","",""
"17","1984","Westdeutschland","maennlich","","","",""
"17","1984","Westdeutschland","weiblich","","","",""
"17","1984","Ostdeutschland","maennlich","","","",""
"17","1984","Ostdeutschland","weiblich","","","",""
"18","1984","Westdeutschland","maennlich","","","",""
"18","1984","Westdeutschland","weiblich","","","",""
"18","1984","Ostdeutschland","maennlich","","","",""
"18","1984","Ostdeutschland","weiblich","","","",""
"19","1984","Westdeutschland","maennlich","","","",""
"19","1984","Westdeutschland","weiblich","","","",""
"19","1984","Ostdeutschland","maennlich","","","",""
"19","1984","Ostdeutschland","weiblich","","","",""
"20","1984","Westdeutschland","maennlich","","","",""
"20","1984","Westdeutschland","weiblich","","","",""
"20","1984","Ostdeutschland","maennlich","","","",""
"20","1984","Ostdeutschland","weiblich","","","",""
"21","1984","Westdeutschland","maennlich","","","",""
"21","1984","Westdeutschland","weiblich","","","",""
"21","1984","Ostdeutschland","maennlich","","","",""
"21","1984","Ostdeutschland","weiblich","","","",""
"22","1984","Westdeutschland","maennlich","","","",""
"22","1984","Westdeutschland","weiblich","","","",""
"22","1984","Ostdeutschland","maennlich","","","",""
"22","1984","Ostdeutschland","weiblich","","","",""
"23","1984","Westdeutschland","maennlich","","","",""
"23","1984","Westdeutschland","weiblich","","","",""
"23","1984","Ostdeutschland","maennlich","","","",""
"23","1984","Ostdeutschland","weiblich","","","",""
"24","1984","Westdeutschland","maennlich","","","",""
"24","1984","Westdeutschland","weiblich","","","",""
"24","1984","Ostdeutschland","maennlich","","","",""
"24","1984","Ostdeutschland","weiblich","","","",""
"25","1984","Westdeutschland","maennlich","","","",""
"25","1984","Westdeutschland","weiblich","","","",""
"25","1984","Ostdeutschland","maennlich","","","",""
"25","1984","Ostdeutschland","weiblich","","","",""
"26","1984","Westdeutschland","maennlich","","","",""
"26","1984","Westdeutschland","weiblich","","","",""
"26","1984","Ostdeutschland","maennlich","","","",""
"26","1984","Ostdeutschland","weiblich","","","",""
"27","1984","Westdeutschland","maennlich","","","",""
"27","1984","Westdeutschland","weiblich","","","",""
"27","1984","Ostdeutschland","maennlich","","","",""
"27","1984","Ostdeutschland","weiblich","","","",""
"28","1984","Westdeutschland","maennlich","","","",""
"28","1984","Westdeutschland","weiblich","","","",""
"28","1984","Ostdeutschland","maennlich","","","",""
"28","1984","Ostdeutschland","weiblich","","","",""
"30","1984","Westdeutschland","maennlich","","","",""
"30","1984","Westdeutschland","weiblich","","","",""
"30","1984","Ostdeutschland","maennlich","","","",""
"30","1984","Ostdeutschland","weiblich","","","",""
"31","1984","Westdeutschland","maennlich","","","",""
"31","1984","Westdeutschland","weiblich","","","",""
"31","1984","Ostdeutschland","maennlich","","","",""
"31","1984","Ostdeutschland","weiblich","","","",""
"32","1984","Westdeutschland","maennlich","","","",""
"32","1984","Westdeutschland","weiblich","","","",""
"32","1984","Ostdeutschland","maennlich","","","",""
"32","1984","Ostdeutschland","weiblich","","","",""
"35","1984","Westdeutschland","maennlich","","","",""
"35","1984","Westdeutschland","weiblich","","","",""
"35","1984","Ostdeutschland","maennlich","","","",""
"35","1984","Ostdeutschland","weiblich","","","",""
"36","1984","Westdeutschland","maennlich","","","",""
"36","1984","Westdeutschland","weiblich","","","",""
"36","1984","Ostdeutschland","maennlich","","","",""
"36","1984","Ostdeutschland","weiblich","","","",""
"40","1984","Westdeutschland","maennlich","","","",""
"40","1984","Westdeutschland","weiblich","","","",""
"40","1984","Ostdeutschland","maennlich","","","",""
"40","1984","Ostdeutschland","weiblich","","","",""
"42","1984","Westdeutschland","maennlich","","","",""
"42","1984","Westdeutschland","weiblich","","","",""
"42","1984","Ostdeutschland","maennlich","","","",""
"42","1984","Ostdeutschland","weiblich","","","",""
"45","1984","Westdeutschland","maennlich","","","",""
"45","1984","Westdeutschland","weiblich","","","",""
"45","1984","Ostdeutschland","maennlich","","","",""
"45","1984","Ostdeutschland","weiblich","","","",""
"48","1984","Westdeutschland","maennlich","","","",""
"48","1984","Westdeutschland","weiblich","","","",""
"48","1984","Ostdeutschland","maennlich","","","",""
"48","1984","Ostdeutschland","weiblich","","","",""
"50","1984","Westdeutschland","maennlich","","","",""
"50","1984","Westdeutschland","weiblich","","","",""
"50","1984","Ostdeutschland","maennlich","","","",""
"50","1984","Ostdeutschland","weiblich","","","",""
"51","1984","Westdeutschland","maennlich","","","",""
"51","1984","Westdeutschland","weiblich","","","",""
"51","1984","Ostdeutschland","maennlich","","","",""
"51","1984","Ostdeutschland","weiblich","","","",""
