"ple0055","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","17-29","(noch) kein Abschluss","","","",""
"0","1984","17-29","Hauptschule","","","",""
"0","1984","17-29","Realschule","","","",""
"0","1984","17-29","(Fach-)Abitur","","","",""
"0","1984","17-29","AkademikerIn","","","",""
"0","1984","30-45","(noch) kein Abschluss","","","",""
"0","1984","30-45","Hauptschule","","","",""
"0","1984","30-45","Realschule","","","",""
"0","1984","30-45","(Fach-)Abitur","","","",""
"0","1984","30-45","AkademikerIn","","","",""
"0","1984","46-65","(noch) kein Abschluss","","","",""
"0","1984","46-65","Hauptschule","","","",""
"0","1984","46-65","Realschule","","","",""
"0","1984","46-65","(Fach-)Abitur","1","","",""
"0","1984","46-65","AkademikerIn","","","",""
"0","1984","66","(noch) kein Abschluss","","","",""
"0","1984","66","Hauptschule","","","",""
"0","1984","66","Realschule","","","",""
"0","1984","66","(Fach-)Abitur","","","",""
"0","1984","66","AkademikerIn","","","",""
"1","1984","17-29","(noch) kein Abschluss","29","","",""
"1","1984","17-29","Hauptschule","152","0.860742841003282","0.809738524403196","0.911747157603368"
"1","1984","17-29","Realschule","65","0.860566625141615","0.782170774204594","0.938962476078637"
"1","1984","17-29","(Fach-)Abitur","26","","",""
"1","1984","17-29","AkademikerIn","8","","",""
"1","1984","30-45","(noch) kein Abschluss","43","0.774369950311756","0.661836179497414","0.886903721126098"
"1","1984","30-45","Hauptschule","193","0.829712484754014","0.781134511685562","0.878290457822465"
"1","1984","30-45","Realschule","45","0.819166556699427","0.716512363558674","0.921820749840181"
"1","1984","30-45","(Fach-)Abitur","22","","",""
"1","1984","30-45","AkademikerIn","25","","",""
"1","1984","46-65","(noch) kein Abschluss","51","0.874132807065487","0.791567570482291","0.956698043648684"
"1","1984","46-65","Hauptschule","207","0.789441134856805","0.739788208342524","0.839094061371085"
"1","1984","46-65","Realschule","27","","",""
"1","1984","46-65","(Fach-)Abitur","12","","",""
"1","1984","46-65","AkademikerIn","10","","",""
"1","1984","66","(noch) kein Abschluss","","","",""
"1","1984","66","Hauptschule","","","",""
"1","1984","66","Realschule","","","",""
"1","1984","66","(Fach-)Abitur","","","",""
"1","1984","66","AkademikerIn","","","",""
"2","1984","17-29","(noch) kein Abschluss","2","","",""
"2","1984","17-29","Hauptschule","16","","",""
"2","1984","17-29","Realschule","6","","",""
"2","1984","17-29","(Fach-)Abitur","3","","",""
"2","1984","17-29","AkademikerIn","","","",""
"2","1984","30-45","(noch) kein Abschluss","7","","",""
"2","1984","30-45","Hauptschule","22","","",""
"2","1984","30-45","Realschule","6","","",""
"2","1984","30-45","(Fach-)Abitur","3","","",""
"2","1984","30-45","AkademikerIn","2","","",""
"2","1984","46-65","(noch) kein Abschluss","7","","",""
"2","1984","46-65","Hauptschule","33","0.137560391538195","0.0956125848932411","0.179508198183148"
"2","1984","46-65","Realschule","2","","",""
"2","1984","46-65","(Fach-)Abitur","1","","",""
"2","1984","46-65","AkademikerIn","5","","",""
"2","1984","66","(noch) kein Abschluss","","","",""
"2","1984","66","Hauptschule","","","",""
"2","1984","66","Realschule","","","",""
"2","1984","66","(Fach-)Abitur","","","",""
"2","1984","66","AkademikerIn","","","",""
"3","1984","17-29","(noch) kein Abschluss","","","",""
"3","1984","17-29","Hauptschule","4","","",""
"3","1984","17-29","Realschule","3","","",""
"3","1984","17-29","(Fach-)Abitur","1","","",""
"3","1984","17-29","AkademikerIn","","","",""
"3","1984","30-45","(noch) kein Abschluss","3","","",""
"3","1984","30-45","Hauptschule","9","","",""
"3","1984","30-45","Realschule","1","","",""
"3","1984","30-45","(Fach-)Abitur","1","","",""
"3","1984","30-45","AkademikerIn","1","","",""
"3","1984","46-65","(noch) kein Abschluss","1","","",""
"3","1984","46-65","Hauptschule","9","","",""
"3","1984","46-65","Realschule","1","","",""
"3","1984","46-65","(Fach-)Abitur","","","",""
"3","1984","46-65","AkademikerIn","","","",""
"3","1984","66","(noch) kein Abschluss","","","",""
"3","1984","66","Hauptschule","","","",""
"3","1984","66","Realschule","","","",""
"3","1984","66","(Fach-)Abitur","","","",""
"3","1984","66","AkademikerIn","","","",""
"4","1984","17-29","(noch) kein Abschluss","1","","",""
"4","1984","17-29","Hauptschule","2","","",""
"4","1984","17-29","Realschule","1","","",""
"4","1984","17-29","(Fach-)Abitur","","","",""
"4","1984","17-29","AkademikerIn","","","",""
"4","1984","30-45","(noch) kein Abschluss","","","",""
"4","1984","30-45","Hauptschule","1","","",""
"4","1984","30-45","Realschule","","","",""
"4","1984","30-45","(Fach-)Abitur","","","",""
"4","1984","30-45","AkademikerIn","","","",""
"4","1984","46-65","(noch) kein Abschluss","2","","",""
"4","1984","46-65","Hauptschule","3","","",""
"4","1984","46-65","Realschule","1","","",""
"4","1984","46-65","(Fach-)Abitur","","","",""
"4","1984","46-65","AkademikerIn","1","","",""
"4","1984","66","(noch) kein Abschluss","","","",""
"4","1984","66","Hauptschule","","","",""
"4","1984","66","Realschule","","","",""
"4","1984","66","(Fach-)Abitur","","","",""
"4","1984","66","AkademikerIn","","","",""
"5","1984","17-29","(noch) kein Abschluss","","","",""
"5","1984","17-29","Hauptschule","","","",""
"5","1984","17-29","Realschule","","","",""
"5","1984","17-29","(Fach-)Abitur","1","","",""
"5","1984","17-29","AkademikerIn","","","",""
"5","1984","30-45","(noch) kein Abschluss","","","",""
"5","1984","30-45","Hauptschule","1","","",""
"5","1984","30-45","Realschule","1","","",""
"5","1984","30-45","(Fach-)Abitur","","","",""
"5","1984","30-45","AkademikerIn","","","",""
"5","1984","46-65","(noch) kein Abschluss","1","","",""
"5","1984","46-65","Hauptschule","1","","",""
"5","1984","46-65","Realschule","","","",""
"5","1984","46-65","(Fach-)Abitur","","","",""
"5","1984","46-65","AkademikerIn","","","",""
"5","1984","66","(noch) kein Abschluss","","","",""
"5","1984","66","Hauptschule","","","",""
"5","1984","66","Realschule","","","",""
"5","1984","66","(Fach-)Abitur","","","",""
"5","1984","66","AkademikerIn","","","",""
"6","1984","17-29","(noch) kein Abschluss","","","",""
"6","1984","17-29","Hauptschule","1","","",""
"6","1984","17-29","Realschule","","","",""
"6","1984","17-29","(Fach-)Abitur","","","",""
"6","1984","17-29","AkademikerIn","","","",""
"6","1984","30-45","(noch) kein Abschluss","","","",""
"6","1984","30-45","Hauptschule","1","","",""
"6","1984","30-45","Realschule","","","",""
"6","1984","30-45","(Fach-)Abitur","","","",""
"6","1984","30-45","AkademikerIn","","","",""
"6","1984","46-65","(noch) kein Abschluss","","","",""
"6","1984","46-65","Hauptschule","2","","",""
"6","1984","46-65","Realschule","","","",""
"6","1984","46-65","(Fach-)Abitur","","","",""
"6","1984","46-65","AkademikerIn","","","",""
"6","1984","66","(noch) kein Abschluss","","","",""
"6","1984","66","Hauptschule","","","",""
"6","1984","66","Realschule","","","",""
"6","1984","66","(Fach-)Abitur","","","",""
"6","1984","66","AkademikerIn","","","",""
"7","1984","17-29","(noch) kein Abschluss","","","",""
"7","1984","17-29","Hauptschule","1","","",""
"7","1984","17-29","Realschule","","","",""
"7","1984","17-29","(Fach-)Abitur","","","",""
"7","1984","17-29","AkademikerIn","","","",""
