"ple0055","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","2","","",""
"1","1984","1056","","",""
"2","1984","142","","",""
"3","1984","41","0.0354446890646088","0.0253074002962901","0.0455819778329275"
"4","1984","15","","",""
"5","1984","5","0.00365795367853069","0.000348121346598868","0.00696778601046252"
"6","1984","5","0.00478521494036187","0.00100173183707154","0.00856869804365219"
"7","1984","4","0.00371413750960014","0.000379077619380368","0.00704919739981991"
"8","1984","1","","",""
"9","1984","2","","",""
"10","1984","3","","",""
"11","1984","","","",""
"12","1984","1","","",""
"13","1984","","","",""
"14","1984","1","","",""
"15","1984","","","",""
"16","1984","","","",""
"17","1984","","","",""
"18","1984","","","",""
"19","1984","","","",""
"20","1984","","","",""
"21","1984","","","",""
"22","1984","","","",""
"23","1984","","","",""
"24","1984","","","",""
"25","1984","","","",""
"26","1984","","","",""
"27","1984","","","",""
"28","1984","","","",""
"30","1984","","","",""
"31","1984","","","",""
"32","1984","","","",""
"35","1984","","","",""
"36","1984","","","",""
"40","1984","","","",""
"42","1984","","","",""
"45","1984","","","",""
"48","1984","","","",""
"50","1984","","","",""
"51","1984","","","",""
"64","1984","","","",""
"65","1984","","","",""
"90","1984","","","",""
"98","1984","","","",""
"100","1984","","","",""
"0","1985","1","","",""
"1","1985","952","0.800500699578933","0.777582620370665","0.823418778787201"
"2","1985","140","","",""
"3","1985","36","0.029410837506873","0.0197214107468522","0.0391002642668938"
"4","1985","7","0.00729299030283919","0.00241332503075578","0.0121726555749226"
"5","1985","7","0.00626954696222715","0.0017428747312722","0.0107962191931821"
"6","1985","4","0.0049026461209673","0.000896980172762369","0.00890831206917222"
"7","1985","3","","",""
"8","1985","1","","",""
"9","1985","1","","",""
"10","1985","4","0.00408437635800197","0.00042673752844423","0.00774201518755971"
"11","1985","","","",""
"12","1985","1","","",""
"13","1985","","","",""
"14","1985","6","0.00507919008310478","0.00100240178194164","0.00915597838426791"
"15","1985","1","","",""
"16","1985","2","","",""
"17","1985","1","","",""
"18","1985","","","",""
"19","1985","","","",""
"20","1985","","","",""
"21","1985","","","",""
"22","1985","","","",""
"23","1985","","","",""
"24","1985","","","",""
"25","1985","","","",""
"26","1985","","","",""
"27","1985","","","",""
"28","1985","","","",""
"30","1985","1","","",""
"31","1985","","","",""
"32","1985","","","",""
"35","1985","","","",""
"36","1985","","","",""
"40","1985","","","",""
"42","1985","","","",""
"45","1985","","","",""
"48","1985","","","",""
"50","1985","","","",""
"51","1985","","","",""
"64","1985","","","",""
"65","1985","","","",""
"90","1985","","","",""
"98","1985","","","",""
"100","1985","","","",""
"0","1986","2","","",""
"1","1986","959","0.798153993493794","0.775358676472772","0.820949310514816"
"2","1986","156","","",""
"3","1986","32","0.0291972131279926","0.019635660550485","0.0387587657055002"
"4","1986","9","0.00657487781098999","0.00198497359493794","0.011164782027042"
"5","1986","7","0.00594399999696188","0.00157846940388836","0.0103095305900354"
"6","1986","4","0.00309588756799921","-5.92005577432645e-05","0.00625097569374169"
"7","1986","3","","",""
"8","1986","2","","",""
"9","1986","4","0.00234422862379938","-0.000402290024701251","0.00509074727230002"
"10","1986","4","0.00454013253268108","0.000722111174138859","0.00835815389122331"
"11","1986","","","",""
"12","1986","","","",""
"13","1986","","","",""
"14","1986","1","","",""
"15","1986","1","","",""
"16","1986","1","","",""
"17","1986","","","",""
"18","1986","","","",""
"19","1986","","","",""
"20","1986","","","",""
"21","1986","1","","",""
"22","1986","","","",""
"23","1986","","","",""
"24","1986","","","",""
"25","1986","","","",""
"26","1986","","","",""
"27","1986","","","",""
"28","1986","","","",""
"30","1986","1","","",""
"31","1986","1","","",""
"32","1986","","","",""
"35","1986","","","",""
"36","1986","","","",""
"40","1986","1","","",""
"42","1986","","","",""
"45","1986","","","",""
"48","1986","1","","",""
"50","1986","","","",""
"51","1986","1","","",""
"64","1986","","","",""
"65","1986","","","",""
"90","1986","","","",""
"98","1986","","","",""
"100","1986","","","",""
"0","1987","3","","",""
"1","1987","939","0.793765490935738","0.770421668979376","0.817109312892101"
"2","1987","136","","",""
"3","1987","31","0.0319322269911852","0.021788146844021","0.0420763071383493"
"4","1987","10","","",""
"5","1987","6","0.00319048899452102","-6.32289209781278e-05","0.00644420691002017"
"6","1987","6","0.00650415196257699","0.00186622874344752","0.0111420751817065"
"7","1987","6","0.00502578735410407","0.000945853203311075","0.00910572150489707"
"8","1987","1","","",""
