"ple0055","year","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","männlich","1","","",""
"0","1984","weiblich","1","","",""
"1","1984","männlich","433","0.783596349963511","0.748896471675945","0.818296228251076"
"1","1984","weiblich","623","0.835323759649266","0.808547048360955","0.862100470937576"
"2","1984","männlich","69","0.144894500448274","0.115233536623303","0.174555464273245"
"2","1984","weiblich","73","0.0972655078419741","0.0758724042238674","0.118658611460081"
"3","1984","männlich","21","","",""
"3","1984","weiblich","20","","",""
"4","1984","männlich","6","","",""
"4","1984","weiblich","9","","",""
"5","1984","männlich","2","","",""
"5","1984","weiblich","3","","",""
"6","1984","männlich","4","","",""
"6","1984","weiblich","1","","",""
"7","1984","männlich","1","","",""
"7","1984","weiblich","3","","",""
"8","1984","männlich","","","",""
"8","1984","weiblich","1","","",""
"9","1984","männlich","1","","",""
"9","1984","weiblich","1","","",""
"10","1984","männlich","2","","",""
"10","1984","weiblich","1","","",""
"11","1984","männlich","","","",""
"11","1984","weiblich","","","",""
"12","1984","männlich","1","","",""
"12","1984","weiblich","","","",""
"13","1984","männlich","","","",""
"13","1984","weiblich","","","",""
"14","1984","männlich","","","",""
"14","1984","weiblich","1","","",""
"15","1984","männlich","","","",""
"15","1984","weiblich","","","",""
"16","1984","männlich","","","",""
"16","1984","weiblich","","","",""
"17","1984","männlich","","","",""
"17","1984","weiblich","","","",""
"18","1984","männlich","","","",""
"18","1984","weiblich","","","",""
"19","1984","männlich","","","",""
"19","1984","weiblich","","","",""
"20","1984","männlich","","","",""
"20","1984","weiblich","","","",""
"21","1984","männlich","","","",""
"21","1984","weiblich","","","",""
"22","1984","männlich","","","",""
"22","1984","weiblich","","","",""
"23","1984","männlich","","","",""
"23","1984","weiblich","","","",""
"24","1984","männlich","","","",""
"24","1984","weiblich","","","",""
"25","1984","männlich","","","",""
"25","1984","weiblich","","","",""
"26","1984","männlich","","","",""
"26","1984","weiblich","","","",""
"27","1984","männlich","","","",""
"27","1984","weiblich","","","",""
"28","1984","männlich","","","",""
"28","1984","weiblich","","","",""
"30","1984","männlich","","","",""
"30","1984","weiblich","","","",""
"31","1984","männlich","","","",""
"31","1984","weiblich","","","",""
"32","1984","männlich","","","",""
"32","1984","weiblich","","","",""
"35","1984","männlich","","","",""
"35","1984","weiblich","","","",""
"36","1984","männlich","","","",""
"36","1984","weiblich","","","",""
"40","1984","männlich","","","",""
"40","1984","weiblich","","","",""
"42","1984","männlich","","","",""
"42","1984","weiblich","","","",""
"45","1984","männlich","","","",""
"45","1984","weiblich","","","",""
"48","1984","männlich","","","",""
"48","1984","weiblich","","","",""
"50","1984","männlich","","","",""
"50","1984","weiblich","","","",""
"51","1984","männlich","","","",""
"51","1984","weiblich","","","",""
"64","1984","männlich","","","",""
"64","1984","weiblich","","","",""
"65","1984","männlich","","","",""
"65","1984","weiblich","","","",""
"90","1984","männlich","","","",""
"90","1984","weiblich","","","",""
"98","1984","männlich","","","",""
"98","1984","weiblich","","","",""
"100","1984","männlich","","","",""
"100","1984","weiblich","","","",""
"0","1985","männlich","1","","",""
"0","1985","weiblich","","","",""
"1","1985","männlich","362","0.782809486194597","0.745128900780565","0.820490071608628"
"1","1985","weiblich","590","0.811366343705744","0.782549291854576","0.840183395556911"
"2","1985","männlich","61","0.134451133575176","0.103276798058427","0.165625469091925"
"2","1985","weiblich","79","0.132544950479482","0.107568164902021","0.157521736056944"
"3","1985","männlich","17","","",""
"3","1985","weiblich","19","","",""
"4","1985","männlich","3","","",""
"4","1985","weiblich","4","","",""
"5","1985","männlich","2","","",""
"5","1985","weiblich","5","","",""
"6","1985","männlich","","","",""
"6","1985","weiblich","4","","",""
"7","1985","männlich","3","","",""
"7","1985","weiblich","","","",""
"8","1985","männlich","1","","",""
"8","1985","weiblich","","","",""
"9","1985","männlich","1","","",""
"9","1985","weiblich","","","",""
"10","1985","männlich","4","","",""
"10","1985","weiblich","","","",""
"11","1985","männlich","","","",""
"11","1985","weiblich","","","",""
"12","1985","männlich","","","",""
"12","1985","weiblich","1","","",""
"13","1985","männlich","","","",""
"13","1985","weiblich","","","",""
"14","1985","männlich","3","","",""
"14","1985","weiblich","3","","",""
"15","1985","männlich","","","",""
"15","1985","weiblich","1","","",""
"16","1985","männlich","1","","",""
"16","1985","weiblich","1","","",""
"17","1985","männlich","","","",""
"17","1985","weiblich","1","","",""
"18","1985","männlich","","","",""
"18","1985","weiblich","","","",""
"19","1985","männlich","","","",""
"19","1985","weiblich","","","",""
"20","1985","männlich","","","",""
"20","1985","weiblich","","","",""
"21","1985","männlich","","","",""
"21","1985","weiblich","","","",""
"22","1985","männlich","","","",""
"22","1985","weiblich","","","",""
"23","1985","männlich","","","",""
"23","1985","weiblich","","","",""
"24","1985","männlich","","","",""
"24","1985","weiblich","","","",""
"25","1985","männlich","","","",""
"25","1985","weiblich","","","",""
"26","1985","männlich","","","",""
"26","1985","weiblich","","","",""
"27","1985","männlich","","","",""
"27","1985","weiblich","","","",""
"28","1985","männlich","","","",""
"28","1985","weiblich","","","",""
"30","1985","männlich","1","","",""
"30","1985","weiblich","","","",""
"31","1985","männlich","","","",""
"31","1985","weiblich","","","",""
"32","1985","männlich","","","",""
"32","1985","weiblich","","","",""
"35","1985","männlich","","","",""
"35","1985","weiblich","","","",""
"36","1985","männlich","","","",""
"36","1985","weiblich","","","",""
"40","1985","männlich","","","",""
"40","1985","weiblich","","","",""
"42","1985","männlich","","","",""
"42","1985","weiblich","","","",""
"45","1985","männlich","","","",""
"45","1985","weiblich","","","",""
"48","1985","männlich","","","",""
"48","1985","weiblich","","","",""
"50","1985","männlich","","","",""
"50","1985","weiblich","","","",""
"51","1985","männlich","","","",""
"51","1985","weiblich","","","",""
"64","1985","männlich","","","",""
"64","1985","weiblich","","","",""
"65","1985","männlich","","","",""
"65","1985","weiblich","","","",""
"90","1985","männlich","","","",""
"90","1985","weiblich","","","",""
"98","1985","männlich","","","",""
"98","1985","weiblich","","","",""
"100","1985","männlich","","","",""
"100","1985","weiblich","","","",""
"0","1986","männlich","1","","",""
"0","1986","weiblich","1","","",""
"1","1986","männlich","426","0.785697212067747","0.750795852341956","0.820598571793537"
"1","1986","weiblich","533","0.807554309676912","0.777478585882239","0.837630033471584"
"2","1986","männlich","73","0.146739169588879","0.116642754797565","0.176835584380194"
"2","1986","weiblich","83","0.129763358480274","0.104126143535021","0.155400573425527"
"3","1986","männlich","12","","",""
"3","1986","weiblich","20","","",""
"4","1986","männlich","2","","",""
"4","1986","weiblich","7","","",""
"5","1986","männlich","4","","",""
"5","1986","weiblich","3","","",""
"6","1986","männlich","","","",""
"6","1986","weiblich","4","","",""
"7","1986","männlich","1","","",""
"7","1986","weiblich","2","","",""
"8","1986","männlich","","","",""
"8","1986","weiblich","2","","",""
"9","1986","männlich","2","","",""
"9","1986","weiblich","2","","",""
"10","1986","männlich","4","","",""
"10","1986","weiblich","","","",""
"11","1986","männlich","","","",""
"11","1986","weiblich","","","",""
"12","1986","männlich","","","",""
"12","1986","weiblich","","","",""
"13","1986","männlich","","","",""
"13","1986","weiblich","","","",""
"14","1986","männlich","1","","",""
"14","1986","weiblich","","","",""
"15","1986","männlich","1","","",""
"15","1986","weiblich","","","",""
"16","1986","männlich","","","",""
"16","1986","weiblich","1","","",""
"17","1986","männlich","","","",""
"17","1986","weiblich","","","",""
"18","1986","männlich","","","",""
"18","1986","weiblich","","","",""
"19","1986","männlich","","","",""
"19","1986","weiblich","","","",""
"20","1986","männlich","","","",""
"20","1986","weiblich","","","",""
"21","1986","männlich","","","",""
"21","1986","weiblich","1","","",""
"22","1986","männlich","","","",""
"22","1986","weiblich","","","",""
"23","1986","männlich","","","",""
"23","1986","weiblich","","","",""
"24","1986","männlich","","","",""
"24","1986","weiblich","","","",""
"25","1986","männlich","","","",""
"25","1986","weiblich","","","",""
"26","1986","männlich","","","",""
"26","1986","weiblich","","","",""
"27","1986","männlich","","","",""
"27","1986","weiblich","","","",""
"28","1986","männlich","","","",""
"28","1986","weiblich","","","",""
"30","1986","männlich","1","","",""
"30","1986","weiblich","","","",""
"31","1986","männlich","1","","",""
"31","1986","weiblich","","","",""
"32","1986","männlich","","","",""
"32","1986","weiblich","","","",""
"35","1986","männlich","","","",""
"35","1986","weiblich","","","",""
"36","1986","männlich","","","",""
"36","1986","weiblich","","","",""
"40","1986","männlich","","","",""
"40","1986","weiblich","1","","",""
"42","1986","männlich","","","",""
"42","1986","weiblich","","","",""
"45","1986","männlich","","","",""
"45","1986","weiblich","","","",""
"48","1986","männlich","1","","",""
"48","1986","weiblich","","","",""
"50","1986","männlich","","","",""
"50","1986","weiblich","","","",""
"51","1986","männlich","1","","",""
"51","1986","weiblich","","","",""
"64","1986","männlich","","","",""
"64","1986","weiblich","","","",""
"65","1986","männlich","","","",""
"65","1986","weiblich","","","",""
"90","1986","männlich","","","",""
"90","1986","weiblich","","","",""
"98","1986","männlich","","","",""
"98","1986","weiblich","","","",""
"100","1986","männlich","","","",""
"100","1986","weiblich","","","",""
"0","1987","männlich","2","","",""
"0","1987","weiblich","1","","",""
"1","1987","männlich","359","0.779239025530244","0.740789513898757","0.817688537161731"
"1","1987","weiblich","580","0.802352768828348","0.772998826995572","0.831706710661124"
"2","1987","männlich","55","0.143532728609344","0.11102959853771","0.176035858680979"
"2","1987","weiblich","81","0.124583217656602","0.100240134096624","0.148926301216581"
"3","1987","männlich","12","","",""
"3","1987","weiblich","19","","",""
"4","1987","männlich","3","","",""
"4","1987","weiblich","7","","",""
"5","1987","männlich","3","","",""
"5","1987","weiblich","3","","",""
"6","1987","männlich","2","","",""
"6","1987","weiblich","4","","",""
"7","1987","männlich","5","","",""
"7","1987","weiblich","1","","",""
"8","1987","männlich","","","",""
"8","1987","weiblich","1","","",""
"9","1987","männlich","","","",""
"9","1987","weiblich","","","",""
"10","1987","männlich","","","",""
"10","1987","weiblich","","","",""
"11","1987","männlich","","","",""
"11","1987","weiblich","2","","",""
"12","1987","männlich","1","","",""
"12","1987","weiblich","1","","",""
"13","1987","männlich","","","",""
"13","1987","weiblich","2","","",""
"14","1987","männlich","1","","",""
"14","1987","weiblich","3","","",""
"15","1987","männlich","1","","",""
"15","1987","weiblich","","","",""
"16","1987","männlich","1","","",""
"16","1987","weiblich","","","",""
"17","1987","männlich","","","",""
"17","1987","weiblich","","","",""
"18","1987","männlich","","","",""
"18","1987","weiblich","","","",""
"19","1987","männlich","","","",""
"19","1987","weiblich","","","",""
"20","1987","männlich","1","","",""
"20","1987","weiblich","","","",""
"21","1987","männlich","","","",""
"21","1987","weiblich","","","",""
"22","1987","männlich","","","",""
"22","1987","weiblich","","","",""
"23","1987","männlich","","","",""
"23","1987","weiblich","","","",""
"24","1987","männlich","","","",""
"24","1987","weiblich","","","",""
"25","1987","männlich","","","",""
"25","1987","weiblich","","","",""
"26","1987","männlich","","","",""
"26","1987","weiblich","","","",""
"27","1987","männlich","","","",""
"27","1987","weiblich","","","",""
"28","1987","männlich","","","",""
"28","1987","weiblich","1","","",""
