"ple0055","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","17-29","","","",""
"0","1984","30-45","","","",""
"0","1984","46-65","1","","",""
"0","1984","66","","","",""
"1","1984","17-29","282","0.855058127418108","0.816843111518117","0.893273143318098"
"1","1984","30-45","332","0.829003029791445","0.791920208801298","0.866085850781592"
"1","1984","46-65","310","0.793897797054739","0.753492217391029","0.834303376718449"
"1","1984","66","","","",""
"2","1984","17-29","27","","",""
"2","1984","30-45","41","0.104624337627232","0.0744790451723868","0.134769630082078"
"2","1984","46-65","48","0.13455837176066","0.100471120764689","0.168645622756632"
"2","1984","66","","","",""
"3","1984","17-29","8","","",""
"3","1984","30-45","15","","",""
"3","1984","46-65","11","","",""
"3","1984","66","","","",""
"4","1984","17-29","4","","",""
"4","1984","30-45","1","","",""
"4","1984","46-65","7","","",""
"4","1984","66","","","",""
"5","1984","17-29","1","","",""
"5","1984","30-45","2","","",""
"5","1984","46-65","2","","",""
"5","1984","66","","","",""
"6","1984","17-29","1","","",""
"6","1984","30-45","1","","",""
"6","1984","46-65","2","","",""
"6","1984","66","","","",""
"7","1984","17-29","1","","",""
"7","1984","30-45","1","","",""
"7","1984","46-65","2","","",""
"7","1984","66","","","",""
"8","1984","17-29","","","",""
"8","1984","30-45","","","",""
"8","1984","46-65","1","","",""
"8","1984","66","","","",""
"9","1984","17-29","","","",""
"9","1984","30-45","2","","",""
"9","1984","46-65","","","",""
"9","1984","66","","","",""
"10","1984","17-29","2","","",""
"10","1984","30-45","1","","",""
"10","1984","46-65","","","",""
"10","1984","66","","","",""
"11","1984","17-29","","","",""
"11","1984","30-45","","","",""
"11","1984","46-65","","","",""
"11","1984","66","","","",""
"12","1984","17-29","","","",""
"12","1984","30-45","","","",""
"12","1984","46-65","","","",""
"12","1984","66","","","",""
"13","1984","17-29","","","",""
"13","1984","30-45","","","",""
"13","1984","46-65","","","",""
"13","1984","66","","","",""
"14","1984","17-29","","","",""
"14","1984","30-45","","","",""
"14","1984","46-65","1","","",""
"14","1984","66","","","",""
"15","1984","17-29","","","",""
"15","1984","30-45","","","",""
"15","1984","46-65","","","",""
"15","1984","66","","","",""
"16","1984","17-29","","","",""
"16","1984","30-45","","","",""
"16","1984","46-65","","","",""
"16","1984","66","","","",""
"17","1984","17-29","","","",""
"17","1984","30-45","","","",""
"17","1984","46-65","","","",""
"17","1984","66","","","",""
"18","1984","17-29","","","",""
"18","1984","30-45","","","",""
"18","1984","46-65","","","",""
"18","1984","66","","","",""
"19","1984","17-29","","","",""
"19","1984","30-45","","","",""
"19","1984","46-65","","","",""
"19","1984","66","","","",""
"20","1984","17-29","","","",""
"20","1984","30-45","","","",""
"20","1984","46-65","","","",""
"20","1984","66","","","",""
"21","1984","17-29","","","",""
"21","1984","30-45","","","",""
"21","1984","46-65","","","",""
"21","1984","66","","","",""
"22","1984","17-29","","","",""
"22","1984","30-45","","","",""
"22","1984","46-65","","","",""
"22","1984","66","","","",""
"23","1984","17-29","","","",""
"23","1984","30-45","","","",""
"23","1984","46-65","","","",""
"23","1984","66","","","",""
"24","1984","17-29","","","",""
"24","1984","30-45","","","",""
"24","1984","46-65","","","",""
"24","1984","66","","","",""
"25","1984","17-29","","","",""
"25","1984","30-45","","","",""
"25","1984","46-65","","","",""
"25","1984","66","","","",""
"26","1984","17-29","","","",""
"26","1984","30-45","","","",""
"26","1984","46-65","","","",""
"26","1984","66","","","",""
"27","1984","17-29","","","",""
"27","1984","30-45","","","",""
"27","1984","46-65","","","",""
"27","1984","66","","","",""
"28","1984","17-29","","","",""
"28","1984","30-45","","","",""
"28","1984","46-65","","","",""
"28","1984","66","","","",""
"30","1984","17-29","","","",""
"30","1984","30-45","","","",""
"30","1984","46-65","","","",""
"30","1984","66","","","",""
"31","1984","17-29","","","",""
"31","1984","30-45","","","",""
"31","1984","46-65","","","",""
"31","1984","66","","","",""
"32","1984","17-29","","","",""
"32","1984","30-45","","","",""
"32","1984","46-65","","","",""
"32","1984","66","","","",""
"35","1984","17-29","","","",""
"35","1984","30-45","","","",""
"35","1984","46-65","","","",""
"35","1984","66","","","",""
"36","1984","17-29","","","",""
"36","1984","30-45","","","",""
"36","1984","46-65","","","",""
"36","1984","66","","","",""
"40","1984","17-29","","","",""
"40","1984","30-45","","","",""
"40","1984","46-65","","","",""
"40","1984","66","","","",""
"42","1984","17-29","","","",""
"42","1984","30-45","","","",""
"42","1984","46-65","","","",""
"42","1984","66","","","",""
"45","1984","17-29","","","",""
"45","1984","30-45","","","",""
"45","1984","46-65","","","",""
"45","1984","66","","","",""
"48","1984","17-29","","","",""
"48","1984","30-45","","","",""
"48","1984","46-65","","","",""
"48","1984","66","","","",""
"50","1984","17-29","","","",""
"50","1984","30-45","","","",""
"50","1984","46-65","","","",""
"50","1984","66","","","",""
"51","1984","17-29","","","",""
"51","1984","30-45","","","",""
"51","1984","46-65","","","",""
"51","1984","66","","","",""
"64","1984","17-29","","","",""
"64","1984","30-45","","","",""
"64","1984","46-65","","","",""
"64","1984","66","","","",""
"65","1984","17-29","","","",""
"65","1984","30-45","","","",""
"65","1984","46-65","","","",""
"65","1984","66","","","",""
"90","1984","17-29","","","",""
"90","1984","30-45","","","",""
"90","1984","46-65","","","",""
"90","1984","66","","","",""
"98","1984","17-29","","","",""
"98","1984","30-45","","","",""
"98","1984","46-65","","","",""
"98","1984","66","","","",""
"100","1984","17-29","","","",""
"100","1984","30-45","","","",""
"100","1984","46-65","","","",""
"100","1984","66","","","",""
"0","1985","17-29","1","","",""
"0","1985","30-45","","","",""
"0","1985","46-65","","","",""
"0","1985","66","","","",""
"1","1985","17-29","276","0.855065862615845","0.816615071099229","0.893516654132461"
"1","1985","30-45","276","0.778451655854177","0.734373747342803","0.822529564365551"
"1","1985","46-65","271","0.791977293956025","0.748959634814699","0.834994953097351"
"1","1985","66","","","",""
"2","1985","17-29","27","","",""
"2","1985","30-45","40","0.126776686344039","0.0914621701641269","0.162091202523952"
"2","1985","46-65","47","0.151068680052924","0.113114594383927","0.189022765721921"
"2","1985","66","","","",""
"3","1985","17-29","9","","",""
"3","1985","30-45","9","","",""
"3","1985","46-65","14","","",""
"3","1985","66","","","",""
"4","1985","17-29","2","","",""
"4","1985","30-45","2","","",""
"4","1985","46-65","1","","",""
"4","1985","66","","","",""
"5","1985","17-29","1","","",""
"5","1985","30-45","3","","",""
"5","1985","46-65","2","","",""
"5","1985","66","","","",""
"6","1985","17-29","2","","",""
"6","1985","30-45","","","",""
"6","1985","46-65","1","","",""
"6","1985","66","","","",""
"7","1985","17-29","1","","",""
"7","1985","30-45","1","","",""
"7","1985","46-65","1","","",""
"7","1985","66","","","",""
"8","1985","17-29","1","","",""
"8","1985","30-45","","","",""
"8","1985","46-65","","","",""
"8","1985","66","","","",""
"9","1985","17-29","","","",""
"9","1985","30-45","1","","",""
"9","1985","46-65","","","",""
"9","1985","66","","","",""
"10","1985","17-29","","","",""
"10","1985","30-45","4","","",""
"10","1985","46-65","","","",""
"10","1985","66","","","",""
"11","1985","17-29","","","",""
"11","1985","30-45","","","",""
"11","1985","46-65","","","",""
"11","1985","66","","","",""
"12","1985","17-29","","","",""
"12","1985","30-45","1","","",""
"12","1985","46-65","","","",""
"12","1985","66","","","",""
"13","1985","17-29","","","",""
"13","1985","30-45","","","",""
"13","1985","46-65","","","",""
"13","1985","66","","","",""
"14","1985","17-29","2","","",""
"14","1985","30-45","1","","",""
"14","1985","46-65","3","","",""
"14","1985","66","","","",""
"15","1985","17-29","","","",""
"15","1985","30-45","1","","",""
"15","1985","46-65","","","",""
"15","1985","66","","","",""
"16","1985","17-29","","","",""
"16","1985","30-45","2","","",""
"16","1985","46-65","","","",""
"16","1985","66","","","",""
"17","1985","17-29","","","",""
"17","1985","30-45","","","",""
"17","1985","46-65","1","","",""
"17","1985","66","","","",""
"18","1985","17-29","","","",""
"18","1985","30-45","","","",""
"18","1985","46-65","","","",""
"18","1985","66","","","",""
"19","1985","17-29","","","",""
"19","1985","30-45","","","",""
"19","1985","46-65","","","",""
"19","1985","66","","","",""
"20","1985","17-29","","","",""
"20","1985","30-45","","","",""
"20","1985","46-65","","","",""
"20","1985","66","","","",""
"21","1985","17-29","","","",""
"21","1985","30-45","","","",""
"21","1985","46-65","","","",""
"21","1985","66","","","",""
"22","1985","17-29","","","",""
"22","1985","30-45","","","",""
"22","1985","46-65","","","",""
"22","1985","66","","","",""
"23","1985","17-29","","","",""
"23","1985","30-45","","","",""
"23","1985","46-65","","","",""
"23","1985","66","","","",""
"24","1985","17-29","","","",""
"24","1985","30-45","","","",""
"24","1985","46-65","","","",""
"24","1985","66","","","",""
"25","1985","17-29","","","",""
"25","1985","30-45","","","",""
"25","1985","46-65","","","",""
"25","1985","66","","","",""
"26","1985","17-29","","","",""
"26","1985","30-45","","","",""
"26","1985","46-65","","","",""
"26","1985","66","","","",""
"27","1985","17-29","","","",""
"27","1985","30-45","","","",""
"27","1985","46-65","","","",""
"27","1985","66","","","",""
"28","1985","17-29","","","",""
"28","1985","30-45","","","",""
"28","1985","46-65","","","",""
"28","1985","66","","","",""
"30","1985","17-29","","","",""
"30","1985","30-45","","","",""
