"ple0055","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1985","17-29","Städtischer Raum","","","",""
"0","1985","17-29","Ländlicher Raum","1","","",""
"0","1985","30-45","Städtischer Raum","","","",""
"0","1985","30-45","Ländlicher Raum","","","",""
"0","1985","46-65","Städtischer Raum","","","",""
"0","1985","46-65","Ländlicher Raum","","","",""
"0","1985","66","Städtischer Raum","","","",""
"0","1985","66","Ländlicher Raum","","","",""
"1","1985","17-29","Städtischer Raum","221","0.86866984606099","0.827213826499432","0.910125865622548"
"1","1985","17-29","Ländlicher Raum","55","0.811586565570464","0.717952464074934","0.905220667065994"
"1","1985","30-45","Städtischer Raum","218","0.802526547709999","0.754505659255374","0.850547436164624"
"1","1985","30-45","Ländlicher Raum","58","0.72056993483808","0.620344635214662","0.820795234461497"
"1","1985","46-65","Städtischer Raum","208","0.805582527014758","0.757478206675932","0.853686847353583"
"1","1985","46-65","Ländlicher Raum","63","0.755991617742311","0.66303035213441","0.848952883350211"
"1","1985","66","Städtischer Raum","","","",""
"1","1985","66","Ländlicher Raum","","","",""
"2","1985","17-29","Städtischer Raum","23","","",""
"2","1985","17-29","Ländlicher Raum","4","","",""
"2","1985","30-45","Städtischer Raum","29","","",""
"2","1985","30-45","Ländlicher Raum","11","","",""
"2","1985","46-65","Städtischer Raum","31","0.127487707391442","0.0869479309106308","0.168027483872254"
"2","1985","46-65","Ländlicher Raum","16","","",""
"2","1985","66","Städtischer Raum","","","",""
"2","1985","66","Ländlicher Raum","","","",""
"3","1985","17-29","Städtischer Raum","6","","",""
"3","1985","17-29","Ländlicher Raum","3","","",""
"3","1985","30-45","Städtischer Raum","7","","",""
"3","1985","30-45","Ländlicher Raum","2","","",""
"3","1985","46-65","Städtischer Raum","12","","",""
"3","1985","46-65","Ländlicher Raum","2","","",""
"3","1985","66","Städtischer Raum","","","",""
"3","1985","66","Ländlicher Raum","","","",""
"4","1985","17-29","Städtischer Raum","1","","",""
"4","1985","17-29","Ländlicher Raum","1","","",""
"4","1985","30-45","Städtischer Raum","1","","",""
"4","1985","30-45","Ländlicher Raum","1","","",""
"4","1985","46-65","Städtischer Raum","","","",""
"4","1985","46-65","Ländlicher Raum","1","","",""
"4","1985","66","Städtischer Raum","","","",""
"4","1985","66","Ländlicher Raum","","","",""
"5","1985","17-29","Städtischer Raum","1","","",""
"5","1985","17-29","Ländlicher Raum","","","",""
"5","1985","30-45","Städtischer Raum","3","","",""
"5","1985","30-45","Ländlicher Raum","","","",""
"5","1985","46-65","Städtischer Raum","2","","",""
"5","1985","46-65","Ländlicher Raum","","","",""
"5","1985","66","Städtischer Raum","","","",""
"5","1985","66","Ländlicher Raum","","","",""
"6","1985","17-29","Städtischer Raum","2","","",""
"6","1985","17-29","Ländlicher Raum","","","",""
"6","1985","30-45","Städtischer Raum","","","",""
"6","1985","30-45","Ländlicher Raum","","","",""
"6","1985","46-65","Städtischer Raum","1","","",""
"6","1985","46-65","Ländlicher Raum","","","",""
"6","1985","66","Städtischer Raum","","","",""
"6","1985","66","Ländlicher Raum","","","",""
"7","1985","17-29","Städtischer Raum","","","",""
"7","1985","17-29","Ländlicher Raum","1","","",""
"7","1985","30-45","Städtischer Raum","1","","",""
"7","1985","30-45","Ländlicher Raum","","","",""
"7","1985","46-65","Städtischer Raum","1","","",""
"7","1985","46-65","Ländlicher Raum","","","",""
"7","1985","66","Städtischer Raum","","","",""
"7","1985","66","Ländlicher Raum","","","",""
"8","1985","17-29","Städtischer Raum","","","",""
"8","1985","17-29","Ländlicher Raum","1","","",""
"8","1985","30-45","Städtischer Raum","","","",""
"8","1985","30-45","Ländlicher Raum","","","",""
"8","1985","46-65","Städtischer Raum","","","",""
"8","1985","46-65","Ländlicher Raum","","","",""
"8","1985","66","Städtischer Raum","","","",""
"8","1985","66","Ländlicher Raum","","","",""
"9","1985","17-29","Städtischer Raum","","","",""
"9","1985","17-29","Ländlicher Raum","","","",""
"9","1985","30-45","Städtischer Raum","","","",""
"9","1985","30-45","Ländlicher Raum","1","","",""
"9","1985","46-65","Städtischer Raum","","","",""
"9","1985","46-65","Ländlicher Raum","","","",""
"9","1985","66","Städtischer Raum","","","",""
"9","1985","66","Ländlicher Raum","","","",""
"10","1985","17-29","Städtischer Raum","","","",""
"10","1985","17-29","Ländlicher Raum","","","",""
"10","1985","30-45","Städtischer Raum","2","","",""
"10","1985","30-45","Ländlicher Raum","2","","",""
"10","1985","46-65","Städtischer Raum","","","",""
"10","1985","46-65","Ländlicher Raum","","","",""
"10","1985","66","Städtischer Raum","","","",""
"10","1985","66","Ländlicher Raum","","","",""
"11","1985","17-29","Städtischer Raum","","","",""
"11","1985","17-29","Ländlicher Raum","","","",""
"11","1985","30-45","Städtischer Raum","","","",""
"11","1985","30-45","Ländlicher Raum","","","",""
"11","1985","46-65","Städtischer Raum","","","",""
"11","1985","46-65","Ländlicher Raum","","","",""
"11","1985","66","Städtischer Raum","","","",""
"11","1985","66","Ländlicher Raum","","","",""
"12","1985","17-29","Städtischer Raum","","","",""
"12","1985","17-29","Ländlicher Raum","","","",""
"12","1985","30-45","Städtischer Raum","1","","",""
"12","1985","30-45","Ländlicher Raum","","","",""
"12","1985","46-65","Städtischer Raum","","","",""
"12","1985","46-65","Ländlicher Raum","","","",""
"12","1985","66","Städtischer Raum","","","",""
"12","1985","66","Ländlicher Raum","","","",""
"13","1985","17-29","Städtischer Raum","","","",""
"13","1985","17-29","Ländlicher Raum","","","",""
"13","1985","30-45","Städtischer Raum","","","",""
"13","1985","30-45","Ländlicher Raum","","","",""
"13","1985","46-65","Städtischer Raum","","","",""
"13","1985","46-65","Ländlicher Raum","","","",""
"13","1985","66","Städtischer Raum","","","",""
"13","1985","66","Ländlicher Raum","","","",""
"14","1985","17-29","Städtischer Raum","1","","",""
"14","1985","17-29","Ländlicher Raum","1","","",""
"14","1985","30-45","Städtischer Raum","","","",""
"14","1985","30-45","Ländlicher Raum","1","","",""
"14","1985","46-65","Städtischer Raum","3","","",""
"14","1985","46-65","Ländlicher Raum","","","",""
"14","1985","66","Städtischer Raum","","","",""
"14","1985","66","Ländlicher Raum","","","",""
"15","1985","17-29","Städtischer Raum","","","",""
"15","1985","17-29","Ländlicher Raum","","","",""
"15","1985","30-45","Städtischer Raum","1","","",""
"15","1985","30-45","Ländlicher Raum","","","",""
"15","1985","46-65","Städtischer Raum","","","",""
"15","1985","46-65","Ländlicher Raum","","","",""
"15","1985","66","Städtischer Raum","","","",""
"15","1985","66","Ländlicher Raum","","","",""
"16","1985","17-29","Städtischer Raum","","","",""
"16","1985","17-29","Ländlicher Raum","","","",""
"16","1985","30-45","Städtischer Raum","1","","",""
"16","1985","30-45","Ländlicher Raum","1","","",""
"16","1985","46-65","Städtischer Raum","","","",""
"16","1985","46-65","Ländlicher Raum","","","",""
"16","1985","66","Städtischer Raum","","","",""
"16","1985","66","Ländlicher Raum","","","",""
"17","1985","17-29","Städtischer Raum","","","",""
"17","1985","17-29","Ländlicher Raum","","","",""
"17","1985","30-45","Städtischer Raum","","","",""
"17","1985","30-45","Ländlicher Raum","","","",""
"17","1985","46-65","Städtischer Raum","1","","",""
"17","1985","46-65","Ländlicher Raum","","","",""
"17","1985","66","Städtischer Raum","","","",""
"17","1985","66","Ländlicher Raum","","","",""
"18","1985","17-29","Städtischer Raum","","","",""
"18","1985","17-29","Ländlicher Raum","","","",""
"18","1985","30-45","Städtischer Raum","","","",""
"18","1985","30-45","Ländlicher Raum","","","",""
"18","1985","46-65","Städtischer Raum","","","",""
"18","1985","46-65","Ländlicher Raum","","","",""
"18","1985","66","Städtischer Raum","","","",""
"18","1985","66","Ländlicher Raum","","","",""
"19","1985","17-29","Städtischer Raum","","","",""
"19","1985","17-29","Ländlicher Raum","","","",""
"19","1985","30-45","Städtischer Raum","","","",""
"19","1985","30-45","Ländlicher Raum","","","",""
"19","1985","46-65","Städtischer Raum","","","",""
"19","1985","46-65","Ländlicher Raum","","","",""
"19","1985","66","Städtischer Raum","","","",""
"19","1985","66","Ländlicher Raum","","","",""
"20","1985","17-29","Städtischer Raum","","","",""
"20","1985","17-29","Ländlicher Raum","","","",""
"20","1985","30-45","Städtischer Raum","","","",""
"20","1985","30-45","Ländlicher Raum","","","",""
"20","1985","46-65","Städtischer Raum","","","",""
"20","1985","46-65","Ländlicher Raum","","","",""
"20","1985","66","Städtischer Raum","","","",""
"20","1985","66","Ländlicher Raum","","","",""
"21","1985","17-29","Städtischer Raum","","","",""
"21","1985","17-29","Ländlicher Raum","","","",""
"21","1985","30-45","Städtischer Raum","","","",""
"21","1985","30-45","Ländlicher Raum","","","",""
"21","1985","46-65","Städtischer Raum","","","",""
"21","1985","46-65","Ländlicher Raum","","","",""
"21","1985","66","Städtischer Raum","","","",""
"21","1985","66","Ländlicher Raum","","","",""
"22","1985","17-29","Städtischer Raum","","","",""
"22","1985","17-29","Ländlicher Raum","","","",""
"22","1985","30-45","Städtischer Raum","","","",""
"22","1985","30-45","Ländlicher Raum","","","",""
"22","1985","46-65","Städtischer Raum","","","",""
"22","1985","46-65","Ländlicher Raum","","","",""
"22","1985","66","Städtischer Raum","","","",""
"22","1985","66","Ländlicher Raum","","","",""
"23","1985","17-29","Städtischer Raum","","","",""
"23","1985","17-29","Ländlicher Raum","","","",""
"23","1985","30-45","Städtischer Raum","","","",""
"23","1985","30-45","Ländlicher Raum","","","",""
"23","1985","46-65","Städtischer Raum","","","",""
"23","1985","46-65","Ländlicher Raum","","","",""
"23","1985","66","Städtischer Raum","","","",""
"23","1985","66","Ländlicher Raum","","","",""
"24","1985","17-29","Städtischer Raum","","","",""
"24","1985","17-29","Ländlicher Raum","","","",""
"24","1985","30-45","Städtischer Raum","","","",""
"24","1985","30-45","Ländlicher Raum","","","",""
"24","1985","46-65","Städtischer Raum","","","",""
"24","1985","46-65","Ländlicher Raum","","","",""
"24","1985","66","Städtischer Raum","","","",""
"24","1985","66","Ländlicher Raum","","","",""
"25","1985","17-29","Städtischer Raum","","","",""
"25","1985","17-29","Ländlicher Raum","","","",""
"25","1985","30-45","Städtischer Raum","","","",""
"25","1985","30-45","Ländlicher Raum","","","",""
"25","1985","46-65","Städtischer Raum","","","",""
"25","1985","46-65","Ländlicher Raum","","","",""
"25","1985","66","Städtischer Raum","","","",""
"25","1985","66","Ländlicher Raum","","","",""
"26","1985","17-29","Städtischer Raum","","","",""
"26","1985","17-29","Ländlicher Raum","","","",""
"26","1985","30-45","Städtischer Raum","","","",""
"26","1985","30-45","Ländlicher Raum","","","",""
"26","1985","46-65","Städtischer Raum","","","",""
