"ple0055","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1985","Städtischer Raum","männlich","","","",""
"0","1985","Städtischer Raum","weiblich","","","",""
"0","1985","Ländlicher Raum","männlich","1","","",""
"0","1985","Ländlicher Raum","weiblich","","","",""
"1","1985","Städtischer Raum","männlich","281","0.790481007599756","0.748087058077864","0.832874957121648"
"1","1985","Städtischer Raum","weiblich","457","0.812900184923078","0.780188187753303","0.845612182092853"
"1","1985","Ländlicher Raum","männlich","81","0.762536547020228","0.681529298835578","0.843543795204879"
"1","1985","Ländlicher Raum","weiblich","133","0.807131073190842","0.746374433038865","0.867887713342818"
"2","1985","Städtischer Raum","männlich","46","0.132151596865989","0.0968735443807395","0.167429649351239"
"2","1985","Städtischer Raum","weiblich","60","0.129601118510163","0.101429272447536","0.157772964572789"
"2","1985","Ländlicher Raum","männlich","15","","",""
"2","1985","Ländlicher Raum","weiblich","19","","",""
"3","1985","Städtischer Raum","männlich","14","","",""
"3","1985","Städtischer Raum","weiblich","14","","",""
"3","1985","Ländlicher Raum","männlich","3","","",""
"3","1985","Ländlicher Raum","weiblich","5","","",""
"4","1985","Städtischer Raum","männlich","3","","",""
"4","1985","Städtischer Raum","weiblich","1","","",""
"4","1985","Ländlicher Raum","männlich","","","",""
"4","1985","Ländlicher Raum","weiblich","3","","",""
"5","1985","Städtischer Raum","männlich","2","","",""
"5","1985","Städtischer Raum","weiblich","5","","",""
"5","1985","Ländlicher Raum","männlich","","","",""
"5","1985","Ländlicher Raum","weiblich","","","",""
"6","1985","Städtischer Raum","männlich","","","",""
"6","1985","Städtischer Raum","weiblich","4","","",""
"6","1985","Ländlicher Raum","männlich","","","",""
"6","1985","Ländlicher Raum","weiblich","","","",""
"7","1985","Städtischer Raum","männlich","2","","",""
"7","1985","Städtischer Raum","weiblich","","","",""
"7","1985","Ländlicher Raum","männlich","1","","",""
"7","1985","Ländlicher Raum","weiblich","","","",""
"8","1985","Städtischer Raum","männlich","","","",""
"8","1985","Städtischer Raum","weiblich","","","",""
"8","1985","Ländlicher Raum","männlich","1","","",""
"8","1985","Ländlicher Raum","weiblich","","","",""
"9","1985","Städtischer Raum","männlich","","","",""
"9","1985","Städtischer Raum","weiblich","","","",""
"9","1985","Ländlicher Raum","männlich","1","","",""
"9","1985","Ländlicher Raum","weiblich","","","",""
"10","1985","Städtischer Raum","männlich","2","","",""
"10","1985","Städtischer Raum","weiblich","","","",""
"10","1985","Ländlicher Raum","männlich","2","","",""
"10","1985","Ländlicher Raum","weiblich","","","",""
"11","1985","Städtischer Raum","männlich","","","",""
"11","1985","Städtischer Raum","weiblich","","","",""
"11","1985","Ländlicher Raum","männlich","","","",""
"11","1985","Ländlicher Raum","weiblich","","","",""
"12","1985","Städtischer Raum","männlich","","","",""
"12","1985","Städtischer Raum","weiblich","1","","",""
"12","1985","Ländlicher Raum","männlich","","","",""
"12","1985","Ländlicher Raum","weiblich","","","",""
"13","1985","Städtischer Raum","männlich","","","",""
"13","1985","Städtischer Raum","weiblich","","","",""
"13","1985","Ländlicher Raum","männlich","","","",""
"13","1985","Ländlicher Raum","weiblich","","","",""
"14","1985","Städtischer Raum","männlich","2","","",""
"14","1985","Städtischer Raum","weiblich","2","","",""
"14","1985","Ländlicher Raum","männlich","1","","",""
"14","1985","Ländlicher Raum","weiblich","1","","",""
"15","1985","Städtischer Raum","männlich","","","",""
"15","1985","Städtischer Raum","weiblich","1","","",""
"15","1985","Ländlicher Raum","männlich","","","",""
"15","1985","Ländlicher Raum","weiblich","","","",""
"16","1985","Städtischer Raum","männlich","1","","",""
"16","1985","Städtischer Raum","weiblich","","","",""
"16","1985","Ländlicher Raum","männlich","","","",""
"16","1985","Ländlicher Raum","weiblich","1","","",""
"17","1985","Städtischer Raum","männlich","","","",""
"17","1985","Städtischer Raum","weiblich","1","","",""
"17","1985","Ländlicher Raum","männlich","","","",""
"17","1985","Ländlicher Raum","weiblich","","","",""
"18","1985","Städtischer Raum","männlich","","","",""
"18","1985","Städtischer Raum","weiblich","","","",""
"18","1985","Ländlicher Raum","männlich","","","",""
"18","1985","Ländlicher Raum","weiblich","","","",""
"19","1985","Städtischer Raum","männlich","","","",""
"19","1985","Städtischer Raum","weiblich","","","",""
"19","1985","Ländlicher Raum","männlich","","","",""
"19","1985","Ländlicher Raum","weiblich","","","",""
"20","1985","Städtischer Raum","männlich","","","",""
"20","1985","Städtischer Raum","weiblich","","","",""
"20","1985","Ländlicher Raum","männlich","","","",""
"20","1985","Ländlicher Raum","weiblich","","","",""
"21","1985","Städtischer Raum","männlich","","","",""
"21","1985","Städtischer Raum","weiblich","","","",""
"21","1985","Ländlicher Raum","männlich","","","",""
"21","1985","Ländlicher Raum","weiblich","","","",""
"22","1985","Städtischer Raum","männlich","","","",""
"22","1985","Städtischer Raum","weiblich","","","",""
"22","1985","Ländlicher Raum","männlich","","","",""
"22","1985","Ländlicher Raum","weiblich","","","",""
"23","1985","Städtischer Raum","männlich","","","",""
"23","1985","Städtischer Raum","weiblich","","","",""
"23","1985","Ländlicher Raum","männlich","","","",""
"23","1985","Ländlicher Raum","weiblich","","","",""
"24","1985","Städtischer Raum","männlich","","","",""
"24","1985","Städtischer Raum","weiblich","","","",""
"24","1985","Ländlicher Raum","männlich","","","",""
"24","1985","Ländlicher Raum","weiblich","","","",""
"25","1985","Städtischer Raum","männlich","","","",""
"25","1985","Städtischer Raum","weiblich","","","",""
"25","1985","Ländlicher Raum","männlich","","","",""
"25","1985","Ländlicher Raum","weiblich","","","",""
"26","1985","Städtischer Raum","männlich","","","",""
"26","1985","Städtischer Raum","weiblich","","","",""
"26","1985","Ländlicher Raum","männlich","","","",""
"26","1985","Ländlicher Raum","weiblich","","","",""
"27","1985","Städtischer Raum","männlich","","","",""
"27","1985","Städtischer Raum","weiblich","","","",""
"27","1985","Ländlicher Raum","männlich","","","",""
"27","1985","Ländlicher Raum","weiblich","","","",""
"28","1985","Städtischer Raum","männlich","","","",""
"28","1985","Städtischer Raum","weiblich","","","",""
"28","1985","Ländlicher Raum","männlich","","","",""
"28","1985","Ländlicher Raum","weiblich","","","",""
"30","1985","Städtischer Raum","männlich","1","","",""
"30","1985","Städtischer Raum","weiblich","","","",""
"30","1985","Ländlicher Raum","männlich","","","",""
"30","1985","Ländlicher Raum","weiblich","","","",""
"31","1985","Städtischer Raum","männlich","","","",""
"31","1985","Städtischer Raum","weiblich","","","",""
"31","1985","Ländlicher Raum","männlich","","","",""
"31","1985","Ländlicher Raum","weiblich","","","",""
