"ple0055","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"1","1985","Niedersachsen","Staedtischer Raum","32","0.818431357138949","0.700435239929489","0.936427474348409"
"1","1985","Niedersachsen","Laendlicher Raum","45","0.67559831199756","0.563500658885953","0.787695965109168"
"1","1985","Bremen","Staedtischer Raum","5","0.519868736807451","0.173666443136761","0.866071030478141"
"1","1985","Bremen","Laendlicher Raum","","","",""
"1","1985","Nordrhein-Westfalen","Staedtischer Raum","267","","",""
"1","1985","Nordrhein-Westfalen","Laendlicher Raum","8","1","1","1"
"1","1985","Hessen","Staedtischer Raum","74","0.784183042918308","0.700119888373679","0.868246197462936"
"1","1985","Hessen","Laendlicher Raum","12","","",""
"1","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","53","0.754968079662598","0.653483706768258","0.856452452556937"
"1","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","8","0.897794142528717","0.699890807377226","1.09569747768021"
"1","1985","Baden-Wuerttemberg","Staedtischer Raum","157","","",""
"1","1985","Baden-Wuerttemberg","Laendlicher Raum","33","0.903567668089718","0.807142919256656","0.99999241692278"
"1","1985","Bayern","Staedtischer Raum","90","0.840144593457742","0.771028863933136","0.909260322982348"
"1","1985","Bayern","Laendlicher Raum","87","0.805332910648733","0.73065877495601","0.880007046341457"
"1","1985","Saarland","Staedtischer Raum","","","",""
"1","1985","Saarland","Laendlicher Raum","","","",""
"1","1985","Berlin","Staedtischer Raum","27","","",""
"1","1985","Berlin","Laendlicher Raum","","","",""
"1","1985","Brandenburg","Staedtischer Raum","","","",""
"1","1985","Brandenburg","Laendlicher Raum","","","",""
"1","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"1","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"1","1985","Sachsen","Staedtischer Raum","","","",""
"1","1985","Sachsen","Laendlicher Raum","","","",""
"1","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"1","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"1","1985","Thueringen","Staedtischer Raum","","","",""
"1","1985","Thueringen","Laendlicher Raum","","","",""
"2","1985","Schleswig-Holstein","Staedtischer Raum","3","","",""
"2","1985","Schleswig-Holstein","Laendlicher Raum","2","","",""
"2","1985","Hamburg","Staedtischer Raum","2","","",""
"2","1985","Hamburg","Laendlicher Raum","","","",""
"2","1985","Niedersachsen","Staedtischer Raum","7","0.14929119058485","0.0402065215090845","0.258375859660615"
"2","1985","Niedersachsen","Laendlicher Raum","15","","",""
"2","1985","Bremen","Staedtischer Raum","3","","",""
"2","1985","Bremen","Laendlicher Raum","","","",""
"2","1985","Nordrhein-Westfalen","Staedtischer Raum","33","0.101843366464929","0.0686542903038967","0.135032442625961"
"2","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"2","1985","Hessen","Staedtischer Raum","10","","",""
"2","1985","Hessen","Laendlicher Raum","2","","",""
"2","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","11","","",""
"2","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","1","","",""
"2","1985","Baden-Wuerttemberg","Staedtischer Raum","23","","",""
"2","1985","Baden-Wuerttemberg","Laendlicher Raum","1","","",""
"2","1985","Bayern","Staedtischer Raum","10","","",""
"2","1985","Bayern","Laendlicher Raum","13","","",""
"2","1985","Saarland","Staedtischer Raum","","","",""
"2","1985","Saarland","Laendlicher Raum","","","",""
"2","1985","Berlin","Staedtischer Raum","4","0.147610757960767","0.024710983204731","0.270510532716803"
"2","1985","Berlin","Laendlicher Raum","","","",""
"2","1985","Brandenburg","Staedtischer Raum","","","",""
"2","1985","Brandenburg","Laendlicher Raum","","","",""
"2","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"2","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"2","1985","Sachsen","Staedtischer Raum","","","",""
"2","1985","Sachsen","Laendlicher Raum","","","",""
"2","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"2","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"2","1985","Thueringen","Staedtischer Raum","","","",""
"2","1985","Thueringen","Laendlicher Raum","","","",""
"3","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"3","1985","Schleswig-Holstein","Laendlicher Raum","1","","",""
"3","1985","Hamburg","Staedtischer Raum","1","","",""
"3","1985","Hamburg","Laendlicher Raum","","","",""
"3","1985","Niedersachsen","Staedtischer Raum","2","","",""
"3","1985","Niedersachsen","Laendlicher Raum","2","","",""
"3","1985","Bremen","Staedtischer Raum","","","",""
"3","1985","Bremen","Laendlicher Raum","","","",""
"3","1985","Nordrhein-Westfalen","Staedtischer Raum","5","0.0181564777472621","0.00350472133140266","0.0328082341631216"
"3","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"3","1985","Hessen","Staedtischer Raum","5","0.0466006429966185","0.00352938472933009","0.0896719012639068"
"3","1985","Hessen","Laendlicher Raum","","","",""
"3","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","4","0.057433546127491","0.00253480939225162","0.11233228286273"
"3","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"3","1985","Baden-Wuerttemberg","Staedtischer Raum","7","0.0402714765222215","0.0123907308333987","0.0681522222110442"
"3","1985","Baden-Wuerttemberg","Laendlicher Raum","2","","",""
"3","1985","Bayern","Staedtischer Raum","4","0.0310445829154487","-0.00166545334316693","0.0637546191740643"
"3","1985","Bayern","Laendlicher Raum","3","","",""
"3","1985","Saarland","Staedtischer Raum","","","",""
"3","1985","Saarland","Laendlicher Raum","","","",""
"3","1985","Berlin","Staedtischer Raum","","","",""
"3","1985","Berlin","Laendlicher Raum","","","",""
"3","1985","Brandenburg","Staedtischer Raum","","","",""
"3","1985","Brandenburg","Laendlicher Raum","","","",""
"3","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"3","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"3","1985","Sachsen","Staedtischer Raum","","","",""
"3","1985","Sachsen","Laendlicher Raum","","","",""
"3","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"3","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"3","1985","Thueringen","Staedtischer Raum","","","",""
"3","1985","Thueringen","Laendlicher Raum","","","",""
"4","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"4","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"4","1985","Hamburg","Staedtischer Raum","","","",""
"4","1985","Hamburg","Laendlicher Raum","","","",""
"4","1985","Niedersachsen","Staedtischer Raum","","","",""
"4","1985","Niedersachsen","Laendlicher Raum","1","","",""
"4","1985","Bremen","Staedtischer Raum","","","",""
"4","1985","Bremen","Laendlicher Raum","","","",""
"4","1985","Nordrhein-Westfalen","Staedtischer Raum","1","","",""
"4","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"4","1985","Hessen","Staedtischer Raum","1","","",""
"4","1985","Hessen","Laendlicher Raum","","","",""
"4","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"4","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"4","1985","Baden-Wuerttemberg","Staedtischer Raum","1","","",""
"4","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"4","1985","Bayern","Staedtischer Raum","1","","",""
"4","1985","Bayern","Laendlicher Raum","2","","",""
"4","1985","Saarland","Staedtischer Raum","","","",""
"4","1985","Saarland","Laendlicher Raum","","","",""
"4","1985","Berlin","Staedtischer Raum","","","",""
"4","1985","Berlin","Laendlicher Raum","","","",""
"4","1985","Brandenburg","Staedtischer Raum","","","",""
"4","1985","Brandenburg","Laendlicher Raum","","","",""
"4","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"4","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"4","1985","Sachsen","Staedtischer Raum","","","",""
"4","1985","Sachsen","Laendlicher Raum","","","",""
"4","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"4","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"4","1985","Thueringen","Staedtischer Raum","","","",""
"4","1985","Thueringen","Laendlicher Raum","","","",""
"5","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"5","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"5","1985","Hamburg","Staedtischer Raum","","","",""
"5","1985","Hamburg","Laendlicher Raum","","","",""
"5","1985","Niedersachsen","Staedtischer Raum","","","",""
"5","1985","Niedersachsen","Laendlicher Raum","","","",""
"5","1985","Bremen","Staedtischer Raum","","","",""
"5","1985","Bremen","Laendlicher Raum","","","",""
"5","1985","Nordrhein-Westfalen","Staedtischer Raum","2","","",""
"5","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"5","1985","Hessen","Staedtischer Raum","1","","",""
"5","1985","Hessen","Laendlicher Raum","","","",""
"5","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"5","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"5","1985","Baden-Wuerttemberg","Staedtischer Raum","1","","",""
"5","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"5","1985","Bayern","Staedtischer Raum","2","","",""
"5","1985","Bayern","Laendlicher Raum","","","",""
"5","1985","Saarland","Staedtischer Raum","","","",""
"5","1985","Saarland","Laendlicher Raum","","","",""
"5","1985","Berlin","Staedtischer Raum","1","","",""
"5","1985","Berlin","Laendlicher Raum","","","",""
"5","1985","Brandenburg","Staedtischer Raum","","","",""
"5","1985","Brandenburg","Laendlicher Raum","","","",""
"5","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"5","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"5","1985","Sachsen","Staedtischer Raum","","","",""
"5","1985","Sachsen","Laendlicher Raum","","","",""
"5","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"5","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"5","1985","Thueringen","Staedtischer Raum","","","",""
"5","1985","Thueringen","Laendlicher Raum","","","",""
"6","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"6","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"6","1985","Hamburg","Staedtischer Raum","","","",""
"6","1985","Hamburg","Laendlicher Raum","","","",""
"6","1985","Niedersachsen","Staedtischer Raum","","","",""
"6","1985","Niedersachsen","Laendlicher Raum","","","",""
"6","1985","Bremen","Staedtischer Raum","","","",""
"6","1985","Bremen","Laendlicher Raum","","","",""
"6","1985","Nordrhein-Westfalen","Staedtischer Raum","3","","",""
"6","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"6","1985","Hessen","Staedtischer Raum","","","",""
"6","1985","Hessen","Laendlicher Raum","","","",""
"6","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"6","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"6","1985","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"6","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"6","1985","Bayern","Staedtischer Raum","1","","",""
"6","1985","Bayern","Laendlicher Raum","","","",""
"6","1985","Saarland","Staedtischer Raum","","","",""
"6","1985","Saarland","Laendlicher Raum","","","",""
"6","1985","Berlin","Staedtischer Raum","","","",""
"6","1985","Berlin","Laendlicher Raum","","","",""
"6","1985","Brandenburg","Staedtischer Raum","","","",""
"6","1985","Brandenburg","Laendlicher Raum","","","",""
"6","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"6","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"6","1985","Sachsen","Staedtischer Raum","","","",""
"6","1985","Sachsen","Laendlicher Raum","","","",""
"6","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"6","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"6","1985","Thueringen","Staedtischer Raum","","","",""
"6","1985","Thueringen","Laendlicher Raum","","","",""
"7","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"7","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"7","1985","Hamburg","Staedtischer Raum","","","",""
"7","1985","Hamburg","Laendlicher Raum","","","",""
"7","1985","Niedersachsen","Staedtischer Raum","","","",""
"7","1985","Niedersachsen","Laendlicher Raum","","","",""
"7","1985","Bremen","Staedtischer Raum","","","",""
"7","1985","Bremen","Laendlicher Raum","","","",""
"7","1985","Nordrhein-Westfalen","Staedtischer Raum","1","","",""
"7","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"7","1985","Hessen","Staedtischer Raum","","","",""
"7","1985","Hessen","Laendlicher Raum","","","",""
"7","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","1","","",""
"7","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"7","1985","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"7","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"7","1985","Bayern","Staedtischer Raum","","","",""
"7","1985","Bayern","Laendlicher Raum","1","","",""
"7","1985","Saarland","Staedtischer Raum","","","",""
"7","1985","Saarland","Laendlicher Raum","","","",""
"7","1985","Berlin","Staedtischer Raum","","","",""
"7","1985","Berlin","Laendlicher Raum","","","",""
"7","1985","Brandenburg","Staedtischer Raum","","","",""
"7","1985","Brandenburg","Laendlicher Raum","","","",""
"7","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"7","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"7","1985","Sachsen","Staedtischer Raum","","","",""
"7","1985","Sachsen","Laendlicher Raum","","","",""
"7","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"7","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"7","1985","Thueringen","Staedtischer Raum","","","",""
"7","1985","Thueringen","Laendlicher Raum","","","",""
"8","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"8","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"8","1985","Hamburg","Staedtischer Raum","","","",""
"8","1985","Hamburg","Laendlicher Raum","","","",""
"8","1985","Niedersachsen","Staedtischer Raum","","","",""
"8","1985","Niedersachsen","Laendlicher Raum","1","","",""
"8","1985","Bremen","Staedtischer Raum","","","",""
"8","1985","Bremen","Laendlicher Raum","","","",""
"8","1985","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"8","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"8","1985","Hessen","Staedtischer Raum","","","",""
"8","1985","Hessen","Laendlicher Raum","","","",""
"8","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"8","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"8","1985","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"8","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"8","1985","Bayern","Staedtischer Raum","","","",""
"8","1985","Bayern","Laendlicher Raum","","","",""
"8","1985","Saarland","Staedtischer Raum","","","",""
"8","1985","Saarland","Laendlicher Raum","","","",""
"8","1985","Berlin","Staedtischer Raum","","","",""
"8","1985","Berlin","Laendlicher Raum","","","",""
"8","1985","Brandenburg","Staedtischer Raum","","","",""
"8","1985","Brandenburg","Laendlicher Raum","","","",""
"8","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"8","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"8","1985","Sachsen","Staedtischer Raum","","","",""
"8","1985","Sachsen","Laendlicher Raum","","","",""
"8","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"8","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"8","1985","Thueringen","Staedtischer Raum","","","",""
"8","1985","Thueringen","Laendlicher Raum","","","",""
"9","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"9","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"9","1985","Hamburg","Staedtischer Raum","","","",""
"9","1985","Hamburg","Laendlicher Raum","","","",""
"9","1985","Niedersachsen","Staedtischer Raum","","","",""
"9","1985","Niedersachsen","Laendlicher Raum","","","",""
"9","1985","Bremen","Staedtischer Raum","","","",""
"9","1985","Bremen","Laendlicher Raum","","","",""
"9","1985","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"9","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"9","1985","Hessen","Staedtischer Raum","","","",""
"9","1985","Hessen","Laendlicher Raum","","","",""
"9","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"9","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"9","1985","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"9","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"9","1985","Bayern","Staedtischer Raum","","","",""
"9","1985","Bayern","Laendlicher Raum","1","","",""
"9","1985","Saarland","Staedtischer Raum","","","",""
"9","1985","Saarland","Laendlicher Raum","","","",""
"9","1985","Berlin","Staedtischer Raum","","","",""
"9","1985","Berlin","Laendlicher Raum","","","",""
"9","1985","Brandenburg","Staedtischer Raum","","","",""
"9","1985","Brandenburg","Laendlicher Raum","","","",""
"9","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"9","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"9","1985","Sachsen","Staedtischer Raum","","","",""
"9","1985","Sachsen","Laendlicher Raum","","","",""
"9","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"9","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"9","1985","Thueringen","Staedtischer Raum","","","",""
"9","1985","Thueringen","Laendlicher Raum","","","",""
"10","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"10","1985","Schleswig-Holstein","Laendlicher Raum","1","","",""
"10","1985","Hamburg","Staedtischer Raum","","","",""
"10","1985","Hamburg","Laendlicher Raum","","","",""
"10","1985","Niedersachsen","Staedtischer Raum","","","",""
"10","1985","Niedersachsen","Laendlicher Raum","1","","",""
"10","1985","Bremen","Staedtischer Raum","","","",""
"10","1985","Bremen","Laendlicher Raum","","","",""
"10","1985","Nordrhein-Westfalen","Staedtischer Raum","2","","",""
"10","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"10","1985","Hessen","Staedtischer Raum","","","",""
"10","1985","Hessen","Laendlicher Raum","","","",""
"10","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"10","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"10","1985","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"10","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"10","1985","Bayern","Staedtischer Raum","","","",""
"10","1985","Bayern","Laendlicher Raum","","","",""
"10","1985","Saarland","Staedtischer Raum","","","",""
"10","1985","Saarland","Laendlicher Raum","","","",""
"10","1985","Berlin","Staedtischer Raum","","","",""
"10","1985","Berlin","Laendlicher Raum","","","",""
"10","1985","Brandenburg","Staedtischer Raum","","","",""
"10","1985","Brandenburg","Laendlicher Raum","","","",""
"10","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"10","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"10","1985","Sachsen","Staedtischer Raum","","","",""
"10","1985","Sachsen","Laendlicher Raum","","","",""
"10","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"10","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"10","1985","Thueringen","Staedtischer Raum","","","",""
"10","1985","Thueringen","Laendlicher Raum","","","",""
"11","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"11","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"11","1985","Hamburg","Staedtischer Raum","","","",""
"11","1985","Hamburg","Laendlicher Raum","","","",""
"11","1985","Niedersachsen","Staedtischer Raum","","","",""
"11","1985","Niedersachsen","Laendlicher Raum","","","",""
"11","1985","Bremen","Staedtischer Raum","","","",""
"11","1985","Bremen","Laendlicher Raum","","","",""
"11","1985","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"11","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"11","1985","Hessen","Staedtischer Raum","","","",""
"11","1985","Hessen","Laendlicher Raum","","","",""
"11","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"11","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"11","1985","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"11","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"11","1985","Bayern","Staedtischer Raum","","","",""
"11","1985","Bayern","Laendlicher Raum","","","",""
"11","1985","Saarland","Staedtischer Raum","","","",""
"11","1985","Saarland","Laendlicher Raum","","","",""
"11","1985","Berlin","Staedtischer Raum","","","",""
"11","1985","Berlin","Laendlicher Raum","","","",""
"11","1985","Brandenburg","Staedtischer Raum","","","",""
"11","1985","Brandenburg","Laendlicher Raum","","","",""
"11","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"11","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"11","1985","Sachsen","Staedtischer Raum","","","",""
"11","1985","Sachsen","Laendlicher Raum","","","",""
"11","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"11","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"11","1985","Thueringen","Staedtischer Raum","","","",""
"11","1985","Thueringen","Laendlicher Raum","","","",""
"12","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"12","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"12","1985","Hamburg","Staedtischer Raum","","","",""
"12","1985","Hamburg","Laendlicher Raum","","","",""
"12","1985","Niedersachsen","Staedtischer Raum","","","",""
"12","1985","Niedersachsen","Laendlicher Raum","","","",""
"12","1985","Bremen","Staedtischer Raum","","","",""
"12","1985","Bremen","Laendlicher Raum","","","",""
"12","1985","Nordrhein-Westfalen","Staedtischer Raum","1","","",""
"12","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"12","1985","Hessen","Staedtischer Raum","","","",""
"12","1985","Hessen","Laendlicher Raum","","","",""
"12","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"12","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"12","1985","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"12","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"12","1985","Bayern","Staedtischer Raum","","","",""
"12","1985","Bayern","Laendlicher Raum","","","",""
"12","1985","Saarland","Staedtischer Raum","","","",""
"12","1985","Saarland","Laendlicher Raum","","","",""
"12","1985","Berlin","Staedtischer Raum","","","",""
"12","1985","Berlin","Laendlicher Raum","","","",""
"12","1985","Brandenburg","Staedtischer Raum","","","",""
"12","1985","Brandenburg","Laendlicher Raum","","","",""
"12","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"12","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"12","1985","Sachsen","Staedtischer Raum","","","",""
"12","1985","Sachsen","Laendlicher Raum","","","",""
"12","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"12","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"12","1985","Thueringen","Staedtischer Raum","","","",""
"12","1985","Thueringen","Laendlicher Raum","","","",""
"13","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"13","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"13","1985","Hamburg","Staedtischer Raum","","","",""
"13","1985","Hamburg","Laendlicher Raum","","","",""
"13","1985","Niedersachsen","Staedtischer Raum","","","",""
"13","1985","Niedersachsen","Laendlicher Raum","","","",""
"13","1985","Bremen","Staedtischer Raum","","","",""
"13","1985","Bremen","Laendlicher Raum","","","",""
"13","1985","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"13","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"13","1985","Hessen","Staedtischer Raum","","","",""
"13","1985","Hessen","Laendlicher Raum","","","",""
"13","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"13","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"13","1985","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"13","1985","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"13","1985","Bayern","Staedtischer Raum","","","",""
"13","1985","Bayern","Laendlicher Raum","","","",""
"13","1985","Saarland","Staedtischer Raum","","","",""
"13","1985","Saarland","Laendlicher Raum","","","",""
"13","1985","Berlin","Staedtischer Raum","","","",""
"13","1985","Berlin","Laendlicher Raum","","","",""
"13","1985","Brandenburg","Staedtischer Raum","","","",""
"13","1985","Brandenburg","Laendlicher Raum","","","",""
"13","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"13","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"13","1985","Sachsen","Staedtischer Raum","","","",""
"13","1985","Sachsen","Laendlicher Raum","","","",""
"13","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"13","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"13","1985","Thueringen","Staedtischer Raum","","","",""
"13","1985","Thueringen","Laendlicher Raum","","","",""
"14","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"14","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"14","1985","Hamburg","Staedtischer Raum","1","","",""
"14","1985","Hamburg","Laendlicher Raum","","","",""
"14","1985","Niedersachsen","Staedtischer Raum","","","",""
