"ple0055","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1995","17-29","1 Einkommensschwächstes Quintil","","","",""
"0","1995","17-29","2","","","",""
"0","1995","17-29","3","1","","",""
"0","1995","17-29","4","","","",""
"0","1995","17-29","5 Einkommensstärkstes Quintil","","","",""
"0","1995","30-45","1 Einkommensschwächstes Quintil","2","","",""
"0","1995","30-45","2","","","",""
"0","1995","30-45","3","","","",""
"0","1995","30-45","4","","","",""
"0","1995","30-45","5 Einkommensstärkstes Quintil","","","",""
"0","1995","46-65","1 Einkommensschwächstes Quintil","1","","",""
"0","1995","46-65","2","1","","",""
"0","1995","46-65","3","","","",""
"0","1995","46-65","4","","","",""
"0","1995","46-65","5 Einkommensstärkstes Quintil","","","",""
"0","1995","66","1 Einkommensschwächstes Quintil","","","",""
"0","1995","66","2","","","",""
"0","1995","66","3","","","",""
"0","1995","66","4","","","",""
"0","1995","66","5 Einkommensstärkstes Quintil","","","",""
"1","1995","17-29","1 Einkommensschwächstes Quintil","132","0.835644881488521","0.779771206872137","0.891518556104906"
"1","1995","17-29","2","72","0.841934511049638","0.763453113115629","0.920415908983646"
"1","1995","17-29","3","49","0.886414841925309","0.804040877821462","0.968788806029156"
"1","1995","17-29","4","23","","",""
"1","1995","17-29","5 Einkommensstärkstes Quintil","10","","",""
"1","1995","30-45","1 Einkommensschwächstes Quintil","151","0.706771807114708","0.642545654472076","0.77099795975734"
"1","1995","30-45","2","90","0.894724975069341","0.837371570264418","0.952078379874263"
"1","1995","30-45","3","49","0.806319294399271","0.707952401942514","0.904686186856027"
"1","1995","30-45","4","34","0.826003245602069","0.709960602213494","0.942045888990644"
"1","1995","30-45","5 Einkommensstärkstes Quintil","12","","",""
"1","1995","46-65","1 Einkommensschwächstes Quintil","122","0.721402209181441","0.653204212862112","0.789600205500769"
"1","1995","46-65","2","87","0.710725603679172","0.629258816589053","0.79219239076929"
"1","1995","46-65","3","54","0.816087394088372","0.724676568904579","0.907498219272165"
