"ple0055","year","age_gr","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","17-34","Schleswig-Holstein","","","",""
"0","1984","17-34","Hamburg","","","",""
"0","1984","17-34","Niedersachsen","","","",""
"0","1984","17-34","Bremen","","","",""
"0","1984","17-34","Nordrhein-Westfalen","","","",""
"0","1984","17-34","Hessen","","","",""
"0","1984","17-34","Rheinland-Pfalz,Saarland","","","",""
"0","1984","17-34","Baden-Wuerttemberg","","","",""
"0","1984","17-34","Bayern","","","",""
"0","1984","17-34","Saarland","","","",""
"0","1984","17-34","Berlin","","","",""
"0","1984","17-34","Brandenburg","","","",""
"0","1984","17-34","Mecklenburg-Vorpommern","","","",""
"0","1984","17-34","Sachsen","","","",""
"0","1984","17-34","Sachsen-Anhalt","","","",""
"0","1984","17-34","Thueringen","","","",""
"0","1984","35-65","Schleswig-Holstein","","","",""
"0","1984","35-65","Hamburg","","","",""
"0","1984","35-65","Niedersachsen","","","",""
"0","1984","35-65","Bremen","","","",""
"0","1984","35-65","Nordrhein-Westfalen","1","","",""
"0","1984","35-65","Hessen","","","",""
"0","1984","35-65","Rheinland-Pfalz,Saarland","","","",""
"0","1984","35-65","Baden-Wuerttemberg","","","",""
"0","1984","35-65","Bayern","","","",""
"0","1984","35-65","Saarland","","","",""
"0","1984","35-65","Berlin","","","",""
"0","1984","35-65","Brandenburg","","","",""
"0","1984","35-65","Mecklenburg-Vorpommern","","","",""
"0","1984","35-65","Sachsen","","","",""
"0","1984","35-65","Sachsen-Anhalt","","","",""
"0","1984","35-65","Thueringen","","","",""
"0","1984","66 +","Schleswig-Holstein","","","",""
"0","1984","66 +","Hamburg","","","",""
"0","1984","66 +","Niedersachsen","","","",""
"0","1984","66 +","Bremen","","","",""
"0","1984","66 +","Nordrhein-Westfalen","1","","",""
"0","1984","66 +","Hessen","","","",""
"0","1984","66 +","Rheinland-Pfalz,Saarland","","","",""
"0","1984","66 +","Baden-Wuerttemberg","","","",""
"0","1984","66 +","Bayern","","","",""
"0","1984","66 +","Saarland","","","",""
"0","1984","66 +","Berlin","","","",""
"0","1984","66 +","Brandenburg","","","",""
"0","1984","66 +","Mecklenburg-Vorpommern","","","",""
"0","1984","66 +","Sachsen","","","",""
"0","1984","66 +","Sachsen-Anhalt","","","",""
"0","1984","66 +","Thueringen","","","",""
"1","1984","17-34","Schleswig-Holstein","14","","",""
"1","1984","17-34","Hamburg","7","","",""
"1","1984","17-34","Niedersachsen","46","0.813092477161468","0.710065701439221","0.916119252883715"
"1","1984","17-34","Bremen","2","","",""
"1","1984","17-34","Nordrhein-Westfalen","108","0.844563349380015","0.780791343334874","0.908335355425155"
"1","1984","17-34","Hessen","41","0.799494631546022","0.689610803276265","0.909378459815779"
"1","1984","17-34","Rheinland-Pfalz,Saarland","26","","",""
"1","1984","17-34","Baden-Wuerttemberg","77","0.79696035180368","0.7143116228407","0.879609080766659"
"1","1984","17-34","Bayern","56","0.850060221850813","0.763929239156309","0.936191204545318"
"1","1984","17-34","Saarland","","","",""
"1","1984","17-34","Berlin","8","","",""
"1","1984","17-34","Brandenburg","","","",""
"1","1984","17-34","Mecklenburg-Vorpommern","","","",""
"1","1984","17-34","Sachsen","","","",""
"1","1984","17-34","Sachsen-Anhalt","","","",""
"1","1984","17-34","Thueringen","","","",""
"1","1984","35-65","Schleswig-Holstein","17","","",""
"1","1984","35-65","Hamburg","15","","",""
"1","1984","35-65","Niedersachsen","49","0.80594084572281","0.705873791229881","0.906007900215739"
"1","1984","35-65","Bremen","9","","",""
"1","1984","35-65","Nordrhein-Westfalen","146","0.793680843835246","0.734564908678138","0.852796778992354"
"1","1984","35-65","Hessen","54","0.794410555109535","0.698356314130236","0.890464796088834"
"1","1984","35-65","Rheinland-Pfalz,Saarland","32","0.79605740711452","0.672723546863965","0.919391267365075"
"1","1984","35-65","Baden-Wuerttemberg","111","0.820751403092367","0.755565157297069","0.885937648887664"
"1","1984","35-65","Bayern","93","0.827316286307267","0.757626305303666","0.897006267310869"
"1","1984","35-65","Saarland","","","",""
"1","1984","35-65","Berlin","13","","",""
"1","1984","35-65","Brandenburg","","","",""
"1","1984","35-65","Mecklenburg-Vorpommern","","","",""
"1","1984","35-65","Sachsen","","","",""
"1","1984","35-65","Sachsen-Anhalt","","","",""
"1","1984","35-65","Thueringen","","","",""
"1","1984","66 +","Schleswig-Holstein","3","","",""
"1","1984","66 +","Hamburg","4","","",""
"1","1984","66 +","Niedersachsen","13","","",""
"1","1984","66 +","Bremen","4","","",""
"1","1984","66 +","Nordrhein-Westfalen","30","0.68791139815655","0.55100398668113","0.824818809631969"
"1","1984","66 +","Hessen","11","","",""
"1","1984","66 +","Rheinland-Pfalz,Saarland","11","","",""
"1","1984","66 +","Baden-Wuerttemberg","18","","",""
"1","1984","66 +","Bayern","29","","",""
"1","1984","66 +","Saarland","","","",""
"1","1984","66 +","Berlin","9","","",""
"1","1984","66 +","Brandenburg","","","",""
"1","1984","66 +","Mecklenburg-Vorpommern","","","",""
"1","1984","66 +","Sachsen","","","",""
"1","1984","66 +","Sachsen-Anhalt","","","",""
"1","1984","66 +","Thueringen","","","",""
"2","1984","17-34","Schleswig-Holstein","1","","",""
"2","1984","17-34","Hamburg","","","",""
"2","1984","17-34","Niedersachsen","3","","",""
"2","1984","17-34","Bremen","","","",""
