"ple0055","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"0","1984","17-34","Westdeutschland","","","",""
"0","1984","17-34","Ostdeutschland","","","",""
"0","1984","35-65","Westdeutschland","","","",""
"0","1984","35-65","Ostdeutschland","","","",""
"0","1984","66 +","Westdeutschland","","","",""
"0","1984","66 +","Ostdeutschland","","","",""
"1","1984","17-34","Westdeutschland","385","0.838283032010102","0.804264547132834","0.87230151688737"
"1","1984","17-34","Ostdeutschland","","","",""
"1","1984","35-65","Westdeutschland","539","0.81254945443969","0.782707060288132","0.842391848591249"
"1","1984","35-65","Ostdeutschland","","","",""
"1","1984","66 +","Westdeutschland","132","0.78330987175146","0.721559951785327","0.845059791717593"
"1","1984","66 +","Ostdeutschland","","","",""
"2","1984","17-34","Westdeutschland","36","0.0870737601319203","0.0610240239889347","0.113123496274906"
"2","1984","17-34","Ostdeutschland","","","",""
"2","1984","35-65","Westdeutschland","80","0.124335769874407","0.0991048981876844","0.14956664156113"
"2","1984","35-65","Ostdeutschland","","","",""
"2","1984","66 +","Westdeutschland","","","",""
"2","1984","66 +","Ostdeutschland","","","",""
"3","1984","17-34","Westdeutschland","","","",""
"3","1984","17-34","Ostdeutschland","","","",""
"3","1984","35-65","Westdeutschland","","","",""
"3","1984","35-65","Ostdeutschland","","","",""
"3","1984","66 +","Westdeutschland","","","",""
"3","1984","66 +","Ostdeutschland","","","",""
"4","1984","17-34","Westdeutschland","","","",""
"4","1984","17-34","Ostdeutschland","","","",""
"4","1984","35-65","Westdeutschland","","","",""
"4","1984","35-65","Ostdeutschland","","","",""
"4","1984","66 +","Westdeutschland","","","",""
"4","1984","66 +","Ostdeutschland","","","",""
"5","1984","17-34","Westdeutschland","","","",""
"5","1984","17-34","Ostdeutschland","","","",""
"5","1984","35-65","Westdeutschland","","","",""
"5","1984","35-65","Ostdeutschland","","","",""
"5","1984","66 +","Westdeutschland","","","",""
"5","1984","66 +","Ostdeutschland","","","",""
"6","1984","17-34","Westdeutschland","","","",""
"6","1984","17-34","Ostdeutschland","","","",""
"6","1984","35-65","Westdeutschland","","","",""
"6","1984","35-65","Ostdeutschland","","","",""
"6","1984","66 +","Westdeutschland","","","",""
"6","1984","66 +","Ostdeutschland","","","",""
"7","1984","17-34","Westdeutschland","","","",""
"7","1984","17-34","Ostdeutschland","","","",""
"7","1984","35-65","Westdeutschland","","","",""
"7","1984","35-65","Ostdeutschland","","","",""
"7","1984","66 +","Westdeutschland","","","",""
"7","1984","66 +","Ostdeutschland","","","",""
"8","1984","17-34","Westdeutschland","","","",""
"8","1984","17-34","Ostdeutschland","","","",""
"8","1984","35-65","Westdeutschland","","","",""
"8","1984","35-65","Ostdeutschland","","","",""
"8","1984","66 +","Westdeutschland","","","",""
"8","1984","66 +","Ostdeutschland","","","",""
"9","1984","17-34","Westdeutschland","","","",""
"9","1984","17-34","Ostdeutschland","","","",""
"9","1984","35-65","Westdeutschland","","","",""
"9","1984","35-65","Ostdeutschland","","","",""
"9","1984","66 +","Westdeutschland","","","",""
"9","1984","66 +","Ostdeutschland","","","",""
"10","1984","17-34","Westdeutschland","","","",""
"10","1984","17-34","Ostdeutschland","","","",""
"10","1984","35-65","Westdeutschland","","","",""
"10","1984","35-65","Ostdeutschland","","","",""
"10","1984","66 +","Westdeutschland","","","",""
"10","1984","66 +","Ostdeutschland","","","",""
"11","1984","17-34","Westdeutschland","","","",""
"11","1984","17-34","Ostdeutschland","","","",""
"11","1984","35-65","Westdeutschland","","","",""
"11","1984","35-65","Ostdeutschland","","","",""
"11","1984","66 +","Westdeutschland","","","",""
"11","1984","66 +","Ostdeutschland","","","",""
"12","1984","17-34","Westdeutschland","","","",""
"12","1984","17-34","Ostdeutschland","","","",""
"12","1984","35-65","Westdeutschland","","","",""
"12","1984","35-65","Ostdeutschland","","","",""
"12","1984","66 +","Westdeutschland","","","",""
"12","1984","66 +","Ostdeutschland","","","",""
"13","1984","17-34","Westdeutschland","","","",""
"13","1984","17-34","Ostdeutschland","","","",""
"13","1984","35-65","Westdeutschland","","","",""
"13","1984","35-65","Ostdeutschland","","","",""
"13","1984","66 +","Westdeutschland","","","",""
"13","1984","66 +","Ostdeutschland","","","",""
"14","1984","17-34","Westdeutschland","","","",""
"14","1984","17-34","Ostdeutschland","","","",""
"14","1984","35-65","Westdeutschland","","","",""
"14","1984","35-65","Ostdeutschland","","","",""
"14","1984","66 +","Westdeutschland","","","",""
"14","1984","66 +","Ostdeutschland","","","",""
"15","1984","17-34","Westdeutschland","","","",""
"15","1984","17-34","Ostdeutschland","","","",""
"15","1984","35-65","Westdeutschland","","","",""
"15","1984","35-65","Ostdeutschland","","","",""
"15","1984","66 +","Westdeutschland","","","",""
"15","1984","66 +","Ostdeutschland","","","",""
"16","1984","17-34","Westdeutschland","","","",""
"16","1984","17-34","Ostdeutschland","","","",""
"16","1984","35-65","Westdeutschland","","","",""
"16","1984","35-65","Ostdeutschland","","","",""
"16","1984","66 +","Westdeutschland","","","",""
"16","1984","66 +","Ostdeutschland","","","",""
"17","1984","17-34","Westdeutschland","","","",""
"17","1984","17-34","Ostdeutschland","","","",""
