"ple0055","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"16","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"17","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"17","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"17","1995","2","männlich","","","",""
"17","1995","2","weiblich","","","",""
"17","1995","3","männlich","","","",""
"17","1995","3","weiblich","","","",""
"17","1995","4","männlich","","","",""
"17","1995","4","weiblich","","","",""
"17","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"17","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"18","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"18","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"18","1995","2","männlich","1","","",""
"18","1995","2","weiblich","","","",""
"18","1995","3","männlich","","","",""
"18","1995","3","weiblich","","","",""
"18","1995","4","männlich","","","",""
"18","1995","4","weiblich","","","",""
"18","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"18","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"19","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"19","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"19","1995","2","männlich","","","",""
"19","1995","2","weiblich","","","",""
"19","1995","3","männlich","","","",""
"19","1995","3","weiblich","","","",""
"19","1995","4","männlich","","","",""
"19","1995","4","weiblich","","","",""
"19","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"19","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"20","1995","1 Einkommensschwächstes Quintil","männlich","1","","",""
"20","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"20","1995","2","männlich","","","",""
"20","1995","2","weiblich","","","",""
"20","1995","3","männlich","","","",""
"20","1995","3","weiblich","","","",""
"20","1995","4","männlich","","","",""
"20","1995","4","weiblich","","","",""
"20","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"20","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"21","1995","1 Einkommensschwächstes Quintil","männlich","1","","",""
"21","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"21","1995","2","männlich","","","",""
"21","1995","2","weiblich","","","",""
"21","1995","3","männlich","","","",""
"21","1995","3","weiblich","","","",""
"21","1995","4","männlich","","","",""
"21","1995","4","weiblich","","","",""
"21","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"21","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"22","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"22","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"22","1995","2","männlich","","","",""
"22","1995","2","weiblich","","","",""
"22","1995","3","männlich","","","",""
"22","1995","3","weiblich","","","",""
"22","1995","4","männlich","","","",""
"22","1995","4","weiblich","","","",""
"22","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"22","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"23","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"23","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"23","1995","2","männlich","","","",""
"23","1995","2","weiblich","","","",""
"23","1995","3","männlich","","","",""
"23","1995","3","weiblich","","","",""
"23","1995","4","männlich","","","",""
"23","1995","4","weiblich","","","",""
"23","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"23","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"24","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"24","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"24","1995","2","männlich","","","",""
"24","1995","2","weiblich","","","",""
"24","1995","3","männlich","","","",""
"24","1995","3","weiblich","","","",""
"24","1995","4","männlich","","","",""
"24","1995","4","weiblich","","","",""
"24","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"24","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"25","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"25","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"25","1995","2","männlich","","","",""
"25","1995","2","weiblich","","","",""
"25","1995","3","männlich","","","",""
"25","1995","3","weiblich","","","",""
"25","1995","4","männlich","","","",""
"25","1995","4","weiblich","","","",""
"25","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"25","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"26","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"26","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"26","1995","2","männlich","","","",""
"26","1995","2","weiblich","","","",""
"26","1995","3","männlich","","","",""
"26","1995","3","weiblich","","","",""
"26","1995","4","männlich","","","",""
"26","1995","4","weiblich","","","",""
"26","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"26","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"28","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"28","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"28","1995","2","männlich","","","",""
"28","1995","2","weiblich","","","",""
"28","1995","3","männlich","","","",""
"28","1995","3","weiblich","","","",""
"28","1995","4","männlich","","","",""
"28","1995","4","weiblich","","","",""
"28","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"28","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"30","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"30","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"30","1995","2","männlich","","","",""
"30","1995","2","weiblich","","","",""
"30","1995","3","männlich","","","",""
"30","1995","3","weiblich","","","",""
"30","1995","4","männlich","","","",""
"30","1995","4","weiblich","","","",""
"30","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"30","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"32","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"32","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"32","1995","2","männlich","","","",""
"32","1995","2","weiblich","","","",""
"32","1995","3","männlich","","","",""
"32","1995","3","weiblich","","","",""
"32","1995","4","männlich","","","",""
"32","1995","4","weiblich","","","",""
"32","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"32","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"35","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"35","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"35","1995","2","männlich","","","",""
"35","1995","2","weiblich","","","",""
"35","1995","3","männlich","1","","",""
"35","1995","3","weiblich","","","",""
"35","1995","4","männlich","","","",""
"35","1995","4","weiblich","","","",""
"35","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"35","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"36","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"36","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"36","1995","2","männlich","","","",""
"36","1995","2","weiblich","","","",""
"36","1995","3","männlich","","","",""
"36","1995","3","weiblich","","","",""
