"ple0055","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"0","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"0","1984","Hauptschule","Westdeutschland","1","","",""
"0","1984","Hauptschule","Ostdeutschland","","","",""
"0","1984","Realschule","Westdeutschland","","","",""
"0","1984","Realschule","Ostdeutschland","","","",""
"0","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"0","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"0","1984","AkademikerIn","Westdeutschland","","","",""
"0","1984","AkademikerIn","Ostdeutschland","","","",""
"1","1984","(noch) kein Abschluss","Westdeutschland","123","0.851649700789909","0.794189897347926","0.909109504231892"
"1","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"1","1984","Hauptschule","Westdeutschland","658","0.80960623539109","0.782467891003747","0.836744579778433"
"1","1984","Hauptschule","Ostdeutschland","","","",""
"1","1984","Realschule","Westdeutschland","155","0.838409969635549","0.785081632191958","0.891738307079139"
"1","1984","Realschule","Ostdeutschland","","","",""
"1","1984","(Fach-)Abitur","Westdeutschland","64","0.78962370907299","0.69799115711447","0.881256261031509"
"1","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"1","1984","AkademikerIn","Westdeutschland","47","0.78059278222896","0.674087336309797","0.887098228148124"
"1","1984","AkademikerIn","Ostdeutschland","","","",""
"2","1984","(noch) kein Abschluss","Westdeutschland","16","","",""
"2","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"2","1984","Hauptschule","Westdeutschland","91","0.118370969524404","0.0960411295795214","0.140700809469286"
"2","1984","Hauptschule","Ostdeutschland","","","",""
"2","1984","Realschule","Westdeutschland","18","","",""
"2","1984","Realschule","Ostdeutschland","","","",""
"2","1984","(Fach-)Abitur","Westdeutschland","7","","",""
"2","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"2","1984","AkademikerIn","Westdeutschland","9","","",""
"2","1984","AkademikerIn","Ostdeutschland","","","",""
"3","1984","(noch) kein Abschluss","Westdeutschland","4","","",""
"3","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"3","1984","Hauptschule","Westdeutschland","29","","",""
"3","1984","Hauptschule","Ostdeutschland","","","",""
"3","1984","Realschule","Westdeutschland","5","","",""
"3","1984","Realschule","Ostdeutschland","","","",""
"3","1984","(Fach-)Abitur","Westdeutschland","2","","",""
"3","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"3","1984","AkademikerIn","Westdeutschland","1","","",""
"3","1984","AkademikerIn","Ostdeutschland","","","",""
"4","1984","(noch) kein Abschluss","Westdeutschland","3","","",""
"4","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"4","1984","Hauptschule","Westdeutschland","9","","",""
"4","1984","Hauptschule","Ostdeutschland","","","",""
"4","1984","Realschule","Westdeutschland","2","","",""
"4","1984","Realschule","Ostdeutschland","","","",""
"4","1984","(Fach-)Abitur","Westdeutschland","","","",""
"4","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"4","1984","AkademikerIn","Westdeutschland","1","","",""
"4","1984","AkademikerIn","Ostdeutschland","","","",""
"5","1984","(noch) kein Abschluss","Westdeutschland","1","","",""
"5","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"5","1984","Hauptschule","Westdeutschland","2","","",""
"5","1984","Hauptschule","Ostdeutschland","","","",""
"5","1984","Realschule","Westdeutschland","1","","",""
"5","1984","Realschule","Ostdeutschland","","","",""
"5","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"5","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"5","1984","AkademikerIn","Westdeutschland","","","",""
"5","1984","AkademikerIn","Ostdeutschland","","","",""
"6","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"6","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"6","1984","Hauptschule","Westdeutschland","4","","",""
"6","1984","Hauptschule","Ostdeutschland","","","",""
"6","1984","Realschule","Westdeutschland","1","","",""
"6","1984","Realschule","Ostdeutschland","","","",""
"6","1984","(Fach-)Abitur","Westdeutschland","","","",""
"6","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"6","1984","AkademikerIn","Westdeutschland","","","",""
"6","1984","AkademikerIn","Ostdeutschland","","","",""
"7","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"7","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"7","1984","Hauptschule","Westdeutschland","4","","",""
"7","1984","Hauptschule","Ostdeutschland","","","",""
"7","1984","Realschule","Westdeutschland","","","",""
"7","1984","Realschule","Ostdeutschland","","","",""
"7","1984","(Fach-)Abitur","Westdeutschland","","","",""
"7","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"7","1984","AkademikerIn","Westdeutschland","","","",""
"7","1984","AkademikerIn","Ostdeutschland","","","",""
"8","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"8","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"8","1984","Hauptschule","Westdeutschland","1","","",""
"8","1984","Hauptschule","Ostdeutschland","","","",""
"8","1984","Realschule","Westdeutschland","","","",""
