"ple0055","year","regtyp","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"0","1985","Staedtischer Raum","Westdeutschland","","","",""
"0","1985","Staedtischer Raum","Ostdeutschland","","","",""
"0","1985","Laendlicher Raum","Westdeutschland","1","","",""
"0","1985","Laendlicher Raum","Ostdeutschland","","","",""
"1","1985","Staedtischer Raum","Westdeutschland","738","0.804432468270319","0.778519330194702","0.830345606345936"
"1","1985","Staedtischer Raum","Ostdeutschland","","","",""
"1","1985","Laendlicher Raum","Westdeutschland","214","0.789825181609388","0.741045773931652","0.838604589287124"
"1","1985","Laendlicher Raum","Ostdeutschland","","","",""
"2","1985","Staedtischer Raum","Westdeutschland","106","0.130564433431789","0.108552510598165","0.152576356265412"
"2","1985","Staedtischer Raum","Ostdeutschland","","","",""
"2","1985","Laendlicher Raum","Westdeutschland","34","0.140617021256359","0.0989978896065521","0.182236152906166"
"2","1985","Laendlicher Raum","Ostdeutschland","","","",""
"3","1985","Staedtischer Raum","Westdeutschland","28","","",""
"3","1985","Staedtischer Raum","Ostdeutschland","","","",""
"3","1985","Laendlicher Raum","Westdeutschland","8","","",""
"3","1985","Laendlicher Raum","Ostdeutschland","","","",""
"4","1985","Staedtischer Raum","Westdeutschland","4","","",""
"4","1985","Staedtischer Raum","Ostdeutschland","","","",""
"4","1985","Laendlicher Raum","Westdeutschland","3","","",""
"4","1985","Laendlicher Raum","Ostdeutschland","","","",""
"5","1985","Staedtischer Raum","Westdeutschland","7","","",""
"5","1985","Staedtischer Raum","Ostdeutschland","","","",""
"5","1985","Laendlicher Raum","Westdeutschland","","","",""
"5","1985","Laendlicher Raum","Ostdeutschland","","","",""
"6","1985","Staedtischer Raum","Westdeutschland","4","","",""
"6","1985","Staedtischer Raum","Ostdeutschland","","","",""
"6","1985","Laendlicher Raum","Westdeutschland","","","",""
"6","1985","Laendlicher Raum","Ostdeutschland","","","",""
"7","1985","Staedtischer Raum","Westdeutschland","2","","",""
"7","1985","Staedtischer Raum","Ostdeutschland","","","",""
"7","1985","Laendlicher Raum","Westdeutschland","1","","",""
"7","1985","Laendlicher Raum","Ostdeutschland","","","",""
"8","1985","Staedtischer Raum","Westdeutschland","","","",""
"8","1985","Staedtischer Raum","Ostdeutschland","","","",""
"8","1985","Laendlicher Raum","Westdeutschland","1","","",""
"8","1985","Laendlicher Raum","Ostdeutschland","","","",""
"9","1985","Staedtischer Raum","Westdeutschland","","","",""
"9","1985","Staedtischer Raum","Ostdeutschland","","","",""
"9","1985","Laendlicher Raum","Westdeutschland","1","","",""
"9","1985","Laendlicher Raum","Ostdeutschland","","","",""
"10","1985","Staedtischer Raum","Westdeutschland","2","","",""
