"ple0055","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1985","Staedtischer Raum","","","",""
"0","1985","Laendlicher Raum","1","","",""
"1","1985","Staedtischer Raum","738","0.804432468270319","0.778519330194702","0.830345606345936"
"1","1985","Laendlicher Raum","214","0.789825181609388","0.741045773931652","0.838604589287124"
"2","1985","Staedtischer Raum","106","0.130564433431789","0.108552510598165","0.152576356265412"
"2","1985","Laendlicher Raum","34","0.140617021256359","0.0989978896065521","0.182236152906166"
"3","1985","Staedtischer Raum","28","","",""
"3","1985","Laendlicher Raum","8","","",""
"4","1985","Staedtischer Raum","4","","",""
"4","1985","Laendlicher Raum","3","","",""
"5","1985","Staedtischer Raum","7","","",""
"5","1985","Laendlicher Raum","","","",""
"6","1985","Staedtischer Raum","4","","",""
"6","1985","Laendlicher Raum","","","",""
"7","1985","Staedtischer Raum","2","","",""
"7","1985","Laendlicher Raum","1","","",""
"8","1985","Staedtischer Raum","","","",""
"8","1985","Laendlicher Raum","1","","",""
"9","1985","Staedtischer Raum","","","",""
"9","1985","Laendlicher Raum","1","","",""
"10","1985","Staedtischer Raum","2","","",""
"10","1985","Laendlicher Raum","2","","",""
"11","1985","Staedtischer Raum","","","",""
"11","1985","Laendlicher Raum","","","",""
"12","1985","Staedtischer Raum","1","","",""
"12","1985","Laendlicher Raum","","","",""
"13","1985","Staedtischer Raum","","","",""
"13","1985","Laendlicher Raum","","","",""
"14","1985","Staedtischer Raum","4","","",""
"14","1985","Laendlicher Raum","2","","",""
"15","1985","Staedtischer Raum","1","","",""
"15","1985","Laendlicher Raum","","","",""
"16","1985","Staedtischer Raum","1","","",""
"16","1985","Laendlicher Raum","1","","",""
"17","1985","Staedtischer Raum","1","","",""
"17","1985","Laendlicher Raum","","","",""
"18","1985","Staedtischer Raum","","","",""
"18","1985","Laendlicher Raum","","","",""
"19","1985","Staedtischer Raum","","","",""
"19","1985","Laendlicher Raum","","","",""
"20","1985","Staedtischer Raum","","","",""
"20","1985","Laendlicher Raum","","","",""
"21","1985","Staedtischer Raum","","","",""
"21","1985","Laendlicher Raum","","","",""
"22","1985","Staedtischer Raum","","","",""
"22","1985","Laendlicher Raum","","","",""
"23","1985","Staedtischer Raum","","","",""
"23","1985","Laendlicher Raum","","","",""
"24","1985","Staedtischer Raum","","","",""
"24","1985","Laendlicher Raum","","","",""
"25","1985","Staedtischer Raum","","","",""
"25","1985","Laendlicher Raum","","","",""
"26","1985","Staedtischer Raum","","","",""
"26","1985","Laendlicher Raum","","","",""
"27","1985","Staedtischer Raum","","","",""
"27","1985","Laendlicher Raum","","","",""
"28","1985","Staedtischer Raum","","","",""
"28","1985","Laendlicher Raum","","","",""
"30","1985","Staedtischer Raum","1","","",""
"30","1985","Laendlicher Raum","","","",""
"31","1985","Staedtischer Raum","","","",""
