year,pgisced97,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,(0) No qualification (yet),0.96435,187,187,0.93770,0.99099
1984,Primary Level,(1a) Inadequately completed,0.89941,975,975,0.88052,0.91830
1984,Lower Secondary Level,(1b) General Elementary School,0.84206,2971,3448,0.82988,0.85423
1984,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.15681,477,3448,0.14467,0.16895
1984,Upper Secondary Level,(1a) Inadequately completed,0.00506,115,5681,0.00322,0.00691
1984,Upper Secondary Level,(1c) Basic Vocational Qualification,0.70298,3954,5681,0.69109,0.71486
1984,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.23066,1197,5681,0.21970,0.24162
1984,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05951,415,5681,0.05335,0.06566
1984,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.46259,300,655,0.42438,0.50080
1984,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.31438,211,655,0.27880,0.34996
1984,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.21795,144,655,0.18631,0.24960
1984,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.36229,266,790,0.32875,0.39583
1984,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.63771,524,790,0.60417,0.67125
1985,Pre-primary Level,(0) No qualification (yet),0.99798,187,187,0.99152,1.00443
1985,Primary Level,(1a) Inadequately completed,0.87354,805,805,0.85057,0.89652
1985,Lower Secondary Level,(1b) General Elementary School,0.82505,2587,3061,0.81159,0.83851
1985,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17490,474,3061,0.16144,0.18836
1985,Upper Secondary Level,(1a) Inadequately completed,0.00494,92,5154,0.00303,0.00686
1985,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69345,3544,5154,0.68086,0.70604
