year,age_gr,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,(0) No qualification (yet),0.06381,188,3414,0.05561,0.07201
1984,17-29 y.,(1a) Inadequately completed,0.02751,213,3414,0.02202,0.03300
1984,17-29 y.,(1b) General Elementary School,0.15282,710,3414,0.14075,0.16489
1984,17-29 y.,(1c) Basic Vocational Qualification,0.26914,874,3414,0.25426,0.28402
1984,17-29 y.,(2) Intermediate General/Vocational Qualification,0.29123,817,3414,0.27599,0.30647
1984,17-29 y.,(2c_gen) General Maturity Certificate,0.10262,326,3414,0.09244,0.11280
1984,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.05081,158,3414,0.04344,0.05818
1984,17-29 y.,(3a) Lower Tertiary Education,0.01240,39,3414,0.00868,0.01611
1984,17-29 y.,(3b) Higher Tertiary Education,0.02590,89,3414,0.02057,0.03122
1984,30-45 y.,(1a) Inadequately completed,0.03160,445,3865,0.02609,0.03712
1984,30-45 y.,(1b) General Elementary School,0.15758,773,3865,0.14609,0.16907
1984,30-45 y.,(1c) Basic Vocational Qualification,0.46492,1537,3865,0.44919,0.48065
1984,30-45 y.,(2) Intermediate General/Vocational Qualification,0.17449,521,3865,0.16252,0.18645
1984,30-45 y.,(2c_gen) General Maturity Certificate,0.01127,60,3865,0.00794,0.01460
1984,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.03464,151,3865,0.02887,0.04040
1984,30-45 y.,(3a) Lower Tertiary Education,0.03726,110,3865,0.03129,0.04324
1984,30-45 y.,(3b) Higher Tertiary Education,0.08374,268,3865,0.07500,0.09247
1984,46-65 y.,(1a) Inadequately completed,0.02273,417,3507,0.01780,0.02767
1984,46-65 y.,(1b) General Elementary School,0.30479,1029,3507,0.28956,0.32003
1984,46-65 y.,(1c) Basic Vocational Qualification,0.43646,1367,3507,0.42004,0.45287
1984,46-65 y.,(2) Intermediate General/Vocational Qualification,0.12817,370,3507,0.11711,0.13924
1984,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02986,103,3507,0.02422,0.03549
1984,46-65 y.,(3a) Lower Tertiary Education,0.03312,94,3507,0.02719,0.03904
1984,46-65 y.,(3b) Higher Tertiary Education,0.03841,127,3507,0.03205,0.04477
1984,66 and older,(1b) General Elementary School,0.38946,483,1217,0.36205,0.41687
1984,66 and older,(1c) Basic Vocational Qualification,0.37362,476,1217,0.34643,0.40081
1984,66 and older,(2) Intermediate General/Vocational Qualification,0.14371,177,1217,0.12399,0.16342
1984,66 and older,(2c_voc) Vocational Maturity Certificate,0.02908,41,1217,0.01964,0.03853
1984,66 and older,(3b) Higher Tertiary Education,0.03092,40,1217,0.02119,0.04064
1985,17-29 y.,(0) No qualification (yet),0.06952,187,3071,0.06052,0.07851
1985,17-29 y.,(1a) Inadequately completed,0.02706,164,3071,0.02132,0.03280
1985,17-29 y.,(1b) General Elementary School,0.15062,623,3071,0.13796,0.16327
1985,17-29 y.,(1c) Basic Vocational Qualification,0.24543,746,3071,0.23021,0.26066
1985,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30425,791,3071,0.28798,0.32053
1985,17-29 y.,(2c_gen) General Maturity Certificate,0.09483,299,3071,0.08447,0.10520
1985,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.05250,141,3071,0.04461,0.06039
1985,17-29 y.,(3a) Lower Tertiary Education,0.01261,35,3071,0.00867,0.01656
1985,17-29 y.,(3b) Higher Tertiary Education,0.02650,85,3071,0.02081,0.03218
1985,30-45 y.,(1a) Inadequately completed,0.02943,352,3433,0.02377,0.03508
1985,30-45 y.,(1b) General Elementary School,0.14240,650,3433,0.13071,0.15409
1985,30-45 y.,(1c) Basic Vocational Qualification,0.45991,1379,3433,0.44323,0.47658
1985,30-45 y.,(2) Intermediate General/Vocational Qualification,0.18458,501,3433,0.17161,0.19756
1985,30-45 y.,(2c_gen) General Maturity Certificate,0.01122,51,3433,0.00770,0.01475
1985,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.03786,137,3433,0.03147,0.04424
1985,30-45 y.,(3a) Lower Tertiary Education,0.03807,105,3433,0.03166,0.04447
1985,30-45 y.,(3b) Higher Tertiary Education,0.09143,258,3433,0.08179,0.10107
1985,46-65 y.,(1a) Inadequately completed,0.02254,367,3256,0.01744,0.02764
1985,46-65 y.,(1b) General Elementary School,0.29985,947,3256,0.28411,0.31559
1985,46-65 y.,(1c) Basic Vocational Qualification,0.43517,1272,3256,0.41814,0.45221
1985,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13276,358,3256,0.12111,0.14442
1985,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02862,96,3256,0.02290,0.03435
1985,46-65 y.,(3a) Lower Tertiary Education,0.03146,84,3256,0.02547,0.03746
1985,46-65 y.,(3b) Higher Tertiary Education,0.04178,132,3256,0.03491,0.04865
1985,66 and older,(1b) General Elementary School,0.36514,396,1057,0.33610,0.39418
1985,66 and older,(1c) Basic Vocational Qualification,0.38222,428,1057,0.35291,0.41153
1985,66 and older,(2) Intermediate General/Vocational Qualification,0.15450,165,1057,0.13270,0.17629
1985,66 and older,(2c_voc) Vocational Maturity Certificate,0.02956,36,1057,0.01935,0.03978
1985,66 and older,(3b) Higher Tertiary Education,0.02909,32,1057,0.01895,0.03923
1986,17-29 y.,(0) No qualification (yet),0.05915,189,2986,0.05069,0.06761
1986,17-29 y.,(1a) Inadequately completed,0.02781,158,2986,0.02191,0.03371
1986,17-29 y.,(1b) General Elementary School,0.15083,621,2986,0.13799,0.16367
1986,17-29 y.,(1c) Basic Vocational Qualification,0.24106,704,2986,0.22571,0.25640
1986,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30210,769,2986,0.28562,0.31857
1986,17-29 y.,(2c_gen) General Maturity Certificate,0.11243,318,2986,0.10110,0.12376
1986,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.05233,134,2986,0.04434,0.06032
1986,17-29 y.,(3a) Lower Tertiary Education,0.01427,35,2986,0.01002,0.01852
1986,17-29 y.,(3b) Higher Tertiary Education,0.02010,58,2986,0.01506,0.02513
1986,30-45 y.,(1a) Inadequately completed,0.02870,309,3231,0.02294,0.03445
1986,30-45 y.,(1b) General Elementary School,0.13065,584,3231,0.11903,0.14227
1986,30-45 y.,(1c) Basic Vocational Qualification,0.44949,1270,3231,0.43233,0.46664
1986,30-45 y.,(2) Intermediate General/Vocational Qualification,0.19213,490,3231,0.17854,0.20572
1986,30-45 y.,(2c_gen) General Maturity Certificate,0.01262,53,3231,0.00877,0.01647
1986,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.04280,148,3231,0.03582,0.04978
1986,30-45 y.,(3a) Lower Tertiary Education,0.03925,102,3231,0.03255,0.04594
1986,30-45 y.,(3b) Higher Tertiary Education,0.09984,275,3231,0.08950,0.11018
1986,46-65 y.,(1a) Inadequately completed,0.02260,351,3178,0.01743,0.02777
1986,46-65 y.,(1b) General Elementary School,0.28626,901,3178,0.27055,0.30198
1986,46-65 y.,(1c) Basic Vocational Qualification,0.44061,1258,3178,0.42334,0.45787
1986,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13897,353,3178,0.12694,0.15100
1986,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02732,89,3178,0.02165,0.03299
1986,46-65 y.,(3a) Lower Tertiary Education,0.03248,86,3178,0.02631,0.03864
1986,46-65 y.,(3b) Higher Tertiary Education,0.04345,140,3178,0.03636,0.05054
1986,66 and older,(1b) General Elementary School,0.35759,364,950,0.32710,0.38809
1986,66 and older,(1c) Basic Vocational Qualification,0.37643,388,950,0.34561,0.40726
1986,66 and older,(2) Intermediate General/Vocational Qualification,0.16247,160,950,0.13900,0.18594
1986,66 and older,(2c_voc) Vocational Maturity Certificate,0.03322,38,950,0.02182,0.04463
1987,17-29 y.,(0) No qualification (yet),0.05588,192,2925,0.04756,0.06421
1987,17-29 y.,(1a) Inadequately completed,0.02221,128,2925,0.01687,0.02756
1987,17-29 y.,(1b) General Elementary School,0.14791,629,2925,0.13504,0.16078
1987,17-29 y.,(1c) Basic Vocational Qualification,0.24358,692,2925,0.22802,0.25914
1987,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30217,763,2925,0.28552,0.31881
1987,17-29 y.,(2c_gen) General Maturity Certificate,0.11097,299,2925,0.09959,0.12236
1987,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.05616,132,2925,0.04782,0.06451
1987,17-29 y.,(3a) Lower Tertiary Education,0.01646,39,2925,0.01185,0.02107
1987,17-29 y.,(3b) Higher Tertiary Education,0.01973,51,2925,0.01469,0.02477
1987,30-45 y.,(1a) Inadequately completed,0.03156,306,3129,0.02543,0.03768
1987,30-45 y.,(1b) General Elementary School,0.12755,554,3129,0.11586,0.13924
1987,30-45 y.,(1c) Basic Vocational Qualification,0.44053,1215,3129,0.42313,0.45793
1987,30-45 y.,(2) Intermediate General/Vocational Qualification,0.19862,492,3129,0.18464,0.21260
1987,30-45 y.,(2c_gen) General Maturity Certificate,0.01250,53,3129,0.00860,0.01639
1987,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.04553,145,3129,0.03822,0.05283
1987,30-45 y.,(3a) Lower Tertiary Education,0.04027,99,3129,0.03338,0.04716
1987,30-45 y.,(3b) Higher Tertiary Education,0.09817,265,3129,0.08774,0.10860
1987,46-65 y.,(1a) Inadequately completed,0.02480,357,3159,0.01938,0.03023
1987,46-65 y.,(1b) General Elementary School,0.27502,874,3159,0.25944,0.29059
1987,46-65 y.,(1c) Basic Vocational Qualification,0.45140,1269,3159,0.43405,0.46876
1987,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13413,342,3159,0.12225,0.14602
1987,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02648,87,3159,0.02088,0.03208
1987,46-65 y.,(3a) Lower Tertiary Education,0.03154,83,3159,0.02544,0.03763
1987,46-65 y.,(3b) Higher Tertiary Education,0.04799,147,3159,0.04054,0.05545
1987,66 and older,(1b) General Elementary School,0.35619,378,982,0.32622,0.38615
1987,66 and older,(1c) Basic Vocational Qualification,0.37974,405,982,0.34937,0.41011
1987,66 and older,(2) Intermediate General/Vocational Qualification,0.16052,162,982,0.13755,0.18349
1987,66 and older,(2c_voc) Vocational Maturity Certificate,0.03104,37,982,0.02019,0.04189
1988,17-29 y.,(0) No qualification (yet),0.05794,163,2762,0.04923,0.06666
1988,17-29 y.,(1a) Inadequately completed,0.02017,119,2762,0.01493,0.02541
1988,17-29 y.,(1b) General Elementary School,0.14796,626,2762,0.13472,0.16121
1988,17-29 y.,(1c) Basic Vocational Qualification,0.24313,652,2762,0.22713,0.25913
1988,17-29 y.,(2) Intermediate General/Vocational Qualification,0.29637,728,2762,0.27934,0.31341
1988,17-29 y.,(2c_gen) General Maturity Certificate,0.10997,271,2762,0.09830,0.12164
1988,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.05828,127,2762,0.04954,0.06702
1988,17-29 y.,(3a) Lower Tertiary Education,0.01596,34,2762,0.01129,0.02064
1988,17-29 y.,(3b) Higher Tertiary Education,0.01772,42,2762,0.01280,0.02264
1988,30-45 y.,(1a) Inadequately completed,0.03008,263,2914,0.02388,0.03629
1988,30-45 y.,(1b) General Elementary School,0.11663,500,2914,0.10497,0.12829
1988,30-45 y.,(1c) Basic Vocational Qualification,0.44014,1134,2914,0.42211,0.45816
1988,30-45 y.,(2) Intermediate General/Vocational Qualification,0.20539,481,2914,0.19071,0.22006
1988,30-45 y.,(2c_gen) General Maturity Certificate,0.01410,52,2914,0.00982,0.01839
1988,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.04771,141,2914,0.03997,0.05545
1988,30-45 y.,(3a) Lower Tertiary Education,0.04003,96,2914,0.03292,0.04715
1988,30-45 y.,(3b) Higher Tertiary Education,0.09975,247,2914,0.08887,0.11063
1988,46-65 y.,(1a) Inadequately completed,0.02262,343,3062,0.01736,0.02789
1988,46-65 y.,(1b) General Elementary School,0.27294,845,3062,0.25716,0.28872
1988,46-65 y.,(1c) Basic Vocational Qualification,0.45224,1231,3062,0.43460,0.46987
1988,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13472,333,3062,0.12262,0.14681
1988,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02652,83,3062,0.02083,0.03221
1988,46-65 y.,(3a) Lower Tertiary Education,0.02998,75,3062,0.02394,0.03602
1988,46-65 y.,(3b) Higher Tertiary Education,0.05276,152,3062,0.04484,0.06068
1988,66 and older,(1b) General Elementary School,0.34529,352,952,0.31507,0.37551
1988,66 and older,(1c) Basic Vocational Qualification,0.38774,404,952,0.35677,0.41871
1988,66 and older,(2) Intermediate General/Vocational Qualification,0.16337,159,952,0.13987,0.18687
1988,66 and older,(2c_voc) Vocational Maturity Certificate,0.03283,37,952,0.02150,0.04415
1989,17-29 y.,(0) No qualification (yet),0.06882,176,2694,0.05926,0.07838
1989,17-29 y.,(1a) Inadequately completed,0.02033,118,2694,0.01500,0.02566
1989,17-29 y.,(1b) General Elementary School,0.14472,589,2694,0.13143,0.15801
1989,17-29 y.,(1c) Basic Vocational Qualification,0.23419,639,2694,0.21820,0.25019
