year,age_gr,pgisced97,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Primary Level,(1a) Inadequately completed,0.84585,192,192,0.79464,0.89706
1984,17-29 y.,Lower Secondary Level,(1b) General Elementary School,0.54503,696,1046,0.51484,0.57522
1984,17-29 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.45497,350,1046,0.42478,0.48516
1984,17-29 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.51300,852,1576,0.48831,0.53768
1984,17-29 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.28077,398,1576,0.25858,0.30297
1984,17-29 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.20102,326,1576,0.18123,0.22082
1984,17-29 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.54856,69,102,0.45151,0.64561
1984,17-29 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.28653,33,102,0.19835,0.37471
1984,17-29 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.32373,39,128,0.24236,0.40511
1984,17-29 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.67627,89,128,0.59489,0.75764
1984,30-45 y.,Primary Level,(1a) Inadequately completed,0.91163,392,392,0.88350,0.93977
1984,30-45 y.,Lower Secondary Level,(1b) General Elementary School,0.92940,766,804,0.91168,0.94711
1984,30-45 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.07060,38,804,0.05289,0.08832
1984,30-45 y.,Upper Secondary Level,(1a) Inadequately completed,0.00578,52,1938,0.00240,0.00916
1984,30-45 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.73510,1420,1938,0.71545,0.75475
1984,30-45 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.23716,406,1938,0.21822,0.25611
1984,30-45 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.01956,60,1938,0.01339,0.02573
1984,30-45 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.48546,117,246,0.42288,0.54805
1984,30-45 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.30654,77,246,0.24880,0.36427
1984,30-45 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19937,52,246,0.14934,0.24940
1984,30-45 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.30797,110,378,0.26137,0.35457
1984,30-45 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.69203,268,378,0.64543,0.73863
1984,46-65 y.,Primary Level,(1a) Inadequately completed,0.95891,377,377,0.93884,0.97897
1984,46-65 y.,Lower Secondary Level,(1b) General Elementary School,0.94094,1027,1084,0.92690,0.95498
