year,bula_h,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,(1b) General Elementary School,0.15944,72,317,0.11908,0.19981
1984,Schleswig-Holstein,(1c) Basic Vocational Qualification,0.33991,153,317,0.28768,0.39214
1984,Schleswig-Holstein,(2) Intermediate General/Vocational Qualification,0.19253,92,317,0.14906,0.23600
1984,Hamburg,(1b) General Elementary School,0.15668,57,218,0.10832,0.20505
1984,Hamburg,(1c) Basic Vocational Qualification,0.35214,106,218,0.28859,0.41569
1984,Hamburg,(2) Intermediate General/Vocational Qualification,0.19218,55,218,0.13975,0.24460
1984,Lower Saxony,(1a) Inadequately completed,0.01387,67,1183,0.00720,0.02054
1984,Lower Saxony,(1b) General Elementary School,0.21530,306,1183,0.19187,0.23873
1984,Lower Saxony,(1c) Basic Vocational Qualification,0.30963,442,1183,0.28327,0.33599
1984,Lower Saxony,(2) Intermediate General/Vocational Qualification,0.16793,228,1183,0.14662,0.18924
1984,Lower Saxony,(2c_gen) General Maturity Certificate,0.01876,41,1183,0.01102,0.02649
1984,Lower Saxony,(2c_voc) Vocational Maturity Certificate,0.02497,38,1183,0.01607,0.03386
1984,Lower Saxony,(3b) Higher Tertiary Education,0.04084,61,1183,0.02956,0.05213
1984,Bremen,(1b) General Elementary School,0.25624,33,92,0.16654,0.34593
1984,Bremen,(1c) Basic Vocational Qualification,0.40944,59,92,0.30841,0.51047
1984,North Rhine-Westphalia,(0) No qualification (yet),0.01571,61,3224,0.01142,0.02001
1984,North Rhine-Westphalia,(1a) Inadequately completed,0.02597,342,3224,0.02048,0.03146
1984,North Rhine-Westphalia,(1b) General Elementary School,0.17690,738,3224,0.16372,0.19007
1984,North Rhine-Westphalia,(1c) Basic Vocational Qualification,0.33039,1135,3224,0.31415,0.34663
1984,North Rhine-Westphalia,(2) Intermediate General/Vocational Qualification,0.13654,462,3224,0.12468,0.14839
1984,North Rhine-Westphalia,(2c_gen) General Maturity Certificate,0.02990,132,3224,0.02402,0.03578
