year,quintil_oecd,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,(0) No qualification (yet),0.01137,37,2432,0.00715,0.01558
1984,1st Quintile,(1a) Inadequately completed,0.03621,382,2432,0.02878,0.04363
1984,1st Quintile,(1b) General Elementary School,0.28869,872,2432,0.27068,0.30670
1984,1st Quintile,(1c) Basic Vocational Qualification,0.26607,697,2432,0.24850,0.28364
1984,1st Quintile,(2) Intermediate General/Vocational Qualification,0.07436,180,2432,0.06393,0.08479
1984,1st Quintile,(2c_gen) General Maturity Certificate,0.03796,131,2432,0.03036,0.04556
1984,1st Quintile,(2c_voc) Vocational Maturity Certificate,0.02080,78,2432,0.01512,0.02647
1984,1st Quintile,(3b) Higher Tertiary Education,0.01994,55,2432,0.01438,0.02550
1984,2nd Quintile,(0) No qualification (yet),0.01599,48,2322,0.01089,0.02110
1984,2nd Quintile,(1a) Inadequately completed,0.02438,262,2322,0.01810,0.03065
1984,2nd Quintile,(1b) General Elementary School,0.25407,733,2322,0.23636,0.27178
1984,2nd Quintile,(1c) Basic Vocational Qualification,0.33528,874,2322,0.31607,0.35448
1984,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.10768,264,2322,0.09507,0.12029
1984,2nd Quintile,(2c_gen) General Maturity Certificate,0.02333,85,2322,0.01719,0.02947
1984,2nd Quintile,(2c_voc) Vocational Maturity Certificate,0.01467,56,2322,0.00978,0.01957
1984,3rd Quintile,(0) No qualification (yet),0.01314,34,2351,0.00853,0.01774
1984,3rd Quintile,(1a) Inadequately completed,0.01496,172,2351,0.01005,0.01987
1984,3rd Quintile,(1b) General Elementary School,0.20467,608,2351,0.18836,0.22098
1984,3rd Quintile,(1c) Basic Vocational Qualification,0.35349,916,2351,0.33416,0.37282
1984,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.15184,375,2351,0.13733,0.16635
1984,3rd Quintile,(2c_gen) General Maturity Certificate,0.01796,62,2351,0.01259,0.02333
1984,3rd Quintile,(2c_voc) Vocational Maturity Certificate,0.02542,78,2351,0.01906,0.03179
1984,3rd Quintile,(3a) Lower Tertiary Education,0.01689,43,2351,0.01168,0.02210
1984,3rd Quintile,(3b) Higher Tertiary Education,0.02101,63,2351,0.01521,0.02681
1984,4th Quintile,(0) No qualification (yet),0.01496,43,2480,0.01018,0.01974
1984,4th Quintile,(1a) Inadequately completed,0.01641,189,2480,0.01141,0.02141
1984,4th Quintile,(1b) General Elementary School,0.15514,486,2480,0.14088,0.16939
1984,4th Quintile,(1c) Basic Vocational Qualification,0.34887,941,2480,0.33011,0.36763
1984,4th Quintile,(2) Intermediate General/Vocational Qualification,0.18955,478,2480,0.17412,0.20498
1984,4th Quintile,(2c_gen) General Maturity Certificate,0.02545,72,2480,0.01925,0.03165
1984,4th Quintile,(2c_voc) Vocational Maturity Certificate,0.03293,93,2480,0.02590,0.03995
1984,4th Quintile,(3a) Lower Tertiary Education,0.02373,58,2480,0.01774,0.02973
1984,4th Quintile,(3b) Higher Tertiary Education,0.04259,120,2480,0.03465,0.05054
1984,5th Quintile,(1a) Inadequately completed,0.00724,86,2373,0.00383,0.01065
1984,5th Quintile,(1b) General Elementary School,0.09753,290,2373,0.08559,0.10947
1984,5th Quintile,(1c) Basic Vocational Qualification,0.31444,819,2373,0.29575,0.33312
1984,5th Quintile,(2) Intermediate General/Vocational Qualification,0.23744,587,2373,0.22032,0.25457
1984,5th Quintile,(2c_gen) General Maturity Certificate,0.01916,59,2373,0.01364,0.02468
1984,5th Quintile,(2c_voc) Vocational Maturity Certificate,0.05620,148,2373,0.04693,0.06547
1984,5th Quintile,(3a) Lower Tertiary Education,0.05332,128,2373,0.04428,0.06237
1984,5th Quintile,(3b) Higher Tertiary Education,0.09797,256,2373,0.08601,0.10993
1985,1st Quintile,(0) No qualification (yet),0.01214,39,2188,0.00755,0.01673
1985,1st Quintile,(1a) Inadequately completed,0.03812,322,2188,0.03009,0.04615
1985,1st Quintile,(1b) General Elementary School,0.28091,761,2188,0.26207,0.29975
1985,1st Quintile,(1c) Basic Vocational Qualification,0.26405,642,2188,0.24558,0.28253
1985,1st Quintile,(2) Intermediate General/Vocational Qualification,0.09144,210,2188,0.07936,0.10352
1985,1st Quintile,(2c_gen) General Maturity Certificate,0.03864,116,2188,0.03056,0.04671
1985,1st Quintile,(2c_voc) Vocational Maturity Certificate,0.02097,64,2188,0.01496,0.02697
1985,1st Quintile,(3b) Higher Tertiary Education,0.01268,34,2188,0.00799,0.01738
1985,2nd Quintile,(0) No qualification (yet),0.01264,31,2110,0.00788,0.01741
1985,2nd Quintile,(1a) Inadequately completed,0.02092,207,2110,0.01481,0.02703
1985,2nd Quintile,(1b) General Elementary School,0.24400,645,2110,0.22567,0.26233
1985,2nd Quintile,(1c) Basic Vocational Qualification,0.33596,800,2110,0.31580,0.35612
1985,2nd Quintile,(2) Intermediate General/Vocational Qualification,0.11465,248,2110,0.10105,0.12825
1985,2nd Quintile,(2c_gen) General Maturity Certificate,0.02204,77,2110,0.01578,0.02831
1985,2nd Quintile,(2c_voc) Vocational Maturity Certificate,0.02068,64,2110,0.01460,0.02675
1985,2nd Quintile,(3b) Higher Tertiary Education,0.01385,38,2110,0.00886,0.01884
1985,3rd Quintile,(0) No qualification (yet),0.01951,47,2182,0.01370,0.02531
1985,3rd Quintile,(1a) Inadequately completed,0.01757,166,2182,0.01206,0.02309
1985,3rd Quintile,(1b) General Elementary School,0.21385,567,2182,0.19664,0.23106
1985,3rd Quintile,(1c) Basic Vocational Qualification,0.34455,802,2182,0.32461,0.36450
1985,3rd Quintile,(2) Intermediate General/Vocational Qualification,0.16185,364,2182,0.14639,0.17731
1985,3rd Quintile,(2c_gen) General Maturity Certificate,0.01911,68,2182,0.01336,0.02485
1985,3rd Quintile,(2c_voc) Vocational Maturity Certificate,0.02418,69,2182,0.01774,0.03063
1985,3rd Quintile,(3a) Lower Tertiary Education,0.01583,38,2182,0.01059,0.02107
