year,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,(0) No qualification (yet),0.01314,188,12073,0.01111,0.01517
1984,(1a) Inadequately completed,0.01983,1093,12073,0.01734,0.02232
1984,(1b) General Elementary School,0.20033,2995,12073,0.19319,0.20747
1984,(1c) Basic Vocational Qualification,0.32354,4254,12073,0.31520,0.33189
1984,(2) Intermediate General/Vocational Qualification,0.15197,1885,12073,0.14557,0.15837
1984,(2c_gen) General Maturity Certificate,0.02525,415,12073,0.02245,0.02805
1984,(2c_voc) Vocational Maturity Certificate,0.02994,453,12073,0.02690,0.03298
1984,(3a) Lower Tertiary Education,0.02164,266,12073,0.01905,0.02424
1984,(3b) Higher Tertiary Education,0.03809,524,12073,0.03468,0.04151
1985,(0) No qualification (yet),0.01477,187,10885,0.01250,0.01704
1985,(1a) Inadequately completed,0.01971,900,10885,0.01710,0.02232
1985,(1b) General Elementary School,0.19523,2616,10885,0.18778,0.20267
1985,(1c) Basic Vocational Qualification,0.32224,3825,10885,0.31346,0.33102
1985,(2) Intermediate General/Vocational Qualification,0.16218,1815,10885,0.15525,0.16910
1985,(2c_gen) General Maturity Certificate,0.02451,377,10885,0.02160,0.02741
1985,(2c_voc) Vocational Maturity Certificate,0.03121,410,10885,0.02795,0.03448
1985,(3a) Lower Tertiary Education,0.02212,248,10885,0.01936,0.02488
1985,(3b) Higher Tertiary Education,0.04068,507,10885,0.03697,0.04439
1986,(0) No qualification (yet),0.01246,189,10447,0.01033,0.01459
1986,(1a) Inadequately completed,0.02001,839,10447,0.01732,0.02269
1986,(1b) General Elementary School,0.18825,2470,10447,0.18075,0.19574
1986,(1c) Basic Vocational Qualification,0.31951,3620,10447,0.31056,0.32845
1986,(2) Intermediate General/Vocational Qualification,0.16559,1772,10447,0.15846,0.17272
1986,(2c_gen) General Maturity Certificate,0.02842,399,10447,0.02523,0.03161
1986,(2c_voc) Vocational Maturity Certificate,0.03233,409,10447,0.02894,0.03573
1986,(3a) Lower Tertiary Education,0.02327,247,10447,0.02038,0.02616
1986,(3b) Higher Tertiary Education,0.04108,502,10447,0.03728,0.04489
1987,(0) No qualification (yet),0.01141,192,10300,0.00936,0.01346
1987,(1a) Inadequately completed,0.01945,811,10300,0.01678,0.02212
1987,(1b) General Elementary School,0.18459,2435,10300,0.17710,0.19208
1987,(1c) Basic Vocational Qualification,0.32144,3581,10300,0.31242,0.33046
1987,(2) Intermediate General/Vocational Qualification,0.16409,1759,10300,0.15693,0.17124
1987,(2c_gen) General Maturity Certificate,0.02744,379,10300,0.02428,0.03059
1987,(2c_voc) Vocational Maturity Certificate,0.03293,401,10300,0.02948,0.03638
1987,(3a) Lower Tertiary Education,0.02422,249,10300,0.02125,0.02719
1987,(3b) Higher Tertiary Education,0.04193,493,10300,0.03806,0.04580
1988,(0) No qualification (yet),0.01165,163,9792,0.00953,0.01378
1988,(1a) Inadequately completed,0.01809,745,9792,0.01545,0.02073
1988,(1b) General Elementary School,0.18030,2323,9792,0.17269,0.18792
1988,(1c) Basic Vocational Qualification,0.32329,3421,9792,0.31403,0.33256
1988,(2) Intermediate General/Vocational Qualification,0.16460,1701,9792,0.15726,0.17195
1988,(2c_gen) General Maturity Certificate,0.02717,349,9792,0.02395,0.03039
1988,(2c_voc) Vocational Maturity Certificate,0.03406,388,9792,0.03046,0.03765
1988,(3a) Lower Tertiary Education,0.02368,233,9792,0.02067,0.02670
1988,(3b) Higher Tertiary Education,0.04301,469,9792,0.03899,0.04703
1989,(0) No qualification (yet),0.01394,176,9485,0.01158,0.01630
1989,(1a) Inadequately completed,0.01868,712,9485,0.01596,0.02141
1989,(1b) General Elementary School,0.17672,2204,9485,0.16904,0.18440
1989,(1c) Basic Vocational Qualification,0.31922,3290,9485,0.30983,0.32860
1989,(2) Intermediate General/Vocational Qualification,0.16422,1651,9485,0.15676,0.17167
1989,(2c_gen) General Maturity Certificate,0.02751,352,9485,0.02421,0.03080
1989,(2c_voc) Vocational Maturity Certificate,0.03616,402,9485,0.03240,0.03992
1989,(3a) Lower Tertiary Education,0.02461,232,9485,0.02149,0.02773
1989,(3b) Higher Tertiary Education,0.04530,466,9485,0.04112,0.04949
1990,(0) No qualification (yet),0.00978,163,13678,0.00813,0.01143
1990,(1a) Inadequately completed,0.01727,727,13678,0.01509,0.01946
1990,(1b) General Elementary School,0.15193,2470,13678,0.14591,0.15795
1990,(1c) Basic Vocational Qualification,0.30370,4550,13678,0.29600,0.31141
1990,(2) Intermediate General/Vocational Qualification,0.18414,3200,13678,0.17764,0.19063
1990,(2c_gen) General Maturity Certificate,0.02347,383,13678,0.02093,0.02600
1990,(2c_voc) Vocational Maturity Certificate,0.03247,494,13678,0.02950,0.03545
