year,sampreg,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,(0) No qualification (yet),0.01314,188,12073,0.01111,0.01517
1984,West,(1a) Inadequately completed,0.01983,1093,12073,0.01734,0.02232
1984,West,(1b) General Elementary School,0.20033,2995,12073,0.19319,0.20747
1984,West,(1c) Basic Vocational Qualification,0.32354,4254,12073,0.31520,0.33189
1984,West,(2) Intermediate General/Vocational Qualification,0.15197,1885,12073,0.14557,0.15837
1984,West,(2c_gen) General Maturity Certificate,0.02525,415,12073,0.02245,0.02805
1984,West,(2c_voc) Vocational Maturity Certificate,0.02994,453,12073,0.02690,0.03298
1984,West,(3a) Lower Tertiary Education,0.02164,266,12073,0.01905,0.02424
1984,West,(3b) Higher Tertiary Education,0.03809,524,12073,0.03468,0.04151
1985,West,(0) No qualification (yet),0.01477,187,10885,0.01250,0.01704
1985,West,(1a) Inadequately completed,0.01971,900,10885,0.01710,0.02232
1985,West,(1b) General Elementary School,0.19523,2616,10885,0.18778,0.20267
1985,West,(1c) Basic Vocational Qualification,0.32224,3825,10885,0.31346,0.33102
1985,West,(2) Intermediate General/Vocational Qualification,0.16218,1815,10885,0.15525,0.16910
1985,West,(2c_gen) General Maturity Certificate,0.02451,377,10885,0.02160,0.02741
1985,West,(2c_voc) Vocational Maturity Certificate,0.03121,410,10885,0.02795,0.03448
1985,West,(3a) Lower Tertiary Education,0.02212,248,10885,0.01936,0.02488
1985,West,(3b) Higher Tertiary Education,0.04068,507,10885,0.03697,0.04439
1986,West,(0) No qualification (yet),0.01246,189,10447,0.01033,0.01459
1986,West,(1a) Inadequately completed,0.02001,839,10447,0.01732,0.02269
1986,West,(1b) General Elementary School,0.18825,2470,10447,0.18075,0.19574
1986,West,(1c) Basic Vocational Qualification,0.31951,3620,10447,0.31056,0.32845
1986,West,(2) Intermediate General/Vocational Qualification,0.16559,1772,10447,0.15846,0.17272
1986,West,(2c_gen) General Maturity Certificate,0.02842,399,10447,0.02523,0.03161
1986,West,(2c_voc) Vocational Maturity Certificate,0.03233,409,10447,0.02894,0.03573
1986,West,(3a) Lower Tertiary Education,0.02327,247,10447,0.02038,0.02616
1986,West,(3b) Higher Tertiary Education,0.04108,502,10447,0.03728,0.04489
1987,West,(0) No qualification (yet),0.01141,192,10300,0.00936,0.01346
1987,West,(1a) Inadequately completed,0.01945,811,10300,0.01678,0.02212
1987,West,(1b) General Elementary School,0.18459,2435,10300,0.17710,0.19208
1987,West,(1c) Basic Vocational Qualification,0.32144,3581,10300,0.31242,0.33046
1987,West,(2) Intermediate General/Vocational Qualification,0.16409,1759,10300,0.15693,0.17124
1987,West,(2c_gen) General Maturity Certificate,0.02744,379,10300,0.02428,0.03059
1987,West,(2c_voc) Vocational Maturity Certificate,0.03293,401,10300,0.02948,0.03638
1987,West,(3a) Lower Tertiary Education,0.02422,249,10300,0.02125,0.02719
1987,West,(3b) Higher Tertiary Education,0.04193,493,10300,0.03806,0.04580
1988,West,(0) No qualification (yet),0.01165,163,9792,0.00953,0.01378
1988,West,(1a) Inadequately completed,0.01809,745,9792,0.01545,0.02073
1988,West,(1b) General Elementary School,0.18030,2323,9792,0.17269,0.18792
1988,West,(1c) Basic Vocational Qualification,0.32329,3421,9792,0.31403,0.33256
1988,West,(2) Intermediate General/Vocational Qualification,0.16460,1701,9792,0.15726,0.17195
1988,West,(2c_gen) General Maturity Certificate,0.02717,349,9792,0.02395,0.03039
1988,West,(2c_voc) Vocational Maturity Certificate,0.03406,388,9792,0.03046,0.03765
1988,West,(3a) Lower Tertiary Education,0.02368,233,9792,0.02067,0.02670
1988,West,(3b) Higher Tertiary Education,0.04301,469,9792,0.03899,0.04703
1989,West,(0) No qualification (yet),0.01394,176,9485,0.01158,0.01630
1989,West,(1a) Inadequately completed,0.01868,712,9485,0.01596,0.02141
1989,West,(1b) General Elementary School,0.17672,2204,9485,0.16904,0.18440
1989,West,(1c) Basic Vocational Qualification,0.31922,3290,9485,0.30983,0.32860
1989,West,(2) Intermediate General/Vocational Qualification,0.16422,1651,9485,0.15676,0.17167
1989,West,(2c_gen) General Maturity Certificate,0.02751,352,9485,0.02421,0.03080
1989,West,(2c_voc) Vocational Maturity Certificate,0.03616,402,9485,0.03240,0.03992
1989,West,(3a) Lower Tertiary Education,0.02461,232,9485,0.02149,0.02773
1989,West,(3b) Higher Tertiary Education,0.04530,466,9485,0.04112,0.04949
1990,West,(0) No qualification (yet),0.01231,162,9265,0.01007,0.01456
1990,West,(1a) Inadequately completed,0.02001,683,9265,0.01715,0.02286
1990,West,(1b) General Elementary School,0.17185,2139,9265,0.16417,0.17953
1990,West,(1c) Basic Vocational Qualification,0.31564,3209,9265,0.30618,0.32511
1990,West,(2) Intermediate General/Vocational Qualification,0.16549,1625,9265,0.15792,0.17306
1990,West,(2c_gen) General Maturity Certificate,0.02760,338,9265,0.02427,0.03094
1990,West,(2c_voc) Vocational Maturity Certificate,0.03732,410,9265,0.03346,0.04118
1990,West,(3a) Lower Tertiary Education,0.02494,236,9265,0.02176,0.02811
1990,West,(3b) Higher Tertiary Education,0.04702,463,9265,0.04271,0.05133
1990,East,(1a) Inadequately completed,0.00682,44,4412,0.00439,0.00925
1990,East,(1b) General Elementary School,0.07579,331,4412,0.06797,0.08360
1990,East,(1c) Basic Vocational Qualification,0.25806,1341,4412,0.24515,0.27098
1990,East,(2) Intermediate General/Vocational Qualification,0.25543,1575,4412,0.24256,0.26830
1990,East,(2c_gen) General Maturity Certificate,0.00766,45,4412,0.00509,0.01023
1990,East,(2c_voc) Vocational Maturity Certificate,0.01393,84,4412,0.01048,0.01739
1990,East,(3a) Lower Tertiary Education,0.10637,653,4412,0.09727,0.11547
1990,East,(3b) Higher Tertiary Education,0.05468,339,4412,0.04797,0.06139
1991,West,(0) No qualification (yet),0.01161,153,9236,0.00943,0.01380
1991,West,(1a) Inadequately completed,0.02073,672,9236,0.01782,0.02363
1991,West,(1b) General Elementary School,0.16577,2061,9236,0.15819,0.17335
1991,West,(1c) Basic Vocational Qualification,0.30887,3198,9236,0.29945,0.31829
1991,West,(2) Intermediate General/Vocational Qualification,0.16623,1654,9236,0.15864,0.17383
1991,West,(2c_gen) General Maturity Certificate,0.02702,346,9236,0.02372,0.03033
1991,West,(2c_voc) Vocational Maturity Certificate,0.03899,428,9236,0.03504,0.04293
1991,West,(3a) Lower Tertiary Education,0.02702,252,9236,0.02371,0.03032
1991,West,(3b) Higher Tertiary Education,0.04948,472,9236,0.04506,0.05390
1991,East,(1a) Inadequately completed,0.00874,54,4116,0.00589,0.01158
1991,East,(1b) General Elementary School,0.07421,288,4116,0.06620,0.08221
1991,East,(1c) Basic Vocational Qualification,0.26293,1208,4116,0.24948,0.27639
1991,East,(2) Intermediate General/Vocational Qualification,0.26586,1496,4116,0.25236,0.27936
1991,East,(2c_gen) General Maturity Certificate,0.00644,40,4116,0.00400,0.00889
1991,East,(2c_voc) Vocational Maturity Certificate,0.01402,76,4116,0.01042,0.01761
1991,East,(3a) Lower Tertiary Education,0.11261,632,4116,0.10295,0.12227
1991,East,(3b) Higher Tertiary Education,0.05788,322,4116,0.05074,0.06501
1992,West,(0) No qualification (yet),0.01067,145,9115,0.00856,0.01278
1992,West,(1a) Inadequately completed,0.02180,657,9115,0.01880,0.02480
1992,West,(1b) General Elementary School,0.16159,1991,9115,0.15403,0.16914
1992,West,(1c) Basic Vocational Qualification,0.30479,3130,9115,0.29534,0.31424
1992,West,(2) Intermediate General/Vocational Qualification,0.16703,1673,9115,0.15937,0.17469
1992,West,(2c_gen) General Maturity Certificate,0.02784,336,9115,0.02446,0.03121
1992,West,(2c_voc) Vocational Maturity Certificate,0.04056,445,9115,0.03651,0.04461
1992,West,(3a) Lower Tertiary Education,0.02720,260,9115,0.02386,0.03054
1992,West,(3b) Higher Tertiary Education,0.05053,478,9115,0.04603,0.05502
1992,East,(1a) Inadequately completed,0.01130,68,3950,0.00800,0.01459
1992,East,(1b) General Elementary School,0.07203,278,3950,0.06397,0.08010
1992,East,(1c) Basic Vocational Qualification,0.26362,1140,3950,0.24988,0.27736
1992,East,(2) Intermediate General/Vocational Qualification,0.26754,1431,3950,0.25373,0.28135
1992,East,(2c_gen) General Maturity Certificate,0.00675,43,3950,0.00420,0.00931
1992,East,(2c_voc) Vocational Maturity Certificate,0.01391,73,3950,0.01026,0.01756
1992,East,(3a) Lower Tertiary Education,0.11350,606,3950,0.10361,0.12339
1992,East,(3b) Higher Tertiary Education,0.05984,311,3950,0.05244,0.06723
1993,West,(0) No qualification (yet),0.01002,126,9034,0.00797,0.01208
1993,West,(1a) Inadequately completed,0.02354,643,9034,0.02042,0.02667
1993,West,(1b) General Elementary School,0.15797,1927,9034,0.15044,0.16549
1993,West,(1c) Basic Vocational Qualification,0.30191,3089,9034,0.29245,0.31138
1993,West,(2) Intermediate General/Vocational Qualification,0.16828,1700,9034,0.16056,0.17599
1993,West,(2c_gen) General Maturity Certificate,0.02728,347,9034,0.02392,0.03064
1993,West,(2c_voc) Vocational Maturity Certificate,0.04070,439,9034,0.03662,0.04477
1993,West,(3a) Lower Tertiary Education,0.02879,273,9034,0.02534,0.03224
1993,West,(3b) Higher Tertiary Education,0.05243,490,9034,0.04784,0.05703
1993,East,(1a) Inadequately completed,0.01359,80,3804,0.00991,0.01727
1993,East,(1b) General Elementary School,0.06808,257,3804,0.06008,0.07609
1993,East,(1c) Basic Vocational Qualification,0.25756,1074,3804,0.24366,0.27146
1993,East,(2) Intermediate General/Vocational Qualification,0.27168,1396,3804,0.25754,0.28581
1993,East,(2c_gen) General Maturity Certificate,0.00765,50,3804,0.00488,0.01041
1993,East,(2c_voc) Vocational Maturity Certificate,0.01460,74,3804,0.01079,0.01842
1993,East,(3a) Lower Tertiary Education,0.11331,573,3804,0.10324,0.12338
1993,East,(3b) Higher Tertiary Education,0.06147,300,3804,0.05383,0.06910
1994,West,(0) No qualification (yet),0.01248,156,8824,0.01016,0.01479
1994,West,(1a) Inadequately completed,0.02313,592,8824,0.01999,0.02627
1994,West,(1b) General Elementary School,0.15142,1803,8824,0.14394,0.15890
1994,West,(1c) Basic Vocational Qualification,0.29982,3022,8824,0.29026,0.30938
1994,West,(2) Intermediate General/Vocational Qualification,0.16604,1673,8824,0.15827,0.17380
1994,West,(2c_gen) General Maturity Certificate,0.02771,342,8824,0.02428,0.03113
1994,West,(2c_voc) Vocational Maturity Certificate,0.04078,441,8824,0.03665,0.04491
1994,West,(3a) Lower Tertiary Education,0.03063,292,8824,0.02704,0.03423
1994,West,(3b) Higher Tertiary Education,0.05486,503,8824,0.05011,0.05961
1994,East,(0) No qualification (yet),0.00666,46,3749,0.00406,0.00927
1994,East,(1a) Inadequately completed,0.00952,54,3749,0.00641,0.01263
1994,East,(1b) General Elementary School,0.06637,244,3749,0.05840,0.07434
1994,East,(1c) Basic Vocational Qualification,0.25633,1034,3749,0.24235,0.27031
1994,East,(2) Intermediate General/Vocational Qualification,0.27171,1375,3749,0.25747,0.28595
1994,East,(2c_gen) General Maturity Certificate,0.00872,59,3749,0.00574,0.01169
1994,East,(2c_voc) Vocational Maturity Certificate,0.01625,79,3749,0.01220,0.02029
1994,East,(3a) Lower Tertiary Education,0.11344,557,3749,0.10328,0.12359
1994,East,(3b) Higher Tertiary Education,0.06356,301,3749,0.05574,0.07137
1995,West,(0) No qualification (yet),0.01424,190,9273,0.01183,0.01666
1995,West,(1a) Inadequately completed,0.01986,577,9273,0.01702,0.02270
1995,West,(1b) General Elementary School,0.14608,1810,9273,0.13889,0.15327
1995,West,(1c) Basic Vocational Qualification,0.29188,3094,9273,0.28263,0.30114
1995,West,(2) Intermediate General/Vocational Qualification,0.16284,1775,9273,0.15532,0.17035
1995,West,(2c_gen) General Maturity Certificate,0.02932,391,9273,0.02589,0.03276
1995,West,(2c_voc) Vocational Maturity Certificate,0.04542,517,9273,0.04118,0.04965
1995,West,(3a) Lower Tertiary Education,0.03235,325,9273,0.02875,0.03595
1995,West,(3b) Higher Tertiary Education,0.06098,594,9273,0.05610,0.06585
1995,East,(0) No qualification (yet),0.01036,75,3663,0.00708,0.01364
1995,East,(1a) Inadequately completed,0.00734,39,3663,0.00458,0.01011
1995,East,(1b) General Elementary School,0.06427,231,3663,0.05633,0.07222
1995,East,(1c) Basic Vocational Qualification,0.25932,990,3663,0.24513,0.27352
1995,East,(2) Intermediate General/Vocational Qualification,0.26770,1341,3663,0.25335,0.28204
1995,East,(2c_gen) General Maturity Certificate,0.01257,75,3663,0.00896,0.01617
1995,East,(2c_voc) Vocational Maturity Certificate,0.01714,78,3663,0.01293,0.02134
1995,East,(3a) Lower Tertiary Education,0.11381,539,3663,0.10352,0.12409
1995,East,(3b) Higher Tertiary Education,0.06546,295,3663,0.05745,0.07347
1996,West,(0) No qualification (yet),0.01557,197,9051,0.01302,0.01812
