year,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Yes,0.34272,2481,6631,0.33129,0.35414
1996,No,0.65728,4150,6631,0.64586,0.66871
2001,Yes,0.35370,4577,11680,0.34503,0.36237
2001,No,0.64630,7103,11680,0.63763,0.65497
2006,Yes,0.34134,4710,12265,0.33295,0.34974
2006,No,0.65866,7555,12265,0.65026,0.66705
2011,Yes,0.30190,4483,12084,0.29372,0.31009
2011,No,0.62153,7601,12084,0.61289,0.63018
2016,Yes,0.31633,5285,14302,0.30871,0.32396
2016,No,0.67836,9017,14302,0.67071,0.68602
2021,Yes,0.31552,4098,11092,0.30687,0.32417
2021,No,0.67415,6994,11092,0.66543,0.68288
