year,bula_h,sampreg,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,West,Yes,0.33587,59,149,0.25978,0.41196
1996,Schleswig-Holstein,West,No,0.66413,90,149,0.58804,0.74022
1996,Hamburg,West,No,0.76811,61,61,0.66132,0.87490
1996,Lower Saxony,West,Yes,0.34040,198,531,0.30006,0.38074
1996,Lower Saxony,West,No,0.65960,333,531,0.61926,0.69994
1996,Bremen,West,No,0.77547,39,39,0.64280,0.90815
1996,North Rhine-Westphalia,West,Yes,0.32195,420,1289,0.29643,0.34747
1996,North Rhine-Westphalia,West,No,0.67805,869,1289,0.65253,0.70357
1996,Hesse,West,Yes,0.29854,139,467,0.25699,0.34009
1996,Hesse,West,No,0.70146,328,467,0.65991,0.74301
1996,"Rhineland-Palatinate, Saarland",West,Yes,0.38402,141,347,0.33278,0.43527
1996,"Rhineland-Palatinate, Saarland",West,No,0.61598,206,347,0.56473,0.66722
1996,Baden-Wuerttemberg,West,Yes,0.32476,266,840,0.29308,0.35645
1996,Baden-Wuerttemberg,West,No,0.67524,574,840,0.64355,0.70692
1996,Bavaria,West,Yes,0.33398,306,861,0.30246,0.36550
1996,Bavaria,West,No,0.66602,555,861,0.63450,0.69754
1996,Berlin,West,Yes,0.34942,64,175,0.27858,0.42027
1996,Berlin,West,No,0.65058,111,175,0.57973,0.72142
1996,Berlin,East,Yes,0.35998,50,135,0.27871,0.44125
1996,Berlin,East,No,0.64002,85,135,0.55875,0.72129
1996,Brandenburg,East,Yes,0.46162,152,300,0.40511,0.51813
1996,Brandenburg,East,No,0.53838,148,300,0.48187,0.59489
1996,Mecklenburg-Western Pomerania,East,Yes,0.40128,88,199,0.33301,0.46956
1996,Mecklenburg-Western Pomerania,East,No,0.59872,111,199,0.53044,0.66699
1996,Saxony,East,Yes,0.37898,234,548,0.33832,0.41963
1996,Saxony,East,No,0.62102,314,548,0.58037,0.66168
1996,Saxony-Anhalt,East,Yes,0.45633,169,330,0.40251,0.51015
1996,Saxony-Anhalt,East,No,0.54367,161,330,0.48985,0.59749
1996,Thuringa,East,Yes,0.41198,161,326,0.35847,0.46549
1996,Thuringa,East,No,0.58802,165,326,0.53451,0.64153
2001,Schleswig-Holstein,West,Yes,0.35019,140,363,0.30105,0.39933
2001,Schleswig-Holstein,West,No,0.64981,223,363,0.60067,0.69895
2001,Hamburg,West,Yes,0.25215,48,181,0.18871,0.31559
2001,Hamburg,West,No,0.74785,133,181,0.68441,0.81129
2001,Lower Saxony,West,Yes,0.40678,403,961,0.37571,0.43786
2001,Lower Saxony,West,No,0.59322,558,961,0.56214,0.62429
2001,Bremen,West,Yes,0.30929,39,99,0.21778,0.40080
2001,Bremen,West,No,0.69071,60,99,0.59920,0.78222
2001,North Rhine-Westphalia,West,Yes,0.31650,835,2485,0.29821,0.33479
2001,North Rhine-Westphalia,West,No,0.68350,1650,2485,0.66521,0.70179
2001,Hesse,West,Yes,0.28460,259,779,0.25289,0.31631
2001,Hesse,West,No,0.71540,520,779,0.68369,0.74711
2001,"Rhineland-Palatinate, Saarland",West,Yes,0.40923,316,720,0.37329,0.44517
2001,"Rhineland-Palatinate, Saarland",West,No,0.59077,404,720,0.55483,0.62671
2001,Baden-Wuerttemberg,West,Yes,0.31156,444,1362,0.28696,0.33617
2001,Baden-Wuerttemberg,West,No,0.68844,918,1362,0.66383,0.71304
2001,Bavaria,West,Yes,0.33131,604,1616,0.30835,0.35426
2001,Bavaria,West,No,0.66869,1012,1616,0.64574,0.69165
2001,Berlin,West,Yes,0.30063,85,271,0.24593,0.35532
2001,Berlin,West,No,0.69937,186,271,0.64468,0.75407
2001,Berlin,East,Yes,0.33146,73,210,0.26764,0.39528
2001,Berlin,East,No,0.66854,137,210,0.60472,0.73236
2001,Brandenburg,East,Yes,0.50023,261,500,0.45636,0.54410
2001,Brandenburg,East,No,0.49977,239,500,0.45590,0.54364
2001,Mecklenburg-Western Pomerania,East,Yes,0.43438,135,285,0.37674,0.49203
2001,Mecklenburg-Western Pomerania,East,No,0.56562,150,285,0.50797,0.62326
2001,Saxony,East,Yes,0.43479,404,849,0.40143,0.46816
2001,Saxony,East,No,0.56521,445,849,0.53184,0.59857
2001,Saxony-Anhalt,East,Yes,0.49722,274,505,0.45356,0.54087
2001,Saxony-Anhalt,East,No,0.50278,231,505,0.45913,0.54644
2001,Thuringa,East,Yes,0.45261,257,494,0.40867,0.49655
2001,Thuringa,East,No,0.54739,237,494,0.50345,0.59133
2006,Schleswig-Holstein,West,Yes,0.34166,145,389,0.29446,0.38885
2006,Schleswig-Holstein,West,No,0.65834,244,389,0.61115,0.70554
2006,Hamburg,West,Yes,0.18127,42,194,0.12692,0.23563
2006,Hamburg,West,No,0.81873,152,194,0.76437,0.87308
2006,Lower Saxony,West,Yes,0.35552,426,1074,0.32688,0.38416
2006,Lower Saxony,West,No,0.64448,648,1074,0.61584,0.67312
2006,Bremen,West,Yes,0.38540,36,90,0.28429,0.48652
2006,Bremen,West,No,0.61460,54,90,0.51348,0.71571
2006,North Rhine-Westphalia,West,Yes,0.30787,857,2538,0.28990,0.32583
2006,North Rhine-Westphalia,West,No,0.69213,1681,2538,0.67417,0.71010
2006,Hesse,West,Yes,0.32197,317,846,0.29046,0.35347
2006,Hesse,West,No,0.67803,529,846,0.64653,0.70954
2006,"Rhineland-Palatinate, Saarland",West,Yes,0.37554,297,727,0.34031,0.41076
2006,"Rhineland-Palatinate, Saarland",West,No,0.62446,430,727,0.58924,0.65969
2006,Baden-Wuerttemberg,West,Yes,0.30807,495,1473,0.28449,0.33166
2006,Baden-Wuerttemberg,West,No,0.69193,978,1473,0.66834,0.71551
2006,Bavaria,West,Yes,0.34099,643,1730,0.31865,0.36334
