year,age_gr,migback,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,At least once per week,0.06276,144,1749,0.05139,0.07413
1990,17-29 y.,No migration background,At least once per month,0.25887,579,1749,0.23834,0.27940
1990,17-29 y.,No migration background,Seldom,0.40081,932,1749,0.37784,0.42378
1990,17-29 y.,No migration background,Never,0.04063,94,1749,0.03138,0.04989
1990,17-29 y.,Direct migration background,At least once per week,0.06999,46,684,0.05085,0.08912
1990,17-29 y.,Direct migration background,At least once per month,0.29745,181,684,0.26316,0.33173
1990,17-29 y.,Direct migration background,Seldom,0.43218,312,684,0.39503,0.46933
1990,17-29 y.,Direct migration background,Never,0.15902,145,684,0.13159,0.18644
1990,17-29 y.,Indirect migration background,At least once per month,0.31724,82,242,0.25848,0.37600
1990,17-29 y.,Indirect migration background,Seldom,0.49038,126,242,0.42726,0.55349
1990,17-29 y.,Indirect migration background,Never,0.11214,34,242,0.07230,0.15198
1990,30-45 y.,No migration background,At least once per week,0.06334,141,1919,0.05244,0.07424
1990,30-45 y.,No migration background,At least once per month,0.29254,726,1919,0.27218,0.31290
1990,30-45 y.,No migration background,Seldom,0.38645,963,1919,0.36466,0.40824
1990,30-45 y.,No migration background,Never,0.03615,89,1919,0.02779,0.04450
1990,30-45 y.,Direct migration background,At least once per week,0.07455,60,834,0.05672,0.09239
1990,30-45 y.,Direct migration background,At least once per month,0.28439,213,834,0.25375,0.31502
1990,30-45 y.,Direct migration background,Seldom,0.44715,398,834,0.41338,0.48091
1990,30-45 y.,Direct migration background,Never,0.14258,163,834,0.11883,0.16632
1990,46-65 y.,No migration background,At least once per week,0.07896,194,1975,0.06706,0.09085
1990,46-65 y.,No migration background,At least once per month,0.27000,687,1975,0.25041,0.28958
1990,46-65 y.,No migration background,Seldom,0.38347,980,1975,0.36202,0.40492
1990,46-65 y.,No migration background,Never,0.04687,114,1975,0.03755,0.05620
1990,46-65 y.,Direct migration background,At least once per week,0.04588,34,895,0.03216,0.05959
1990,46-65 y.,Direct migration background,At least once per month,0.22921,172,895,0.20166,0.25677
1990,46-65 y.,Direct migration background,Seldom,0.44051,428,895,0.40797,0.47306
1990,46-65 y.,Direct migration background,Never,0.17267,261,895,0.14790,0.19745
1990,66 and older,No migration background,At least once per week,0.05909,68,949,0.04408,0.07410
1990,66 and older,No migration background,At least once per month,0.21210,261,949,0.18607,0.23812
1990,66 and older,No migration background,Seldom,0.34058,394,949,0.31041,0.37075
1990,66 and older,No migration background,Never,0.20519,226,949,0.17948,0.23090
1990,66 and older,Direct migration background,Seldom,0.36494,42,42,0.21758,0.51231
1995,17-29 y.,No migration background,At least once per week,0.05763,127,2296,0.04810,0.06717
1995,17-29 y.,No migration background,At least once per month,0.28549,672,2296,0.26701,0.30397
1995,17-29 y.,No migration background,Seldom,0.57949,1345,2296,0.55930,0.59969
1995,17-29 y.,No migration background,Never,0.07331,152,2296,0.06264,0.08397
1995,17-29 y.,Direct migration background,At least once per month,0.21474,120,571,0.18103,0.24846
1995,17-29 y.,Direct migration background,Seldom,0.54898,342,571,0.50813,0.58983
1995,17-29 y.,Direct migration background,Never,0.18050,109,571,0.14893,0.21208
1995,17-29 y.,Indirect migration background,At least once per month,0.20606,88,419,0.16728,0.24484
1995,17-29 y.,Indirect migration background,Seldom,0.61586,258,419,0.56923,0.66249
1995,17-29 y.,Indirect migration background,Never,0.13507,73,419,0.10230,0.16784
1995,30-45 y.,No migration background,At least once per week,0.07111,215,3450,0.06253,0.07969
1995,30-45 y.,No migration background,At least once per month,0.32697,1133,3450,0.31131,0.34263
