year,regtyp,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,At least once per week,0.06415,571,7428,0.05858,0.06972
1990,Urban regions,At least once per month,0.24709,2322,7428,0.23728,0.25690
1990,Urban regions,Seldom,0.35456,3594,7428,0.34368,0.36544
1990,Urban regions,Never,0.07650,941,7428,0.07045,0.08254
1990,Rural regions,At least once per week,0.03642,142,1950,0.02810,0.04473
1990,Rural regions,At least once per month,0.15396,610,1950,0.13794,0.16999
1990,Rural regions,Seldom,0.24428,999,1950,0.22521,0.26336
1990,Rural regions,Never,0.04392,199,1950,0.03482,0.05301
1995,Urban regions,At least once per week,0.05144,495,8648,0.04679,0.05610
1995,Urban regions,At least once per month,0.23098,2292,8648,0.22209,0.23986
1995,Urban regions,Seldom,0.43302,4690,8648,0.42258,0.44347
1995,Urban regions,Never,0.10442,1171,8648,0.09797,0.11087
1995,Rural regions,At least once per week,0.04360,219,4533,0.03766,0.04955
1995,Rural regions,At least once per month,0.22691,1306,4533,0.21472,0.23911
1995,Rural regions,Seldom,0.44008,2556,4533,0.42563,0.45453
1995,Rural regions,Never,0.09276,452,4533,0.08431,0.10120
1998,Urban regions,At least once per week,0.04189,442,9184,0.03779,0.04598
1998,Urban regions,At least once per month,0.21537,2293,9184,0.20696,0.22378
1998,Urban regions,Seldom,0.47471,5454,9184,0.46450,0.48492
1998,Urban regions,Never,0.09008,995,9184,0.08422,0.09594
1998,Rural regions,At least once per week,0.04095,232,4938,0.03542,0.04648
1998,Rural regions,At least once per month,0.19421,1175,4938,0.18317,0.20524
1998,Rural regions,Seldom,0.48883,3049,4938,0.47489,0.50278
1998,Rural regions,Never,0.08416,482,4938,0.07642,0.09191
2003,Urban regions,At least once per week,0.03926,730,14626,0.03611,0.04241
2003,Urban regions,At least once per month,0.20320,3834,14626,0.19668,0.20972
2003,Urban regions,Seldom,0.46543,8306,14626,0.45734,0.47351
2003,Urban regions,Never,0.11619,1756,14626,0.11100,0.12139
2003,Rural regions,At least once per week,0.03539,342,7397,0.03118,0.03960
2003,Rural regions,At least once per month,0.19148,1800,7397,0.18251,0.20045
2003,Rural regions,Seldom,0.49396,4416,7397,0.48257,0.50536
2003,Rural regions,Never,0.11021,839,7397,0.10307,0.11735
2008,Urban regions,At least once per week,0.02359,361,12597,0.02094,0.02624
2008,Urban regions,At least once per month,0.16889,2812,12597,0.16235,0.17544
2008,Urban regions,Seldom,0.49597,7570,12597,0.48724,0.50471
2008,Urban regions,Never,0.14307,1854,12597,0.13696,0.14919
2008,Rural regions,At least once per week,0.02270,189,6623,0.01911,0.02629
2008,Rural regions,At least once per month,0.16440,1368,6623,0.15547,0.17332
2008,Rural regions,Seldom,0.49542,3969,6623,0.48338,0.50746
2008,Rural regions,Never,0.16025,1097,6623,0.15142,0.16909
2013,Urban regions,At least once per week,0.02718,742,16120,0.02467,0.02969
2013,Urban regions,At least once per month,0.20214,4680,16120,0.19594,0.20833
2013,Urban regions,Seldom,0.40963,8694,16120,0.40203,0.41722
2013,Urban regions,Never,0.10444,2004,16120,0.09972,0.10916
2013,Rural regions,At least once per week,0.03190,405,9282,0.02833,0.03548
2013,Rural regions,At least once per month,0.19997,2451,9282,0.19183,0.20811
2013,Rural regions,Seldom,0.44214,5152,9282,0.43203,0.45224
2013,Rural regions,Never,0.12068,1274,9282,0.11405,0.12731
2017,Urban regions,Daily,0.00009,34,2749,-0.00026,0.00043
2017,Urban regions,At least once per week,0.00047,251,2749,-0.00034,0.00129
2017,Urban regions,At least once per month,0.00108,478,2749,-0.00015,0.00230
2017,Urban regions,Seldom,0.00181,931,2749,0.00022,0.00339
2017,Urban regions,Never,0.00222,1055,2749,0.00046,0.00397
2017,Rural regions,At least once per week,0.00053,88,1196,-0.00077,0.00183
2017,Rural regions,At least once per month,0.00083,184,1196,-0.00080,0.00246
2017,Rural regions,Seldom,0.00189,454,1196,-0.00057,0.00436
2017,Rural regions,Never,0.00220,470,1196,-0.00046,0.00485
2018,Urban regions,Daily,0.00009,43,2320,-0.00029,0.00046
2018,Urban regions,At least once per week,0.00102,399,2320,-0.00028,0.00232
2018,Urban regions,At least once per month,0.00149,598,2320,-0.00008,0.00306
2018,Urban regions,Seldom,0.00194,809,2320,0.00015,0.00373
2018,Urban regions,Never,0.00134,471,2320,-0.00015,0.00283
2018,Rural regions,At least once per week,0.00079,133,832,-0.00112,0.00270
2018,Rural regions,At least once per month,0.00120,208,832,-0.00115,0.00356
2018,Rural regions,Seldom,0.00182,338,832,-0.00108,0.00472
2018,Rural regions,Never,0.00090,153,832,-0.00114,0.00293
2019,Urban regions,Daily,0.00134,103,18611,0.00081,0.00186
2019,Urban regions,At least once per week,0.03901,1228,18611,0.03623,0.04179
2019,Urban regions,At least once per month,0.27351,6475,18611,0.26711,0.27992
2019,Urban regions,Seldom,0.42529,8913,18611,0.41819,0.43239
2019,Urban regions,Never,0.09581,1892,18611,0.09158,0.10003
2019,Rural regions,Daily,0.00151,40,9620,0.00074,0.00229
2019,Rural regions,At least once per week,0.04061,567,9620,0.03666,0.04455
2019,Rural regions,At least once per month,0.24576,3158,9620,0.23716,0.25437
2019,Rural regions,Seldom,0.44355,4773,9620,0.43362,0.45348
2019,Rural regions,Never,0.10672,1082,9620,0.10055,0.11289
