year,pgisced97,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,At least once per month,0.28237,42,142,0.20807,0.35668
1990,Pre-primary Level,Seldom,0.55965,100,142,0.47771,0.64159
1990,Primary Level,At least once per week,0.04525,32,622,0.02890,0.06160
1990,Primary Level,At least once per month,0.19041,92,622,0.15953,0.22129
1990,Primary Level,Seldom,0.43340,303,622,0.39442,0.47237
1990,Primary Level,Never,0.27184,195,622,0.23685,0.30683
1990,Lower Secondary Level,At least once per week,0.05048,144,2437,0.04179,0.05918
1990,Lower Secondary Level,At least once per month,0.22299,617,2437,0.20646,0.23952
1990,Lower Secondary Level,Seldom,0.44194,1220,2437,0.42222,0.46166
1990,Lower Secondary Level,Never,0.15571,456,2437,0.14131,0.17011
1990,Upper Secondary Level,At least once per week,0.06991,367,4511,0.06247,0.07736
1990,Upper Secondary Level,At least once per month,0.26195,1480,4511,0.24912,0.27479
1990,Upper Secondary Level,Seldom,0.39003,2273,4511,0.37579,0.40426
1990,Upper Secondary Level,Never,0.06340,391,4511,0.05629,0.07051
1990,Post-secondary Non-tertiary Level,At least once per month,0.38655,114,239,0.32468,0.44842
1990,Post-secondary Non-tertiary Level,Seldom,0.36382,125,239,0.30269,0.42494
1990,First Stage of Tertiary Education,At least once per week,0.08055,44,489,0.05640,0.10470
1990,First Stage of Tertiary Education,At least once per month,0.31912,206,489,0.27776,0.36048
1990,First Stage of Tertiary Education,Seldom,0.36898,239,489,0.32616,0.41179
1990,Second Stage of Tertiary Education,At least once per week,0.08322,84,677,0.06240,0.10404
1990,Second Stage of Tertiary Education,At least once per month,0.29193,333,677,0.25765,0.32620
1990,Second Stage of Tertiary Education,Seldom,0.24100,260,677,0.20876,0.27324
1995,Pre-primary Level,At least once per month,0.22385,67,252,0.17229,0.27542
1995,Pre-primary Level,Seldom,0.65042,185,252,0.59143,0.70941
1995,Primary Level,At least once per month,0.11644,61,515,0.08871,0.14417
1995,Primary Level,Seldom,0.51055,286,515,0.46734,0.55377
1995,Primary Level,Never,0.31824,168,515,0.27797,0.35850
1995,Lower Secondary Level,At least once per week,0.03934,106,2468,0.03167,0.04701
1995,Lower Secondary Level,At least once per month,0.20025,482,2468,0.18446,0.21604
1995,Lower Secondary Level,Seldom,0.54144,1373,2468,0.52178,0.56110
1995,Lower Secondary Level,Never,0.20990,507,2468,0.19383,0.22597
1995,Upper Secondary Level,At least once per week,0.05890,358,6672,0.05325,0.06455
1995,Upper Secondary Level,At least once per month,0.27214,1833,6672,0.26146,0.28282
1995,Upper Secondary Level,Seldom,0.54712,3756,6672,0.53518,0.55907
1995,Upper Secondary Level,Never,0.11260,725,6672,0.10501,0.12018
1995,Post-secondary Non-tertiary Level,At least once per month,0.35269,163,443,0.30814,0.39723
1995,Post-secondary Non-tertiary Level,Seldom,0.51819,243,443,0.47161,0.56477
1995,Post-secondary Non-tertiary Level,Never,0.07723,37,443,0.05234,0.10212
1995,First Stage of Tertiary Education,At least once per week,0.07771,47,752,0.05856,0.09686
1995,First Stage of Tertiary Education,At least once per month,0.32735,239,752,0.29379,0.36091
1995,First Stage of Tertiary Education,Seldom,0.49840,413,752,0.46264,0.53416
1995,First Stage of Tertiary Education,Never,0.09016,53,752,0.06968,0.11065
1995,Second Stage of Tertiary Education,At least once per week,0.09069,137,1749,0.07722,0.10415
1995,Second Stage of Tertiary Education,At least once per month,0.41475,698,1749,0.39165,0.43785
1995,Second Stage of Tertiary Education,Seldom,0.45140,852,1749,0.42807,0.47473
1995,Second Stage of Tertiary Education,Never,0.03977,62,1749,0.03061,0.04893
1998,Pre-primary Level,At least once per month,0.26321,81,300,0.21329,0.31312
1998,Pre-primary Level,Seldom,0.62935,219,300,0.57461,0.68410
1998,Primary Level,At least once per month,0.10439,43,428,0.07539,0.13339
1998,Primary Level,Seldom,0.54584,255,428,0.49861,0.59307
1998,Primary Level,Never,0.29410,130,428,0.25089,0.33732
1998,Lower Secondary Level,At least once per week,0.04185,110,2515,0.03402,0.04968
1998,Lower Secondary Level,At least once per month,0.19493,482,2515,0.17944,0.21041
1998,Lower Secondary Level,Seldom,0.56172,1478,2515,0.54232,0.58111
1998,Lower Secondary Level,Never,0.18995,445,2515,0.17462,0.20529
1998,Upper Secondary Level,At least once per week,0.05075,348,6968,0.04560,0.05590
1998,Upper Secondary Level,At least once per month,0.24089,1662,6968,0.23085,0.25093
1998,Upper Secondary Level,Seldom,0.60259,4308,6968,0.59110,0.61408
1998,Upper Secondary Level,Never,0.09553,650,6968,0.08863,0.10243
1998,Post-secondary Non-tertiary Level,At least once per month,0.29356,140,458,0.25181,0.33532
1998,Post-secondary Non-tertiary Level,Seldom,0.59913,318,458,0.55420,0.64406
1998,First Stage of Tertiary Education,At least once per week,0.05669,36,815,0.04081,0.07258
1998,First Stage of Tertiary Education,At least once per month,0.26845,209,815,0.23801,0.29890
1998,First Stage of Tertiary Education,Seldom,0.59928,523,815,0.56561,0.63294
1998,First Stage of Tertiary Education,Never,0.06839,47,815,0.05105,0.08573
1998,Second Stage of Tertiary Education,At least once per week,0.05870,108,1955,0.04828,0.06912
1998,Second Stage of Tertiary Education,At least once per month,0.37307,700,1955,0.35163,0.39452
1998,Second Stage of Tertiary Education,Seldom,0.52496,1087,1955,0.50282,0.54710
1998,Second Stage of Tertiary Education,Never,0.03332,60,1955,0.02537,0.04128
2003,Pre-primary Level,At least once per month,0.19412,142,583,0.16198,0.22625
2003,Pre-primary Level,Seldom,0.62714,377,583,0.58785,0.66642
2003,Pre-primary Level,Never,0.11510,64,583,0.08917,0.14103
2003,Primary Level,Seldom,0.45665,128,234,0.39269,0.52061
2003,Primary Level,Never,0.39271,106,234,0.33000,0.45541
2003,Lower Secondary Level,At least once per week,0.03284,90,2717,0.02614,0.03955
2003,Lower Secondary Level,At least once per month,0.16204,450,2717,0.14818,0.17590
2003,Lower Secondary Level,Seldom,0.54492,1537,2717,0.52620,0.56365
2003,Lower Secondary Level,Never,0.25049,640,2717,0.23419,0.26678
2003,Upper Secondary Level,At least once per week,0.04191,484,11044,0.03817,0.04565
2003,Upper Secondary Level,At least once per month,0.22570,2560,11044,0.21790,0.23349
2003,Upper Secondary Level,Seldom,0.58593,6620,11044,0.57674,0.59511
2003,Upper Secondary Level,Never,0.14049,1380,11044,0.13401,0.14697
2003,Post-secondary Non-tertiary Level,At least once per week,0.05770,63,1149,0.04421,0.07119
2003,Post-secondary Non-tertiary Level,At least once per month,0.27859,329,1149,0.25265,0.30452
2003,Post-secondary Non-tertiary Level,Seldom,0.56908,664,1149,0.54043,0.59773
2003,Post-secondary Non-tertiary Level,Never,0.08840,93,1149,0.07198,0.10482
2003,First Stage of Tertiary Education,At least once per week,0.04905,80,1677,0.03871,0.05939
2003,First Stage of Tertiary Education,At least once per month,0.26410,451,1677,0.24299,0.28521
2003,First Stage of Tertiary Education,Seldom,0.59553,1026,1677,0.57203,0.61902
2003,First Stage of Tertiary Education,Never,0.08102,120,1677,0.06795,0.09408
2003,Second Stage of Tertiary Education,At least once per week,0.06737,313,4319,0.05989,0.07484
2003,Second Stage of Tertiary Education,At least once per month,0.35324,1627,4319,0.33898,0.36750
2003,Second Stage of Tertiary Education,Seldom,0.52322,2219,4319,0.50832,0.53812
2003,Second Stage of Tertiary Education,Never,0.04751,160,4319,0.04116,0.05385
2008,Pre-primary Level,At least once per month,0.15878,77,347,0.12027,0.19728
2008,Pre-primary Level,Seldom,0.35503,231,347,0.30461,0.40545
2008,Pre-primary Level,Never,0.07012,39,347,0.04322,0.09703
2008,Primary Level,Seldom,0.44199,77,172,0.36755,0.51643
2008,Primary Level,Never,0.48717,95,172,0.41226,0.56209
2008,Lower Secondary Level,At least once per week,0.01967,34,2003,0.01358,0.02575
2008,Lower Secondary Level,At least once per month,0.10199,231,2003,0.08873,0.11525
2008,Lower Secondary Level,Seldom,0.52136,1107,2003,0.49948,0.54324
2008,Lower Secondary Level,Never,0.32831,631,2003,0.30774,0.34888
2008,Upper Secondary Level,At least once per week,0.02386,227,9672,0.02082,0.02691
2008,Upper Secondary Level,At least once per month,0.18203,1864,9672,0.17434,0.18972
2008,Upper Secondary Level,Seldom,0.60443,5953,9672,0.59469,0.61418
2008,Upper Secondary Level,Never,0.18264,1628,9672,0.17494,0.19034
2008,Post-secondary Non-tertiary Level,At least once per month,0.23407,238,1065,0.20862,0.25951
2008,Post-secondary Non-tertiary Level,Seldom,0.64013,719,1065,0.61129,0.66897
2008,Post-secondary Non-tertiary Level,Never,0.10649,108,1065,0.08795,0.12502
2008,First Stage of Tertiary Education,At least once per week,0.02844,45,1412,0.01977,0.03712
2008,First Stage of Tertiary Education,At least once per month,0.21493,308,1412,0.19350,0.23637
2008,First Stage of Tertiary Education,Seldom,0.62978,913,1412,0.60459,0.65498
2008,First Stage of Tertiary Education,Never,0.12257,146,1412,0.10546,0.13968
2008,Second Stage of Tertiary Education,At least once per week,0.05121,205,4180,0.04452,0.05789
2008,Second Stage of Tertiary Education,At least once per month,0.30748,1397,4180,0.29349,0.32147
2008,Second Stage of Tertiary Education,Seldom,0.57066,2363,4180,0.55565,0.58567
2008,Second Stage of Tertiary Education,Never,0.06656,215,4180,0.05900,0.07412
2013,Pre-primary Level,At least once per month,0.12105,139,401,0.08909,0.15302
2013,Pre-primary Level,Seldom,0.27248,262,401,0.22885,0.31612
2013,Primary Level,At least once per month,0.08948,39,310,0.05765,0.12130
2013,Primary Level,Seldom,0.26065,126,310,0.21170,0.30960
2013,Primary Level,Never,0.31315,145,310,0.26144,0.36486
2013,Lower Secondary Level,At least once per week,0.02353,95,2578,0.01768,0.02939
2013,Lower Secondary Level,At least once per month,0.11647,406,2578,0.10409,0.12886
2013,Lower Secondary Level,Seldom,0.41953,1350,2578,0.40048,0.43859
2013,Lower Secondary Level,Never,0.25533,727,2578,0.23850,0.27217
2013,Upper Secondary Level,At least once per week,0.02732,435,12352,0.02445,0.03020
2013,Upper Secondary Level,At least once per month,0.21542,2989,12352,0.20817,0.22267
2013,Upper Secondary Level,Seldom,0.54256,7163,12352,0.53377,0.55134
