year,migback,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,At least once per week,0.05627,547,6592,0.05070,0.06183
1990,No migration background,At least once per month,0.21961,2253,6592,0.20961,0.22960
1990,No migration background,Seldom,0.31794,3269,6592,0.30670,0.32918
1990,No migration background,Never,0.05924,523,6592,0.05354,0.06493
1990,Direct migration background,At least once per week,0.05991,147,2495,0.05060,0.06923
1990,Direct migration background,At least once per month,0.24778,586,2495,0.23083,0.26472
1990,Direct migration background,Seldom,0.41454,1180,2495,0.39520,0.43387
1990,Direct migration background,Never,0.15354,582,2495,0.13940,0.16769
1990,Indirect migration background,At least once per month,0.06486,93,272,0.03554,0.09418
1990,Indirect migration background,Seldom,0.08946,144,272,0.05548,0.12344
1990,Indirect migration background,Never,0.01881,35,272,0.00263,0.03498
1995,No migration background,At least once per week,0.05228,588,9931,0.04790,0.05665
1995,No migration background,At least once per month,0.24262,2976,9931,0.23419,0.25105
1995,No migration background,Seldom,0.43807,5431,9931,0.42831,0.44782
1995,No migration background,Never,0.09195,936,9931,0.08627,0.09764
1995,Direct migration background,At least once per week,0.04025,105,2752,0.03291,0.04760
1995,Direct migration background,At least once per month,0.20167,521,2752,0.18668,0.21667
1995,Direct migration background,Seldom,0.50681,1520,2752,0.48812,0.52549
1995,Direct migration background,Never,0.18156,606,2752,0.16716,0.19597
1995,Indirect migration background,At least once per month,0.06969,101,477,0.04681,0.09256
1995,Indirect migration background,Seldom,0.19216,295,477,0.15677,0.22756
1995,Indirect migration background,Never,0.04169,81,477,0.02373,0.05965
1998,No migration background,At least once per week,0.04466,575,11159,0.04083,0.04849
1998,No migration background,At least once per month,0.21897,2908,11159,0.21130,0.22665
1998,No migration background,Seldom,0.48610,6713,11159,0.47682,0.49537
1998,No migration background,Never,0.08084,963,11159,0.07578,0.08590
1998,Direct migration background,At least once per week,0.02800,69,2374,0.02136,0.03464
1998,Direct migration background,At least once per month,0.19696,428,2374,0.18096,0.21297
1998,Direct migration background,Seldom,0.54551,1429,2374,0.52548,0.56555
1998,Direct migration background,Never,0.16331,448,2374,0.14844,0.17818
1998,Indirect migration background,At least once per month,0.07986,132,559,0.05737,0.10235
1998,Indirect migration background,Seldom,0.23655,361,559,0.20129,0.27181
1998,Indirect migration background,Never,0.03917,66,559,0.02307,0.05527
2003,No migration background,At least once per week,0.04122,954,18658,0.03837,0.04407
2003,No migration background,At least once per month,0.21273,4989,18658,0.20686,0.21860
2003,No migration background,Seldom,0.48746,10815,18658,0.48029,0.49464
2003,No migration background,Never,0.10371,1900,18658,0.09934,0.10809
2003,Direct migration background,At least once per week,0.02567,85,2595,0.01958,0.03176
2003,Direct migration background,At least once per month,0.17729,483,2595,0.16259,0.19199
2003,Direct migration background,Seldom,0.52159,1459,2595,0.50236,0.54081
2003,Direct migration background,Never,0.21418,568,2595,0.19839,0.22997
2003,Indirect migration background,At least once per week,0.01908,33,770,0.00941,0.02875
2003,Indirect migration background,At least once per month,0.06959,162,770,0.05160,0.08757
2003,Indirect migration background,Seldom,0.22630,448,770,0.19673,0.25588
2003,Indirect migration background,Never,0.07416,127,770,0.05564,0.09268
2008,No migration background,At least once per week,0.02515,501,16568,0.02277,0.02753
2008,No migration background,At least once per month,0.18066,3764,16568,0.17480,0.18652
2008,No migration background,Seldom,0.50423,9937,16568,0.49661,0.51184
2008,No migration background,Never,0.14049,2366,16568,0.13519,0.14578
2008,Direct migration background,At least once per week,0.01912,37,1894,0.01295,0.02529
2008,Direct migration background,At least once per month,0.13198,277,1894,0.11673,0.14723
2008,Direct migration background,Seldom,0.57131,1138,1894,0.54901,0.59360
2008,Direct migration background,Never,0.24819,442,1894,0.22873,0.26765
2008,Indirect migration background,At least once per month,0.08117,139,746,0.06155,0.10078
2008,Indirect migration background,Seldom,0.30446,464,746,0.27141,0.33750
2008,Indirect migration background,Never,0.09311,143,746,0.07224,0.11398
2013,No migration background,At least once per week,0.03176,952,21527,0.02942,0.03410
2013,No migration background,At least once per month,0.22954,6264,21527,0.22392,0.23516
2013,No migration background,Seldom,0.46651,11725,21527,0.45984,0.47317
2013,No migration background,Never,0.11504,2586,21527,0.11077,0.11930
2013,Direct migration background,At least once per week,0.02122,144,2752,0.01583,0.02660
2013,Direct migration background,At least once per month,0.10796,571,2752,0.09636,0.11956
2013,Direct migration background,Seldom,0.28865,1477,2752,0.27172,0.30559
2013,Direct migration background,Never,0.12855,560,2752,0.11604,0.14105
2013,Indirect migration background,At least once per week,0.01032,51,1123,0.00441,0.01623
2013,Indirect migration background,At least once per month,0.06804,296,1123,0.05330,0.08277
2013,Indirect migration background,Seldom,0.16652,644,1123,0.14472,0.18832
2013,Indirect migration background,Never,0.02898,132,1123,0.01916,0.03880
2017,Direct migration background,Daily,0.00060,47,3958,-0.00016,0.00137
2017,Direct migration background,At least once per week,0.00356,339,3958,0.00171,0.00542
2017,Direct migration background,At least once per month,0.00724,662,3958,0.00460,0.00988
2017,Direct migration background,Seldom,0.01330,1385,3958,0.00973,0.01687
2017,Direct migration background,Never,0.01603,1525,3958,0.01212,0.01994
2018,Direct migration background,Daily,0.00090,63,3172,-0.00015,0.00194
2018,Direct migration background,At least once per week,0.00668,532,3172,0.00385,0.00952
2018,Direct migration background,At least once per month,0.00989,806,3172,0.00644,0.01333
2018,Direct migration background,Seldom,0.01342,1147,3172,0.00942,0.01743
2018,Direct migration background,Never,0.00850,624,3172,0.00530,0.01169
2019,No migration background,Daily,0.00118,40,20147,0.00071,0.00166
2019,No migration background,At least once per week,0.04040,1088,20147,0.03768,0.04312
2019,No migration background,At least once per month,0.27990,7195,20147,0.27370,0.28610
2019,No migration background,Seldom,0.44240,10076,20147,0.43554,0.44925
2019,No migration background,Never,0.09335,1748,20147,0.08933,0.09736
2019,Direct migration background,Daily,0.00211,97,7061,0.00104,0.00318
2019,Direct migration background,At least once per week,0.04680,654,7061,0.04187,0.05173
2019,Direct migration background,At least once per month,0.27115,2178,7061,0.26078,0.28152
2019,Direct migration background,Seldom,0.45635,2994,7061,0.44473,0.46797
2019,Direct migration background,Never,0.16646,1138,7061,0.15777,0.17515
2019,Indirect migration background,At least once per week,0.02820,99,1570,0.02001,0.03639
2019,Indirect migration background,At least once per month,0.15012,505,1570,0.13245,0.16779
2019,Indirect migration background,Seldom,0.29173,833,1570,0.26924,0.31422
2019,Indirect migration background,Never,0.04125,133,1570,0.03141,0.05110
