year,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Daily,0.00215,35,9413,0.00121,0.00309
1990,At least once per week,0.05511,713,9413,0.05050,0.05972
1990,At least once per month,0.21663,2932,9413,0.20830,0.22495
1990,Seldom,0.31824,4593,9413,0.30883,0.32765
1990,Never,0.06588,1140,9413,0.06087,0.07089
1995,At least once per week,0.04893,714,13181,0.04525,0.05261
1995,At least once per month,0.22967,3598,13181,0.22249,0.23686
1995,Seldom,0.43528,7246,13181,0.42682,0.44375
1995,Never,0.10068,1623,13181,0.09555,0.10582
1998,At least once per week,0.04159,674,14122,0.03830,0.04488
1998,At least once per month,0.20865,3468,14122,0.20195,0.21536
1998,Seldom,0.47919,8503,14122,0.47095,0.48743
1998,Never,0.08820,1477,14122,0.08352,0.09288
2003,At least once per week,0.03803,1072,22023,0.03551,0.04056
2003,At least once per month,0.19949,5634,22023,0.19421,0.20476
2003,Seldom,0.47447,12722,22023,0.46788,0.48107
2003,Never,0.11430,2595,22023,0.11009,0.11850
2008,At least once per week,0.02330,550,19220,0.02117,0.02544
2008,At least once per month,0.16746,4180,19220,0.16218,0.17274
2008,Seldom,0.49580,11539,19220,0.48873,0.50287
2008,Never,0.14855,2951,19220,0.14352,0.15358
2013,Daily,0.00114,35,25437,0.00073,0.00156
2013,At least once per week,0.02872,1147,25437,0.02667,0.03077
2013,At least once per month,0.20143,7131,25437,0.19650,0.20636
2013,Seldom,0.42022,13846,25437,0.41416,0.42629
2013,Never,0.10973,3278,25437,0.10589,0.11358
2017,Daily,0.00008,47,3958,-0.00020,0.00037
2017,At least once per week,0.00049,339,3958,-0.00020,0.00118
2017,At least once per month,0.00100,662,3958,0.00001,0.00198
2017,Seldom,0.00183,1385,3958,0.00050,0.00317
2017,Never,0.00221,1525,3958,0.00075,0.00367
2018,Daily,0.00013,63,3172,-0.00027,0.00052
2018,At least once per week,0.00095,532,3172,-0.00012,0.00202
2018,At least once per month,0.00140,806,3172,0.00010,0.00270
2018,Seldom,0.00190,1147,3172,0.00038,0.00342
2018,Never,0.00120,624,3172,-0.00000,0.00241
2019,Daily,0.00138,144,28785,0.00095,0.00181
2019,At least once per week,0.04013,1841,28785,0.03786,0.04240
2019,At least once per month,0.26617,9878,28785,0.26106,0.27128
2019,Seldom,0.42986,13903,28785,0.42414,0.43558
2019,Never,0.09865,3019,28785,0.09521,0.10210
