year,sex,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,At least once per week,0.05880,376,4623,0.05202,0.06558
1990,male,At least once per month,0.22888,1527,4623,0.21677,0.24099
1990,male,Seldom,0.31083,2220,4623,0.29749,0.32417
1990,male,Never,0.05136,500,4623,0.04500,0.05772
1990,female,At least once per week,0.05169,337,4755,0.04539,0.05798
1990,female,At least once per month,0.20525,1405,4755,0.19377,0.21673
1990,female,Seldom,0.32537,2373,4755,0.31205,0.33869
1990,female,Never,0.07954,640,4755,0.07185,0.08723
1995,male,At least once per week,0.05536,374,6365,0.04974,0.06098
1995,male,At least once per month,0.23931,1820,6365,0.22883,0.24979
1995,male,Seldom,0.42500,3460,6365,0.41285,0.43714
1995,male,Never,0.08430,711,6365,0.07748,0.09113
1995,female,At least once per week,0.04281,340,6816,0.03801,0.04762
1995,female,At least once per month,0.22051,1778,6816,0.21066,0.23035
1995,female,Seldom,0.44507,3786,6816,0.43327,0.45687
1995,female,Never,0.11627,912,6816,0.10866,0.12388
1998,male,At least once per week,0.04523,351,6834,0.04030,0.05015
1998,male,At least once per month,0.21566,1740,6834,0.20591,0.22541
1998,male,Seldom,0.47285,4094,6834,0.46102,0.48469
1998,male,Never,0.07622,649,6834,0.06993,0.08251
1998,female,At least once per week,0.03811,323,7288,0.03372,0.04251
1998,female,At least once per month,0.20196,1728,7288,0.19274,0.21117
1998,female,Seldom,0.48525,4409,7288,0.47377,0.49672
1998,female,Never,0.09965,828,7288,0.09278,0.10653
2003,male,At least once per week,0.04305,562,10613,0.03919,0.04691
2003,male,At least once per month,0.20792,2838,10613,0.20020,0.21564
2003,male,Seldom,0.46775,6075,10613,0.45825,0.47724
2003,male,Never,0.10056,1138,10613,0.09484,0.10628
2003,female,At least once per week,0.03320,510,11410,0.02991,0.03649
2003,female,At least once per month,0.19137,2796,11410,0.18416,0.19859
2003,female,Seldom,0.48095,6647,11410,0.47178,0.49011
2003,female,Never,0.12751,1457,11410,0.12139,0.13363
2008,male,At least once per week,0.02698,297,9163,0.02366,0.03030
2008,male,At least once per month,0.17540,2074,9163,0.16761,0.18318
2008,male,Seldom,0.49016,5493,9163,0.47992,0.50040
2008,male,Never,0.13421,1299,9163,0.12723,0.14119
2008,female,At least once per week,0.01975,253,10057,0.01703,0.02247
2008,female,At least once per month,0.15980,2106,10057,0.15264,0.16697
2008,female,Seldom,0.50124,6046,10057,0.49147,0.51101
2008,female,Never,0.16239,1652,10057,0.15518,0.16960
2013,male,At least once per week,0.03129,558,11491,0.02811,0.03448
2013,male,At least once per month,0.21183,3357,11491,0.20436,0.21930
2013,male,Seldom,0.40565,6179,11491,0.39668,0.41463
2013,male,Never,0.10055,1397,11491,0.09505,0.10605
2013,female,At least once per week,0.02624,589,13911,0.02359,0.02890
2013,female,At least once per month,0.19141,3774,13911,0.18487,0.19794
2013,female,Seldom,0.43428,7667,13911,0.42604,0.44252
2013,female,Never,0.11859,1881,13911,0.11321,0.12396
2017,male,Daily,0.00014,33,2258,-0.00035,0.00062
2017,male,At least once per week,0.00071,220,2258,-0.00039,0.00181
2017,male,At least once per month,0.00145,417,2258,-0.00012,0.00302
2017,male,Seldom,0.00233,787,2258,0.00034,0.00432
2017,male,Never,0.00269,801,2258,0.00055,0.00482
2017,female,At least once per week,0.00027,119,1686,-0.00052,0.00106
2017,female,At least once per month,0.00055,245,1686,-0.00057,0.00167
2017,female,Seldom,0.00135,598,1686,-0.00040,0.00310
2017,female,Never,0.00174,724,1686,-0.00025,0.00373
2018,male,Daily,0.00023,51,1887,-0.00046,0.00092
2018,male,At least once per week,0.00145,350,1887,-0.00027,0.00316
2018,male,At least once per month,0.00200,502,1887,-0.00002,0.00402
2018,male,Seldom,0.00231,638,1887,0.00014,0.00447
2018,male,Never,0.00147,346,1887,-0.00026,0.00320
2018,female,At least once per week,0.00046,182,1273,-0.00072,0.00163
2018,female,At least once per month,0.00081,304,1273,-0.00075,0.00237
2018,female,Seldom,0.00150,509,1273,-0.00063,0.00363
2018,female,Never,0.00094,278,1273,-0.00074,0.00262
2019,male,Daily,0.00117,88,14102,0.00061,0.00173
2019,male,At least once per week,0.04164,1012,14102,0.03834,0.04494
2019,male,At least once per month,0.27583,5040,14102,0.26846,0.28321
2019,male,Seldom,0.41731,6529,14102,0.40917,0.42545
2019,male,Never,0.09358,1433,14102,0.08877,0.09838
2019,female,Daily,0.00159,56,14676,0.00094,0.00223
2019,female,At least once per week,0.03869,829,14676,0.03557,0.04181
2019,female,At least once per month,0.25689,4835,14676,0.24982,0.26395
2019,female,Seldom,0.44225,7371,14676,0.43422,0.45029
2019,female,Never,0.10369,1585,14676,0.09876,0.10862
