year,quintil_oecd_hh,rentown,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,1st Quintile,Owner,No,0.83294,197,197,0.78071,0.88516
1995,1st Quintile,Tenant,Yes,0.27895,310,1082,0.25221,0.30568
1995,1st Quintile,Tenant,No,0.65911,772,1082,0.63085,0.68737
1995,2nd Quintile,Owner,No,0.89290,362,362,0.86100,0.92480
1995,2nd Quintile,Tenant,Yes,0.06455,65,1002,0.04933,0.07977
1995,2nd Quintile,Tenant,No,0.88413,937,1002,0.86430,0.90396
1995,3rd Quintile,Owner,No,0.91410,488,488,0.88921,0.93899
1995,3rd Quintile,Tenant,No,0.93760,814,814,0.92097,0.95422
1995,4th Quintile,Owner,No,0.93339,509,509,0.91170,0.95507
1995,4th Quintile,Tenant,No,0.95032,692,692,0.93412,0.96652
1995,5th Quintile,Owner,No,0.94500,592,592,0.92662,0.96338
1995,5th Quintile,Tenant,No,0.94548,479,479,0.92513,0.96583
1996,1st Quintile,Owner,No,0.84950,188,188,0.79825,0.90075
1996,1st Quintile,Tenant,Yes,0.24484,279,1094,0.21935,0.27034
1996,1st Quintile,Tenant,No,0.67018,815,1094,0.64231,0.69806
1996,2nd Quintile,Owner,No,0.84211,366,366,0.80471,0.87952
1996,2nd Quintile,Tenant,Yes,0.03451,46,931,0.02278,0.04624
1996,2nd Quintile,Tenant,No,0.90902,885,931,0.89054,0.92750
1996,3rd Quintile,Owner,No,0.90950,488,488,0.88402,0.93498
1996,3rd Quintile,Tenant,No,0.91546,791,791,0.89606,0.93486
1996,4th Quintile,Owner,No,0.92172,541,541,0.89906,0.94438
1996,4th Quintile,Tenant,No,0.93500,667,667,0.91627,0.95372
1996,5th Quintile,Owner,No,0.94005,591,591,0.92089,0.95920
1996,5th Quintile,Tenant,No,0.95293,484,484,0.93404,0.97182
1997,1st Quintile,Owner,No,0.86388,203,203,0.81659,0.91117
1997,1st Quintile,Tenant,Yes,0.21788,246,1027,0.19262,0.24314
1997,1st Quintile,Tenant,No,0.70042,781,1027,0.67239,0.72845
1997,2nd Quintile,Owner,No,0.86350,380,380,0.82894,0.89807
1997,2nd Quintile,Tenant,Yes,0.04654,45,911,0.03285,0.06022
1997,2nd Quintile,Tenant,No,0.87807,866,911,0.85681,0.89933
1997,3rd Quintile,Owner,No,0.91511,499,499,0.89063,0.93959
1997,3rd Quintile,Tenant,No,0.90725,776,776,0.88682,0.92767
1997,4th Quintile,Owner,No,0.90851,538,538,0.88412,0.93289
1997,4th Quintile,Tenant,No,0.94951,685,685,0.93310,0.96592
1997,5th Quintile,Owner,No,0.93588,608,608,0.91640,0.95537
1997,5th Quintile,Tenant,No,0.94511,438,438,0.92375,0.96646
1998,1st Quintile,Owner,No,0.90408,208,208,0.86397,0.94420
1998,1st Quintile,Tenant,Yes,0.24016,301,1215,0.21613,0.26419
1998,1st Quintile,Tenant,No,0.70970,914,1215,0.68417,0.73524
1998,2nd Quintile,Owner,No,0.92453,480,480,0.90087,0.94819
1998,2nd Quintile,Tenant,Yes,0.05054,57,1007,0.03701,0.06408
1998,2nd Quintile,Tenant,No,0.89491,950,1007,0.87596,0.91386
1998,3rd Quintile,Owner,No,0.90700,574,574,0.88322,0.93078
1998,3rd Quintile,Tenant,No,0.94339,858,858,0.92792,0.95886
1998,4th Quintile,Owner,No,0.95316,677,677,0.93723,0.96909
1998,4th Quintile,Tenant,No,0.97322,762,762,0.96175,0.98469
1998,5th Quintile,Owner,No,0.96776,785,785,0.95540,0.98013
1998,5th Quintile,Tenant,No,0.95129,476,476,0.93193,0.97065
1999,1st Quintile,Owner,No,0.95268,247,247,0.92615,0.97921
