year,regtyp,sampreg,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Urban regions,West,Yes,0.04934,207,3622,0.04228,0.05639
1995,Urban regions,West,No,0.89393,3415,3622,0.88390,0.90396
1995,Urban regions,East,Yes,0.10562,57,588,0.08076,0.13049
1995,Urban regions,East,No,0.85320,531,588,0.82457,0.88183
1995,Rural regions,West,Yes,0.05145,53,963,0.03749,0.06541
1995,Rural regions,West,No,0.87019,910,963,0.84895,0.89143
1995,Rural regions,East,Yes,0.11692,131,1119,0.09808,0.13575
1995,Rural regions,East,No,0.82790,988,1119,0.80577,0.85003
1996,Urban regions,West,Yes,0.04068,182,3540,0.03417,0.04719
1996,Urban regions,West,No,0.88575,3358,3540,0.87527,0.89623
1996,Urban regions,East,Yes,0.09265,53,601,0.06945,0.11586
1996,Urban regions,East,No,0.85240,548,601,0.82402,0.88079
1996,Rural regions,West,Yes,0.04485,46,947,0.03166,0.05804
1996,Rural regions,West,No,0.87212,901,947,0.85084,0.89341
1996,Rural regions,East,Yes,0.09377,105,1118,0.07667,0.11087
1996,Rural regions,East,No,0.84223,1013,1118,0.82085,0.86361
1997,Urban regions,West,Yes,0.03991,185,3499,0.03342,0.04640
1997,Urban regions,West,No,0.89185,3314,3499,0.88156,0.90215
1997,Urban regions,East,Yes,0.07430,37,580,0.05294,0.09566
1997,Urban regions,East,No,0.85113,543,580,0.82214,0.88012
1997,Rural regions,West,Yes,0.04496,43,930,0.03163,0.05828
1997,Rural regions,West,No,0.84867,887,930,0.82562,0.87171
1997,Rural regions,East,Yes,0.06783,68,1098,0.05295,0.08271
1997,Rural regions,East,No,0.86327,1030,1098,0.84294,0.88360
1998,Urban regions,West,Yes,0.04491,202,4099,0.03857,0.05125
1998,Urban regions,West,No,0.90836,3897,4099,0.89952,0.91719
1998,Urban regions,East,Yes,0.08634,48,620,0.06421,0.10847
1998,Urban regions,East,No,0.87189,572,620,0.84556,0.89821
1998,Rural regions,West,Yes,0.04452,56,1144,0.03256,0.05647
