year,quintil_oecd_hh,regtyp,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,1st Quintile,Urban regions,Yes,0.22062,198,831,0.19241,0.24883
1995,1st Quintile,Urban regions,No,0.71631,633,831,0.68564,0.74698
1995,1st Quintile,Rural regions,Yes,0.25863,140,476,0.21926,0.29801
1995,1st Quintile,Rural regions,No,0.65911,336,476,0.61648,0.70174
1995,2nd Quintile,Urban regions,Yes,0.05131,47,863,0.03658,0.06604
1995,2nd Quintile,Urban regions,No,0.88689,816,863,0.86575,0.90804
1995,2nd Quintile,Rural regions,No,0.88669,483,483,0.85839,0.91498
1995,3rd Quintile,Urban regions,No,0.93194,837,837,0.91486,0.94901
1995,3rd Quintile,Rural regions,No,0.91948,465,465,0.89473,0.94424
1995,4th Quintile,Urban regions,No,0.95036,829,829,0.93556,0.96515
1995,4th Quintile,Rural regions,No,0.92030,372,372,0.89274,0.94786
1995,5th Quintile,Urban regions,No,0.94693,829,829,0.93167,0.96220
1995,5th Quintile,Rural regions,No,0.93825,242,242,0.90785,0.96864
1996,1st Quintile,Urban regions,Yes,0.19141,182,835,0.16471,0.21811
1996,1st Quintile,Urban regions,No,0.71507,653,835,0.68443,0.74570
1996,1st Quintile,Rural regions,Yes,0.23535,118,468,0.19687,0.27382
1996,1st Quintile,Rural regions,No,0.69299,350,468,0.65116,0.73483
1996,2nd Quintile,Urban regions,Yes,0.03285,38,833,0.02074,0.04497
1996,2nd Quintile,Urban regions,No,0.88694,795,833,0.86543,0.90846
1996,2nd Quintile,Rural regions,No,0.88689,456,456,0.85779,0.91599
1996,3rd Quintile,Urban regions,No,0.91590,790,790,0.89653,0.93526
1996,3rd Quintile,Rural regions,No,0.90755,489,489,0.88185,0.93325
1996,4th Quintile,Urban regions,No,0.92834,846,846,0.91095,0.94573
1996,4th Quintile,Rural regions,No,0.92918,362,362,0.90272,0.95565
1996,5th Quintile,Urban regions,No,0.94796,819,819,0.93274,0.96318
1996,5th Quintile,Rural regions,No,0.93532,256,256,0.90513,0.96551
1997,1st Quintile,Urban regions,Yes,0.18140,178,814,0.15491,0.20789
1997,1st Quintile,Urban regions,No,0.73515,636,814,0.70481,0.76548
1997,1st Quintile,Rural regions,Yes,0.17750,81,428,0.14126,0.21374
1997,1st Quintile,Rural regions,No,0.73623,347,428,0.69444,0.77803
1997,2nd Quintile,Urban regions,Yes,0.03843,32,801,0.02511,0.05175
1997,2nd Quintile,Urban regions,No,0.87606,769,801,0.85323,0.89889
1997,2nd Quintile,Rural regions,No,0.86872,477,477,0.83838,0.89906
1997,3rd Quintile,Urban regions,No,0.92821,808,808,0.91040,0.94602
1997,3rd Quintile,Rural regions,No,0.87589,467,467,0.84595,0.90582
1997,4th Quintile,Urban regions,No,0.93340,854,854,0.91666,0.95013
